Data from terraverdeCiproWhite_Reflection__1__41.txt Node;
"Date: Wed Sep 10 12:38:50 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
390,32;3,57
390,578;3,63
390,837;3,61
391,095;3,61
391,353;3,64
391,612;3,68
391,87;3,68
392,128;3,69
392,386;3,7
392,644;3,72
392,903;3,72
393,161;3,72
393,419;3,71
393,677;3,69
393,935;3,71
394,193;3,7
394,451;3,71
394,709;3,68
394,967;3,71
395,225;3,72
395,483;3,78
395,741;3,83
395,999;3,82
396,257;3,84
396,515;3,85
396,773;3,86
397,031;3,83
397,289;3,86
397,547;3,87
397,805;3,91
398,062;3,93
398,32;3,92
398,578;3,94
398,836;3,92
399,094;3,91
399,351;3,9
399,609;3,93
399,867;3,92
400,124;3,93
400,382;3,97
400,64;4,01
400,897;3,97
401,155;3,92
401,413;3,9
401,67;3,85
401,928;3,86
402,185;3,8
402,443;3,81
402,701;3,83
402,958;3,8
403,216;3,78
403,473;3,78
403,73;3,78
403,988;3,81
404,245;3,89
404,503;3,87
404,76;3,9
405,018;3,9
405,275;3,95
405,532;3,99
405,79;3,97
406,047;3,95
406,304;3,98
406,561;4,06
406,819;4,11
407,076;4,15
407,333;4,17
407,59;4,26
407,848;4,26
408,105;4,23
408,362;4,3
408,619;4,35
408,876;4,35
409,133;4,34
409,39;4,33
409,647;4,35
409,904;4,36
410,161;4,4
410,418;4,4
410,675;4,37
410,932;4,38
411,189;4,44
411,446;4,43
411,703;4,42
411,96;4,41
412,217;4,39
412,474;4,37
412,731;4,34
412,988;4,34
413,245;4,35
413,501;4,4
413,758;4,42
414,015;4,39
414,272;4,4
414,529;4,47
414,785;4,49
415,042;4,55
415,299;4,61
415,555;4,58
415,812;4,58
416,069;4,59
416,325;4,57
416,582;4,59
416,838;4,65
417,095;4,6
417,352;4,59
417,608;4,64
417,865;4,71
418,121;4,73
418,378;4,74
418,634;4,79
418,891;4,85
419,147;4,86
419,403;4,87
419,66;4,88
419,916;4,87
420,173;4,86
420,429;4,79
420,685;4,8
420,942;4,85
421,198;4,87
421,454;4,91
421,711;4,94
421,967;4,93
422,223;4,89
422,479;4,98
422,735;5,04
422,992;5,05
423,248;5,02
423,504;5,06
423,76;5,1
424,016;5,07
424,272;5,03
424,528;5,01
424,784;5,01
425,041;5,02
425,297;5,04
425,553;5,09
425,809;5,15
