Data from terraverdeCiproWhite_Reflection__2__42.txt Node;
"Date: Wed Sep 10 12:39:39 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
384,115;5,17
384,374;5,18
384,633;5,21
384,891;5,2
385,15;5,18
385,409;5,18
385,667;5,18
385,926;5,17
386,185;5,16
386,443;5,2
386,702;5,22
386,96;5,24
387,219;5,24
387,477;5,2
387,736;5,18
387,994;5,18
388,253;5,17
388,511;5,17
388,77;5,14
389,028;5,13
389,287;5,13
389,545;5,14
389,803;5,13
390,062;5,12
390,32;5,13
390,578;5,17
390,837;5,17
391,095;5,2
391,353;5,26
391,612;5,26
391,87;5,29
392,128;5,29
392,386;5,3
392,644;5,33
392,903;5,36
393,161;5,36
393,419;5,34
393,677;5,34
393,935;5,37
394,193;5,4
394,451;5,39
394,709;5,35
394,967;5,38
395,225;5,43
395,483;5,44
395,741;5,47
395,999;5,49
396,257;5,48
396,515;5,5
396,773;5,47
397,031;5,49
397,289;5,49
397,547;5,48
397,805;5,51
398,062;5,52
398,32;5,5
398,578;5,56
398,836;5,52
399,094;5,52
399,351;5,5
399,609;5,49
399,867;5,48
400,124;5,58
400,382;5,63
400,64;5,64
400,897;5,65
401,155;5,65
401,413;5,61
401,67;5,64
401,928;5,65
402,185;5,65
402,443;5,69
402,701;5,66
402,958;5,66
403,216;5,62
403,473;5,65
403,73;5,65
403,988;5,64
404,245;5,68
404,503;5,68
404,76;5,66
405,018;5,65
405,275;5,67
405,532;5,7
405,79;5,67
406,047;5,64
406,304;5,63
406,561;5,65
406,819;5,71
407,076;5,66
407,333;5,68
407,59;5,72
407,848;5,69
408,105;5,73
408,362;5,81
408,619;5,88
408,876;5,82
409,133;5,87
409,39;5,89
409,647;5,97
409,904;5,97
410,161;6,03
410,418;6,06
410,675;6,05
410,932;5,99
411,189;6
411,446;6,02
411,703;5,99
411,96;5,98
412,217;5,93
412,474;5,94
412,731;5,94
412,988;5,94
413,245;6,02
413,501;6,01
413,758;5,97
414,015;5,91
414,272;5,95
414,529;6
414,785;6,01
415,042;6,02
415,299;6,08
415,555;6,08
415,812;6,08
416,069;6,13
416,325;6,15
416,582;6,17
416,838;6,27
417,095;6,32
417,352;6,32
417,608;6,39
417,865;6,42
418,121;6,47
418,378;6,48
418,634;6,44
418,891;6,52
419,147;6,54
419,403;6,61
419,66;6,6
419,916;6,59
420,173;6,6
420,429;6,62
420,685;6,64
420,942;6,68
421,198;6,68
421,454;6,71
421,711;6,71
421,967;6,73
422,223;6,67
422,479;6,7
422,735;6,76
422,992;6,77
423,248;6,73
423,504;6,72
423,76;6,75
424,016;6,76
424,272;6,77
424,528;6,76
424,784;6,75
425,041;6,78
425,297;6,82
425,553;6,86
425,809;6,88
426,065;6,84
426,32;6,85
426,576;6,91
426,832;6,9
427,088;6,94
427,344;6,95
427,6;7,03
427,856;7
428,112;6,99
428,368;6,95
428,623;7,05
428,879;7,04
429,135;7,02
429,391;7,06
429,646;7,1
429,902;7,19
430,158;7,23
430,414;7,24
430,669;7,23
430,925;7,21
431,181;7,18
431,436;7,27
431,692;7,25
431,947;7,3
432,203;7,28
432,458;7,28
432,714;7,29
432,97;7,31
433,225;7,36
433,481;7,37
433,736;7,43
433,991;7,44
434,247;7,48
434,502;7,49
434,758;7,51
435,013;7,47
435,268;7,42
435,524;7,42
435,779;7,42
436,034;7,46
436,29;7,48
436,545;7,48
436,8;7,5
437,056;7,54
437,311;7,53
