Data from terraverdeCiproWhite_Reflection__3__43.txt Node;
"Date: Wed Sep 10 12:40:36 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
393,935;9,2
394,193;9,18
394,451;9,21
394,709;9,18
394,967;9,23
395,225;9,26
395,483;9,33
395,741;9,34
395,999;9,35
396,257;9,4
396,515;9,41
396,773;9,43
397,031;9,43
397,289;9,47
397,547;9,47
397,805;9,46
398,062;9,51
398,32;9,49
398,578;9,51
398,836;9,5
399,094;9,51
399,351;9,48
399,609;9,52
399,867;9,51
400,124;9,59
400,382;9,62
400,64;9,68
400,897;9,65
401,155;9,67
401,413;9,68
401,67;9,67
401,928;9,71
402,185;9,68
402,443;9,71
402,701;9,74
402,958;9,77
403,216;9,78
403,473;9,82
403,73;9,9
403,988;9,96
404,245;9,99
404,503;9,98
404,76;10,02
405,018;10
405,275;10,05
405,532;10,09
405,79;10,07
406,047;10,09
406,304;10,17
406,561;10,18
406,819;10,28
407,076;10,28
407,333;10,31
407,59;10,41
407,848;10,43
408,105;10,42
408,362;10,49
408,619;10,58
408,876;10,55
409,133;10,55
409,39;10,59
409,647;10,68
409,904;10,69
410,161;10,73
410,418;10,82
410,675;10,85
410,932;10,84
411,189;10,89
411,446;10,91
411,703;10,92
411,96;10,9
412,217;10,88
412,474;10,87
412,731;10,87
412,988;10,86
413,245;10,93
413,501;10,99
413,758;11,02
414,015;11
414,272;11,04
414,529;11,13
414,785;11,14
415,042;11,2
415,299;11,27
415,555;11,27
415,812;11,22
416,069;11,27
416,325;11,3
416,582;11,33
416,838;11,38
417,095;11,43
417,352;11,49
417,608;11,55
417,865;11,63
418,121;11,7
418,378;11,75
418,634;11,73
418,891;11,81
419,147;11,84
419,403;11,92
419,66;11,96
419,916;11,98
420,173;12
420,429;11,95
420,685;11,99
420,942;12,06
421,198;12,13
421,454;12,16
421,711;12,17
421,967;12,2
422,223;12,22
422,479;12,25
422,735;12,36
422,992;12,37
423,248;12,38
423,504;12,43
423,76;12,46
424,016;12,52
424,272;12,52
424,528;12,56
424,784;12,54
425,041;12,58
425,297;12,6
425,553;12,64
425,809;12,68
426,065;12,69
426,32;12,75
426,576;12,8
426,832;12,82
427,088;12,87
427,344;12,88
427,6;12,97
427,856;12,96
428,112;12,92
428,368;12,98
428,623;13,03
428,879;13,03
429,135;13,1
429,391;13,09
429,646;13,18
429,902;13,24
430,158;13,29
430,414;13,31
430,669;13,37
430,925;13,44
431,181;13,54
431,436;13,58
431,692;13,62
431,947;13,67
432,203;13,7
432,458;13,71
432,714;13,79
432,97;13,83
433,225;13,92
433,481;13,99
433,736;14,02
433,991;14,05
434,247;14,11
434,502;14,17
434,758;14,26
435,013;14,24
435,268;14,23
435,524;14,25
435,779;14,28
436,034;14,31
436,29;14,34
436,545;14,29
436,8;14,33
437,056;14,35
437,311;14,37
437,566;14,41
437,821;14,49
438,076;14,52
438,331;14,54
438,587;14,56
438,842;14,62
439,097;14,69
439,352;14,75
439,607;14,76
439,862;14,73
440,117;14,77
440,372;14,79
440,627;14,82
440,882;14,85
441,137;14,92
441,392;14,98
441,647;15
441,902;15,1
442,157;15,18
442,412;15,23
442,667;15,24
442,921;15,3
443,176;15,38
443,431;15,44
443,686;15,5
443,941;15,56
444,195;15,55
444,45;15,54
444,705;15,59
444,96;15,66
445,214;15,68
445,469;15,72
445,724;15,76
445,978;15,86
446,233;15,91
446,487;15,94
446,742;15,9
446,997;15,94
447,251;15,92
447,506;15,92
447,76;15,94
448,015;15,97
448,269;16,03
448,524;16,06
448,778;16,08
449,033;16,07
449,287;16,1
449,541;16,15
449,796;16,17
450,05;16,24
450,305;16,3
450,559;16,33
450,813;16,42
451,067;16,46
451,322;16,41
451,576;16,47
451,83;16,5
452,084;16,62
452,339;16,71
452,593;16,81
452,847;16,88
453,101;16,95
453,355;17,03
453,609;17,05
453,864;17,04
454,118;17,02
454,372;17,04
454,626;17,09
454,88;17,16
455,134;17,22
455,388;17,23
455,642;17,24
455,896;17,27
456,15;17,27
456,404;17,32
456,658;17,36
456,912;17,35
457,165;17,37
457,419;17,34
457,673;17,32
457,927;17,28
458,181;17,31
458,435;17,32
458,688;17,34
458,942;17,39
459,196;17,43
459,45;17,49
459,703;17,54
459,957;17,56
460,211;17,58
460,464;17,6
460,718;17,64
460,972;17,69
461,225;17,73
461,479;17,75
461,732;17,81
461,986;17,85
462,239;17,93
462,493;17,98
462,746;18,12
463;18,15
463,253;18,22
463,507;18,25
463,76;18,33
464,014;18,36
464,267;18,41
464,52;18,48
464,774;18,54
465,027;18,6
465,28;18,67
465,534;18,68
465,787;18,76
466,04;18,74
466,294;18,77
466,547;18,83
466,8;18,92
467,053;18,94
467,306;19,03
467,56;19,07
467,813;19,14
468,066;19,13
468,319;19,22
468,572;19,25
468,825;19,31
469,078;19,33
469,331;19,42
469,584;19,44
469,837;19,48
470,09;19,56
470,343;19,61
470,596;19,66
470,849;19,73
471,102;19,76
471,355;19,91
471,608;19,96
471,861;20,05
472,114;20,09
472,367;20,16
472,619;20,21
472,872;20,31
473,125;20,34
473,378;20,43
473,631;20,47
473,883;20,49
474,136;20,53
474,389;20,61
474,641;20,64
474,894;20,7
475,147;20,74
