Data from terraverdeCiproWhite_Reflection__0__40.txt Node;
"Date: Wed Sep 10 12:37:34 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
348,773;38,02
349,034;37,95
349,295;37,97
349,556;37,95
349,817;37,92
350,078;37,85
350,339;37,85
350,6;37,86
350,86;37,82
351,121;37,77
351,382;37,72
351,643;37,69
351,904;37,67
352,165;37,65
352,425;37,58
352,686;37,54
352,947;37,52
353,208;37,53
353,468;37,51
353,729;37,56
353,99;37,53
354,25;37,52
354,511;37,5
354,772;37,41
355,032;37,44
355,293;37,4
355,553;37,4
355,814;37,39
356,074;37,34
356,335;37,29
356,596;37,29
356,856;37,3
357,116;37,26
357,377;37,26
357,637;37,3
357,898;37,29
358,158;37,25
358,419;37,21
358,679;37,22
358,939;37,16
359,2;37,11
359,46;37,12
359,72;37,11
359,981;37,11
360,241;37,06
360,501;37,03
360,761;37,05
361,022;37,02
361,282;36,99
361,542;37,01
361,802;36,99
362,062;37,01
362,323;36,98
362,583;37,01
362,843;36,99
363,103;36,99
363,363;37,01
363,623;36,98
363,883;36,94
364,143;36,93
364,403;36,91
364,663;36,94
364,923;36,92
365,183;36,91
365,443;36,93
365,703;37,01
365,963;37,03
366,223;37,03
366,483;37,05
366,743;37,07
367,002;37,02
367,262;37,04
367,522;37
367,782;36,97
368,042;36,96
368,301;36,93
368,561;36,87
368,821;36,84
369,081;36,85
369,34;36,86
369,6;36,85
369,86;36,85
370,119;36,82
370,379;36,78
370,638;36,79
370,898;36,77
371,158;36,75
371,417;36,72
371,677;36,68
371,936;36,76
372,196;36,72
372,455;36,73
372,715;36,73
372,974;36,74
373,234;36,76
373,493;36,79
373,753;36,83
374,012;36,88
374,271;36,9
374,531;36,99
374,79;37,04
375,049;37,1
375,309;37,14
375,568;37,19
375,827;37,27
376,086;37,22
376,346;37,27
376,605;37,32
376,864;37,37
377,123;37,41
377,383;37,37
377,642;37,41
377,901;37,43
378,16;37,5
378,419;37,54
378,678;37,51
378,937;37,51
379,196;37,55
379,455;37,58
379,714;37,6
379,973;37,59
380,232;37,6
380,491;37,64
380,75;37,65
381,009;37,61
381,268;37,64
381,527;37,7
381,786;37,68
382,045;37,69
382,304;37,67
382,563;37,74
382,821;37,82
383,08;37,85
383,339;37,93
383,598;37,96
383,857;37,97
384,115;38,01
384,374;38,07
384,633;38,1
384,891;38,14
385,15;38,15
385,409;38,19
385,667;38,2
385,926;38,18
386,185;38,21
386,443;38,28
386,702;38,28
386,96;38,35
387,219;38,36
387,477;38,36
387,736;38,39
387,994;38,36
388,253;38,36
388,511;38,34
388,77;38,34
389,028;38,35
389,287;38,34
389,545;38,46
389,803;38,42
390,062;38,41
390,32;38,45
390,578;38,48
390,837;38,49
391,095;38,49
391,353;38,5
391,612;38,51
391,87;38,49
392,128;38,49
392,386;38,43
392,644;38,46
392,903;38,48
393,161;38,48
393,419;38,47
393,677;38,48
393,935;38,52
394,193;38,53
394,451;38,47
394,709;38,47
394,967;38,42
395,225;38,47
395,483;38,53
395,741;38,52
395,999;38,55
396,257;38,59
396,515;38,61
396,773;38,63
397,031;38,65
397,289;38,73
397,547;38,72
397,805;38,78
398,062;38,84
398,32;38,81
398,578;38,85
398,836;38,82
399,094;38,78
399,351;38,73
399,609;38,77
399,867;38,83
400,124;38,84
400,382;38,88
400,64;38,9
400,897;38,88
401,155;38,87
401,413;38,88
401,67;38,88
401,928;38,91
402,185;38,88
402,443;38,84
402,701;38,79
402,958;38,87
403,216;38,86
403,473;38,86
403,73;38,9
403,988;38,9
404,245;39,01
404,503;39,05
404,76;39,13
405,018;39,12
405,275;39,17
405,532;39,21
405,79;39,17
406,047;39,19
406,304;39,24
406,561;39,28
406,819;39,31
407,076;39,27
407,333;39,33
407,59;39,42
407,848;39,46
408,105;39,49
408,362;39,53
408,619;39,58
408,876;39,59
409,133;39,59
409,39;39,66
409,647;39,65
409,904;39,65
410,161;39,71
410,418;39,74
410,675;39,76
410,932;39,7
