Data from cinnabarWhite_Reflection__1__16.txt Node;
"Date: Wed Sep 10 11:48:22 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
412,217;3,84
412,474;3,84
412,731;3,81
412,988;3,79
413,245;3,83
413,501;3,84
413,758;3,8
414,015;3,74
414,272;3,71
414,529;3,77
414,785;3,77
415,042;3,78
415,299;3,81
415,555;3,77
415,812;3,76
416,069;3,72
416,325;3,69
416,582;3,7
416,838;3,77
417,095;3,81
417,352;3,79
417,608;3,81
417,865;3,8
418,121;3,8
418,378;3,83
418,634;3,8
418,891;3,87
419,147;3,91
419,403;3,92
419,66;3,92
419,916;3,88
420,173;3,9
420,429;3,85
420,685;3,84
420,942;3,84
421,198;3,83
421,454;3,88
421,711;3,91
421,967;3,92
422,223;3,9
422,479;3,92
422,735;3,96
422,992;3,94
423,248;3,96
423,504;4
423,76;3,99
424,016;3,96
424,272;3,88
424,528;3,85
424,784;3,82
425,041;3,86
425,297;3,85
425,553;3,88
425,809;3,9
426,065;3,88
426,32;3,89
426,576;3,91
426,832;3,88
427,088;3,86
427,344;3,82
427,6;3,84
427,856;3,83
428,112;3,78
428,368;3,74
428,623;3,74
428,879;3,72
429,135;3,69
429,391;3,72
429,646;3,79
429,902;3,82
430,158;3,87
430,414;3,81
430,669;3,85
430,925;3,85
431,181;3,82
431,436;3,87
431,692;3,84
431,947;3,86
432,203;3,86
432,458;3,88
432,714;3,92
432,97;3,89
433,225;3,9
433,481;3,92
433,736;3,95
433,991;3,97
434,247;3,95
434,502;4,01
434,758;3,99
435,013;3,94
435,268;3,9
435,524;3,87
435,779;3,89
436,034;3,89
436,29;3,87
436,545;3,89
436,8;3,87
437,056;3,87
437,311;3,85
437,566;3,89
437,821;3,9
438,076;3,9
438,331;3,91
438,587;3,94
438,842;3,99
439,097;4,03
439,352;4,02
439,607;4
439,862;3,94
440,117;3,94
440,372;3,94
440,627;3,96
440,882;3,93
441,137;3,95
441,392;3,93
441,647;3,93
441,902;3,95
442,157;3,96
442,412;3,97
442,667;3,97
442,921;3,97
443,176;3,98
443,431;3,95
443,686;3,94
443,941;3,9
444,195;3,83
444,45;3,78
444,705;3,83
444,96;3,88
445,214;3,87
445,469;3,86
445,724;3,87
445,978;3,9
446,233;3,96
446,487;3,98
446,742;3,97
446,997;3,95
447,251;3,94
447,506;3,92
447,76;3,92
448,015;3,9
448,269;3,91
448,524;3,92
448,778;3,93
449,033;3,92
449,287;3,93
449,541;3,94
449,796;4
450,05;3,97
450,305;3,98
450,559;4
450,813;4,02
451,067;3,99
451,322;3,91
451,576;3,9
451,83;3,89
452,084;3,93
452,339;3,97
452,593;4,01
452,847;4,03
453,101;4,07
453,355;4,1
453,609;4,12
453,864;4,07
454,118;4,06
454,372;4,06
454,626;4,09
454,88;4,12
455,134;4,07
455,388;4,08
455,642;4,04
455,896;4,08
456,15;4,02
456,404;4,06
456,658;4,09
456,912;4,06
457,165;4,03
457,419;3,99
457,673;3,99
457,927;3,91
458,181;3,9
458,435;3,86
458,688;3,83
458,942;3,83
459,196;3,81
459,45;3,79
459,703;3,78
459,957;3,76
460,211;3,74
460,464;3,74
460,718;3,72
460,972;3,72
461,225;3,69
461,479;3,73
461,732;3,72
461,986;3,74
462,239;3,74
462,493;3,76
462,746;3,82
463;3,78
463,253;3,8
463,507;3,79
463,76;3,78
464,014;3,81
464,267;3,77
464,52;3,84
464,774;3,86
465,027;3,89
465,28;3,92
465,534;3,89
465,787;3,89
466,04;3,89
466,294;3,88
466,547;3,86
466,8;3,89
467,053;3,89
467,306;3,89
467,56;3,92
467,813;3,92
468,066;3,88
468,319;3,87
468,572;3,86
468,825;3,91
469,078;3,96
469,331;3,92
469,584;3,91
469,837;3,91
470,09;3,92
470,343;3,89
470,596;3,9
470,849;3,88
471,102;3,86
471,355;3,89
471,608;3,94
471,861;4
472,114;3,97
472,367;3,98
472,619;4
472,872;3,97
473,125;3,99
473,378;3,98
473,631;4,02
473,883;4
474,136;3,98
474,389;4
474,641;4,03
474,894;4,04
475,147;4,02
475,399;4,01
475,652;4
475,905;3,99
476,157;4,04
476,41;4,06
476,662;4,03
476,915;4,01
477,167;3,98
477,42;3,99
477,672;3,99
477,925;3,97
478,177;3,99
478,43;3,98
478,682;3,99
478,934;3,94
479,187;4
479,439;3,97
479,691;3,95
479,944;3,97
480,196;4
480,448;4,02
480,701;4,01
480,953;4,03
481,205;4,02
481,457;4,02
481,709;4,03
481,962;4,05
482,214;4,06
482,466;4,07
482,718;4,1
482,97;4,13
483,222;4,15
483,474;4,16
483,726;4,19
483,978;4,2
484,23;4,24
484,482;4,23
484,734;4,24
484,986;4,24
485,238;4,24
485,49;4,23
485,742;4,22
485,994;4,24
486,246;4,24
486,498;4,25
486,75;4,24
487,001;4,24
487,253;4,25
487,505;4,25
487,757;4,26
488,009;4,26
488,26;4,25
488,512;4,28
488,764;4,28
489,015;4,26
489,267;4,27
489,519;4,27
489,77;4,28
490,022;4,31
490,274;4,32
490,525;4,32
490,777;4,32
491,028;4,34
491,28;4,34
491,531;4,37
491,783;4,37
492,034;4,39
492,286;4,41
492,537;4,42
492,789;4,45
493,04;4,44
493,291;4,43
493,543;4,47
493,794;4,45
494,045;4,49
494,297;4,51
494,548;4,53
494,799;4,53
495,051;4,54
495,302;4,56
495,553;4,57
495,804;4,59
496,056;4,63
496,307;4,64
496,558;4,68
496,809;4,69
497,06;4,71
497,311;4,74
497,562;4,75
497,813;4,76
498,064;4,77
498,316;4,8
498,567;4,84
498,818;4,82
499,069;4,85
499,319;4,85
499,57;4,88
499,821;4,89
500,072;4,93
500,323;4,96
500,574;4,98
500,825;5,02
501,076;5,05
501,327;5,08
501,577;5,12
501,828;5,13
502,079;5,17
502,33;5,2
502,58;5,23
502,831;5,26
503,082;5,3
503,333;5,36
503,583;5,42
503,834;5,48
504,084;5,52
504,335;5,55
504,586;5,62
504,836;5,67
505,087;5,72
505,337;5,78
505,588;5,83
505,838;5,89
506,089;5,94
506,339;5,99
506,59;6,05
506,84;6,1
507,091;6,18
507,341;6,26
507,591;6,34
507,842;6,4
508,092;6,48
508,343;6,55
508,593;6,6
508,843;6,64
509,093;6,67
509,344;6,75
509,594;6,83
509,844;6,88
510,094;6,94
510,345;7,03
510,595;7,1
510,845;7,15
511,095;7,19
511,345;7,23
511,595;7,29
511,845;7,34
512,095;7,4
512,345;7,43
512,595;7,49
512,845;7,52
513,095;7,57
513,345;7,62
513,595;7,66
513,845;7,68
514,095;7,73
514,345;7,78
514,595;7,82
514,845;7,85
515,095;7,9
515,345;7,95
515,594;7,97
515,844;7,97
516,094;8,03
516,344;8,08
516,593;8,11
516,843;8,15
517,093;8,19
517,343;8,21
517,592;8,26
517,842;8,26
518,092;8,31
518,341;8,33
518,591;8,38
518,84;8,4
519,09;8,44
519,34;8,48
519,589;8,5
519,839;8,53
520,088;8,54
520,338;8,55
520,587;8,56
520,836;8,56
521,086;8,6
521,335;8,59
521,585;8,6
521,834;8,61
522,083;8,6
522,333;8,63
522,582;8,64
522,831;8,64
523,081;8,65
523,33;8,65
523,579;8,67
523,828;8,66
524,078;8,67
524,327;8,69
524,576;8,67
524,825;8,67
525,074;8,68
525,323;8,71
525,573;8,71
525,822;8,73
526,071;8,76
526,32;8,76
526,569;8,76
526,818;8,77
527,067;8,79
527,316;8,82
527,565;8,82
527,814;8,84
528,063;8,85
528,312;8,85
528,56;8,85
528,809;8,85
529,058;8,88
529,307;8,9
529,556;8,91
529,805;8,95
530,053;8,98
530,302;8,99
530,551;9,02
530,8;9
531,048;9,01
531,297;9,02
531,546;9,03
531,794;9,06
532,043;9,06
532,292;9,1
532,54;9,09
532,789;9,1
533,037;9,11
533,286;9,13
533,535;9,14
533,783;9,14
534,032;9,16
534,28;9,14
534,528;9,15
534,777;9,15
535,025;9,16
535,274;9,16
535,522;9,16
535,771;9,15
536,019;9,19
536,267;9,17
536,516;9,17
536,764;9,2
537,012;9,19
537,26;9,2
537,509;9,2
537,757;9,23
538,005;9,25
538,253;9,25
538,501;9,26
538,75;9,27
538,998;9,31
539,246;9,32
539,494;9,35
539,742;9,34
539,99;9,36
540,238;9,37
540,486;9,37
540,734;9,36
540,982;9,39
541,23;9,4
541,478;9,43
541,726;9,45
541,974;9,45
542,222;9,51
542,47;9,53
542,718;9,52
542,966;9,52
543,213;9,53
543,461;9,55
543,709;9,57
543,957;9,59
544,205;9,6
544,452;9,61
544,7;9,61
544,948;9,64
545,196;9,63
545,443;9,65
545,691;9,67
545,939;9,7
546,186;9,71
546,434;9,74
546,681;9,73
546,929;9,76
547,176;9,75
547,424;9,75
547,671;9,76
547,919;9,78
548,166;9,8
548,414;9,84
548,661;9,86
548,909;9,87
549,156;9,88
549,404;9,9
549,651;9,91
549,898;9,95
550,146;9,96
550,393;10
550,64;10,03
550,888;10,05
551,135;10,06
551,382;10,06
551,629;10,06
551,876;10,09
552,124;10,15
552,371;10,18
552,618;10,18
552,865;10,19
553,112;10,2
553,359;10,23
553,606;10,22
553,854;10,25
554,101;10,27
554,348;10,3
554,595;10,32
554,842;10,34
555,089;10,36
555,336;10,39
555,582;10,42
555,829;10,42
556,076;10,44
556,323;10,48
556,57;10,51
556,817;10,55
557,064;10,58
557,311;10,59
557,557;10,59
557,804;10,64
558,051;10,65
558,298;10,7
558,544;10,73
558,791;10,77
559,038;10,77
559,284;10,8
559,531;10,83
559,778;10,85
560,024;10,87
560,271;10,9
560,517;10,93
560,764;10,94
561,011;10,98
561,257;11,03
561,504;11,06
561,75;11,11
561,997;11,15
562,243;11,18
562,489;11,2
562,736;11,26
562,982;11,3
563,229;11,39
563,475;11,42
563,721;11,47
563,968;11,51
564,214;11,57
564,46;11,62
564,707;11,69
564,953;11,74
565,199;11,81
565,445;11,89
565,691;11,95
565,938;12,04
566,184;12,11
566,43;12,18
566,676;12,26
566,922;12,32
567,168;12,39
567,414;12,48
567,66;12,56
567,906;12,67
568,152;12,75
568,398;12,83
568,644;12,91
568,89;12,97
569,136;13,08
569,382;13,16
569,628;13,26
569,874;13,32
570,12;13,42
570,366;13,5
570,612;13,59
570,857;13,68
571,103;13,76
571,349;13,86
571,595;13,96
571,84;14,05
572,086;14,16
572,332;14,26
572,578;14,35
572,823;14,46
573,069;14,52
573,315;14,62
573,56;14,72
573,806;14,81
574,051;14,94
574,297;15,02
574,542;15,13
574,788;15,23
575,034;15,35
575,279;15,45
575,524;15,55
575,77;15,66
576,015;15,77
576,261;15,88
576,506;15,99
576,752;16,08
576,997;16,19
577,242;16,28
577,488;16,39
577,733;16,5
577,978;16,62
578,223;16,75
578,469;16,88
578,714;17,01
578,959;17,16
579,204;17,28
579,45;17,42
579,695;17,56
579,94;17,69
580,185;17,8
580,43;17,94
580,675;18,06
580,92;18,19
581,165;18,31
581,41;18,45
581,655;18,58
581,9;18,73
582,145;18,87
582,39;19,03
582,635;19,17
582,88;19,32
583,125;19,46
583,37;19,62
583,615;19,76
583,86;19,93
584,105;20,08
584,349;20,25
584,594;20,41
584,839;20,57
585,084;20,74
585,328;20,94
585,573;21,11
585,818;21,3
586,063;21,46
586,307;21,64
586,552;21,79
586,797;21,96
587,041;22,13
587,286;22,3
587,53;22,46
587,775;22,65
588,019;22,82
588,264;23
588,508;23,17
588,753;23,39
588,997;23,57
589,242;23,78
589,486;23,99
589,731;24,22
589,975;24,45
590,22;24,69
590,464;24,93
590,708;25,17
590,953;25,38
591,197;25,61
591,441;25,84
591,685;26,09
591,93;26,32
592,174;26,58
592,418;26,82
592,662;27,07
592,907;27,29
593,151;27,54
593,395;27,77
593,639;28
593,883;28,25
594,127;28,48
594,371;28,71
594,615;28,94
594,859;29,19
595,103;29,44
595,347;29,68
595,591;29,92
595,835;30,18
596,079;30,47
596,323;30,74
596,567;31,02
596,811;31,28
597,055;31,55
597,299;31,83
597,542;32,1
597,786;32,37
598,03;32,66
598,274;32,9
598,518;33,17
598,761;33,44
599,005;33,68
599,249;33,94
599,492;34,21
599,736;34,48
599,98;34,73
600,223;34,98
600,467;35,25
600,711;35,51
600,954;35,8
601,198;36,05
601,441;36,31
601,685;36,56
601,928;36,84
602,172;37,12
602,415;37,37
602,659;37,65
602,902;37,91
603,145;38,17
603,389;38,45
603,632;38,74
603,876;38,99
604,119;39,26
604,362;39,54
604,606;39,8
604,849;40,06
605,092;40,32
605,335;40,62
605,579;40,87
605,822;41,12
606,065;41,33
606,308;41,59
606,551;41,84
606,794;42,11
607,037;42,34
607,281;42,58
607,524;42,83
607,767;43,08
608,01;43,3
608,253;43,52
608,496;43,76
608,739;43,99
608,982;44,23
609,225;44,45
609,468;44,64
609,711;44,87
609,953;45,09
610,196;45,33
610,439;45,52
610,682;45,75
610,925;45,96
611,168;46,18
611,41;46,38
611,653;46,56
611,896;46,75
612,139;46,93
612,381;47,12
612,624;47,31
612,867;47,46
613,109;47,66
613,352;47,86
613,595;48,05
613,837;48,21
614,08;48,38
614,322;48,57
614,565;48,75
614,807;48,9
615,05;49,04
615,292;49,19
615,535;49,36
615,777;49,52
616,02;49,66
616,262;49,81
616,505;49,96
616,747;50,11
616,989;50,3
617,232;50,47
617,474;50,62
617,716;50,75
