Data from cinnabarWhite_Reflection__2__17.txt Node;
"Date: Wed Sep 10 11:49:56 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
390,578;6,24
390,837;6,25
391,095;6,25
391,353;6,28
391,612;6,27
391,87;6,24
392,128;6,26
392,386;6,23
392,644;6,17
392,903;6,14
393,161;6,13
393,419;6,1
393,677;6,05
393,935;6,04
394,193;6
394,451;6
394,709;5,99
394,967;6,01
395,225;6,02
395,483;6,07
395,741;6,11
395,999;6,11
396,257;6,08
396,515;6,06
396,773;6,04
397,031;6,06
397,289;6,06
397,547;6,02
397,805;6,02
398,062;6,08
398,32;6,05
398,578;6,06
398,836;6,02
399,094;6,05
399,351;6
399,609;6,04
399,867;6,01
400,124;6,04
400,382;6,04
400,64;6,07
400,897;6
401,155;5,94
401,413;5,89
401,67;5,87
401,928;5,87
402,185;5,86
402,443;5,82
402,701;5,82
402,958;5,83
403,216;5,84
403,473;5,84
403,73;5,87
403,988;5,9
404,245;5,9
404,503;5,86
404,76;5,9
405,018;5,87
405,275;5,89
405,532;5,88
405,79;5,84
406,047;5,8
406,304;5,83
406,561;5,85
406,819;5,92
407,076;5,92
407,333;5,93
407,59;5,98
407,848;5,98
408,105;5,98
408,362;5,99
408,619;6,03
408,876;6,02
409,133;6,02
409,39;5,99
409,647;6,05
409,904;6,02
410,161;6,05
410,418;6,02
410,675;6
410,932;5,94
411,189;5,95
411,446;5,97
411,703;5,92
411,96;5,95
412,217;5,94
412,474;5,89
412,731;5,84
412,988;5,75
413,245;5,82
413,501;5,78
413,758;5,74
414,015;5,68
414,272;5,62
414,529;5,65
414,785;5,69
415,042;5,7
415,299;5,77
415,555;5,74
415,812;5,73
416,069;5,75
416,325;5,75
416,582;5,79
416,838;5,8
417,095;5,78
417,352;5,73
417,608;5,71
417,865;5,77
418,121;5,8
418,378;5,82
418,634;5,79
418,891;5,85
419,147;5,89
419,403;5,9
419,66;5,9
419,916;5,87
420,173;5,83
