Data from cinnabarWhite_Reflection__3__18.txt Node;
"Date: Wed Sep 10 11:51:16 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
399,867;4,84
400,124;4,88
400,382;4,91
400,64;4,95
400,897;4,9
401,155;4,86
401,413;4,85
401,67;4,81
401,928;4,78
402,185;4,74
402,443;4,7
402,701;4,68
402,958;4,72
403,216;4,72
403,473;4,7
403,73;4,71
403,988;4,71
404,245;4,75
404,503;4,76
404,76;4,76
405,018;4,72
405,275;4,77
405,532;4,81
405,79;4,76
406,047;4,68
406,304;4,71
406,561;4,7
406,819;4,76
407,076;4,74
407,333;4,76
407,59;4,78
407,848;4,76
408,105;4,73
408,362;4,72
408,619;4,8
408,876;4,83
409,133;4,82
409,39;4,83
409,647;4,83
409,904;4,82
410,161;4,84
410,418;4,83
410,675;4,77
410,932;4,72
411,189;4,77
411,446;4,78
411,703;4,79
411,96;4,79
412,217;4,75
412,474;4,74
412,731;4,74
412,988;4,74
413,245;4,84
413,501;4,85
413,758;4,82
414,015;4,75
414,272;4,71
414,529;4,78
414,785;4,8
415,042;4,84
415,299;4,9
415,555;4,9
415,812;4,9
416,069;4,93
416,325;4,96
416,582;4,95
416,838;5
417,095;4,96
417,352;4,94
417,608;4,95
417,865;4,97
418,121;4,96
418,378;4,95
418,634;4,88
418,891;4,93
419,147;4,97
419,403;4,97
419,66;4,94
419,916;4,89
420,173;4,89
420,429;4,84
420,685;4,83
420,942;4,85
421,198;4,87
421,454;4,89
421,711;4,85
421,967;4,86
422,223;4,82
422,479;4,87
422,735;4,9
422,992;4,88
423,248;4,83
423,504;4,86
423,76;4,87
424,016;4,85
424,272;4,83
424,528;4,8
424,784;4,81
425,041;4,84
425,297;4,82
425,553;4,81
425,809;4,82
426,065;4,73
426,32;4,75
426,576;4,79
426,832;4,74
427,088;4,77
427,344;4,78
427,6;4,83
427,856;4,77
428,112;4,72
428,368;4,73
428,623;4,78
428,879;4,79
429,135;4,78
429,391;4,8
429,646;4,77
429,902;4,79
430,158;4,81
430,414;4,81
430,669;4,88
430,925;4,87
431,181;4,86
431,436;4,97
431,692;4,96
431,947;4,95
432,203;4,94
432,458;4,92
432,714;4,93
432,97;4,94
433,225;5,01
433,481;5,07
433,736;5,08
433,991;5,06
434,247;5,02
434,502;5,04
434,758;5,09
435,013;5,09
435,268;5,08
435,524;5,08
435,779;5,02
436,034;4,98
436,29;5,02
436,545;4,97
436,8;4,93
437,056;4,9
437,311;4,87
437,566;4,89
437,821;4,88
438,076;4,84
438,331;4,83
438,587;4,81
438,842;4,79
439,097;4,84
439,352;4,87
439,607;4,87
439,862;4,85
440,117;4,82
440,372;4,84
440,627;4,86
440,882;4,85
441,137;4,93
441,392;4,95
441,647;4,92
441,902;4,99
442,157;4,97
442,412;4,98
442,667;5
442,921;5
443,176;5,03
443,431;5,03
443,686;5,03
443,941;5,01
444,195;5
444,45;4,92
444,705;4,92
444,96;4,97
445,214;4,96
445,469;4,93
445,724;4,94
445,978;4,98
446,233;5
446,487;5,01
446,742;5
446,997;5
447,251;5
447,506;5,01
447,76;5,01
448,015;5
448,269;5,06
448,524;5,06
448,778;5,08
449,033;5,07
449,287;5,08
449,541;5,08
449,796;5,14
450,05;5,19
450,305;5,15
450,559;5,12
450,813;5,15
451,067;5,16
451,322;5,13
451,576;5,11
451,83;5,14
452,084;5,13
452,339;5,15
452,593;5,15
452,847;5,18
453,101;5,2
453,355;5,24
453,609;5,23
453,864;5,22
454,118;5,17
454,372;5,17
454,626;5,2
454,88;5,26
455,134;5,24
455,388;5,22
455,642;5,24
455,896;5,31
456,15;5,29
456,404;5,27
456,658;5,22
456,912;5,21
457,165;5,13
457,419;5,15
457,673;5,1
457,927;5,03
458,181;5
458,435;4,98
458,688;4,95
458,942;4,93
459,196;4,93
459,45;4,94
459,703;4,93
459,957;4,9
460,211;4,88
460,464;4,89
460,718;4,88
460,972;4,87
461,225;4,81
461,479;4,83
461,732;4,83
461,986;4,83
462,239;4,82
462,493;4,85
462,746;4,89
463;4,89
463,253;4,95
463,507;4,91
463,76;4,91
464,014;4,91
464,267;4,94
464,52;4,93
464,774;4,93
465,027;4,95
465,28;4,97
465,534;4,91
465,787;4,91
466,04;4,89
466,294;4,88
466,547;4,91
466,8;4,92
467,053;4,92
467,306;4,97
467,56;4,99
467,813;4,97
468,066;4,93
468,319;4,94
468,572;4,94
468,825;5
469,078;5,01
469,331;4,97
469,584;4,92
469,837;4,92
470,09;4,94
470,343;4,93
470,596;4,93
470,849;4,95
471,102;4,9
471,355;4,93
471,608;4,95
471,861;4,97
472,114;4,98
472,367;4,96
472,619;4,97
472,872;4,96
473,125;4,96
473,378;4,96
473,631;4,98
473,883;4,94
474,136;4,94
474,389;4,96
474,641;5
474,894;4,99
475,147;4,99
475,399;4,98
475,652;4,97
475,905;4,97
476,157;5,01
476,41;5,05
476,662;5,04
476,915;5,02
477,167;4,99
477,42;4,99
477,672;5,01
477,925;4,98
478,177;5,03
478,43;5,06
478,682;5,06
478,934;5,03
479,187;5,09
479,439;5,1
479,691;5,11
479,944;5,13
480,196;5,16
480,448;5,17
480,701;5,19
480,953;5,19
481,205;5,21
481,457;5,18
481,709;5,16
481,962;5,15
482,214;5,18
482,466;5,21
482,718;5,23
482,97;5,26
