Data from sienaBrucWhite_Reflection__3__57.txt Node;
"Date: Thu Sep 11 17:17:03 CEST 2025 User: sycur";
326,791;3,36
327,053;3,34
327,315;3,33
327,578;3,34
327,84;3,33
328,102;3,32
328,365;3,32
328,627;3,32
328,889;3,32
329,151;3,33
329,414;3,32
329,676;3,32
329,938;3,3
330,2;3,31
330,462;3,3
330,725;3,29
330,987;3,29
331,249;3,3
331,511;3,29
331,773;3,27
332,035;3,26
332,297;3,25
332,559;3,27
332,821;3,27
333,083;3,27
333,345;3,28
333,607;3,28
333,869;3,28
334,131;3,26
334,393;3,25
334,655;3,24
334,917;3,25
335,179;3,25
335,44;3,25
335,702;3,25
335,964;3,24
336,226;3,24
336,488;3,23
336,749;3,24
337,011;3,25
337,273;3,26
337,535;3,26
337,796;3,26
338,058;3,26
338,32;3,26
338,581;3,25
338,843;3,24
339,105;3,24
339,366;3,25
339,628;3,27
339,889;3,26
340,151;3,26
340,412;3,25
340,674;3,25
340,935;3,26
341,197;3,27
341,458;3,26
341,72;3,26
341,981;3,27
342,243;3,26
342,504;3,25
342,766;3,26
343,027;3,25
343,288;3,25
343,55;3,25
343,811;3,25
344,072;3,25
344,334;3,26
344,595;3,25
344,856;3,24
345,117;3,24
345,379;3,24
345,64;3,25
345,901;3,25
346,162;3,25
346,423;3,23
346,684;3,21
346,946;3,22
347,207;3,22
347,468;3,22
347,729;3,21
347,99;3,2
348,251;3,19
348,512;3,19
348,773;3,19
349,034;3,16
349,295;3,16
349,556;3,16
349,817;3,15
350,078;3,15
350,339;3,16
350,6;3,16
350,86;3,14
351,121;3,13
351,382;3,12
351,643;3,11
351,904;3,12
352,165;3,13
352,425;3,14
352,686;3,15
352,947;3,14
353,208;3,12
353,468;3,12
353,729;3,11
353,99;3,1
354,25;3,09
354,511;3,1
354,772;3,1
355,032;3,09
355,293;3,1
355,553;3,09
355,814;3,07
356,074;3,06
356,335;3,07
356,596;3,08
356,856;3,08
357,116;3,08
357,377;3,09
357,637;3,09
357,898;3,07
358,158;3,06
358,419;3,07
358,679;3,07
358,939;3,06
359,2;3,06
359,46;3,07
359,72;3,08
359,981;3,07
360,241;3,07
360,501;3,07
360,761;3,06
361,022;3,06
361,282;3,07
361,542;3,07
361,802;3,08
362,062;3,07
362,323;3,07
362,583;3,08
362,843;3,06
363,103;3,06
363,363;3,05
363,623;3,04
363,883;3,03
364,143;3,04
364,403;3,06
364,663;3,07
364,923;3,05
365,183;3,05
365,443;3,05
365,703;3,05
365,963;3,06
366,223;3,04
366,483;3,05
366,743;3,04
367,002;3,04
367,262;3,05
367,522;3,05
367,782;3,05
368,042;3,04
368,301;3,04
368,561;3,05
368,821;3,05
369,081;3,05
369,34;3,05
369,6;3,04
369,86;3,03
370,119;3,02
370,379;3,01
370,638;3,02
370,898;3,01
371,158;3,02
371,417;3,01
371,677;3,03
371,936;3,03
372,196;3,05
372,455;3,04
372,715;3,02
372,974;3,03
373,234;3,03
373,493;3,02
373,753;3,02
374,012;3,02
374,271;3,03
374,531;3,03
374,79;3,03
375,049;3,04
375,309;3,05
375,568;3,05
375,827;3,06
376,086;3,06
376,346;3,07
376,605;3,06
376,864;3,05
377,123;3,06
377,383;3,05
377,642;3,04
377,901;3,04
378,16;3,05
378,419;3,04
378,678;3,04
378,937;3,05
