Data from sienaBrucWhite_Reflection__1__55.txt Node;
"Date: Thu Sep 11 17:15:43 CEST 2025 User: sycur";
391,353;2,09
391,612;2,09
391,87;2,1
392,128;2,08
392,386;2,08
392,644;2,1
392,903;2,1
393,161;2,1
393,419;2,11
393,677;2,1
393,935;2,09
394,193;2,08
394,451;2,09
394,709;2,07
394,967;2,06
395,225;2,07
395,483;2,09
395,741;2,11
395,999;2,11
396,257;2,12
396,515;2,13
396,773;2,14
397,031;2,14
397,289;2,14
397,547;2,16
397,805;2,15
398,062;2,15
398,32;2,15
398,578;2,14
398,836;2,15
399,094;2,15
399,351;2,16
399,609;2,18
399,867;2,17
400,124;2,19
400,382;2,19
400,64;2,2
400,897;2,19
401,155;2,18
401,413;2,19
401,67;2,19
401,928;2,19
402,185;2,18
402,443;2,18
402,701;2,18
402,958;2,18
403,216;2,2
403,473;2,19
403,73;2,19
403,988;2,19
404,245;2,18
404,503;2,2
404,76;2,2
405,018;2,2
405,275;2,2
405,532;2,17
405,79;2,17
406,047;2,15
406,304;2,15
406,561;2,16
406,819;2,14
407,076;2,14
407,333;2,13
407,59;2,14
407,848;2,14
408,105;2,14
408,362;2,13
408,619;2,12
408,876;2,14
409,133;2,12
409,39;2,13
409,647;2,12
409,904;2,1
410,161;2,11
410,418;2,11
410,675;2,13
410,932;2,14
411,189;2,15
411,446;2,16
411,703;2,16
411,96;2,17
412,217;2,18
412,474;2,19
412,731;2,2
412,988;2,2
413,245;2,19
413,501;2,2
413,758;2,2
414,015;2,21
414,272;2,21
414,529;2,22
414,785;2,21
415,042;2,2
415,299;2,21
415,555;2,21
415,812;2,18
416,069;2,18
416,325;2,18
416,582;2,15
416,838;2,17
417,095;2,15
417,352;2,14
417,608;2,15
417,865;2,14
418,121;2,13
418,378;2,13
418,634;2,15
418,891;2,14
419,147;2,12
419,403;2,13
419,66;2,13
419,916;2,11
420,173;2,12
420,429;2,13
420,685;2,14
420,942;2,15
421,198;2,17
421,454;2,18
421,711;2,2
421,967;2,21
422,223;2,21
422,479;2,23
422,735;2,24
422,992;2,25
423,248;2,25
423,504;2,26
423,76;2,27
424,016;2,28
424,272;2,28
424,528;2,3
424,784;2,29
425,041;2,29
425,297;2,3
425,553;2,31
425,809;2,33
426,065;2,33
426,32;2,35
426,576;2,36
426,832;2,33
427,088;2,31
427,344;2,32
427,6;2,32
427,856;2,31
428,112;2,31
428,368;2,29
428,623;2,29
428,879;2,29
429,135;2,27
429,391;2,26
429,646;2,27
429,902;2,25
430,158;2,25
430,414;2,25
430,669;2,25
430,925;2,25
431,181;2,25
431,436;2,23
431,692;2,21
431,947;2,21
432,203;2,22
432,458;2,23
432,714;2,23
432,97;2,22
433,225;2,21
433,481;2,19
433,736;2,21
433,991;2,22
434,247;2,21
434,502;2,23
434,758;2,23
435,013;2,23
435,268;2,26
435,524;2,26
435,779;2,27
436,034;2,28
436,29;2,28
436,545;2,27
436,8;2,28
437,056;2,28
437,311;2,28
437,566;2,3
437,821;2,3
438,076;2,3
438,331;2,31
438,587;2,32
438,842;2,31
439,097;2,32
439,352;2,33
439,607;2,34
439,862;2,34
440,117;2,33
440,372;2,34
440,627;2,31
440,882;2,31
441,137;2,32
441,392;2,33
441,647;2,34
441,902;2,35
442,157;2,34
442,412;2,36
442,667;2,35
442,921;2,35
443,176;2,35
443,431;2,36
443,686;2,36
443,941;2,36
444,195;2,38
444,45;2,38
444,705;2,38
444,96;2,38
445,214;2,38
445,469;2,39
445,724;2,38
445,978;2,39
446,233;2,4
446,487;2,39
446,742;2,38
446,997;2,39
447,251;2,37
447,506;2,38
447,76;2,35
448,015;2,37
448,269;2,36
448,524;2,35
448,778;2,35
449,033;2,34
449,287;2,35
449,541;2,34
449,796;2,33
450,05;2,32
450,305;2,32
450,559;2,32
450,813;2,33
451,067;2,33
451,322;2,35
451,576;2,36
451,83;2,36
452,084;2,36
452,339;2,36
452,593;2,37
452,847;2,36
453,101;2,38
453,355;2,37
453,609;2,38
453,864;2,38
454,118;2,39
454,372;2,41
454,626;2,4
454,88;2,39
455,134;2,4
455,388;2,39
455,642;2,39
455,896;2,39
456,15;2,38
456,404;2,39
456,658;2,38
456,912;2,37
457,165;2,39
457,419;2,38
457,673;2,37
457,927;2,36
458,181;2,38
458,435;2,39
458,688;2,39
458,942;2,4
459,196;2,39
459,45;2,4
459,703;2,41
459,957;2,42
460,211;2,4
460,464;2,41
460,718;2,42
460,972;2,43
461,225;2,42
461,479;2,42
461,732;2,41
461,986;2,4
462,239;2,39
462,493;2,37
462,746;2,37
463;2,39
463,253;2,41
463,507;2,39
463,76;2,38
464,014;2,39
464,267;2,38
464,52;2,39
464,774;2,39
465,027;2,38
465,28;2,37
465,534;2,39
465,787;2,38
466,04;2,38
466,294;2,38
466,547;2,38
466,8;2,4
467,053;2,4
467,306;2,4
467,56;2,41
467,813;2,43
468,066;2,44
468,319;2,43
468,572;2,42
468,825;2,43
469,078;2,43
469,331;2,43
469,584;2,44
469,837;2,45
470,09;2,44
470,343;2,44
470,596;2,45
470,849;2,44
471,102;2,45
471,355;2,45
471,608;2,44
471,861;2,45
472,114;2,46
472,367;2,45
472,619;2,45
472,872;2,47
473,125;2,45
