Data from sienaBrucWhite_Reflection__2__56.txt Node;
"Date: Thu Sep 11 17:16:20 CEST 2025 User: sycur";
324,166;2,7
324,428;2,7
324,691;2,7
324,953;2,7
325,216;2,69
325,478;2,68
325,741;2,69
326,003;2,69
326,266;2,68
326,528;2,68
326,791;2,68
327,053;2,66
327,315;2,66
327,578;2,66
327,84;2,64
328,102;2,63
328,365;2,64
328,627;2,64
328,889;2,63
329,151;2,64
329,414;2,63
329,676;2,63
329,938;2,62
330,2;2,61
330,462;2,62
330,725;2,61
330,987;2,62
331,249;2,62
331,511;2,62
331,773;2,62
332,035;2,61
332,297;2,61
332,559;2,64
332,821;2,63
333,083;2,63
333,345;2,65
333,607;2,64
333,869;2,64
334,131;2,64
334,393;2,63
334,655;2,62
334,917;2,62
335,179;2,61
335,44;2,61
335,702;2,62
335,964;2,62
336,226;2,61
336,488;2,6
336,749;2,61
337,011;2,61
337,273;2,61
337,535;2,61
337,796;2,6
338,058;2,6
338,32;2,59
338,581;2,59
338,843;2,57
339,105;2,58
339,366;2,58
339,628;2,58
339,889;2,58
340,151;2,57
340,412;2,57
340,674;2,58
340,935;2,58
341,197;2,59
341,458;2,58
341,72;2,59
341,981;2,59
342,243;2,6
342,504;2,59
342,766;2,59
343,027;2,59
343,288;2,6
343,55;2,58
343,811;2,58
344,072;2,58
344,334;2,59
344,595;2,58
344,856;2,58
345,117;2,57
345,379;2,59
345,64;2,6
345,901;2,6
346,162;2,61
346,423;2,6
346,684;2,58
346,946;2,59
347,207;2,58
347,468;2,58
347,729;2,57
347,99;2,56
348,251;2,56
348,512;2,56
348,773;2,56
349,034;2,56
349,295;2,57
349,556;2,56
349,817;2,55
350,078;2,55
350,339;2,56
350,6;2,57
350,86;2,54
351,121;2,54
351,382;2,54
351,643;2,53
351,904;2,52
352,165;2,53
352,425;2,52
352,686;2,53
352,947;2,52
353,208;2,51
353,468;2,52
353,729;2,52
353,99;2,51
354,25;2,5
354,511;2,5
354,772;2,49
355,032;2,49
355,293;2,5
355,553;2,49
355,814;2,47
356,074;2,46
356,335;2,48
356,596;2,48
356,856;2,48
357,116;2,49
357,377;2,5
357,637;2,51
357,898;2,51
358,158;2,49
358,419;2,5
358,679;2,51
358,939;2,49
359,2;2,48
359,46;2,5
359,72;2,49
359,981;2,48
360,241;2,48
360,501;2,48
360,761;2,47
361,022;2,47
361,282;2,47
361,542;2,48
361,802;2,49
362,062;2,48
362,323;2,48
362,583;2,48
362,843;2,47
363,103;2,46
363,363;2,45
363,623;2,46
363,883;2,45
364,143;2,46
364,403;2,46
364,663;2,47
364,923;2,46
365,183;2,46
365,443;2,47
365,703;2,47
365,963;2,47
366,223;2,48
366,483;2,49
366,743;2,49
367,002;2,49
367,262;2,49
367,522;2,49
367,782;2,49
368,042;2,49
368,301;2,48
368,561;2,48
368,821;2,5
369,081;2,48
369,34;2,48
369,6;2,47
369,86;2,47
370,119;2,45
370,379;2,44
370,638;2,44
370,898;2,42
371,158;2,41
371,417;2,41
371,677;2,4
371,936;2,4
372,196;2,39
372,455;2,37
372,715;2,36
372,974;2,37
373,234;2,36
373,493;2,36
373,753;2,38
374,012;2,36
374,271;2,37
374,531;2,38
374,79;2,38
375,049;2,4
375,309;2,41
375,568;2,42
375,827;2,45
376,086;2,44
376,346;2,47
376,605;2,47
376,864;2,48
377,123;2,5
377,383;2,5
377,642;2,49
377,901;2,49
378,16;2,49
378,419;2,48
378,678;2,47
378,937;2,48
379,196;2,47
379,455;2,47
379,714;2,46
379,973;2,45
380,232;2,47
380,491;2,45
380,75;2,45
381,009;2,45
381,268;2,44
381,527;2,45
381,786;2,45
382,045;2,45
382,304;2,45
382,563;2,43
382,821;2,44
383,08;2,44
383,339;2,45
383,598;2,45
383,857;2,46
384,115;2,47
384,374;2,47
384,633;2,46
384,891;2,46
385,15;2,46
385,409;2,47
385,667;2,47
385,926;2,48
386,185;2,47
386,443;2,47
386,702;2,46
386,96;2,44
387,219;2,43
387,477;2,43
387,736;2,41
387,994;2,4
388,253;2,41
388,511;2,43
388,77;2,43
389,028;2,43
389,287;2,44
389,545;2,44
389,803;2,43
390,062;2,44
390,32;2,45
390,578;2,45
390,837;2,46
391,095;2,45
391,353;2,46
391,612;2,46
391,87;2,47
392,128;2,49
392,386;2,49
392,644;2,5
392,903;2,49
393,161;2,51
393,419;2,53
393,677;2,53
393,935;2,52
394,193;2,51
394,451;2,53
394,709;2,51
394,967;2,51
395,225;2,53
395,483;2,54
395,741;2,54
395,999;2,54
396,257;2,54
396,515;2,54
396,773;2,52
397,031;2,52
397,289;2,52
397,547;2,52
397,805;2,54
398,062;2,55
398,32;2,56
398,578;2,56
398,836;2,55
399,094;2,55
399,351;2,54
399,609;2,57
399,867;2,54
400,124;2,55
400,382;2,55
400,64;2,56
400,897;2,56
401,155;2,57
401,413;2,57
401,67;2,57
401,928;2,58
402,185;2,59
402,443;2,6
402,701;2,6
402,958;2,6
403,216;2,61
403,473;2,6
403,73;2,6
403,988;2,6
404,245;2,6
404,503;2,61
404,76;2,62
405,018;2,6
405,275;2,62
405,532;2,61
405,79;2,61
406,047;2,58
406,304;2,58
406,561;2,57
406,819;2,55
407,076;2,56
407,333;2,55
407,59;2,55
407,848;2,55
408,105;2,54
408,362;2,55
408,619;2,54
408,876;2,54
409,133;2,52
409,39;2,53
409,647;2,54
409,904;2,53
410,161;2,52
410,418;2,55
410,675;2,54
410,932;2,56
411,189;2,57
411,446;2,58
411,703;2,6
411,96;2,6
412,217;2,62
412,474;2,62
412,731;2,64
412,988;2,65
413,245;2,66
413,501;2,66
413,758;2,64
414,015;2,64
414,272;2,65
414,529;2,65
414,785;2,64
415,042;2,63
415,299;2,65
415,555;2,65
415,812;2,63
416,069;2,64
416,325;2,66
416,582;2,65
416,838;2,66
417,095;2,65
417,352;2,64
417,608;2,64
417,865;2,62
418,121;2,62
418,378;2,61
418,634;2,62
418,891;2,62
419,147;2,62
419,403;2,63
419,66;2,64
419,916;2,65
420,173;2,66
420,429;2,68
420,685;2,67
420,942;2,69
421,198;2,7
421,454;2,7
421,711;2,69
421,967;2,71
422,223;2,7
422,479;2,71
422,735;2,73
422,992;2,73
423,248;2,74
423,504;2,75
423,76;2,76
424,016;2,76
424,272;2,77
424,528;2,79
424,784;2,77
425,041;2,76
425,297;2,77
425,553;2,77
425,809;2,78
426,065;2,78
426,32;2,78
426,576;2,79
426,832;2,79
427,088;2,78
427,344;2,77
427,6;2,78
427,856;2,78
428,112;2,79
428,368;2,79
428,623;2,8
428,879;2,81
429,135;2,79
429,391;2,79
429,646;2,79
429,902;2,78
430,158;2,8
430,414;2,81
430,669;2,81
430,925;2,81
431,181;2,81
431,436;2,81
431,692;2,81
431,947;2,81
432,203;2,82
432,458;2,83
432,714;2,84
432,97;2,84
433,225;2,84
433,481;2,84
433,736;2,85
433,991;2,85
434,247;2,84
434,502;2,86
434,758;2,88
435,013;2,89
435,268;2,9
435,524;2,91
435,779;2,92
436,034;2,92
436,29;2,93
436,545;2,93
436,8;2,94
437,056;2,93
437,311;2,93
437,566;2,95
437,821;2,95
438,076;2,93
438,331;2,93
438,587;2,93
438,842;2,92
439,097;2,91
439,352;2,93
439,607;2,93
439,862;2,94
440,117;2,92
440,372;2,91
440,627;2,91
440,882;2,91
441,137;2,9
441,392;2,91
441,647;2,91
441,902;2,94
442,157;2,93
442,412;2,96
442,667;2,94
442,921;2,94
443,176;2,95
443,431;2,96
443,686;2,98
443,941;2,99
444,195;3,02
444,45;3,03
444,705;3,02
444,96;3,03
445,214;3,04
445,469;3,06
445,724;3,04
445,978;3,05
446,233;3,06
446,487;3,04
446,742;3,04
446,997;3,05
447,251;3,04
447,506;3,04
447,76;3,02
448,015;3,03
448,269;3,03
448,524;3,01
448,778;3,01
449,033;3,01
449,287;3,01
449,541;3,01
449,796;3,01
450,05;3,01
450,305;3,03
450,559;3,02
450,813;3,03
451,067;3,06
451,322;3,08
451,576;3,07
451,83;3,1
452,084;3,11
452,339;3,11
452,593;3,1
452,847;3,12
453,101;3,14
453,355;3,16
453,609;3,17
453,864;3,18
454,118;3,18
454,372;3,17
454,626;3,18
454,88;3,17
455,134;3,18
455,388;3,17
455,642;3,16
455,896;3,15
456,15;3,16
456,404;3,16
456,658;3,16
456,912;3,15
457,165;3,15
457,419;3,15
457,673;3,15
457,927;3,15
458,181;3,16
458,435;3,16
458,688;3,16
458,942;3,16
459,196;3,16
459,45;3,17
459,703;3,19
459,957;3,19
460,211;3,19
460,464;3,18
460,718;3,18
460,972;3,19
461,225;3,2
461,479;3,2
461,732;3,19
461,986;3,19
462,239;3,2
462,493;3,22
462,746;3,22
463;3,24
463,253;3,26
463,507;3,24
463,76;3,24
464,014;3,24
464,267;3,24
464,52;3,25
464,774;3,27
465,027;3,26
465,28;3,26
465,534;3,27
465,787;3,28
466,04;3,29
466,294;3,29
466,547;3,29
466,8;3,3
467,053;3,29
467,306;3,3
467,56;3,3
467,813;3,3
468,066;3,31
468,319;3,31
468,572;3,31
468,825;3,32
469,078;3,33
469,331;3,34
469,584;3,36
469,837;3,36
470,09;3,36
470,343;3,37
470,596;3,38
470,849;3,4
471,102;3,41
471,355;3,41
471,608;3,41
471,861;3,43
472,114;3,43
472,367;3,44
472,619;3,46
472,872;3,48
473,125;3,48
473,378;3,49
473,631;3,49
473,883;3,49
474,136;3,5
474,389;3,5
474,641;3,5
474,894;3,5
475,147;3,49
475,399;3,5
475,652;3,49
475,905;3,5
476,157;3,51
476,41;3,51
476,662;3,52
476,915;3,53
477,167;3,53
477,42;3,53
477,672;3,53
477,925;3,52
478,177;3,53
478,43;3,54
478,682;3,54
478,934;3,55
479,187;3,56
479,439;3,55
479,691;3,56
479,944;3,58
480,196;3,59
480,448;3,6
480,701;3,61
480,953;3,62
481,205;3,63
481,457;3,63
481,709;3,65
481,962;3,65
482,214;3,67
482,466;3,7
482,718;3,73
482,97;3,78
483,222;3,83
483,474;3,86
483,726;3,89
483,978;3,92
484,23;3,94
484,482;3,94
484,734;3,97
484,986;3,97
485,238;3,98
485,49;3,99
485,742;4
485,994;4,01
486,246;4,02
486,498;4,03
486,75;4,04
487,001;4,05
487,253;4,05
487,505;4,06
487,757;4,05
488,009;4,04
488,26;4,02
488,512;4
488,764;3,99
489,015;3,97
489,267;3,96
489,519;3,95
489,77;3,96
490,022;3,96
490,274;3,96
490,525;3,97
490,777;3,97
491,028;3,98
491,28;3,98
491,531;3,98
491,783;3,98
492,034;3,98
492,286;3,98
492,537;3,99
492,789;3,99
493,04;4
493,291;4,01
493,543;4,03
493,794;4,04
494,045;4,05
494,297;4,06
494,548;4,07
494,799;4,08
495,051;4,09
495,302;4,09
495,553;4,11
495,804;4,11
496,056;4,12
496,307;4,12
496,558;4,13
496,809;4,14
497,06;4,15
497,311;4,15
497,562;4,17
497,813;4,18
498,064;4,2
498,316;4,2
498,567;4,2
498,818;4,21
499,069;4,22
499,319;4,23
499,57;4,23
499,821;4,25
500,072;4,26
500,323;4,27
500,574;4,28
500,825;4,28
501,076;4,3
501,327;4,32
501,577;4,33
501,828;4,34
502,079;4,35
502,33;4,35
502,58;4,37
502,831;4,37
503,082;4,39
503,333;4,4
503,583;4,42
503,834;4,42
504,084;4,42
504,335;4,42
504,586;4,43
504,836;4,43
505,087;4,43
505,337;4,44
505,588;4,45
505,838;4,46
506,089;4,48
506,339;4,49
506,59;4,49
506,84;4,49
507,091;4,5
507,341;4,5
507,591;4,51
507,842;4,5
508,092;4,51
508,343;4,51
508,593;4,51
508,843;4,51
509,093;4,53
509,344;4,54
509,594;4,55
509,844;4,56
510,094;4,58
510,345;4,59
510,595;4,6
510,845;4,61
511,095;4,61
511,345;4,62
511,595;4,62
511,845;4,62
512,095;4,63
512,345;4,62
512,595;4,64
512,845;4,65
513,095;4,67
513,345;4,68
513,595;4,69
513,845;4,7
514,095;4,71
514,345;4,72
514,595;4,73
514,845;4,74
515,095;4,75
515,345;4,75
515,594;4,76
515,844;4,76
516,094;4,77
516,344;4,77
516,593;4,77
516,843;4,78
