Data from redochrewhite_Reflection__0__07.txt Node;
"Date: Wed Sep 10 11:30:53 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
387,994;24,41
388,253;24,39
388,511;24,36
388,77;24,3
389,028;24,28
389,287;24,27
389,545;24,31
389,803;24,33
390,062;24,33
390,32;24,29
390,578;24,29
390,837;24,26
391,095;24,25
391,353;24,22
391,612;24,26
391,87;24,21
392,128;24,17
392,386;24,09
392,644;24,11
392,903;24,04
393,161;24
393,419;23,99
393,677;23,99
393,935;23,99
394,193;23,94
394,451;23,94
394,709;23,92
394,967;23,91
395,225;23,91
395,483;23,93
395,741;23,97
395,999;23,96
396,257;23,96
396,515;23,93
396,773;23,98
397,031;23,92
397,289;23,97
397,547;23,96
397,805;24,02
398,062;24,01
398,32;23,96
398,578;23,96
398,836;23,99
399,094;23,97
399,351;23,95
399,609;24,01
399,867;24,05
400,124;24,02
400,382;24
400,64;24,01
400,897;24
401,155;23,97
401,413;23,94
401,67;23,87
401,928;23,86
402,185;23,83
402,443;23,85
402,701;23,86
402,958;23,87
403,216;23,87
403,473;23,88
403,73;23,92
403,988;23,96
404,245;23,94
404,503;23,92
404,76;23,92
405,018;23,89
405,275;23,87
405,532;23,89
405,79;23,88
406,047;23,87
406,304;23,9
406,561;23,89
406,819;23,96
407,076;23,95
407,333;23,97
407,59;24,02
407,848;24
408,105;23,96
408,362;24,02
408,619;24,06
408,876;23,99
409,133;23,95
409,39;23,92
409,647;23,93
409,904;23,9
410,161;23,94
410,418;23,92
410,675;23,91
410,932;23,87
411,189;23,89
411,446;23,85
411,703;23,77
411,96;23,77
412,217;23,74
412,474;23,74
412,731;23,73
412,988;23,7
413,245;23,73
413,501;23,72
413,758;23,67
414,015;23,62
414,272;23,66
414,529;23,74
414,785;23,74
415,042;23,79
415,299;23,84
415,555;23,84
415,812;23,82
416,069;23,76
416,325;23,8
416,582;23,8
416,838;23,85
417,095;23,84
417,352;23,86
417,608;23,89
417,865;23,92
418,121;23,89
418,378;23,91
418,634;23,86
418,891;23,91
419,147;23,97
419,403;24,01
419,66;24
419,916;24,01
420,173;23,94
420,429;23,86
420,685;23,94
420,942;23,93
421,198;23,95
421,454;24,03
421,711;24
421,967;24,03
422,223;24,04
422,479;24,07
422,735;24,08
422,992;24,04
423,248;24,01
423,504;24,04
423,76;24,04
424,016;24,05
424,272;24,01
424,528;23,97
424,784;23,93
425,041;23,95
425,297;23,97
425,553;24,06
425,809;24,11
426,065;24,06
426,32;24,07
426,576;24,07
426,832;24,06
427,088;24,11
427,344;24,06
427,6;24,11
427,856;24,15
428,112;24,16
428,368;24,17
428,623;24,23
428,879;24,24
429,135;24,26
429,391;24,28
429,646;24,31
429,902;24,33
430,158;24,36
430,414;24,37
430,669;24,42
430,925;24,47
431,181;24,47
431,436;24,54
431,692;24,52
431,947;24,58
432,203;24,62
432,458;24,6
432,714;24,68
432,97;24,63
433,225;24,62
433,481;24,59
433,736;24,63
433,991;24,66
434,247;24,65
434,502;24,67
434,758;24,73
435,013;24,69
435,268;24,7
435,524;24,67
435,779;24,63
436,034;24,58
436,29;24,58
436,545;24,58
436,8;24,55
437,056;24,59
437,311;24,57
437,566;24,55
437,821;24,59
438,076;24,55
438,331;24,59
438,587;24,63
438,842;24,7
439,097;24,75
439,352;24,75
439,607;24,78
439,862;24,76
440,117;24,73
440,372;24,71
440,627;24,74
440,882;24,8
441,137;24,84
441,392;24,87
441,647;24,91
441,902;25
442,157;25,03
442,412;25,08
442,667;25,12
442,921;25,14
443,176;25,14
443,431;25,19
443,686;25,25
443,941;25,24
444,195;25,26
444,45;25,2
444,705;25,24
444,96;25,29
445,214;25,32
445,469;25,35
445,724;25,36
445,978;25,41
446,233;25,45
446,487;25,47
446,742;25,47
446,997;25,47
447,251;25,41
447,506;25,41
447,76;25,39
448,015;25,43
448,269;25,49
448,524;25,53
448,778;25,55
449,033;25,53
449,287;25,57
449,541;25,58
449,796;25,65
450,05;25,63
450,305;25,63
450,559;25,68
450,813;25,71
451,067;25,75
451,322;25,73
451,576;25,75
451,83;25,76
452,084;25,81
452,339;25,85
452,593;25,9
452,847;25,93
453,101;25,9
453,355;25,95
453,609;25,94
453,864;25,95
454,118;25,93
454,372;25,91
454,626;25,94
454,88;25,99
455,134;26
455,388;26,04
455,642;26,07
455,896;26,1
456,15;26,07
456,404;26,12
456,658;26,14
456,912;26,12
457,165;26,12
457,419;26,09
457,673;26,07
457,927;26,09
458,181;26,14
458,435;26,16
458,688;26,17
458,942;26,19
459,196;26,19
459,45;26,24
459,703;26,25
459,957;26,27
460,211;26,27
460,464;26,29
460,718;26,29
460,972;26,31
461,225;26,27
461,479;26,34
461,732;26,35
461,986;26,34
462,239;26,4
462,493;26,46
462,746;26,56
463;26,57
463,253;26,59
463,507;26,57
463,76;26,63
464,014;26,62
464,267;26,64
464,52;26,7
464,774;26,7
465,027;26,8
465,28;26,86
465,534;26,89
465,787;26,91
466,04;26,92
466,294;26,91
466,547;26,95
466,8;27
467,053;27,02
467,306;27,1
467,56;27,14
467,813;27,14
468,066;27,14
468,319;27,17
468,572;27,19
468,825;27,23
469,078;27,27
469,331;27,32
469,584;27,34
469,837;27,33
470,09;27,4
470,343;27,4
470,596;27,43
470,849;27,43
471,102;27,45
471,355;27,53
471,608;27,62
471,861;27,7
472,114;27,73
472,367;27,78
472,619;27,83
472,872;27,87
473,125;27,94
473,378;28
473,631;28,09
473,883;28,14
474,136;28,17
474,389;28,23
474,641;28,25
474,894;28,34
475,147;28,41
475,399;28,43
475,652;28,53
