Data from redochrewhite_Reflection__4__11.txt Node;
"Date: Wed Sep 10 11:37:29 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
383,598;4,22
383,857;4,2
384,115;4,18
384,374;4,19
384,633;4,2
384,891;4,16
385,15;4,1
385,409;4,1
385,667;4,09
385,926;4,09
386,185;4,05
386,443;4,1
386,702;4,04
386,96;4,04
387,219;4,05
387,477;4,07
387,736;4,03
387,994;4
388,253;3,99
388,511;3,96
388,77;3,93
389,028;3,91
389,287;3,87
389,545;3,89
389,803;3,85
390,062;3,84
390,32;3,87
390,578;3,94
390,837;3,89
391,095;3,91
391,353;3,93
391,612;3,99
391,87;3,97
392,128;4,02
392,386;4,03
392,644;3,99
392,903;3,98
393,161;3,97
393,419;3,95
393,677;3,99
393,935;4,01
394,193;3,97
394,451;4
394,709;3,97
394,967;3,95
395,225;3,95
395,483;3,95
395,741;3,92
395,999;3,88
396,257;3,92
396,515;3,9
396,773;3,89
397,031;3,85
397,289;3,89
397,547;3,85
397,805;3,85
398,062;3,85
398,32;3,84
398,578;3,87
398,836;3,85
399,094;3,8
399,351;3,8
399,609;3,83
399,867;3,8
400,124;3,84
400,382;3,88
400,64;3,93
400,897;3,9
401,155;3,93
401,413;3,95
401,67;3,92
401,928;3,93
402,185;3,95
402,443;3,95
402,701;3,9
402,958;3,88
403,216;3,85
403,473;3,88
403,73;3,89
403,988;3,9
404,245;3,91
404,503;3,91
404,76;3,85
405,018;3,82
405,275;3,87
405,532;3,9
405,79;3,87
406,047;3,79
406,304;3,81
406,561;3,79
406,819;3,83
407,076;3,8
407,333;3,82
407,59;3,84
407,848;3,86
408,105;3,88
408,362;3,93
408,619;3,96
408,876;3,95
409,133;3,93
409,39;3,93
409,647;3,96
409,904;3,93
410,161;3,97
410,418;3,94
410,675;3,92
410,932;3,85
411,189;3,89
411,446;3,91
411,703;3,86
411,96;3,81
412,217;3,79
412,474;3,8
412,731;3,73
412,988;3,71
413,245;3,72
413,501;3,68
413,758;3,68
414,015;3,63
414,272;3,63
414,529;3,67
414,785;3,68
415,042;3,71
415,299;3,76
415,555;3,75
415,812;3,76
416,069;3,76
416,325;3,78
416,582;3,77
416,838;3,81
417,095;3,82
417,352;3,84
417,608;3,88
417,865;3,89
418,121;3,91
418,378;3,91
418,634;3,9
418,891;4
419,147;4,02
419,403;4,06
419,66;4,04
419,916;4,01
420,173;3,96
420,429;3,94
420,685;4
420,942;4
421,198;4,01
421,454;3,98
421,711;3,97
421,967;3,92
422,223;3,91
422,479;3,94
422,735;3,95
422,992;3,87
423,248;3,81
423,504;3,85
423,76;3,85
424,016;3,82
424,272;3,77
424,528;3,75
424,784;3,75
425,041;3,73
425,297;3,72
425,553;3,79
425,809;3,77
426,065;3,69
426,32;3,73
426,576;3,72
426,832;3,72
427,088;3,76
427,344;3,75
427,6;3,81
427,856;3,81
428,112;3,79
428,368;3,84
428,623;3,92
428,879;3,91
429,135;3,91
429,391;3,92
429,646;3,97
429,902;3,96
430,158;4,02
430,414;4,07
430,669;4,12
430,925;4,08
431,181;4,09
431,436;4,12
431,692;4,1
431,947;4,14
432,203;4,15
432,458;4,13
432,714;4,2
432,97;4,15
433,225;4,12
433,481;4,15
433,736;4,14
433,991;4,14
434,247;4,12
434,502;4,13
434,758;4,17
435,013;4,11
435,268;4,12
435,524;4,06
435,779;4,01
436,034;3,96
436,29;3,97
436,545;3,94
436,8;3,92
437,056;3,92
437,311;3,9
437,566;3,89
437,821;3,86
438,076;3,79
438,331;3,78
438,587;3,86
438,842;3,87
439,097;3,93
439,352;3,94
439,607;3,94
439,862;3,91
440,117;3,87
440,372;3,84
440,627;3,84
440,882;3,84
441,137;3,87
441,392;3,91
441,647;3,91
441,902;3,95
442,157;3,97
442,412;3,98
442,667;3,98
442,921;3,99
443,176;4,01
443,431;4,03
443,686;4,08
443,941;4,06
444,195;4,04
444,45;3,94
444,705;3,92
444,96;3,95
445,214;4
445,469;3,98
445,724;4
445,978;4,05
446,233;4,06
446,487;4,11
446,742;4,05
446,997;4,03
447,251;4
447,506;3,99
447,76;3,99
448,015;4
448,269;4,03
448,524;4,03
448,778;4,03
449,033;3,96
449,287;3,95
449,541;3,94
449,796;3,98
450,05;4,01
450,305;4,02
450,559;4
450,813;4,04
451,067;4,06
451,322;4
451,576;4
451,83;3,95
452,084;4,01
452,339;4,05
452,593;4,03
452,847;4,04
453,101;4,03
453,355;4,03
453,609;4,02
453,864;4,04
454,118;4,01
454,372;4,02
454,626;4,05
454,88;4,07
455,134;4,08
455,388;4,07
455,642;4,06
455,896;4,07
456,15;4,06
456,404;4,08
456,658;4,05
456,912;4,06
457,165;4,05
457,419;4,04
457,673;4
457,927;3,98
458,181;3,98
458,435;3,99
458,688;3,95
458,942;3,94
459,196;3,95
459,45;3,98
459,703;4,01
459,957;3,97
460,211;3,94
460,464;3,93
460,718;3,9
460,972;3,88
461,225;3,87
461,479;3,9
461,732;3,87
461,986;3,89
462,239;3,88
462,493;3,92
462,746;3,93
463;3,87
463,253;3,95
463,507;3,91
463,76;3,93
464,014;3,98
464,267;4,02
464,52;4,04
464,774;4,05
465,027;4,05
465,28;4,1
465,534;4,08
465,787;4,11
466,04;4,1
466,294;4,09
466,547;4,06
466,8;4,08
467,053;4,1
467,306;4,12
467,56;4,16
467,813;4,15
468,066;4,15
468,319;4,21
468,572;4,2
468,825;4,23
469,078;4,24
469,331;4,21
469,584;4,19
469,837;4,14
470,09;4,13
470,343;4,09
470,596;4,05
470,849;4,1
471,102;4,08
471,355;4,12
471,608;4,16
471,861;4,19
472,114;4,17
472,367;4,16
472,619;4,17
472,872;4,16
473,125;4,17
473,378;4,16
473,631;4,17
473,883;4,15
474,136;4,15
474,389;4,17
474,641;4,18
474,894;4,16
475,147;4,18
475,399;4,19
475,652;4,22
475,905;4,22
476,157;4,21
476,41;4,23
476,662;4,21
476,915;4,2
477,167;4,19
477,42;4,22
477,672;4,24
477,925;4,21
478,177;4,24
478,43;4,25
478,682;4,23
478,934;4,21
479,187;4,21
479,439;4,21
479,691;4,19
479,944;4,21
480,196;4,24
480,448;4,26
480,701;4,25
480,953;4,26
481,205;4,26
481,457;4,25
481,709;4,27
481,962;4,27
482,214;4,27
482,466;4,27
482,718;4,27
482,97;4,27
483,222;4,3
483,474;4,3
483,726;4,28
483,978;4,31
484,23;4,35
484,482;4,36
484,734;4,38
484,986;4,37
485,238;4,36
485,49;4,35
485,742;4,34
485,994;4,35
486,246;4,36
486,498;4,36
486,75;4,36
487,001;4,35
487,253;4,36
487,505;4,37
487,757;4,37
488,009;4,35
488,26;4,36
488,512;4,38
488,764;4,37
489,015;4,36
489,267;4,36
489,519;4,34
489,77;4,34
490,022;4,33
490,274;4,33
490,525;4,35
490,777;4,36
491,028;4,33
491,28;4,32
491,531;4,33
491,783;4,35
492,034;4,37
492,286;4,36
492,537;4,37
492,789;4,36
493,04;4,35
493,291;4,37
493,543;4,39
493,794;4,37
494,045;4,38
494,297;4,39
494,548;4,38
494,799;4,37
495,051;4,38
495,302;4,41
495,553;4,41
495,804;4,4
496,056;4,42
496,307;4,45
496,558;4,49
496,809;4,49
497,06;4,49
497,311;4,48
497,562;4,48
497,813;4,47
498,064;4,48
498,316;4,49
498,567;4,49
498,818;4,44
499,069;4,44
499,319;4,45
499,57;4,46
499,821;4,46
500,072;4,46
500,323;4,44
500,574;4,43
500,825;4,45
501,076;4,44
501,327;4,43
501,577;4,43
501,828;4,38
502,079;4,38
502,33;4,39
502,58;4,39
502,831;4,4
503,082;4,4
503,333;4,43
503,583;4,45
503,834;4,46
504,084;4,49
504,335;4,49
504,586;4,49
504,836;4,5
505,087;4,52
505,337;4,57
505,588;4,56
505,838;4,57
506,089;4,57
506,339;4,59
506,59;4,6
506,84;4,62
507,091;4,68
507,341;4,67
507,591;4,69
507,842;4,7
508,092;4,71
508,343;4,74
508,593;4,74
508,843;4,74
509,093;4,73
509,344;4,73
509,594;4,74
509,844;4,77
510,094;4,76
510,345;4,77
510,595;4,76
510,845;4,78
511,095;4,79
511,345;4,8
511,595;4,82
511,845;4,82
512,095;4,84
512,345;4,8
512,595;4,81
512,845;4,81
513,095;4,83
513,345;4,83
513,595;4,82
513,845;4,82
514,095;4,83
514,345;4,86
514,595;4,87
514,845;4,89
515,095;4,87
515,345;4,87
515,594;4,86
515,844;4,86
516,094;4,86
516,344;4,83
516,593;4,83
516,843;4,8
517,093;4,81
517,343;4,78
517,592;4,81
517,842;4,82
518,092;4,83
518,341;4,81
518,591;4,82
518,84;4,81
519,09;4,8
519,34;4,8
519,589;4,77
519,839;4,76
520,088;4,73
520,338;4,73
520,587;4,72
520,836;4,7
521,086;4,71
521,335;4,71
521,585;4,72
521,834;4,72
522,083;4,73
522,333;4,74
522,582;4,77
522,831;4,77
523,081;4,74
523,33;4,73
523,579;4,77
523,828;4,79
524,078;4,79
524,327;4,81
524,576;4,81
524,825;4,82
525,074;4,85
525,323;4,86
525,573;4,87
525,822;4,92
526,071;4,94
526,32;4,97
526,569;4,98
526,818;5,01
527,067;5,02
527,316;5,04
527,565;5,06
527,814;5,04
528,063;5,04
528,312;5,07
528,56;5,07
528,809;5,05
529,058;5,05
529,307;5,07
529,556;5,07
529,805;5,08
530,053;5,11
530,302;5,1
530,551;5,14
530,8;5,16
531,048;5,14
531,297;5,16
531,546;5,16
531,794;5,16
532,043;5,15
532,292;5,17
532,54;5,16
532,789;5,17
533,037;5,19
533,286;5,18
533,535;5,2
533,783;5,22
534,032;5,23
534,28;5,21
534,528;5,23
534,777;5,23
535,025;5,23
535,274;5,25
535,522;5,28
535,771;5,27
536,019;5,28
536,267;5,3
536,516;5,3
536,764;5,32
537,012;5,33
537,26;5,36
537,509;5,36
537,757;5,39
538,005;5,41
538,253;5,42
538,501;5,46
538,75;5,47
538,998;5,48
539,246;5,5
539,494;5,53
539,742;5,54
539,99;5,56
540,238;5,58
540,486;5,59
540,734;5,58
540,982;5,6
541,23;5,6
541,478;5,61
541,726;5,64
541,974;5,65
542,222;5,69
542,47;5,7
542,718;5,71
542,966;5,73
543,213;5,74
543,461;5,77
543,709;5,78
543,957;5,8
544,205;5,81
544,452;5,82
544,7;5,86
544,948;5,9
