Data from redochrewhite_Reflection__2__09.txt Node;
"Date: Wed Sep 10 11:33:49 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
314,967;6,95
315,23;6,98
315,493;6,98
315,756;6,96
316,019;6,96
316,282;7
316,545;6,99
316,808;6,99
317,071;7
317,334;7,02
317,597;7,04
317,86;7,06
318,123;7,08
318,386;7,03
318,649;7
318,912;6,98
319,175;6,96
319,437;6,96
319,7;6,97
319,963;7,01
320,226;6,99
320,489;6,97
320,751;6,94
321,014;6,91
321,277;6,94
321,54;6,92
321,802;6,9
322,065;6,88
322,328;6,87
322,59;6,84
322,853;6,84
323,116;6,81
323,378;6,81
323,641;6,79
323,903;6,83
324,166;6,86
324,428;6,86
324,691;6,87
324,953;6,84
325,216;6,87
325,478;6,86
325,741;6,84
326,003;6,85
326,266;6,85
326,528;6,84
326,791;6,81
327,053;6,85
327,315;6,83
327,578;6,86
327,84;6,86
328,102;6,87
328,365;6,89
328,627;6,85
328,889;6,83
329,151;6,82
329,414;6,82
329,676;6,8
329,938;6,78
330,2;6,75
330,462;6,76
330,725;6,71
330,987;6,71
331,249;6,72
331,511;6,72
331,773;6,74
332,035;6,78
332,297;6,81
332,559;6,79
332,821;6,78
333,083;6,75
333,345;6,72
333,607;6,73
333,869;6,73
334,131;6,74
334,393;6,76
334,655;6,73
334,917;6,69
335,179;6,7
335,44;6,73
335,702;6,75
335,964;6,74
336,226;6,72
336,488;6,73
336,749;6,71
337,011;6,71
337,273;6,7
337,535;6,65
337,796;6,63
338,058;6,63
338,32;6,64
338,581;6,61
338,843;6,6
339,105;6,62
339,366;6,59
339,628;6,61
339,889;6,61
340,151;6,61
340,412;6,64
340,674;6,61
340,935;6,57
341,197;6,58
341,458;6,56
341,72;6,55
341,981;6,52
342,243;6,54
342,504;6,57
342,766;6,56
343,027;6,58
343,288;6,59
343,55;6,6
343,811;6,61
344,072;6,63
344,334;6,64
344,595;6,61
344,856;6,63
345,117;6,62
345,379;6,61
345,64;6,64
345,901;6,64
346,162;6,66
346,423;6,66
346,684;6,62
346,946;6,68
347,207;6,69
347,468;6,77
347,729;6,76
347,99;6,76
348,251;6,75
348,512;6,73
348,773;6,72
349,034;6,71
349,295;6,71
349,556;6,72
349,817;6,76
350,078;6,77
350,339;6,75
350,6;6,76
350,86;6,76
351,121;6,73
351,382;6,71
351,643;6,69
351,904;6,68
352,165;6,69
352,425;6,67
352,686;6,65
352,947;6,59
353,208;6,57
353,468;6,55
353,729;6,54
353,99;6,54
354,25;6,53
354,511;6,5
354,772;6,48
355,032;6,48
355,293;6,44
355,553;6,43
355,814;6,44
356,074;6,41
356,335;6,41
356,596;6,44
356,856;6,41
357,116;6,43
357,377;6,47
357,637;6,47
357,898;6,48
358,158;6,46
358,419;6,46
358,679;6,45
358,939;6,45
359,2;6,45
359,46;6,45
