Data from redochrewhite_Reflection__3__10.txt Node;
"Date: Wed Sep 10 11:35:01 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
352,425;3,9
352,686;3,91
352,947;3,86
353,208;3,86
353,468;3,86
353,729;3,83
353,99;3,86
354,25;3,88
354,511;3,87
354,772;3,87
355,032;3,88
355,293;3,86
355,553;3,84
355,814;3,9
356,074;3,85
356,335;3,86
356,596;3,93
356,856;3,89
357,116;3,9
357,377;3,92
357,637;3,96
357,898;3,96
358,158;3,97
358,419;3,97
358,679;4
358,939;3,97
359,2;3,95
359,46;3,95
359,72;3,91
359,981;3,89
360,241;3,88
360,501;3,82
360,761;3,8
361,022;3,77
361,282;3,78
361,542;3,82
361,802;3,82
362,062;3,79
362,323;3,79
362,583;3,81
362,843;3,78
363,103;3,82
363,363;3,8
363,623;3,79
363,883;3,82
364,143;3,82
364,403;3,82
364,663;3,85
364,923;3,86
365,183;3,87
365,443;3,9
365,703;3,91
365,963;3,95
366,223;3,99
366,483;3,99
366,743;3,96
367,002;3,95
367,262;3,9
367,522;3,92
367,782;3,95
368,042;3,91
368,301;3,93
368,561;3,89
368,821;3,89
369,081;3,9
369,34;3,86
369,6;3,84
369,86;3,85
370,119;3,84
370,379;3,81
370,638;3,84
370,898;3,84
371,158;3,82
371,417;3,77
371,677;3,71
371,936;3,76
372,196;3,78
372,455;3,75
372,715;3,78
372,974;3,78
373,234;3,73
373,493;3,75
373,753;3,76
374,012;3,76
374,271;3,79
374,531;3,78
374,79;3,81
375,049;3,81
375,309;3,81
375,568;3,83
375,827;3,82
376,086;3,78
376,346;3,77
376,605;3,8
376,864;3,78
377,123;3,82
377,383;3,79
377,642;3,82
377,901;3,83
378,16;3,84
378,419;3,82
378,678;3,77
378,937;3,76
379,196;3,72
379,455;3,74
379,714;3,73
379,973;3,77
380,232;3,73
380,491;3,7
380,75;3,71
381,009;3,68
381,268;3,69
381,527;3,72
381,786;3,7
382,045;3,71
382,304;3,76
382,563;3,75
382,821;3,77
383,08;3,73
383,339;3,75
383,598;3,79
383,857;3,78
384,115;3,83
384,374;3,82
384,633;3,85
384,891;3,84
385,15;3,79
385,409;3,79
385,667;3,8
385,926;3,85
386,185;3,81
386,443;3,84
386,702;3,83
386,96;3,78
387,219;3,84
387,477;3,85
387,736;3,81
