Data from sienaNatWhite_Reflection__0__31.txt Node;
"Date: Wed Sep 10 12:20:09 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
348,773;7,85
349,034;7,83
349,295;7,83
349,556;7,9
349,817;7,91
350,078;7,95
350,339;7,98
350,6;7,99
350,86;8
351,121;7,98
351,382;8
351,643;7,98
351,904;7,97
352,165;7,96
352,425;7,97
352,686;7,98
352,947;7,92
353,208;7,91
353,468;7,96
353,729;7,95
353,99;7,96
354,25;7,99
354,511;7,99
354,772;8
355,032;8,01
355,293;7,97
355,553;7,92
355,814;7,92
356,074;7,92
356,335;7,92
356,596;7,94
356,856;7,94
357,116;7,95
357,377;8,01
357,637;8,02
357,898;7,98
358,158;8
358,419;8,03
358,679;8,06
358,939;7,99
359,2;8
359,46;7,99
359,72;7,94
359,981;7,94
360,241;7,92
360,501;7,88
360,761;7,88
361,022;7,89
361,282;7,84
361,542;7,86
361,802;7,83
362,062;7,82
362,323;7,77
362,583;7,77
362,843;7,73
363,103;7,76
363,363;7,76
363,623;7,75
363,883;7,76
364,143;7,78
364,403;7,81
364,663;7,79
364,923;7,82
365,183;7,83
365,443;7,84
365,703;7,86
365,963;7,89
366,223;7,89
366,483;7,9
366,743;7,91
367,002;7,91
367,262;7,88
367,522;7,88
367,782;7,9
368,042;7,89
368,301;7,91
368,561;7,91
368,821;7,89
369,081;7,89
369,34;7,84
369,6;7,77
369,86;7,77
370,119;7,79
370,379;7,77
370,638;7,78
370,898;7,76
371,158;7,76
371,417;7,74
371,677;7,71
371,936;7,73
372,196;7,75
372,455;7,75
372,715;7,75
372,974;7,79
373,234;7,76
373,493;7,81
373,753;7,83
374,012;7,78
374,271;7,8
374,531;7,78
374,79;7,81
375,049;7,87
375,309;7,87
375,568;7,84
375,827;7,82
376,086;7,78
376,346;7,8
376,605;7,8
376,864;7,8
377,123;7,83
377,383;7,82
377,642;7,83
377,901;7,86
378,16;7,83
378,419;7,79
378,678;7,81
378,937;7,81
379,196;7,77
379,455;7,79
379,714;7,83
379,973;7,92
380,232;7,92
380,491;7,92
380,75;7,93
381,009;7,94
381,268;7,96
381,527;8
381,786;7,99
382,045;7,99
382,304;8
382,563;8
382,821;8,02
383,08;8,01
383,339;8,03
383,598;8,15
383,857;8,19
384,115;8,18
384,374;8,19
384,633;8,25
384,891;8,26
385,15;8,19
385,409;8,15
385,667;8,17
385,926;8,17
386,185;8,2
386,443;8,23
386,702;8,23
386,96;8,22
387,219;8,22
387,477;8,2
387,736;8,21
387,994;8,25
388,253;8,24
388,511;8,24
388,77;8,24
389,028;8,2
389,287;8,17
389,545;8,22
389,803;8,2
390,062;8,18
390,32;8,17
390,578;8,23
390,837;8,23
391,095;8,27
391,353;8,26
391,612;8,27
391,87;8,27
392,128;8,28
392,386;8,34
392,644;8,33
392,903;8,37
393,161;8,4
393,419;8,37
393,677;8,36
393,935;8,38
394,193;8,36
394,451;8,37
394,709;8,37
394,967;8,39
395,225;8,4
395,483;8,45
395,741;8,5
395,999;8,49
396,257;8,52
396,515;8,49
396,773;8,49
397,031;8,51
397,289;8,51
397,547;8,53
397,805;8,54
398,062;8,57
398,32;8,58
398,578;8,61
398,836;8,57
399,094;8,55
399,351;8,47
399,609;8,5
399,867;8,49
400,124;8,51
400,382;8,52
400,64;8,57
400,897;8,54
401,155;8,53
401,413;8,52
401,67;8,5
401,928;8,51
402,185;8,46
402,443;8,43
402,701;8,45
402,958;8,42
403,216;8,39
403,473;8,39
403,73;8,38
403,988;8,32
404,245;8,37
404,503;8,41
404,76;8,47
405,018;8,47
405,275;8,51
405,532;8,55
405,79;8,54
406,047;8,49
406,304;8,52
406,561;8,54
406,819;8,59
407,076;8,57
407,333;8,6
407,59;8,67
407,848;8,73
408,105;8,73
408,362;8,8
408,619;8,84
408,876;8,86
409,133;8,83
409,39;8,88
409,647;8,96
409,904;8,89
410,161;8,94
410,418;8,93
410,675;8,93
410,932;8,89
411,189;8,88
411,446;8,87
411,703;8,84
411,96;8,85
412,217;8,82
412,474;8,83
412,731;8,86
412,988;8,84
413,245;8,82
413,501;8,8
413,758;8,74
414,015;8,72
414,272;8,77
414,529;8,83
414,785;8,85
415,042;8,85
415,299;8,96
415,555;8,93
415,812;8,93
416,069;8,95
416,325;8,95
416,582;8,99
416,838;9,02
417,095;9,02
417,352;9,01
417,608;9,04
417,865;9,09
418,121;9,11
418,378;9,15
418,634;9,16
418,891;9,26
419,147;9,29
419,403;9,33
419,66;9,3
419,916;9,31
420,173;9,27
420,429;9,28
420,685;9,29
420,942;9,36
421,198;9,41
421,454;9,47
421,711;9,5
421,967;9,52
422,223;9,5
422,479;9,53
422,735;9,58
422,992;9,57
423,248;9,53
423,504;9,55
423,76;9,58
424,016;9,58
424,272;9,54
424,528;9,55
424,784;9,55
425,041;9,56
425,297;9,56
425,553;9,66
425,809;9,66
