Data from sienaNatWhite_Reflection__1__32.txt Node;
"Date: Wed Sep 10 12:21:12 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
489,267;4,5
489,519;4,5
489,77;4,52
490,022;4,52
490,274;4,54
490,525;4,57
490,777;4,58
491,028;4,59
491,28;4,6
491,531;4,63
491,783;4,66
492,034;4,72
492,286;4,74
492,537;4,79
492,789;4,8
493,04;4,81
493,291;4,8
493,543;4,82
493,794;4,81
494,045;4,82
494,297;4,85
494,548;4,85
494,799;4,86
495,051;4,88
495,302;4,91
495,553;4,91
495,804;4,89
496,056;4,92
496,307;4,95
496,558;4,98
496,809;4,98
497,06;4,98
497,311;4,98
497,562;5,01
497,813;5,01
498,064;5,03
498,316;5,04
498,567;5,09
498,818;5,09
499,069;5,13
499,319;5,16
499,57;5,16
499,821;5,17
500,072;5,18
500,323;5,21
500,574;5,21
500,825;5,24
501,076;5,29
501,327;5,32
501,577;5,33
501,828;5,31
502,079;5,33
502,33;5,36
502,58;5,38
502,831;5,39
503,082;5,41
503,333;5,43
503,583;5,45
503,834;5,48
504,084;5,5
504,335;5,51
504,586;5,53
504,836;5,55
505,087;5,6
505,337;5,63
505,588;5,64
505,838;5,66
506,089;5,7
506,339;5,72
506,59;5,74
506,84;5,75
507,091;5,81
507,341;5,86
507,591;5,88
507,842;5,91
508,092;5,95
508,343;5,97
508,593;6,01
508,843;6,03
509,093;6,02
509,344;6,05
509,594;6,09
509,844;6,11
510,094;6,14
510,345;6,16
510,595;6,18
510,845;6,21
511,095;6,23
511,345;6,24
511,595;6,26
511,845;6,26
512,095;6,31
512,345;6,31
512,595;6,32
512,845;6,35
513,095;6,4
513,345;6,42
513,595;6,44
513,845;6,45
514,095;6,48
514,345;6,53
514,595;6,56
514,845;6,56
515,095;6,59
515,345;6,63
515,594;6,65
515,844;6,67
516,094;6,72
516,344;6,76
516,593;6,76
516,843;6,77
517,093;6,81
517,343;6,82
517,592;6,85
517,842;6,91
518,092;6,97
518,341;6,97
518,591;7,01
518,84;7,05
519,09;7,07
519,34;7,13
519,589;7,14
519,839;7,18
520,088;7,22
520,338;7,26
520,587;7,26
520,836;7,3
521,086;7,33
521,335;7,35
521,585;7,39
521,834;7,45
522,083;7,49
522,333;7,54
522,582;7,58
522,831;7,63
523,081;7,64
523,33;7,66
523,579;7,7
523,828;7,74
524,078;7,79
524,327;7,81
524,576;7,83
524,825;7,86
525,074;7,93
525,323;7,95
525,573;7,99
525,822;8,07
526,071;8,11
526,32;8,15
526,569;8,17
526,818;8,21
527,067;8,25
527,316;8,32
527,565;8,36
527,814;8,42
528,063;8,43
528,312;8,48
528,56;8,5
528,809;8,55
529,058;8,61
529,307;8,66
529,556;8,72
529,805;8,75
530,053;8,84
530,302;8,88
530,551;8,94
530,8;8,97
531,048;9,02
531,297;9,07
531,546;9,12
531,794;9,2
532,043;9,23
532,292;9,28
532,54;9,31
532,789;9,36
533,037;9,38
533,286;9,43
533,535;9,5
533,783;9,56
534,032;9,63
534,28;9,63
534,528;9,68
534,777;9,76
535,025;9,84
535,274;9,89
535,522;9,94
535,771;9,97
536,019;10,05
536,267;10,1
536,516;10,16
536,764;10,21
537,012;10,26
537,26;10,33
537,509;10,4
537,757;10,48
538,005;10,53
538,253;10,61
538,501;10,72
538,75;10,74
538,998;10,82
539,246;10,86
539,494;10,94
539,742;10,99
539,99;11,05
540,238;11,09
540,486;11,16
540,734;11,2
540,982;11,28
541,23;11,35
541,478;11,42
541,726;11,46
541,974;11,53
542,222;11,6
542,47;11,67
542,718;11,72
542,966;11,77
543,213;11,84
543,461;11,92
543,709;11,97
543,957;12,06
544,205;12,13
544,452;12,19
544,7;12,23
544,948;12,33
545,196;12,38
545,443;12,46
545,691;12,54
545,939;12,64
546,186;12,69
546,434;12,76
546,681;12,82
546,929;12,91
547,176;12,97
547,424;13,02
547,671;13,09
547,919;13,15
548,166;13,23
548,414;13,3
548,661;13,34
548,909;13,43
549,156;13,49
549,404;13,56
549,651;13,65
549,898;13,74
550,146;13,81
550,393;13,91
550,64;13,98
550,888;14,06
551,135;14,13
551,382;14,23
551,629;14,27
551,876;14,36
552,124;14,43
552,371;14,52
552,618;14,59
552,865;14,7
553,112;14,76
553,359;14,86
553,606;14,92
553,854;15,02
554,101;15,08
554,348;15,17
554,595;15,26
554,842;15,32
555,089;15,39
555,336;15,47
555,582;15,53
555,829;15,6
556,076;15,65
556,323;15,72
556,57;15,77
556,817;15,85
557,064;15,93
557,311;16,01
557,557;16,09
557,804;16,18
558,051;16,24
558,298;16,35
558,544;16,42
558,791;16,52
559,038;16,57
559,284;16,63
559,531;16,69
559,778;16,76
560,024;16,84
560,271;16,92
560,517;16,97
560,764;17,05
561,011;17,14
561,257;17,24
561,504;17,32
561,75;17,41
561,997;17,49
562,243;17,55
562,489;17,62
562,736;17,69
562,982;17,78
563,229;17,85
563,475;17,91
563,721;17,97
563,968;18,03
564,214;18,12
564,46;18,22
564,707;18,32
564,953;18,39
565,199;18,47
565,445;18,57
565,691;18,64
565,938;18,75
566,184;18,83
566,43;18,91
566,676;19
566,922;19,1
567,168;19,19
567,414;19,28
567,66;19,38
567,906;19,49
568,152;19,57
568,398;19,66
568,644;19,77
568,89;19,87
569,136;19,99
569,382;20,07
569,628;20,15
569,874;20,21
570,12;20,31
570,366;20,4
570,612;20,48
570,857;20,56
571,103;20,63
571,349;20,7
571,595;20,78
571,84;20,85
572,086;20,93
572,332;21,03
572,578;21,11
572,823;21,18
573,069;21,25
573,315;21,32
573,56;21,4
573,806;21,46
574,051;21,55
574,297;21,6
574,542;21,68
574,788;21,77
575,034;21,85
575,279;21,91
575,524;21,97
575,77;22,03
576,015;22,11
576,261;22,18
576,506;22,24
576,752;22,3
576,997;22,36
577,242;22,42
577,488;22,49
577,733;22,54
577,978;22,61
578,223;22,67
578,469;22,76
578,714;22,82
578,959;22,89
579,204;22,96
579,45;23,01
579,695;23,05
579,94;23,11
580,185;23,16
580,43;23,22
580,675;23,27
580,92;23,33
581,165;23,37
581,41;23,43
581,655;23,5
581,9;23,56
582,145;23,63
582,39;23,68
582,635;23,71
582,88;23,77
583,125;23,82
583,37;23,88
583,615;23,9
583,86;23,96
584,105;24
584,349;24,05
584,594;24,08
584,839;24,13
585,084;24,18
585,328;24,24
585,573;24,29
585,818;24,34
586,063;24,37
586,307;24,43
586,552;24,45
586,797;24,48
587,041;24,5
587,286;24,53
587,53;24,56
587,775;24,62
588,019;24,66
588,264;24,69
588,508;24,7
588,753;24,76
588,997;24,77
589,242;24,81
589,486;24,82
589,731;24,9
589,975;24,94
590,22;24,99
590,464;25,03
590,708;25,08
590,953;25,12
591,197;25,15
591,441;25,2
591,685;25,24
591,93;25,27
592,174;25,33
592,418;25,37
592,662;25,42
592,907;25,43
593,151;25,47
593,395;25,49
593,639;25,53
593,883;25,56
594,127;25,61
594,371;25,63
594,615;25,67
594,859;25,69
595,103;25,71
595,347;25,75
595,591;25,77
595,835;25,79
596,079;25,83
596,323;25,86
596,567;25,91
596,811;25,93
597,055;25,97
597,299;26,01
597,542;26,04
597,786;26,08
598,03;26,12
598,274;26,14
598,518;26,19
598,761;26,22
599,005;26,24
599,249;26,28
599,492;26,33
599,736;26,37
599,98;26,41
600,223;26,44
600,467;26,47
600,711;26,5
600,954;26,54
601,198;26,59
601,441;26,62
601,685;26,63
601,928;26,68
602,172;26,68
602,415;26,7
602,659;26,74
602,902;26,75
603,145;26,76
603,389;26,8
603,632;26,82
603,876;26,85
604,119;26,87
604,362;26,88
604,606;26,89
604,849;26,91
605,092;26,93
605,335;26,95
605,579;26,95
605,822;26,97
606,065;26,95
606,308;26,96
606,551;26,97
606,794;26,99
607,037;27
607,281;27,03
607,524;27,05
607,767;27,06
608,01;27,06
608,253;27,06
608,496;27,07
608,739;27,09
608,982;27,09
609,225;27,11
609,468;27,13
609,711;27,14
609,953;27,14
610,196;27,17
610,439;27,17
610,682;27,19
610,925;27,21
611,168;27,26
611,41;27,26
611,653;27,27
611,896;27,27
612,139;27,3
612,381;27,3
612,624;27,33
612,867;27,33
613,109;27,35
613,352;27,37
613,595;27,41
613,837;27,43
614,08;27,46
614,322;27,45
614,565;27,48
614,807;27,5
615,05;27,5
615,292;27,51
615,535;27,53
615,777;27,55
616,02;27,56
616,262;27,57
616,505;27,59
616,747;27,6
616,989;27,66
617,232;27,66
617,474;27,7
