Data from sienaNatWhite_Reflection__3__34.txt Node;
"Date: Wed Sep 10 12:22:52 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
433,481;4,15
433,736;4,18
433,991;4,21
434,247;4,27
434,502;4,27
434,758;4,3
435,013;4,26
435,268;4,27
435,524;4,24
435,779;4,23
436,034;4,24
436,29;4,3
436,545;4,28
436,8;4,29
437,056;4,34
437,311;4,33
437,566;4,3
437,821;4,33
438,076;4,36
438,331;4,36
438,587;4,38
438,842;4,4
439,097;4,41
439,352;4,39
439,607;4,33
439,862;4,3
440,117;4,32
440,372;4,33
440,627;4,37
440,882;4,38
441,137;4,41
441,392;4,41
441,647;4,39
441,902;4,42
442,157;4,45
442,412;4,44
442,667;4,44
442,921;4,47
443,176;4,52
443,431;4,54
443,686;4,57
443,941;4,56
444,195;4,55
444,45;4,49
444,705;4,53
444,96;4,57
445,214;4,62
445,469;4,59
445,724;4,6
445,978;4,63
446,233;4,62
446,487;4,64
446,742;4,68
446,997;4,65
447,251;4,65
447,506;4,62
447,76;4,65
448,015;4,67
448,269;4,68
448,524;4,66
448,778;4,65
449,033;4,62
449,287;4,6
449,541;4,62
449,796;4,68
450,05;4,69
450,305;4,71
450,559;4,7
450,813;4,75
451,067;4,76
451,322;4,7
451,576;4,75
451,83;4,78
452,084;4,75
452,339;4,81
452,593;4,82
452,847;4,8
453,101;4,83
453,355;4,87
453,609;4,85
453,864;4,83
454,118;4,83
454,372;4,84
454,626;4,86
454,88;4,9
455,134;4,91
455,388;4,91
455,642;4,89
455,896;4,92
456,15;4,88
456,404;4,89
456,658;4,85
456,912;4,81
457,165;4,77
457,419;4,77
457,673;4,72
457,927;4,67
458,181;4,7
458,435;4,63
458,688;4,6
458,942;4,6
459,196;4,6
459,45;4,6
459,703;4,62
459,957;4,63
460,211;4,57
460,464;4,58
460,718;4,55
460,972;4,55
461,225;4,47
461,479;4,51
461,732;4,46
461,986;4,53
462,239;4,54
462,493;4,55
462,746;4,56
463;4,54
463,253;4,6
463,507;4,57
463,76;4,59
464,014;4,6
464,267;4,61
464,52;4,65
464,774;4,67
465,027;4,67
465,28;4,69
465,534;4,69
465,787;4,68
466,04;4,65
466,294;4,63
466,547;4,69
466,8;4,67
467,053;4,69
467,306;4,69
467,56;4,68
467,813;4,67
468,066;4,66
468,319;4,69
468,572;4,66
468,825;4,71
469,078;4,71
469,331;4,7
469,584;4,68
469,837;4,65
470,09;4,65
470,343;4,61
470,596;4,59
470,849;4,63
471,102;4,63
471,355;4,69
471,608;4,71
471,861;4,7
472,114;4,71
472,367;4,7
472,619;4,71
472,872;4,73
473,125;4,75
473,378;4,77
473,631;4,78
