Data from sienaNatWhite_Reflection__2__33.txt Node;
"Date: Wed Sep 10 12:22:02 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
345,64;2,38
345,901;2,42
346,162;2,44
346,423;2,43
346,684;2,4
346,946;2,45
347,207;2,45
347,468;2,47
347,729;2,45
347,99;2,44
348,251;2,43
348,512;2,42
348,773;2,37
349,034;2,4
349,295;2,41
349,556;2,49
349,817;2,51
350,078;2,53
350,339;2,52
350,6;2,52
350,86;2,55
351,121;2,52
351,382;2,51
351,643;2,49
351,904;2,48
352,165;2,49
352,425;2,46
352,686;2,51
352,947;2,5
353,208;2,51
353,468;2,5
353,729;2,51
353,99;2,54
354,25;2,58
354,511;2,55
354,772;2,55
355,032;2,57
355,293;2,53
355,553;2,51
355,814;2,54
356,074;2,52
356,335;2,51
356,596;2,56
356,856;2,55
357,116;2,57
357,377;2,62
357,637;2,6
357,898;2,61
358,158;2,57
358,419;2,56
358,679;2,58
358,939;2,57
359,2;2,54
359,46;2,52
359,72;2,5
359,981;2,52
360,241;2,54
360,501;2,49
360,761;2,51
361,022;2,5
361,282;2,46
361,542;2,46
361,802;2,44
362,062;2,38
362,323;2,33
362,583;2,35
362,843;2,28
363,103;2,31
363,363;2,33
363,623;2,34
363,883;2,37
364,143;2,38
364,403;2,4
364,663;2,45
364,923;2,48
365,183;2,5
365,443;2,51
365,703;2,48
365,963;2,5
366,223;2,53
366,483;2,52
366,743;2,55
367,002;2,57
367,262;2,58
367,522;2,62
367,782;2,65
368,042;2,65
368,301;2,7
368,561;2,69
368,821;2,64
369,081;2,64
369,34;2,58
369,6;2,53
369,86;2,5
370,119;2,46
370,379;2,48
370,638;2,51
370,898;2,47
371,158;2,46
371,417;2,44
371,677;2,39
371,936;2,43
372,196;2,43
372,455;2,44
372,715;2,45
372,974;2,49
373,234;2,5
373,493;2,5
373,753;2,52
374,012;2,52
374,271;2,55
374,531;2,53
374,79;2,59
375,049;2,66
375,309;2,68
375,568;2,69
375,827;2,61
376,086;2,57
376,346;2,64
376,605;2,66
376,864;2,64
377,123;2,66
377,383;2,59
377,642;2,62
377,901;2,61
378,16;2,56
378,419;2,51
378,678;2,5
378,937;2,52
379,196;2,47
379,455;2,5
379,714;2,53
379,973;2,57
380,232;2,53
380,491;2,49
380,75;2,46
381,009;2,45
381,268;2,49
381,527;2,5
381,786;2,48
382,045;2,47
382,304;2,48
382,563;2,5
382,821;2,57
383,08;2,53
383,339;2,53
383,598;2,58
383,857;2,6
384,115;2,59
384,374;2,53
384,633;2,6
384,891;2,58
385,15;2,52
385,409;2,52
385,667;2,53
385,926;2,57
386,185;2,59
386,443;2,63
386,702;2,57
386,96;2,55
387,219;2,54
387,477;2,58
387,736;2,55
387,994;2,55
388,253;2,54
388,511;2,57
388,77;2,57
389,028;2,55
389,287;2,54
389,545;2,56
389,803;2,57
390,062;2,54
390,32;2,53
390,578;2,59
390,837;2,59
391,095;2,61
391,353;2,6
391,612;2,59
391,87;2,54
392,128;2,62
392,386;2,66
392,644;2,65
392,903;2,63
393,161;2,64
393,419;2,62
393,677;2,6
393,935;2,59
394,193;2,57
394,451;2,57
394,709;2,55
394,967;2,57
395,225;2,61
395,483;2,62
395,741;2,63
395,999;2,63
396,257;2,66
396,515;2,64
396,773;2,65
397,031;2,64
397,289;2,68
397,547;2,62
397,805;2,65
398,062;2,69
398,32;2,68
398,578;2,73
398,836;2,69
399,094;2,67
399,351;2,62
399,609;2,66
399,867;2,66
400,124;2,68
400,382;2,7
400,64;2,7
400,897;2,68
401,155;2,66
401,413;2,64
401,67;2,6
401,928;2,63
402,185;2,61
402,443;2,65
402,701;2,62
402,958;2,64
403,216;2,63
403,473;2,58
403,73;2,62
403,988;2,63
404,245;2,71
404,503;2,72
404,76;2,73
405,018;2,72
405,275;2,77
405,532;2,77
405,79;2,74
406,047;2,67
406,304;2,69
406,561;2,75
406,819;2,83
407,076;2,83
407,333;2,82
407,59;2,85
407,848;2,83
408,105;2,87
408,362;2,93
408,619;2,97
408,876;2,99
409,133;2,97
409,39;2,96
409,647;2,96
409,904;2,93
410,161;2,97
410,418;2,97
410,675;2,94
410,932;2,95
411,189;2,97
411,446;3,02
411,703;3,01
411,96;2,99
412,217;2,94
412,474;2,92
412,731;2,95
412,988;2,91
413,245;2,95
413,501;2,91
413,758;2,84
414,015;2,75
414,272;2,74
414,529;2,75
414,785;2,74
415,042;2,76
415,299;2,82
415,555;2,77
415,812;2,79
416,069;2,79
416,325;2,82
416,582;2,82
416,838;2,86
417,095;2,81
417,352;2,82
417,608;2,85
417,865;2,91
418,121;2,9
418,378;2,9
418,634;2,9
418,891;2,98
419,147;3,06
419,403;3,12
419,66;3,15
419,916;3,16
420,173;3,16
420,429;3,17
420,685;3,19
420,942;3,24
421,198;3,24
421,454;3,27
421,711;3,21
421,967;3,25
422,223;3,22
422,479;3,27
422,735;3,29
422,992;3,27
423,248;3,24
423,504;3,27
423,76;3,31
424,016;3,29
424,272;3,29
424,528;3,26
424,784;3,25
425,041;3,23
425,297;3,24
425,553;3,29
425,809;3,26
426,065;3,19
426,32;3,21
426,576;3,22
426,832;3,18
427,088;3,22
427,344;3,19
427,6;3,23
427,856;3,23
428,112;3,24
428,368;3,23
428,623;3,24
428,879;3,28
429,135;3,28
429,391;3,34
429,646;3,36
429,902;3,37
430,158;3,42
430,414;3,42
430,669;3,43
430,925;3,4
431,181;3,43
431,436;3,51
431,692;3,5
431,947;3,53
432,203;3,54
432,458;3,54
432,714;3,53
432,97;3,52
433,225;3,57
433,481;3,57
433,736;3,62
433,991;3,63
434,247;3,57
434,502;3,61
434,758;3,61
435,013;3,54
435,268;3,57
435,524;3,54
435,779;3,5
436,034;3,56
436,29;3,6
436,545;3,6
436,8;3,57
437,056;3,56
437,311;3,54
437,566;3,55
437,821;3,56
438,076;3,61
438,331;3,6
438,587;3,64
438,842;3,65
439,097;3,65
439,352;3,65
439,607;3,67
439,862;3,65
440,117;3,68
440,372;3,73
440,627;3,73
440,882;3,75
441,137;3,84
441,392;3,83
441,647;3,82
441,902;3,85
442,157;3,89
442,412;3,92
442,667;3,95
442,921;3,98
443,176;4,01
443,431;4
443,686;4,02
443,941;4
444,195;3,97
444,45;3,92
444,705;3,95
444,96;3,97
445,214;3,95
445,469;3,91
445,724;3,91
445,978;3,96
446,233;4,02
446,487;4,02
446,742;4,01
446,997;3,98
447,251;3,98
447,506;3,98
447,76;3,98
448,015;3,95
448,269;3,96
448,524;3,97
448,778;3,98
449,033;4
449,287;3,98
449,541;4,01
449,796;4,07
450,05;4,08
450,305;4,12
450,559;4,16
450,813;4,18
451,067;4,15
451,322;4,06
451,576;4
451,83;4
452,084;4,04
452,339;4,14
452,593;4,17
452,847;4,14
453,101;4,15
453,355;4,17
453,609;4,17
453,864;4,15
454,118;4,13
454,372;4,08
454,626;4,1
454,88;4,14
455,134;4,16
455,388;4,13
455,642;4,14
455,896;4,15
456,15;4,1
456,404;4,16
456,658;4,15
456,912;4,12
457,165;4,1
457,419;4,06
457,673;3,98
457,927;3,89
458,181;3,9
458,435;3,9
458,688;3,89
458,942;3,87
459,196;3,86
459,45;3,85
459,703;3,86
459,957;3,83
460,211;3,81
460,464;3,8
460,718;3,81
460,972;3,78
461,225;3,75
461,479;3,78
461,732;3,75
461,986;3,78
462,239;3,82
462,493;3,84
462,746;3,85
463;3,83
463,253;3,87
463,507;3,85
463,76;3,83
464,014;3,83
464,267;3,85
464,52;3,88
464,774;3,9
465,027;3,91
465,28;3,9
465,534;3,88
465,787;3,88
466,04;3,88
466,294;3,86
466,547;3,87
466,8;3,92
467,053;3,92
467,306;3,95
467,56;3,95
467,813;3,95
468,066;3,94
468,319;3,99
468,572;3,98
468,825;4,04
469,078;4,06
469,331;4,05
469,584;4,04
469,837;4,02
470,09;4,07
470,343;4,02
470,596;4,05
470,849;4,05
471,102;4,02
471,355;4,03
471,608;4,03
471,861;4,05
472,114;4
472,367;3,99
472,619;4
472,872;3,96
473,125;3,97
473,378;3,95
473,631;3,94
473,883;3,93
474,136;3,93
474,389;3,96
474,641;3,97
474,894;3,95
475,147;3,95
475,399;3,92
475,652;3,98
475,905;4
476,157;4,02
476,41;4,04
476,662;4,03
476,915;4,05
477,167;4,05
477,42;4,08
477,672;4,12
477,925;4,08
478,177;4,12
478,43;4,12
478,682;4,14
478,934;4,14
479,187;4,14
479,439;4,11
479,691;4,12
479,944;4,14
480,196;4,17
480,448;4,19
480,701;4,22
480,953;4,23
481,205;4,21
481,457;4,22
481,709;4,23
481,962;4,26
482,214;4,26
482,466;4,28
482,718;4,28
482,97;4,3
483,222;4,34
483,474;4,36
483,726;4,38
483,978;4,39
484,23;4,42
484,482;4,44
484,734;4,46
484,986;4,45
485,238;4,46
485,49;4,46
485,742;4,46
485,994;4,45
486,246;4,44
486,498;4,44
486,75;4,44
487,001;4,46
487,253;4,45
487,505;4,46
487,757;4,45
488,009;4,43
488,26;4,43
488,512;4,45
488,764;4,44
489,015;4,45
489,267;4,47
489,519;4,45
489,77;4,46
490,022;4,48
490,274;4,49
490,525;4,49
490,777;4,52
491,028;4,54
491,28;4,54
491,531;4,55
491,783;4,57
492,034;4,61
492,286;4,58
492,537;4,63
492,789;4,64
493,04;4,65
493,291;4,67
493,543;4,7
493,794;4,68
494,045;4,7
494,297;4,69
494,548;4,68
494,799;4,69
495,051;4,69
495,302;4,71
495,553;4,73
495,804;4,74
496,056;4,74
496,307;4,75
496,558;4,77
496,809;4,81
497,06;4,81
497,311;4,81
497,562;4,84
497,813;4,83
498,064;4,85
498,316;4,88
498,567;4,9
498,818;4,89
499,069;4,91
499,319;4,92
499,57;4,93
499,821;4,96
500,072;5
500,323;5,03
500,574;5,03
500,825;5,06
501,076;5,08
