Data from sienaNatWhite_Reflection__4__35.txt Node;
"Date: Wed Sep 10 12:23:52 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
318,649;2,45
318,912;2,43
319,175;2,43
319,437;2,44
319,7;2,46
319,963;2,44
320,226;2,45
320,489;2,47
320,751;2,46
321,014;2,44
321,277;2,44
321,54;2,44
321,802;2,43
322,065;2,42
322,328;2,43
322,59;2,44
322,853;2,43
323,116;2,44
323,378;2,4
323,641;2,38
323,903;2,38
324,166;2,4
324,428;2,39
324,691;2,41
324,953;2,4
325,216;2,4
325,478;2,38
325,741;2,35
326,003;2,34
326,266;2,33
326,528;2,32
326,791;2,3
327,053;2,32
327,315;2,3
327,578;2,34
327,84;2,32
328,102;2,27
328,365;2,28
328,627;2,24
328,889;2,26
329,151;2,27
329,414;2,28
329,676;2,26
329,938;2,26
330,2;2,22
330,462;2,21
330,725;2,21
330,987;2,22
331,249;2,27
331,511;2,27
331,773;2,27
332,035;2,31
332,297;2,33
332,559;2,29
332,821;2,29
333,083;2,26
333,345;2,25
333,607;2,29
333,869;2,3
334,131;2,33
334,393;2,36
334,655;2,3
334,917;2,27
335,179;2,26
335,44;2,28
335,702;2,31
335,964;2,31
336,226;2,32
336,488;2,31
336,749;2,3
337,011;2,29
337,273;2,3
337,535;2,27
337,796;2,23
338,058;2,26
338,32;2,27
338,581;2,25
338,843;2,22
339,105;2,24
339,366;2,24
339,628;2,26
339,889;2,23
340,151;2,27
340,412;2,24
340,674;2,25
340,935;2,24
341,197;2,22
341,458;2,22
341,72;2,21
341,981;2,2
342,243;2,16
342,504;2,19
342,766;2,2
343,027;2,18
343,288;2,19
343,55;2,22
343,811;2,24
344,072;2,21
344,334;2,23
344,595;2,2
344,856;2,16
345,117;2,18
345,379;2,17
345,64;2,19
345,901;2,23
346,162;2,23
346,423;2,23
346,684;2,22
346,946;2,24
347,207;2,25
347,468;2,28
347,729;2,31
347,99;2,34
348,251;2,34
348,512;2,36
348,773;2,37
349,034;2,37
349,295;2,37
349,556;2,4
349,817;2,43
350,078;2,45
350,339;2,45
350,6;2,45
350,86;2,45
351,121;2,42
351,382;2,44
351,643;2,4
351,904;2,38
352,165;2,35
352,425;2,37
352,686;2,41
352,947;2,41
353,208;2,4
353,468;2,35
353,729;2,34
353,99;2,36
354,25;2,4
354,511;2,36
354,772;2,36
355,032;2,39
355,293;2,39
355,553;2,38
355,814;2,41
356,074;2,37
356,335;2,39
356,596;2,41
356,856;2,39
357,116;2,43
357,377;2,49
357,637;2,5
357,898;2,49
358,158;2,46
358,419;2,44
358,679;2,45
358,939;2,48
359,2;2,46
359,46;2,46
359,72;2,41
359,981;2,45
360,241;2,43
360,501;2,43
360,761;2,41
361,022;2,41
361,282;2,4
361,542;2,44
361,802;2,38
362,062;2,36
362,323;2,34
362,583;2,37
362,843;2,32
363,103;2,34
363,363;2,34
363,623;2,33
363,883;2,36
364,143;2,37
364,403;2,37
364,663;2,4
364,923;2,42
365,183;2,45
365,443;2,47
365,703;2,46
365,963;2,47
366,223;2,49
366,483;2,49
366,743;2,5
367,002;2,51
367,262;2,52
367,522;2,55
367,782;2,55
368,042;2,53
368,301;2,53
368,561;2,53
368,821;2,49
369,081;2,52
369,34;2,46
369,6;2,44
369,86;2,47
370,119;2,49
370,379;2,45
370,638;2,44
370,898;2,38
371,158;2,35
371,417;2,33
371,677;2,34
371,936;2,32
372,196;2,3
372,455;2,31
372,715;2,28
372,974;2,29
373,234;2,3
373,493;2,29
373,753;2,31
374,012;2,27
374,271;2,32
374,531;2,27
374,79;2,34
375,049;2,36
375,309;2,33
375,568;2,27
375,827;2,24
376,086;2,25
376,346;2,28
376,605;2,32
376,864;2,32
377,123;2,29
377,383;2,28
377,642;2,33
377,901;2,29
378,16;2,31
378,419;2,29
378,678;2,29
378,937;2,29
379,196;2,25
379,455;2,32
379,714;2,29
379,973;2,33
380,232;2,29
380,491;2,27
380,75;2,25
381,009;2,25
381,268;2,3
381,527;2,29
381,786;2,3
382,045;2,31
382,304;2,33
382,563;2,36
382,821;2,39
383,08;2,38
383,339;2,43
383,598;2,5
383,857;2,5
384,115;2,48
384,374;2,51
384,633;2,53
384,891;2,49
385,15;2,47
385,409;2,52
385,667;2,54
385,926;2,54
386,185;2,55
386,443;2,6
386,702;2,57
386,96;2,54
387,219;2,53
387,477;2,56
387,736;2,49
387,994;2,47
388,253;2,46
388,511;2,45
388,77;2,42
389,028;2,38
389,287;2,34
389,545;2,39
389,803;2,37
390,062;2,37
390,32;2,4
390,578;2,41
390,837;2,37
391,095;2,4
391,353;2,44
391,612;2,47
391,87;2,44
392,128;2,42
392,386;2,46
392,644;2,44
392,903;2,4
393,161;2,41
393,419;2,41
393,677;2,46
393,935;2,45
394,193;2,45
394,451;2,45
394,709;2,44
394,967;2,44
395,225;2,43
395,483;2,43
395,741;2,47
395,999;2,47
396,257;2,52
396,515;2,49
396,773;2,48
397,031;2,45
397,289;2,47
397,547;2,5
397,805;2,51
398,062;2,53
398,32;2,55
398,578;2,58
398,836;2,52
399,094;2,46
399,351;2,47
399,609;2,48
399,867;2,48
400,124;2,52
400,382;2,55
400,64;2,62
400,897;2,65
401,155;2,65
401,413;2,62
401,67;2,6
401,928;2,64
402,185;2,64
402,443;2,65
402,701;2,63
402,958;2,6
403,216;2,57
403,473;2,6
403,73;2,62
403,988;2,64
404,245;2,68
404,503;2,68
404,76;2,66
405,018;2,64
405,275;2,69
405,532;2,68
405,79;2,62
406,047;2,53
406,304;2,52
406,561;2,5
406,819;2,57
407,076;2,53
407,333;2,53
407,59;2,52
407,848;2,52
408,105;2,55
408,362;2,59
408,619;2,62
408,876;2,57
409,133;2,53
409,39;2,5
409,647;2,56
409,904;2,54
410,161;2,59
410,418;2,61
410,675;2,56
410,932;2,55
411,189;2,62
411,446;2,62
411,703;2,6
411,96;2,57
412,217;2,57
412,474;2,57
412,731;2,53
412,988;2,55
413,245;2,6
413,501;2,58
413,758;2,58
414,015;2,54
414,272;2,56
414,529;2,64
414,785;2,68
415,042;2,69
415,299;2,77
415,555;2,75
