Data from neroAvorioWhite_Reflection__0__15.txt Node;
"Date: Fri Sep 12 10:48:50 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
586,552;27,02
586,797;27,01
587,041;27,01
587,286;27,01
587,53;27
587,775;26,98
588,019;26,98
588,264;26,98
588,508;26,97
588,753;26,96
588,997;26,96
589,242;26,97
589,486;26,97
589,731;26,97
589,975;26,96
590,22;26,96
590,464;26,96
590,708;26,96
590,953;26,94
591,197;26,94
591,441;26,94
591,685;26,93
591,93;26,93
592,174;26,93
592,418;26,92
592,662;26,92
592,907;26,93
593,151;26,93
593,395;26,92
593,639;26,91
593,883;26,91
594,127;26,91
594,371;26,9
594,615;26,89
594,859;26,88
595,103;26,87
595,347;26,86
595,591;26,84
595,835;26,83
596,079;26,83
596,323;26,83
596,567;26,82
596,811;26,82
597,055;26,81
597,299;26,8
597,542;26,81
597,786;26,8
598,03;26,79
598,274;26,78
598,518;26,78
598,761;26,78
599,005;26,78
599,249;26,77
599,492;26,78
599,736;26,79
599,98;26,8
600,223;26,8
600,467;26,81
600,711;26,81
600,954;26,82
601,198;26,82
601,441;26,81
601,685;26,81
601,928;26,81
602,172;26,82
602,415;26,8
602,659;26,79
602,902;26,8
603,145;26,8
603,389;26,8
603,632;26,81
603,876;26,82
604,119;26,83
604,362;26,84
604,606;26,83
604,849;26,82
605,092;26,8
605,335;26,8
605,579;26,79
605,822;26,79
606,065;26,77
606,308;26,77
606,551;26,77
606,794;26,77
607,037;26,76
607,281;26,75
607,524;26,76
607,767;26,76
608,01;26,74
608,253;26,75
608,496;26,74
608,739;26,74
608,982;26,72
609,225;26,72
609,468;26,7
609,711;26,71
609,953;26,71
610,196;26,72
610,439;26,72
610,682;26,72
610,925;26,71
611,168;26,72
611,41;26,71
611,653;26,72
611,896;26,72
612,139;26,71
612,381;26,71
612,624;26,72
612,867;26,73
613,109;26,74
613,352;26,73
613,595;26,73
613,837;26,71
614,08;26,73
614,322;26,72
614,565;26,72
614,807;26,71
615,05;26,7
615,292;26,68
615,535;26,68
615,777;26,68
616,02;26,69
616,262;26,7
616,505;26,7
616,747;26,69
616,989;26,69
617,232;26,69
617,474;26,7
617,716;26,7
