Data from neroAvorioWhite_Reflection__2__17.txt Node;
"Date: Fri Sep 12 10:50:57 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-1 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
453,609;7,09
453,864;7,07
454,118;7
454,372;7,04
454,626;7,05
454,88;7,03
455,134;7,03
455,388;7,09
455,642;7,1
455,896;7,1
456,15;7,08
456,404;7,13
456,658;7,15
456,912;7,14
457,165;7,12
457,419;7,1
457,673;7,12
457,927;7,16
458,181;7,19
458,435;7,22
458,688;7,19
458,942;7,21
459,196;7,21
459,45;7,25
459,703;7,21
459,957;7,18
460,211;7,16
460,464;7,2
460,718;7,18
460,972;7,24
461,225;7,23
461,479;7,25
461,732;7,25
461,986;7,3
462,239;7,28
462,493;7,3
462,746;7,37
463;7,34
463,253;7,34
463,507;7,34
463,76;7,29
464,014;7,32
464,267;7,29
464,52;7,32
464,774;7,33
465,027;7,36
465,28;7,39
465,534;7,38
465,787;7,36
466,04;7,39
466,294;7,35
466,547;7,38
466,8;7,42
467,053;7,39
467,306;7,35
467,56;7,35
467,813;7,34
468,066;7,3
468,319;7,33
468,572;7,31
468,825;7,36
469,078;7,37
469,331;7,39
469,584;7,38
469,837;7,4
470,09;7,38
470,343;7,38
470,596;7,38
470,849;7,4
471,102;7,45
471,355;7,41
471,608;7,44
471,861;7,47
472,114;7,42
472,367;7,4
472,619;7,4
472,872;7,4
473,125;7,4
473,378;7,38
473,631;7,39
473,883;7,42
474,136;7,42
474,389;7,42
474,641;7,37
474,894;7,37
475,147;7,37
475,399;7,36
475,652;7,37
475,905;7,37
476,157;7,35
476,41;7,31
476,662;7,34
476,915;7,32
477,167;7,3
477,42;7,33
477,672;7,36
477,925;7,37
478,177;7,37
478,43;7,41
478,682;7,43
478,934;7,45
479,187;7,46
479,439;7,47
479,691;7,5
479,944;7,58
480,196;7,62
480,448;7,64
480,701;7,67
480,953;7,69
481,205;7,71
481,457;7,73
481,709;7,76
481,962;7,78
482,214;7,85
482,466;7,9
482,718;7,95
482,97;8,04
483,222;8,1
483,474;8,19
483,726;8,23
483,978;8,27
484,23;8,3
484,482;8,32
484,734;8,33
484,986;8,33
485,238;8,29
485,49;8,31
485,742;8,32
485,994;8,33
486,246;8,33
486,498;8,33
486,75;8,34
487,001;8,35
487,253;8,34
487,505;8,33
487,757;8,33
488,009;8,32
488,26;8,26
488,512;8,22
488,764;8,17
489,015;8,13
489,267;8,09
489,519;8,05
489,77;8,02
490,022;8,02
490,274;7,99
490,525;8,01
490,777;7,99
491,028;7,99
491,28;7,97
491,531;7,93
491,783;7,93
492,034;7,96
492,286;7,93
492,537;7,92
492,789;7,89
493,04;7,87
493,291;7,83
493,543;7,85
493,794;7,86
494,045;7,86
494,297;7,86
494,548;7,87
494,799;7,87
495,051;7,88
495,302;7,84
495,553;7,88
495,804;7,86
