Data from neroAvorioWhite_Reflection__1__16.txt Node;
"Date: Fri Sep 12 10:50:08 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-1 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
410,161;11,5
410,418;11,54
410,675;11,53
410,932;11,55
411,189;11,56
411,446;11,64
411,703;11,63
411,96;11,62
412,217;11,6
412,474;11,61
412,731;11,62
412,988;11,61
413,245;11,63
413,501;11,56
413,758;11,57
414,015;11,53
414,272;11,53
414,529;11,54
414,785;11,54
415,042;11,55
415,299;11,49
415,555;11,47
415,812;11,46
416,069;11,5
416,325;11,5
416,582;11,5
416,838;11,48
417,095;11,43
417,352;11,34
417,608;11,35
417,865;11,3
418,121;11,32
418,378;11,35
418,634;11,35
418,891;11,41
419,147;11,44
419,403;11,45
419,66;11,47
419,916;11,48
420,173;11,47
420,429;11,48
420,685;11,53
420,942;11,58
421,198;11,56
421,454;11,56
421,711;11,59
421,967;11,57
422,223;11,53
422,479;11,62
422,735;11,67
422,992;11,63
423,248;11,64
423,504;11,64
423,76;11,64
424,016;11,65
424,272;11,65
424,528;11,63
424,784;11,65
425,041;11,62
425,297;11,59
425,553;11,57
425,809;11,62
426,065;11,59
426,32;11,56
426,576;11,58
426,832;11,55
427,088;11,52
427,344;11,53
427,6;11,54
427,856;11,46
428,112;11,5
428,368;11,53
428,623;11,54
428,879;11,52
429,135;11,49
429,391;11,44
429,646;11,42
429,902;11,37
430,158;11,36
430,414;11,37
430,669;11,41
430,925;11,4
431,181;11,36
431,436;11,38
431,692;11,39
431,947;11,38
432,203;11,38
432,458;11,39
432,714;11,34
432,97;11,35
433,225;11,35
433,481;11,34
433,736;11,33
433,991;11,32
434,247;11,29
434,502;11,27
434,758;11,3
435,013;11,33
435,268;11,36
435,524;11,35
435,779;11,37
436,034;11,37
436,29;11,4
436,545;11,36
436,8;11,38
437,056;11,32
437,311;11,31
437,566;11,29
437,821;11,33
438,076;11,34
438,331;11,39
438,587;11,41
438,842;11,39
439,097;11,4
439,352;11,41
439,607;11,43
439,862;11,49
440,117;11,52
440,372;11,51
440,627;11,54
440,882;11,56
441,137;11,54
441,392;11,53
441,647;11,51
441,902;11,57
442,157;11,54
442,412;11,61
442,667;11,62
442,921;11,67
443,176;11,65
443,431;11,71
443,686;11,66
443,941;11,64
444,195;11,66
444,45;11,69
444,705;11,71
444,96;11,69
445,214;11,68
445,469;11,68
445,724;11,66
445,978;11,62
446,233;11,58
446,487;11,57
446,742;11,56
446,997;11,56
447,251;11,51
447,506;11,54
447,76;11,5
448,015;11,49
448,269;11,44
448,524;11,42
448,778;11,44
449,033;11,46
449,287;11,48
449,541;11,49
449,796;11,46
450,05;11,4
450,305;11,37
450,559;11,35
450,813;11,31
451,067;11,3
451,322;11,29
451,576;11,32
451,83;11,34
452,084;11,33
452,339;11,3
452,593;11,27
452,847;11,21
453,101;11,21
453,355;11,25
453,609;11,27
453,864;11,24
454,118;11,18
454,372;11,19
454,626;11,22
454,88;11,23
455,134;11,22
455,388;11,26
455,642;11,28
455,896;11,29
456,15;11,26
456,404;11,32
456,658;11,33
456,912;11,32
457,165;11,32
457,419;11,31
457,673;11,34
457,927;11,4
458,181;11,45
458,435;11,5
458,688;11,49
458,942;11,51
459,196;11,49
459,45;11,52
459,703;11,48
459,957;11,41
460,211;11,38
460,464;11,39
460,718;11,41
460,972;11,48
461,225;11,45
461,479;11,47
461,732;11,49
461,986;11,53
462,239;11,51
462,493;11,51
462,746;11,61
463;11,6
463,253;11,58
463,507;11,55
463,76;11,53
464,014;11,54
464,267;11,52
464,52;11,55
464,774;11,58
465,027;11,63
465,28;11,67
465,534;11,66
465,787;11,67
466,04;11,67
466,294;11,62
466,547;11,64
466,8;11,68
467,053;11,62
467,306;11,61
467,56;11,61
467,813;11,6
468,066;11,56
468,319;11,58
468,572;11,57
468,825;11,62
469,078;11,62
469,331;11,64
469,584;11,61
469,837;11,61
470,09;11,61
470,343;11,61
470,596;11,61
470,849;11,65
471,102;11,71
471,355;11,71
471,608;11,74
471,861;11,8
472,114;11,78
472,367;11,78
472,619;11,78
472,872;11,83
473,125;11,83
473,378;11,85
473,631;11,85
473,883;11,87
474,136;11,89
474,389;11,91
474,641;11,89
474,894;11,93
475,147;11,95
475,399;11,94
475,652;11,97
475,905;11,98
476,157;11,98
476,41;11,94
476,662;11,97
476,915;11,97
477,167;11,96
477,42;12,01
477,672;12,03
477,925;12,06
478,177;12,07
478,43;12,13
478,682;12,13
478,934;12,16
479,187;12,19
479,439;12,2
479,691;12,23
479,944;12,3
480,196;12,33
480,448;12,37
480,701;12,41
480,953;12,45
481,205;12,48
481,457;12,51
481,709;12,56
481,962;12,61
482,214;12,69
482,466;12,78
482,718;12,87
482,97;13,02
483,222;13,15
483,474;13,28
483,726;13,35
483,978;13,42
484,23;13,48
484,482;13,52
484,734;13,54
484,986;13,57
485,238;13,55
