Data from lapisWhite_Reflection__3__36.txt Node;
"Date: Fri Sep 12 11:17:10 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
343,811;15,59
344,072;15,64
344,334;15,67
344,595;15,68
344,856;15,72
345,117;15,72
345,379;15,75
345,64;15,76
345,901;15,77
346,162;15,77
346,423;15,79
346,684;15,78
346,946;15,8
347,207;15,82
347,468;15,83
347,729;15,83
347,99;15,85
348,251;15,87
348,512;15,89
348,773;15,91
349,034;15,94
349,295;15,95
349,556;15,97
349,817;15,98
350,078;16,02
350,339;16,04
350,6;16,09
350,86;16,1
351,121;16,16
351,382;16,18
351,643;16,23
351,904;16,28
352,165;16,33
352,425;16,35
352,686;16,41
352,947;16,44
353,208;16,5
353,468;16,55
353,729;16,6
353,99;16,62
354,25;16,67
354,511;16,71
354,772;16,77
355,032;16,81
355,293;16,86
355,553;16,9
355,814;16,95
356,074;16,97
356,335;17,01
356,596;17,05
356,856;17,11
357,116;17,14
357,377;17,19
357,637;17,21
357,898;17,26
358,158;17,29
358,419;17,33
358,679;17,35
358,939;17,41
359,2;17,45
359,46;17,51
359,72;17,54
359,981;17,6
360,241;17,62
360,501;17,65
360,761;17,68
361,022;17,72
361,282;17,75
361,542;17,81
361,802;17,85
362,062;17,91
362,323;17,94
362,583;18
362,843;18,03
363,103;18,09
363,363;18,11
363,623;18,16
363,883;18,18
364,143;18,25
364,403;18,26
364,663;18,32
364,923;18,36
365,183;18,41
365,443;18,44
365,703;18,49
365,963;18,52
366,223;18,56
366,483;18,59
366,743;18,65
367,002;18,68
367,262;18,73
367,522;18,75
367,782;18,79
368,042;18,8
368,301;18,83
368,561;18,85
368,821;18,88
369,081;18,91
369,34;18,95
369,6;18,96
369,86;19,01
370,119;19,03
370,379;19,06
370,638;19,1
370,898;19,12
371,158;19,15
371,417;19,21
371,677;19,25
371,936;19,3
372,196;19,34
372,455;19,37
372,715;19,41
372,974;19,46
373,234;19,5
373,493;19,58
373,753;19,6
374,012;19,67
374,271;19,72
374,531;19,77
374,79;19,82
375,049;19,88
375,309;19,9
375,568;19,94
375,827;19,98
376,086;20,03
376,346;20,08
376,605;20,14
376,864;20,18
377,123;20,23
377,383;20,27
377,642;20,31
377,901;20,35
378,16;20,38
378,419;20,39
378,678;20,41
378,937;20,41
379,196;20,45
379,455;20,47
379,714;20,52
379,973;20,54
380,232;20,58
380,491;20,6
380,75;20,65
381,009;20,68
381,268;20,72
381,527;20,74
381,786;20,79
382,045;20,81
382,304;20,83
382,563;20,85
382,821;20,88
383,08;20,92
383,339;20,94
383,598;20,97
383,857;21,02
384,115;21,07
384,374;21,12
384,633;21,16
384,891;21,2
385,15;21,23
385,409;21,29
385,667;21,33
385,926;21,36
386,185;21,38
386,443;21,43
386,702;21,48
386,96;21,51
387,219;21,53
387,477;21,58
387,736;21,61
387,994;21,66
388,253;21,69
388,511;21,72
388,77;21,77
389,028;21,83
389,287;21,85
389,545;21,89
389,803;21,9
390,062;21,96
390,32;21,98
390,578;22,02
390,837;22,05
391,095;22,11
391,353;22,14
391,612;22,19
391,87;22,21
392,128;22,24
392,386;22,27
392,644;22,32
392,903;22,33
393,161;22,36
393,419;22,36
393,677;22,42
393,935;22,45
394,193;22,49
394,451;22,5
394,709;22,57
394,967;22,59
395,225;22,64
395,483;22,67
395,741;22,74
395,999;22,77
396,257;22,82
396,515;22,84
396,773;22,89
397,031;22,92
397,289;22,97
397,547;23
397,805;23,03
398,062;23,08
398,32;23,15
398,578;23,22
398,836;23,27
399,094;23,27
399,351;23,29
399,609;23,31
399,867;23,36
400,124;23,36
400,382;23,42
400,64;23,46
400,897;23,5
401,155;23,52
401,413;23,58
401,67;23,59
401,928;23,65
402,185;23,68
402,443;23,74
402,701;23,78
402,958;23,84
403,216;23,9
403,473;23,94
403,73;23,95
403,988;23,99
404,245;24,04
404,503;24,13
404,76;24,19
405,018;24,26
405,275;24,28
405,532;24,35
405,79;24,38
406,047;24,44
406,304;24,49
406,561;24,54
406,819;24,57
407,076;24,63
407,333;24,66
407,59;24,71
407,848;24,77
408,105;24,84
408,362;24,87
408,619;24,94
408,876;24,98
409,133;25,07
409,39;25,1
409,647;25,14
409,904;25,17
410,161;25,22
410,418;25,27
410,675;25,37
410,932;25,42
411,189;25,5
411,446;25,56
411,703;25,63
411,96;25,68
412,217;25,76
412,474;25,82
412,731;25,9
412,988;25,95
413,245;26,03
413,501;26,04
413,758;26,1
414,015;26,14
414,272;26,19
414,529;26,26
414,785;26,32
415,042;26,39
415,299;26,45
415,555;26,5
415,812;26,55
416,069;26,58
416,325;26,66
416,582;26,7
416,838;26,77
417,095;26,82
417,352;26,89
417,608;26,95
417,865;27,02
418,121;27,11
418,378;27,21
418,634;27,32
418,891;27,45
419,147;27,54
419,403;27,64
419,66;27,74
419,916;27,85
420,173;27,92
420,429;28,01
420,685;28,09
420,942;28,2
421,198;28,31
421,454;28,41
421,711;28,48
421,967;28,58
422,223;28,62
422,479;28,74
422,735;28,8
422,992;28,87
423,248;28,94
423,504;29
423,76;29,05
424,016;29,1
424,272;29,14
424,528;29,22
424,784;29,29
425,041;29,37
425,297;29,4
425,553;29,51
425,809;29,6
426,065;29,68
426,32;29,76
426,576;29,83
426,832;29,94
427,088;30,04
427,344;30,11
427,6;30,24
427,856;30,3
428,112;30,42
428,368;30,5
428,623;30,62
428,879;30,69
429,135;30,78
429,391;30,83
429,646;30,91
429,902;30,95
430,158;31,03
430,414;31,11
430,669;31,21
430,925;31,27
431,181;31,36
431,436;31,47
431,692;31,55
431,947;31,62
432,203;31,68
432,458;31,74
432,714;31,83
432,97;31,88
433,225;31,94
433,481;32,01
433,736;32,1
433,991;32,14
434,247;32,21
434,502;32,28
434,758;32,38
435,013;32,47
435,268;32,56
435,524;32,62
435,779;32,7
436,034;32,75
436,29;32,83
436,545;32,86
436,8;32,91
437,056;32,94
437,311;33,02
437,566;33,09
437,821;33,15
438,076;33,21
438,331;33,31
438,587;33,37
438,842;33,47
439,097;33,54
439,352;33,64
439,607;33,73
439,862;33,81
440,117;33,88
440,372;33,95
440,627;34,04
440,882;34,14
441,137;34,2
441,392;34,3
441,647;34,38
441,902;34,48
442,157;34,54
442,412;34,62
442,667;34,65
442,921;34,7
443,176;34,76
443,431;34,8
443,686;34,84
443,941;34,89
444,195;34,93
444,45;34,97
444,705;35,01
444,96;35,05
445,214;35,1
445,469;35,13
445,724;35,16
445,978;35,18
446,233;35,18
446,487;35,23
446,742;35,24
446,997;35,26
447,251;35,27
447,506;35,32
447,76;35,33
448,015;35,38
448,269;35,38
448,524;35,4
448,778;35,45
449,033;35,46
449,287;35,48
449,541;35,46
449,796;35,45
450,05;35,45
450,305;35,43
450,559;35,41
450,813;35,41
451,067;35,39
451,322;35,38
451,576;35,36
451,83;35,32
452,084;35,32
452,339;35,29
452,593;35,29
452,847;35,28
453,101;35,29
453,355;35,26
453,609;35,27
453,864;35,27
454,118;35,26
454,372;35,26
454,626;35,26
454,88;35,25
455,134;35,27
455,388;35,29
455,642;35,3
455,896;35,31
456,15;35,31
456,404;35,31
456,658;35,32
456,912;35,31
457,165;35,32
457,419;35,25
