Data from lapisWhite_Reflection__2__35.txt Node;
"Date: Fri Sep 12 11:16:31 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
340,935;47,88
341,197;47,96
341,458;48,02
341,72;48,09
341,981;48,17
342,243;48,24
342,504;48,32
342,766;48,37
343,027;48,41
343,288;48,48
343,55;48,54
343,811;48,6
344,072;48,66
344,334;48,71
344,595;48,76
344,856;48,82
345,117;48,87
345,379;48,94
345,64;48,99
345,901;49,04
346,162;49,1
346,423;49,14
346,684;49,17
346,946;49,23
347,207;49,27
347,468;49,32
347,729;49,37
347,99;49,42
348,251;49,5
348,512;49,58
348,773;49,62
349,034;49,65
349,295;49,69
349,556;49,75
349,817;49,81
350,078;49,91
350,339;49,97
350,6;50,03
350,86;50,07
351,121;50,11
351,382;50,16
351,643;50,22
351,904;50,32
352,165;50,4
352,425;50,47
352,686;50,57
352,947;50,63
353,208;50,7
353,468;50,76
353,729;50,81
353,99;50,86
354,25;50,94
354,511;51,02
354,772;51,12
355,032;51,18
355,293;51,28
355,553;51,33
355,814;51,39
356,074;51,46
356,335;51,53
356,596;51,62
356,856;51,67
357,116;51,73
357,377;51,8
357,637;51,86
357,898;51,94
358,158;51,98
358,419;52,05
358,679;52,11
358,939;52,18
359,2;52,27
359,46;52,35
359,72;52,4
359,981;52,5
360,241;52,56
360,501;52,63
360,761;52,7
361,022;52,75
361,282;52,83
361,542;52,91
361,802;53
362,062;53,07
362,323;53,15
362,583;53,23
362,843;53,29
363,103;53,38
363,363;53,43
363,623;53,51
363,883;53,56
364,143;53,64
364,403;53,7
364,663;53,77
364,923;53,84
365,183;53,92
365,443;54
365,703;54,04
365,963;54,1
366,223;54,14
366,483;54,19
366,743;54,25
367,002;54,31
367,262;54,36
367,522;54,41
367,782;54,47
368,042;54,51
368,301;54,56
368,561;54,59
368,821;54,67
369,081;54,72
369,34;54,81
369,6;54,86
369,86;54,92
370,119;54,96
370,379;55,04
370,638;55,09
370,898;55,12
371,158;55,2
371,417;55,26
371,677;55,33
371,936;55,39
372,196;55,44
372,455;55,5
372,715;55,58
372,974;55,66
373,234;55,73
373,493;55,82
373,753;55,87
374,012;55,96
374,271;56,01
374,531;56,06
374,79;56,12
375,049;56,22
375,309;56,28
375,568;56,34
375,827;56,37
376,086;56,47
376,346;56,54
376,605;56,6
376,864;56,68
377,123;56,77
377,383;56,85
377,642;56,92
377,901;57,01
378,16;57,06
378,419;57,11
378,678;57,18
378,937;57,23
379,196;57,33
379,455;57,37
379,714;57,43
379,973;57,52
380,232;57,58
380,491;57,62
380,75;57,68
381,009;57,73
381,268;57,8
381,527;57,81
381,786;57,88
382,045;57,94
382,304;58,02
382,563;58,04
382,821;58,08
383,08;58,15
383,339;58,19
383,598;58,21
383,857;58,27
384,115;58,33
384,374;58,4
384,633;58,44
384,891;58,53
385,15;58,57
385,409;58,63
385,667;58,68
385,926;58,7
386,185;58,79
386,443;58,87
386,702;58,94
386,96;59,03
387,219;59,07
387,477;59,13
387,736;59,15
387,994;59,23
388,253;59,29
388,511;59,35
388,77;59,42
389,028;59,51
389,287;59,57
389,545;59,62
389,803;59,68
390,062;59,74
390,32;59,78
390,578;59,85
390,837;59,91
391,095;59,98
391,353;60,07
391,612;60,09
391,87;60,15
392,128;60,21
392,386;60,28
392,644;60,36
392,903;60,42
393,161;60,47
393,419;60,52
393,677;60,6
393,935;60,65
394,193;60,7
394,451;60,76
394,709;60,81
394,967;60,89
395,225;60,93
395,483;60,98
395,741;61,05
395,999;61,14
396,257;61,21
396,515;61,26
396,773;61,36
397,031;61,42
397,289;61,48
397,547;61,54
397,805;61,59
398,062;61,64
398,32;61,71
398,578;61,8
398,836;61,87
399,094;61,91
399,351;61,98
399,609;62,07
399,867;62,12
400,124;62,17
400,382;62,24
400,64;62,32
400,897;62,4
401,155;62,47
401,413;62,56
401,67;62,62
401,928;62,7
402,185;62,76
402,443;62,87
402,701;62,96
402,958;63,04
403,216;63,11
403,473;63,2
403,73;63,25
403,988;63,34
404,245;63,42
404,503;63,51
404,76;63,6
405,018;63,68
405,275;63,79
405,532;63,89
405,79;63,96
406,047;64,03
406,304;64,13
406,561;64,22
406,819;64,27
407,076;64,36
407,333;64,44
407,59;64,53
407,848;64,59
408,105;64,68
408,362;64,76
408,619;64,85
408,876;64,94
409,133;65,06
409,39;65,13
409,647;65,2
409,904;65,28
410,161;65,32
410,418;65,39
410,675;65,48
410,932;65,54
411,189;65,65
411,446;65,76
411,703;65,8
411,96;65,86
412,217;65,98
412,474;66,05
412,731;66,13
412,988;66,23
413,245;66,35
413,501;66,43
413,758;66,53
414,015;66,59
414,272;66,63
414,529;66,69
414,785;66,78
415,042;66,86
415,299;66,96
415,555;67,08
415,812;67,16
416,069;67,21
