Data from lapisWhite_Reflection__0__33.txt Node;
"Date: Fri Sep 12 11:15:02 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
464,774;86,97
465,027;86,89
465,28;86,79
465,534;86,7
465,787;86,62
466,04;86,5
466,294;86,39
466,547;86,28
466,8;86,14
467,053;86,07
467,306;86,01
467,56;85,94
467,813;85,84
468,066;85,71
468,319;85,6
468,572;85,51
468,825;85,39
469,078;85,27
469,331;85,19
469,584;85,05
469,837;84,96
470,09;84,84
470,343;84,66
470,596;84,53
470,849;84,43
471,102;84,29
471,355;84,17
471,608;84,02
471,861;83,88
472,114;83,75
472,367;83,6
472,619;83,39
472,872;83,26
473,125;83,06
473,378;82,91
473,631;82,77
473,883;82,63
474,136;82,47
474,389;82,28
474,641;82,11
474,894;81,97
475,147;81,78
475,399;81,62
475,652;81,49
475,905;81,29
476,157;81,11
476,41;80,92
476,662;80,77
476,915;80,6
477,167;80,44
477,42;80,27
477,672;80,08
477,925;79,93
478,177;79,71
478,43;79,55
478,682;79,35
478,934;79,15
479,187;78,95
479,439;78,75
479,691;78,55
479,944;78,35
480,196;78,16
480,448;77,97
480,701;77,75
480,953;77,56
481,205;77,37
481,457;77,15
481,709;76,94
481,962;76,72
482,214;76,47
482,466;76,21
482,718;75,95
482,97;75,65
483,222;75,35
483,474;75,08
483,726;74,83
483,978;74,58
484,23;74,36
484,482;74,15
484,734;73,97
484,986;73,79
485,238;73,61
485,49;73,42
485,742;73,25
485,994;73,08
486,246;72,9
486,498;72,73
486,75;72,54
487,001;72,38
487,253;72,18
487,505;72
487,757;71,79
488,009;71,58
488,26;71,36
488,512;71,15
488,764;70,93
489,015;70,71
489,267;70,48
489,519;70,28
489,77;70,05
490,022;69,84
490,274;69,61
490,525;69,41
490,777;69,19
491,028;68,98
491,28;68,75
491,531;68,53
491,783;68,3
492,034;68,12
492,286;67,86
492,537;67,64
492,789;67,4
493,04;67,17
493,291;66,92
493,543;66,71
493,794;66,46
494,045;66,22
494,297;66
494,548;65,8
494,799;65,56
495,051;65,34
495,302;65,12
495,553;64,91
495,804;64,69
496,056;64,47
496,307;64,22
496,558;64
496,809;63,77
497,06;63,55
497,311;63,32
497,562;63,11
497,813;62,9
498,064;62,68
498,316;62,49
498,567;62,27
498,818;62,05
499,069;61,86
499,319;61,63
499,57;61,43
499,821;61,21
500,072;61,01
500,323;60,82
500,574;60,59
500,825;60,38
501,076;60,15
501,327;59,94
501,577;59,77
501,828;59,56
502,079;59,36
502,33;59,17
502,58;58,96
502,831;58,73
503,082;58,53
503,333;58,34
503,583;58,1
503,834;57,92
504,084;57,73
504,335;57,51
504,586;57,33
504,836;57,12
505,087;56,93
505,337;56,7
505,588;56,49
505,838;56,3
506,089;56,1
506,339;55,92
506,59;55,74
506,84;55,52
507,091;55,34
507,341;55,13
507,591;54,94
507,842;54,74
508,092;54,56
508,343;54,37
508,593;54,17
508,843;53,98
509,093;53,79
509,344;53,6
509,594;53,42
509,844;53,23
510,094;53,06
510,345;52,87
510,595;52,71
510,845;52,52
511,095;52,33
511,345;52,16
511,595;51,98
511,845;51,8
512,095;51,65
512,345;51,47
512,595;51,32
512,845;51,14
513,095;50,99
513,345;50,84
513,595;50,68
513,845;50,52
514,095;50,36
514,345;50,22
514,595;50,08
514,845;49,93
515,095;49,78
515,345;49,62
515,594;49,47
515,844;49,3
516,094;49,15
516,344;49
516,593;48,84
516,843;48,69
517,093;48,56
517,343;48,39
517,592;48,24
517,842;48,07
518,092;47,94
518,341;47,78
518,591;47,63
518,84;47,5
519,09;47,37
519,34;47,24
519,589;47,1
519,839;46,94
520,088;46,79
520,338;46,64
520,587;46,5
520,836;46,37
521,086;46,25
521,335;46,13
521,585;45,99
521,834;45,86
522,083;45,73
522,333;45,59
522,582;45,49
522,831;45,37
523,081;45,25
523,33;45,12
523,579;45,01
523,828;44,9
524,078;44,78
524,327;44,65
524,576;44,53
524,825;44,41
525,074;44,29
525,323;44,18
525,573;44,09
525,822;43,98
526,071;43,86
526,32;43,76
526,569;43,64
526,818;43,54
527,067;43,43
527,316;43,31
527,565;43,18
527,814;43,06
528,063;42,96
528,312;42,85
528,56;42,74
528,809;42,61
529,058;42,49
529,307;42,38
529,556;42,27
529,805;42,17
530,053;42,07
530,302;41,95
530,551;41,86
530,8;41,74
531,048;41,65
531,297;41,53
531,546;41,41
531,794;41,32
532,043;41,21
532,292;41,12
532,54;41,03
532,789;40,95
533,037;40,85
533,286;40,76
533,535;40,67
533,783;40,58
534,032;40,52
534,28;40,43
534,528;40,33
534,777;40,26
535,025;40,16
535,274;40,07
535,522;39,99
535,771;39,89
536,019;39,81
536,267;39,71
536,516;39,64
536,764;39,57
537,012;39,47
537,26;39,4
537,509;39,33
537,757;39,23
538,005;39,14
538,253;39,06
538,501;38,98
538,75;38,89
538,998;38,84
539,246;38,75
539,494;38,66
539,742;38,59
539,99;38,5
540,238;38,43
540,486;38,37
540,734;38,29
540,982;38,21
541,23;38,12
541,478;38,06
541,726;37,98
541,974;37,91
542,222;37,84
542,47;37,77
542,718;37,69
542,966;37,62
543,213;37,56
543,461;37,5
543,709;37,43
543,957;37,37
544,205;37,3
544,452;37,24
544,7;37,17
544,948;37,1
545,196;37,03
545,443;36,97
545,691;36,89
545,939;36,83
546,186;36,77
546,434;36,72
546,681;36,65
546,929;36,6
547,176;36,54
547,424;36,49
547,671;36,43
547,919;36,39
548,166;36,35
548,414;36,31
548,661;36,26
548,909;36,2
549,156;36,15
549,404;36,1
549,651;36,03
549,898;35,99
550,146;35,95
550,393;35,92
550,64;35,87
550,888;35,83
551,135;35,79
551,382;35,75
551,629;35,71
551,876;35,67
552,124;35,61
552,371;35,57
552,618;35,51
552,865;35,46
553,112;35,39
553,359;35,33
553,606;35,26
553,854;35,2
554,101;35,16
554,348;35,11
554,595;35,05
554,842;35,01
555,089;34,96
555,336;34,9
555,582;34,84
555,829;34,8
556,076;34,76
556,323;34,7
556,57;34,65
556,817;34,6
557,064;34,55
557,311;34,51
557,557;34,46
557,804;34,43
558,051;34,38
558,298;34,34
558,544;34,31
558,791;34,26
559,038;34,21
559,284;34,18
559,531;34,12
559,778;34,08
560,024;34,05
560,271;34,02
560,517;33,98
560,764;33,95
561,011;33,91
561,257;33,87
561,504;33,85
561,75;33,82
561,997;33,78
562,243;33,73
562,489;33,69
562,736;33,66
562,982;33,62
563,229;33,58
563,475;33,54
563,721;33,5
563,968;33,48
564,214;33,45
564,46;33,42
564,707;33,4
564,953;33,38
565,199;33,33
565,445;33,3
565,691;33,27
565,938;33,24
566,184;33,21
566,43;33,17
566,676;33,13
566,922;33,1
567,168;33,07
567,414;33,05
567,66;33,03
567,906;33,01
568,152;32,98
568,398;32,95
568,644;32,92
568,89;32,88
569,136;32,84
569,382;32,79
569,628;32,76
569,874;32,71
570,12;32,68
570,366;32,66
570,612;32,62
570,857;32,58
571,103;32,55
571,349;32,51
571,595;32,48
571,84;32,45
572,086;32,42
572,332;32,38
572,578;32,35
572,823;32,32
573,069;32,28
573,315;32,25
573,56;32,23
573,806;32,21
574,051;32,19
574,297;32,17
574,542;32,17
574,788;32,15
575,034;32,13
575,279;32,11
575,524;32,09
575,77;32,07
576,015;32,05
576,261;32,02
576,506;32
576,752;31,98
576,997;31,94
577,242;31,92
577,488;31,9
577,733;31,88
577,978;31,86
578,223;31,84
578,469;31,82
578,714;31,79
578,959;31,77
579,204;31,75
579,45;31,72
579,695;31,69
579,94;31,66
580,185;31,63
580,43;31,61
580,675;31,58
580,92;31,57
581,165;31,56
581,41;31,54
581,655;31,53
581,9;31,51
582,145;31,5
582,39;31,48
582,635;31,46
582,88;31,45
583,125;31,43
583,37;31,42
583,615;31,4
583,86;31,38
584,105;31,37
584,349;31,35
584,594;31,34
584,839;31,33
585,084;31,32
585,328;31,31
585,573;31,31
585,818;31,3
586,063;31,28
586,307;31,27
586,552;31,25
586,797;31,23
587,041;31,22
587,286;31,22
587,53;31,21
587,775;31,19
588,019;31,18
588,264;31,16
588,508;31,14
588,753;31,14
588,997;31,14
589,242;31,13
589,486;31,12
589,731;31,11
589,975;31,1
590,22;31,08
590,464;31,08
590,708;31,06
590,953;31,04
591,197;31,02
591,441;31,01
591,685;31
591,93;30,99
592,174;30,99
592,418;30,96
592,662;30,94
592,907;30,94
593,151;30,93
593,395;30,92
593,639;30,9
593,883;30,89
594,127;30,87
594,371;30,84
594,615;30,83
594,859;30,81
595,103;30,79
595,347;30,78
595,591;30,77
595,835;30,74
596,079;30,73
596,323;30,72
596,567;30,71
596,811;30,68
597,055;30,66
597,299;30,64
597,542;30,64
597,786;30,63
598,03;30,63
598,274;30,61
598,518;30,6
598,761;30,59
599,005;30,57
599,249;30,55
599,492;30,56
599,736;30,55
599,98;30,55
600,223;30,54
600,467;30,53
600,711;30,52
600,954;30,52
601,198;30,52
601,441;30,51
601,685;30,5
601,928;30,51
602,172;30,51
602,415;30,5
602,659;30,49
602,902;30,48
603,145;30,47
603,389;30,48
603,632;30,46
603,876;30,46
604,119;30,46
604,362;30,46
604,606;30,45
604,849;30,44
605,092;30,43
605,335;30,42
605,579;30,42
605,822;30,41
606,065;30,4
606,308;30,4
606,551;30,4
606,794;30,41
607,037;30,4
607,281;30,4
607,524;30,4
607,767;30,41
608,01;30,41
608,253;30,41
608,496;30,41
608,739;30,42
608,982;30,41
609,225;30,42
609,468;30,42
609,711;30,43
609,953;30,44
610,196;30,45
610,439;30,45
610,682;30,45
610,925;30,45
611,168;30,47
611,41;30,48
611,653;30,5
611,896;30,48
612,139;30,49
612,381;30,47
612,624;30,47
612,867;30,47
613,109;30,47
613,352;30,46
613,595;30,46
613,837;30,45
614,08;30,45
614,322;30,46
614,565;30,46
614,807;30,46
615,05;30,46
615,292;30,46
615,535;30,47
615,777;30,47
616,02;30,48
616,262;30,48
616,505;30,49
616,747;30,47
616,989;30,49
617,232;30,49
617,474;30,51
