Data from bitumeWhite_Reflection__2__06.txt Node;
"Date: Fri Sep 12 10:26:38 CEST 2025 User: sycur";
393,161;8,78
393,419;8,75
393,677;8,75
393,935;8,73
394,193;8,73
394,451;8,76
394,709;8,7
394,967;8,76
395,225;8,77
395,483;8,75
395,741;8,76
395,999;8,81
396,257;8,81
396,515;8,8
396,773;8,81
397,031;8,82
397,289;8,83
397,547;8,81
397,805;8,81
398,062;8,8
398,32;8,81
398,578;8,83
398,836;8,82
399,094;8,81
399,351;8,82
399,609;8,81
399,867;8,75
400,124;8,77
400,382;8,75
400,64;8,79
400,897;8,86
401,155;8,79
401,413;8,81
401,67;8,8
401,928;8,83
402,185;8,77
402,443;8,77
402,701;8,76
402,958;8,75
403,216;8,77
403,473;8,75
403,73;8,75
403,988;8,74
404,245;8,8
404,503;8,83
404,76;8,86
405,018;8,88
405,275;8,9
405,532;8,89
405,79;8,85
406,047;8,81
406,304;8,77
406,561;8,81
406,819;8,79
407,076;8,81
407,333;8,76
407,59;8,79
407,848;8,78
408,105;8,8
408,362;8,79
408,619;8,8
408,876;8,8
409,133;8,79
409,39;8,81
409,647;8,75
409,904;8,73
410,161;8,7
410,418;8,73
410,675;8,73
410,932;8,74
411,189;8,74
411,446;8,79
411,703;8,78
411,96;8,79
412,217;8,78
412,474;8,77
412,731;8,77
412,988;8,76
413,245;8,81
413,501;8,75
413,758;8,77
414,015;8,73
414,272;8,74
414,529;8,76
414,785;8,77
415,042;8,79
415,299;8,76
415,555;8,74
415,812;8,69
416,069;8,74
416,325;8,73
416,582;8,74
416,838;8,73
417,095;8,7
417,352;8,62
417,608;8,63
417,865;8,58
418,121;8,62
418,378;8,64
418,634;8,62
418,891;8,65
419,147;8,67
419,403;8,68
419,66;8,7
419,916;8,7
420,173;8,68
420,429;8,66
420,685;8,69
420,942;8,75
421,198;8,74
421,454;8,75
421,711;8,79
421,967;8,78
422,223;8,74
422,479;8,81
422,735;8,85
422,992;8,81
423,248;8,82
423,504;8,83
423,76;8,85
424,016;8,86
424,272;8,87
424,528;8,87
424,784;8,89
425,041;8,85
425,297;8,84
425,553;8,85
425,809;8,89
426,065;8,87
426,32;8,84
426,576;8,86
426,832;8,82
427,088;8,78
427,344;8,79
427,6;8,79
427,856;8,74
428,112;8,77
428,368;8,81
428,623;8,81
428,879;8,78
429,135;8,76
429,391;8,73
429,646;8,7
429,902;8,66
430,158;8,65
430,414;8,67
430,669;8,7
430,925;8,69
431,181;8,67
431,436;8,68
431,692;8,67
431,947;8,65
432,203;8,67
432,458;8,68
432,714;8,64
432,97;8,65
433,225;8,65
433,481;8,63
433,736;8,6
433,991;8,61
434,247;8,59
434,502;8,57
434,758;8,58
435,013;8,62
435,268;8,64
435,524;8,64
435,779;8,66
436,034;8,65
436,29;8,66
436,545;8,63
436,8;8,66
437,056;8,62
437,311;8,64
437,566;8,61
437,821;8,65
438,076;8,64
438,331;8,67
