Data from bitumeWhite_Reflection__5__09.txt Node;
"Date: Fri Sep 12 10:29:11 CEST 2025 User: sycur";
335,44;12,94
335,702;12,93
335,964;12,96
336,226;12,94
336,488;12,95
336,749;12,97
337,011;13,01
337,273;13
337,535;13
337,796;12,97
338,058;12,98
338,32;12,99
338,581;12,99
338,843;12,99
339,105;13
339,366;12,99
339,628;12,99
339,889;12,98
340,151;13
340,412;12,98
340,674;12,98
340,935;12,97
341,197;12,99
341,458;12,97
341,72;13
341,981;12,99
342,243;12,98
342,504;12,96
342,766;12,97
343,027;12,95
343,288;12,95
343,55;12,93
343,811;12,93
344,072;12,94
344,334;12,93
344,595;12,91
344,856;12,88
345,117;12,87
345,379;12,88
345,64;12,85
345,901;12,84
346,162;12,81
346,423;12,79
346,684;12,73
346,946;12,72
347,207;12,69
347,468;12,67
347,729;12,62
347,99;12,59
348,251;12,54
348,512;12,52
348,773;12,5
349,034;12,49
349,295;12,46
349,556;12,43
349,817;12,41
350,078;12,39
350,339;12,42
350,6;12,42
350,86;12,37
351,121;12,39
351,382;12,37
351,643;12,35
351,904;12,33
352,165;12,36
352,425;12,34
352,686;12,35
352,947;12,34
353,208;12,38
353,468;12,4
353,729;12,41
353,99;12,4
354,25;12,4
354,511;12,37
354,772;12,36
355,032;12,38
355,293;12,38
355,553;12,38
355,814;12,35
356,074;12,33
356,335;12,3
356,596;12,28
356,856;12,29
357,116;12,3
357,377;12,34
357,637;12,31
357,898;12,33
358,158;12,31
358,419;12,3
358,679;12,27
358,939;12,25
359,2;12,25
359,46;12,27
359,72;12,26
359,981;12,29
360,241;12,26
360,501;12,26
360,761;12,27
361,022;12,26
361,282;12,3
361,542;12,31
361,802;12,32
362,062;12,33
362,323;12,31
362,583;12,33
362,843;12,32
363,103;12,34
363,363;12,29
363,623;12,31
363,883;12,32
364,143;12,32
364,403;12,31
364,663;12,33
364,923;12,31
365,183;12,33
365,443;12,34
365,703;12,37
365,963;12,34
366,223;12,33
366,483;12,32
366,743;12,3
367,002;12,31
367,262;12,35
367,522;12,33
367,782;12,33
368,042;12,3
368,301;12,29
368,561;12,28
368,821;12,29
369,081;12,24
369,34;12,22
369,6;12,19
369,86;12,22
370,119;12,17
370,379;12,17
370,638;12,16
370,898;12,11
371,158;12,1
371,417;12,12
371,677;12,11
371,936;12,1
372,196;12,1
372,455;12,07
372,715;12,06
372,974;12,08
373,234;12,09
373,493;12,12
373,753;12,1
374,012;12,11
374,271;12,13
374,531;12,18
374,79;12,19
375,049;12,21
375,309;12,18
375,568;12,19
375,827;12,18
376,086;12,18
376,346;12,21
376,605;12,25
376,864;12,25
377,123;12,25
377,383;12,27
377,642;12,27
377,901;12,28
378,16;12,27
378,419;12,24
378,678;12,23
378,937;12,2
379,196;12,2
379,455;12,18
379,714;12,17
379,973;12,13
380,232;12,13
380,491;12,14
380,75;12,14
381,009;12,15
381,268;12,17
381,527;12,18
381,786;12,16
382,045;12,13
382,304;12,14
382,563;12,13
382,821;12,13
383,08;12,14
383,339;12,15
383,598;12,14
383,857;12,14
384,115;12,15
384,374;12,17
384,633;12,18
384,891;12,2
385,15;12,2
385,409;12,23
385,667;12,24
385,926;12,19
386,185;12,16
386,443;12,17
386,702;12,14
386,96;12,13
387,219;12,12
387,477;12,12
387,736;12,1
387,994;12,12
388,253;12,11
388,511;12,1
388,77;12,09
389,028;12,1
389,287;12,12
389,545;12,12
389,803;12,08
390,062;12,08
390,32;12,07
390,578;12,06
390,837;12,06
391,095;12,05
391,353;12,09
391,612;12,08
391,87;12,09
392,128;12,11
392,386;12,1
392,644;12,11
392,903;12,11
393,161;12,09
393,419;12,07
393,677;12,06
393,935;12,04
394,193;12,04
394,451;12,05
394,709;12
394,967;12,02
