Data from bitumeWhite_Reflection__0__04.txt Node;
"Date: Fri Sep 12 10:24:23 CEST 2025 User: sycur";
360,761;53,35
361,022;53,35
361,282;53,34
361,542;53,37
361,802;53,38
362,062;53,4
362,323;53,38
362,583;53,36
362,843;53,33
363,103;53,34
363,363;53,33
363,623;53,36
363,883;53,36
364,143;53,37
364,403;53,37
364,663;53,36
364,923;53,35
365,183;53,35
365,443;53,34
365,703;53,32
365,963;53,28
366,223;53,26
366,483;53,25
366,743;53,26
367,002;53,24
367,262;53,21
367,522;53,19
367,782;53,21
368,042;53,21
368,301;53,22
368,561;53,19
368,821;53,19
369,081;53,17
369,34;53,15
369,6;53,13
369,86;53,1
370,119;53,1
370,379;53,07
370,638;53,08
370,898;53,06
371,158;53,06
371,417;53,07
371,677;53,09
371,936;53,1
372,196;53,09
372,455;53,06
372,715;53,06
372,974;53,06
373,234;53,03
373,493;53,04
373,753;53,01
374,012;53,02
374,271;52,98
374,531;52,99
374,79;52,98
375,049;52,99
375,309;53,01
375,568;53,01
375,827;53,03
376,086;53,02
376,346;53,04
376,605;53,05
376,864;53,06
377,123;53,06
377,383;53,08
377,642;53,08
377,901;53,1
378,16;53,1
378,419;53,09
378,678;53,09
378,937;53,08
379,196;53,09
379,455;53,06
379,714;53,08
379,973;53,08
380,232;53,09
380,491;53,08
380,75;53,07
381,009;53,06
381,268;53,05
381,527;53,03
381,786;53,03
382,045;53,05
382,304;53,05
382,563;53,02
382,821;52,99
383,08;52,99
383,339;52,97
383,598;52,93
383,857;52,94
384,115;52,95
384,374;52,96
384,633;52,95
384,891;52,98
385,15;52,99
385,409;52,99
385,667;52,98
385,926;52,96
386,185;52,96
386,443;52,95
386,702;52,97
386,96;52,98
387,219;52,98
387,477;52,92
387,736;52,89
387,994;52,93
388,253;52,91
388,511;52,89
388,77;52,87
389,028;52,89
389,287;52,9
389,545;52,9
389,803;52,89
390,062;52,91
390,32;52,91
390,578;52,88
390,837;52,87
391,095;52,87
391,353;52,88
391,612;52,87
391,87;52,87
392,128;52,85
392,386;52,83
392,644;52,83
392,903;52,82
393,161;52,8
393,419;52,74
393,677;52,74
393,935;52,72
394,193;52,75
394,451;52,76
394,709;52,75
394,967;52,74
395,225;52,73
395,483;52,7
395,741;52,67
395,999;52,7
396,257;52,69
396,515;52,69
396,773;52,69
397,031;52,69
397,289;52,69
397,547;52,67
397,805;52,67
398,062;52,68
398,32;52,72
398,578;52,72
398,836;52,76
399,094;52,76
399,351;52,77
399,609;52,73
399,867;52,7
400,124;52,69
400,382;52,7
400,64;52,68
400,897;52,67
401,155;52,67
401,413;52,65
401,67;52,63
401,928;52,64
402,185;52,6
402,443;52,61
402,701;52,59
402,958;52,59
403,216;52,56
403,473;52,55
403,73;52,48
403,988;52,5
404,245;52,48
404,503;52,48
404,76;52,48
405,018;52,5
405,275;52,51
405,532;52,51
405,79;52,47
406,047;52,48
406,304;52,49
406,561;52,5
406,819;52,48
407,076;52,5
407,333;52,47
407,59;52,5
407,848;52,47
408,105;52,49
408,362;52,48
408,619;52,5
408,876;52,48
409,133;52,52
409,39;52,49
409,647;52,52
409,904;52,52
410,161;52,52
410,418;52,52
410,675;52,56
410,932;52,56
411,189;52,58
411,446;52,58
411,703;52,57
411,96;52,57
412,217;52,58
412,474;52,58
412,731;52,6
412,988;52,59
413,245;52,61
413,501;52,58
413,758;52,6
414,015;52,59
414,272;52,58
414,529;52,58
414,785;52,61
415,042;52,58
415,299;52,58
415,555;52,57
415,812;52,56
416,069;52,51
416,325;52,52
416,582;52,5
416,838;52,49
417,095;52,47
417,352;52,46
417,608;52,46
417,865;52,46
418,121;52,45
418,378;52,5
418,634;52,5
418,891;52,54
419,147;52,54
419,403;52,58
419,66;52,6
419,916;52,64
420,173;52,64
420,429;52,67
420,685;52,68
420,942;52,69
421,198;52,68
421,454;52,72
421,711;52,7
421,967;52,75
422,223;52,77
422,479;52,81
422,735;52,81
422,992;52,82
423,248;52,82
423,504;52,83
423,76;52,77
424,016;52,77
424,272;52,75
424,528;52,76
424,784;52,75
425,041;52,74
425,297;52,73
425,553;52,73
425,809;52,71
426,065;52,7
426,32;52,71
426,576;52,74
426,832;52,73
427,088;52,78
427,344;52,76
427,6;52,74
427,856;52,73
428,112;52,77
428,368;52,77
428,623;52,77
428,879;52,77
429,135;52,8
429,391;52,77
429,646;52,79
429,902;52,78
430,158;52,82
430,414;52,82
430,669;52,82
430,925;52,84
431,181;52,88
431,436;52,91
431,692;52,91
431,947;52,92
432,203;52,92
432,458;52,91
432,714;52,93
432,97;52,95
433,225;52,98
433,481;52,93
433,736;52,95
433,991;52,96
434,247;53
434,502;53
434,758;53,03
435,013;53,05
435,268;53,07
435,524;53,05
435,779;53,08
436,034;53,08
436,29;53,1
436,545;53,08
436,8;53,09
437,056;53,1
437,311;53,07
437,566;53,08
437,821;53,1
438,076;53,1
438,331;53,14
438,587;53,13
438,842;53,19
439,097;53,19
439,352;53,24
439,607;53,23
439,862;53,25
440,117;53,28
440,372;53,28
440,627;53,28
440,882;53,31
441,137;53,33
441,392;53,37
441,647;53,38
441,902;53,4
442,157;53,41
442,412;53,43
442,667;53,48
442,921;53,49
443,176;53,53
443,431;53,53
443,686;53,53
443,941;53,56
444,195;53,57
444,45;53,61
444,705;53,58
444,96;53,61
445,214;53,62
445,469;53,65
445,724;53,65
445,978;53,67
446,233;53,65
446,487;53,66
446,742;53,65
446,997;53,68
447,251;53,67
447,506;53,66
447,76;53,66
448,015;53,67
448,269;53,66
448,524;53,65
448,778;53,65
449,033;53,65
449,287;53,63
449,541;53,64
449,796;53,62
450,05;53,63
450,305;53,59
450,559;53,57
450,813;53,54
451,067;53,51
451,322;53,51
451,576;53,54
451,83;53,51
452,084;53,5
452,339;53,48
452,593;53,5
452,847;53,5
453,101;53,51
453,355;53,5
453,609;53,5
453,864;53,51
454,118;53,52
454,372;53,53
454,626;53,55
454,88;53,53
455,134;53,55
455,388;53,59
455,642;53,65
455,896;53,68
456,15;53,73
456,404;53,76
456,658;53,79
456,912;53,78
457,165;53,84
457,419;53,84
457,673;53,85
457,927;53,84
458,181;53,86
458,435;53,88
458,688;53,92
458,942;53,9
459,196;53,91
459,45;53,9
459,703;53,91
459,957;53,92
460,211;53,94
460,464;53,91
460,718;53,91
460,972;53,92
461,225;53,93
461,479;53,95
461,732;53,97
461,986;53,96
462,239;53,98
462,493;53,98
462,746;54,05
463;54,07
463,253;54,11
463,507;54,13
463,76;54,16
464,014;54,14
464,267;54,2
464,52;54,2
464,774;54,24
465,027;54,26
465,28;54,26
465,534;54,26
465,787;54,31
466,04;54,29
466,294;54,29
466,547;54,3
466,8;54,31
467,053;54,29
467,306;54,32
467,56;54,33
467,813;54,36
468,066;54,36
468,319;54,39
468,572;54,39
468,825;54,4
469,078;54,4
469,331;54,46
469,584;54,46
469,837;54,48
470,09;54,52
470,343;54,51
470,596;54,56
470,849;54,61
471,102;54,63
471,355;54,7
471,608;54,73
471,861;54,77
472,114;54,8
472,367;54,86
472,619;54,88
472,872;54,91
473,125;54,94
473,378;54,97
473,631;54,99
473,883;55,04
474,136;55,09
474,389;55,13
474,641;55,13
474,894;55,15
475,147;55,19
475,399;55,21
475,652;55,28
475,905;55,31
476,157;55,33
476,41;55,36
476,662;55,39
476,915;55,41
477,167;55,43
477,42;55,47
477,672;55,49
477,925;55,53
478,177;55,52
478,43;55,55
478,682;55,58
478,934;55,61
479,187;55,62
479,439;55,63
479,691;55,65
479,944;55,68
480,196;55,71
480,448;55,75
480,701;55,75
480,953;55,79
481,205;55,81
481,457;55,83
481,709;55,87
481,962;55,92
482,214;55,97
482,466;56,03
482,718;56,07
482,97;56,12
483,222;56,16
483,474;56,22
483,726;56,25
483,978;56,24
484,23;56,26
484,482;56,29
484,734;56,31
484,986;56,33
485,238;56,35
485,49;56,36
485,742;56,37
485,994;56,41
486,246;56,41
486,498;56,4
486,75;56,41
487,001;56,41
487,253;56,42
487,505;56,42
487,757;56,4
488,009;56,41
488,26;56,38
488,512;56,36
488,764;56,36
489,015;56,36
489,267;56,37
489,519;56,38
489,77;56,38
490,022;56,38
490,274;56,39
490,525;56,41
490,777;56,42
491,028;56,42
491,28;56,41
491,531;56,41
491,783;56,41
492,034;56,45
492,286;56,46
492,537;56,45
492,789;56,45
493,04;56,46
493,291;56,44
493,543;56,47
493,794;56,49
494,045;56,48
494,297;56,5
494,548;56,51
494,799;56,51
495,051;56,53
495,302;56,53
495,553;56,55
495,804;56,54
496,056;56,57
496,307;56,58
496,558;56,6
496,809;56,61
497,06;56,63
497,311;56,64
497,562;56,65
497,813;56,67
498,064;56,67
498,316;56,69
498,567;56,68
498,818;56,7
499,069;56,73
499,319;56,76
499,57;56,75
499,821;56,76
500,072;56,77
500,323;56,8
500,574;56,81
500,825;56,82
501,076;56,82
501,327;56,82
501,577;56,84
501,828;56,83
502,079;56,86
502,33;56,87
502,58;56,86
502,831;56,86
503,082;56,88
503,333;56,9
503,583;56,9
503,834;56,94
504,084;56,94
504,335;56,94
504,586;56,94
504,836;56,96
505,087;56,97
505,337;56,97
505,588;56,96
505,838;56,97
506,089;56,97
506,339;57,01
506,59;57,02
506,84;57,01
507,091;57,04
507,341;57,04
507,591;57,07
507,842;57,07
508,092;57,08
508,343;57,06
508,593;57,08
508,843;57,08
509,093;57,09
509,344;57,1
509,594;57,09
509,844;57,1
510,094;57,1
510,345;57,12
510,595;57,14
510,845;57,14
511,095;57,15
511,345;57,15
511,595;57,15
511,845;57,14
512,095;57,17
512,345;57,17
512,595;57,18
512,845;57,16
513,095;57,18
513,345;57,21
513,595;57,23
513,845;57,24
514,095;57,26
514,345;57,27
514,595;57,28
514,845;57,3
515,095;57,32
515,345;57,33
515,594;57,34
515,844;57,35
516,094;57,36
516,344;57,36
516,593;57,38
516,843;57,4
517,093;57,43
517,343;57,44
517,592;57,48
517,842;57,48
518,092;57,5
518,341;57,5
518,591;57,5
518,84;57,5
519,09;57,51
519,34;57,53
519,589;57,54
519,839;57,56
520,088;57,56
520,338;57,56
520,587;57,57
520,836;57,59
521,086;57,62
521,335;57,64
521,585;57,64
521,834;57,65
522,083;57,66
522,333;57,67
522,582;57,67
522,831;57,67
523,081;57,68
523,33;57,69
523,579;57,71
523,828;57,72
524,078;57,74
524,327;57,76
524,576;57,76
524,825;57,77
525,074;57,79
525,323;57,8
525,573;57,8
525,822;57,81
526,071;57,8
526,32;57,83
526,569;57,84
526,818;57,85
527,067;57,85
527,316;57,87
527,565;57,87
527,814;57,86
528,063;57,86
528,312;57,87
528,56;57,89
528,809;57,89
529,058;57,89
529,307;57,89
529,556;57,91
529,805;57,92
530,053;57,93
530,302;57,93
530,551;57,96
530,8;57,97
531,048;57,96
531,297;57,95
531,546;57,94
531,794;57,95
532,043;57,96
532,292;57,96
532,54;57,96
532,789;57,97
533,037;57,98
533,286;58
533,535;58,03
533,783;58,02
534,032;58,03
534,28;58,04
534,528;58,04
534,777;58,05
535,025;58,05
535,274;58,07
535,522;58,08
535,771;58,08
536,019;58,1
536,267;58,12
536,516;58,15
536,764;58,17
537,012;58,19
537,26;58,19
537,509;58,21
537,757;58,19
538,005;58,21
538,253;58,23
538,501;58,24
538,75;58,23
538,998;58,26
539,246;58,28
539,494;58,3
539,742;58,31
539,99;58,32
540,238;58,34
540,486;58,33
540,734;58,33
540,982;58,33
541,23;58,33
541,478;58,35
541,726;58,35
541,974;58,35
542,222;58,35
542,47;58,36
542,718;58,38
542,966;58,39
543,213;58,4
543,461;58,41
543,709;58,42
543,957;58,43
544,205;58,44
544,452;58,45
544,7;58,45
544,948;58,44
545,196;58,44
545,443;58,43
545,691;58,45
545,939;58,47
546,186;58,49
546,434;58,5
546,681;58,52
546,929;58,54
547,176;58,56
547,424;58,55
547,671;58,56
547,919;58,58
548,166;58,6
548,414;58,61
548,661;58,62
548,909;58,63
549,156;58,65
549,404;58,64
549,651;58,65
549,898;58,65
550,146;58,68
550,393;58,69
550,64;58,72
550,888;58,72
551,135;58,73
551,382;58,74
551,629;58,76
551,876;58,76
552,124;58,77
552,371;58,77
552,618;58,78
552,865;58,78
553,112;58,76
553,359;58,77
553,606;58,77
553,854;58,78
554,101;58,79
554,348;58,79
554,595;58,8
554,842;58,81
555,089;58,83
555,336;58,83
555,582;58,85
555,829;58,84
556,076;58,85
556,323;58,85
556,57;58,87
556,817;58,9
557,064;58,9
557,311;58,9
557,557;58,91
557,804;58,94
558,051;58,96
558,298;58,97
558,544;58,97
558,791;58,98
559,038;58,99
559,284;59,01
559,531;59,03
559,778;59,03
560,024;59,04
560,271;59,05
560,517;59,07
560,764;59,08
561,011;59,11
561,257;59,12
561,504;59,12
561,75;59,13
561,997;59,13
562,243;59,15
562,489;59,15
562,736;59,17
562,982;59,18
563,229;59,18
563,475;59,21
563,721;59,24
563,968;59,25
564,214;59,26
564,46;59,26
564,707;59,27
564,953;59,3
565,199;59,3
565,445;59,32
565,691;59,33
565,938;59,33
566,184;59,33
566,43;59,34
566,676;59,35
566,922;59,35
567,168;59,36
567,414;59,36
567,66;59,38
567,906;59,39
568,152;59,39
568,398;59,39
568,644;59,37
568,89;59,36
569,136;59,36
569,382;59,36
569,628;59,36
569,874;59,34
570,12;59,34
570,366;59,35
570,612;59,34
570,857;59,33
571,103;59,35
571,349;59,34
571,595;59,34
571,84;59,34
572,086;59,35
572,332;59,34
572,578;59,35
572,823;59,34
573,069;59,33
573,315;59,33
573,56;59,34
573,806;59,34
574,051;59,36
574,297;59,37
574,542;59,39
574,788;59,4
575,034;59,41
575,279;59,41
575,524;59,41
575,77;59,41
576,015;59,42
576,261;59,41
576,506;59,41
576,752;59,41
576,997;59,39
577,242;59,39
577,488;59,4
577,733;59,4
577,978;59,41
578,223;59,41
578,469;59,41
578,714;59,41
578,959;59,44
579,204;59,44
579,45;59,44
579,695;59,44
579,94;59,44
580,185;59,45
580,43;59,45
580,675;59,46
580,92;59,47
581,165;59,49
581,41;59,5
581,655;59,5
581,9;59,52
582,145;59,53
582,39;59,53
582,635;59,54
582,88;59,55
583,125;59,54
583,37;59,56
583,615;59,58
583,86;59,6
584,105;59,57
584,349;59,58
584,594;59,6
584,839;59,6
585,084;59,61
585,328;59,61
585,573;59,64
585,818;59,65
586,063;59,65
586,307;59,65
586,552;59,64
586,797;59,67
587,041;59,68
587,286;59,69
587,53;59,71
587,775;59,7
588,019;59,72
588,264;59,74
588,508;59,75
588,753;59,75
588,997;59,75
589,242;59,79
589,486;59,79
589,731;59,81
589,975;59,83
590,22;59,84
590,464;59,86
590,708;59,85
590,953;59,86
591,197;59,87
591,441;59,88
591,685;59,89
591,93;59,89
592,174;59,9
592,418;59,89
592,662;59,91
592,907;59,93
593,151;59,91
593,395;59,92
593,639;59,93
593,883;59,94
594,127;59,94
594,371;59,92
594,615;59,92
594,859;59,91
595,103;59,91
595,347;59,9
595,591;59,89
595,835;59,88
596,079;59,87
596,323;59,87
596,567;59,87
596,811;59,87
597,055;59,86
597,299;59,87
597,542;59,87
597,786;59,86
598,03;59,87
598,274;59,87
598,518;59,86
598,761;59,85
599,005;59,84
599,249;59,84
599,492;59,85
599,736;59,87
599,98;59,89
600,223;59,91
600,467;59,91
600,711;59,93
600,954;59,95
601,198;59,97
601,441;59,99
601,685;60
601,928;60,02
602,172;60,03
602,415;60,02
602,659;60,03
602,902;60,04
603,145;60,05
603,389;60,06
603,632;60,08
603,876;60,09
604,119;60,12
604,362;60,14
604,606;60,15
604,849;60,15
605,092;60,15
605,335;60,15
605,579;60,17
605,822;60,18
606,065;60,17
606,308;60,17
606,551;60,17
606,794;60,16
607,037;60,17
607,281;60,18
607,524;60,2
607,767;60,21
608,01;60,2
608,253;60,21
608,496;60,23
608,739;60,23
608,982;60,22
609,225;60,23
609,468;60,24
609,711;60,25
609,953;60,26
610,196;60,28
610,439;60,3
610,682;60,3
610,925;60,28
611,168;60,31
611,41;60,31
611,653;60,33
611,896;60,35
612,139;60,34
612,381;60,33
612,624;60,33
612,867;60,35
613,109;60,37
613,352;60,37
613,595;60,37
613,837;60,38
614,08;60,39
614,322;60,39
614,565;60,41
614,807;60,39
615,05;60,39
615,292;60,39
615,535;60,37
615,777;60,37
616,02;60,4
616,262;60,41
616,505;60,43
616,747;60,42
616,989;60,43
617,232;60,47
617,474;60,47
617,716;60,51
617,959;60,51
618,201;60,51
618,443;60,53
618,685;60,54
618,927;60,57
619,17;60,58
619,412;60,59
619,654;60,6
619,896;60,63
620,138;60,65
620,38;60,66
620,622;60,68
620,864;60,69
621,107;60,7
621,349;60,69
621,591;60,7
621,833;60,73
622,075;60,73
622,316;60,73
622,558;60,75
622,8;60,75
623,042;60,77
623,284;60,78
623,526;60,77
623,768;60,78
624,01;60,78
624,251;60,8
624,493;60,81
624,735;60,8
624,977;60,8
625,218;60,82
625,46;60,83
625,702;60,85
625,943;60,87
626,185;60,89
626,427;60,89
626,668;60,9
626,91;60,9
627,152;60,92
627,393;60,93
627,635;60,94
627,876;60,96
628,118;60,98
628,359;61
628,601;61,01
628,842;61,01
629,084;61,02
629,325;61,02
629,566;61,03
629,808;61,05
