Data from IndigoWhite_Reflection__2__54.txt Node;
"Date: Fri Sep 12 11:52:37 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
417,352;9,33
417,608;9,35
417,865;9,35
418,121;9,36
418,378;9,4
418,634;9,41
418,891;9,45
419,147;9,48
419,403;9,49
419,66;9,49
419,916;9,51
420,173;9,53
420,429;9,54
420,685;9,56
420,942;9,58
421,198;9,58
421,454;9,61
421,711;9,64
421,967;9,66
422,223;9,64
422,479;9,68
422,735;9,67
422,992;9,66
423,248;9,67
423,504;9,67
423,76;9,66
424,016;9,66
424,272;9,66
424,528;9,66
424,784;9,7
425,041;9,7
425,297;9,69
425,553;9,68
425,809;9,69
426,065;9,7
426,32;9,7
426,576;9,73
426,832;9,74
427,088;9,72
427,344;9,73
427,6;9,75
427,856;9,74
428,112;9,77
428,368;9,79
428,623;9,79
428,879;9,78
429,135;9,78
429,391;9,79
429,646;9,8
429,902;9,79
430,158;9,78
430,414;9,78
430,669;9,79
430,925;9,78
431,181;9,79
431,436;9,78
431,692;9,79
431,947;9,76
432,203;9,76
432,458;9,77
432,714;9,77
432,97;9,76
433,225;9,76
433,481;9,74
433,736;9,73
433,991;9,73
434,247;9,74
434,502;9,75
434,758;9,75
435,013;9,75
435,268;9,76
435,524;9,76
435,779;9,78
436,034;9,79
436,29;9,81
436,545;9,79
436,8;9,78
437,056;9,78
437,311;9,8
437,566;9,78
437,821;9,78
438,076;9,77
438,331;9,77
438,587;9,78
438,842;9,79
439,097;9,78
439,352;9,79
439,607;9,79
439,862;9,79
440,117;9,8
440,372;9,78
440,627;9,77
440,882;9,78
441,137;9,77
441,392;9,77
441,647;9,77
441,902;9,79
442,157;9,79
442,412;9,79
442,667;9,77
442,921;9,8
443,176;9,82
443,431;9,83
443,686;9,82
443,941;9,81
444,195;9,81
444,45;9,82
444,705;9,81
444,96;9,8
445,214;9,79
445,469;9,79
445,724;9,79
445,978;9,79
446,233;9,77
446,487;9,76
446,742;9,75
446,997;9,74
447,251;9,71
447,506;9,74
447,76;9,74
448,015;9,74
448,269;9,7
448,524;9,67
448,778;9,65
449,033;9,64
449,287;9,65
449,541;9,64
449,796;9,62
450,05;9,62
450,305;9,6
450,559;9,6
450,813;9,59
451,067;9,58
451,322;9,58
451,576;9,58
451,83;9,56
452,084;9,55
452,339;9,53
452,593;9,54
452,847;9,49
453,101;9,5
453,355;9,5
453,609;9,48
453,864;9,49
454,118;9,49
454,372;9,48
454,626;9,49
454,88;9,47
455,134;9,48
455,388;9,49
455,642;9,5
455,896;9,49
456,15;9,49
456,404;9,5
456,658;9,49
456,912;9,49
457,165;9,51
457,419;9,5
457,673;9,53
457,927;9,51
458,181;9,52
458,435;9,53
458,688;9,52
458,942;9,52
459,196;9,49
459,45;9,49
459,703;9,48
459,957;9,47
460,211;9,46
460,464;9,47
460,718;9,46
460,972;9,48
461,225;9,46
461,479;9,46
461,732;9,47
461,986;9,46
462,239;9,46
462,493;9,47
462,746;9,49
463;9,46
463,253;9,47
463,507;9,46
463,76;9,45
464,014;9,45
464,267;9,45
464,52;9,47
464,774;9,48
465,027;9,48
465,28;9,49
465,534;9,49
465,787;9,49
466,04;9,47
466,294;9,45
466,547;9,46
466,8;9,45
467,053;9,44
467,306;9,44
467,56;9,43
467,813;9,43
468,066;9,42
468,319;9,45
468,572;9,44
468,825;9,44
469,078;9,45
469,331;9,45
469,584;9,46
469,837;9,46
470,09;9,46
470,343;9,48
470,596;9,48
470,849;9,49
471,102;9,49
471,355;9,51
471,608;9,53
471,861;9,54
472,114;9,55
472,367;9,55
472,619;9,56
472,872;9,58
473,125;9,58
473,378;9,6
473,631;9,6
473,883;9,61
474,136;9,62
474,389;9,63
474,641;9,65
474,894;9,66
475,147;9,67
475,399;9,68
475,652;9,7
475,905;9,71
476,157;9,71
476,41;9,71
476,662;9,74
476,915;9,73
477,167;9,72
477,42;9,75
477,672;9,77
477,925;9,8
478,177;9,81
478,43;9,81
478,682;9,81
478,934;9,82
479,187;9,83
479,439;9,85
479,691;9,84
479,944;9,85
480,196;9,85
480,448;9,87
480,701;9,87
480,953;9,88
481,205;9,89
481,457;9,91
481,709;9,93
481,962;9,96
482,214;10
482,466;10,08
482,718;10,14
482,97;10,23
483,222;10,31
483,474;10,38
483,726;10,44
483,978;10,49
484,23;10,52
484,482;10,56
484,734;10,58
484,986;10,59
485,238;10,59
485,49;10,61
485,742;10,61
485,994;10,62
486,246;10,62
486,498;10,62
486,75;10,63
487,001;10,62
487,253;10,6
487,505;10,59
487,757;10,55
488,009;10,52
488,26;10,46
488,512;10,4
488,764;10,33
489,015;10,28
489,267;10,23
489,519;10,19
489,77;10,15
490,022;10,12
490,274;10,11
490,525;10,12
490,777;10,1
491,028;10,1
491,28;10,08
491,531;10,07
491,783;10,06
492,034;10,07
492,286;10,06
492,537;10,07
492,789;10,07
493,04;10,07
493,291;10,05
493,543;10,05
493,794;10,05
494,045;10,05
494,297;10,06
494,548;10,06
494,799;10,06
495,051;10,07
495,302;10,06
495,553;10,06
495,804;10,06
496,056;10,07
496,307;10,06
496,558;10,07
496,809;10,07
497,06;10,09
497,311;10,09
497,562;10,1
497,813;10,1
498,064;10,1
498,316;10,09
498,567;10,09
498,818;10,08
499,069;10,09
499,319;10,09
499,57;10,08
499,821;10,07
500,072;10,07
500,323;10,07
500,574;10,08
500,825;10,07
501,076;10,06
501,327;10,05
501,577;10,05
501,828;10,05
502,079;10,04
502,33;10,03
502,58;10,02
502,831;10
503,082;10
503,333;10
503,583;10
503,834;10
504,084;10,01
504,335;10
504,586;9,99
504,836;9,97
505,087;9,97
505,337;9,96
505,588;9,95
505,838;9,94
506,089;9,94
506,339;9,93
506,59;9,93
506,84;9,92
507,091;9,92
507,341;9,91
507,591;9,91
507,842;9,89
508,092;9,89
508,343;9,88
508,593;9,88
508,843;9,87
509,093;9,87
509,344;9,84
509,594;9,83
509,844;9,81
510,094;9,81
510,345;9,8
510,595;9,79
510,845;9,78
511,095;9,77
511,345;9,76
511,595;9,75
511,845;9,74
512,095;9,73
512,345;9,71
512,595;9,71
512,845;9,7
513,095;9,71
513,345;9,69
513,595;9,68
513,845;9,67
514,095;9,65
514,345;9,64
514,595;9,63
514,845;9,61
515,095;9,62
515,345;9,61
515,594;9,61
515,844;9,61
516,094;9,61
516,344;9,6
516,593;9,59
516,843;9,57
517,093;9,57
517,343;9,56
517,592;9,55
517,842;9,53
518,092;9,52
518,341;9,5
518,591;9,5
518,84;9,5
519,09;9,5
519,34;9,5
519,589;9,5
519,839;9,49
520,088;9,5
520,338;9,48
520,587;9,47
520,836;9,45
521,086;9,44
521,335;9,43
521,585;9,42
521,834;9,42
522,083;9,42
522,333;9,4
522,582;9,4
522,831;9,38
523,081;9,38
523,33;9,37
523,579;9,37
523,828;9,37
524,078;9,37
524,327;9,35
524,576;9,35
524,825;9,33
525,074;9,32
525,323;9,3
525,573;9,31
525,822;9,3
526,071;9,31
526,32;9,3
526,569;9,31
526,818;9,3
527,067;9,3
527,316;9,27
527,565;9,27
527,814;9,26
528,063;9,26
528,312;9,26
528,56;9,25
528,809;9,23
529,058;9,22
529,307;9,2
529,556;9,2
529,805;9,18
530,053;9,18
530,302;9,18
530,551;9,18
530,8;9,18
531,048;9,19
531,297;9,17
531,546;9,16
531,794;9,15
532,043;9,14
532,292;9,13
532,54;9,14
532,789;9,13
533,037;9,14
533,286;9,13
533,535;9,13
533,783;9,13
534,032;9,13
534,28;9,12
534,528;9,12
534,777;9,11
535,025;9,12
535,274;9,11
535,522;9,1
535,771;9,09
536,019;9,09
536,267;9,07
536,516;9,07
536,764;9,06
537,012;9,05
537,26;9,05
537,509;9,06
537,757;9,04
538,005;9,04
538,253;9,04
538,501;9,04
538,75;9,02
538,998;9,02
539,246;9,02
539,494;9,02
539,742;9,02
539,99;9,01
540,238;9,01
540,486;9,01
540,734;9,01
540,982;9
541,23;8,97
541,478;8,99
541,726;8,98
541,974;8,99
542,222;8,98
542,47;8,98
542,718;8,97
542,966;8,98
543,213;8,95
543,461;8,94
543,709;8,93
543,957;8,93
544,205;8,93
544,452;8,93
544,7;8,92
544,948;8,92
545,196;8,91
545,443;8,91
545,691;8,9
545,939;8,9
546,186;8,9
546,434;8,9
546,681;8,88
546,929;8,89
547,176;8,89
547,424;8,89
547,671;8,88
547,919;8,89
548,166;8,87
548,414;8,89
548,661;8,9
548,909;8,91
549,156;8,9
549,404;8,9
549,651;8,89
549,898;8,91
550,146;8,91
550,393;8,92
550,64;8,91
550,888;8,91
551,135;8,92
551,382;8,92
551,629;8,92
551,876;8,93
552,124;8,91
552,371;8,91
552,618;8,89
552,865;8,9
553,112;8,89
553,359;8,89
553,606;8,89
553,854;8,88
554,101;8,87
554,348;8,87
554,595;8,86
554,842;8,86
555,089;8,85
555,336;8,84
555,582;8,84
555,829;8,83
556,076;8,82
556,323;8,82
556,57;8,82
556,817;8,82
557,064;8,8
557,311;8,8
557,557;8,79
557,804;8,8
558,051;8,79
558,298;8,79
558,544;8,78
558,791;8,78
559,038;8,77
559,284;8,77
559,531;8,77
559,778;8,78
560,024;8,76
560,271;8,75
560,517;8,74
560,764;8,74
561,011;8,74
561,257;8,74
561,504;8,73
561,75;8,74
561,997;8,74
562,243;8,75
562,489;8,74
562,736;8,76
562,982;8,74
563,229;8,73
563,475;8,73
563,721;8,73
563,968;8,73
564,214;8,73
564,46;8,73
564,707;8,73
564,953;8,72
565,199;8,73
565,445;8,74
565,691;8,75
565,938;8,75
566,184;8,76
566,43;8,76
566,676;8,78
566,922;8,78
567,168;8,79
567,414;8,8
567,66;8,82
567,906;8,83
568,152;8,86
568,398;8,88
568,644;8,9
568,89;8,92
569,136;8,93
569,382;8,94
569,628;8,96
569,874;8,97
570,12;8,99
570,366;9
570,612;9,02
570,857;9,02
571,103;9,04
571,349;9,05
571,595;9,06
571,84;9,06
572,086;9,08
572,332;9,08
572,578;9,09
572,823;9,07
573,069;9,09
573,315;9,09
573,56;9,09
573,806;9,09
574,051;9,1
574,297;9,1
574,542;9,12
574,788;9,13
575,034;9,14
575,279;9,15
575,524;9,15
575,77;9,15
576,015;9,16
576,261;9,16
576,506;9,16
576,752;9,16
576,997;9,16
577,242;9,16
577,488;9,16
577,733;9,15
577,978;9,17
578,223;9,16
578,469;9,17
578,714;9,17
578,959;9,17
579,204;9,18
579,45;9,18
579,695;9,18
579,94;9,18
580,185;9,16
580,43;9,16
580,675;9,15
580,92;9,16
581,165;9,14
581,41;9,13
581,655;9,12
581,9;9,12
582,145;9,11
582,39;9,11
582,635;9,1
582,88;9,09
583,125;9,08
583,37;9,07
583,615;9,05
583,86;9,04
584,105;9,02
584,349;9,01
584,594;8,99
584,839;8,98
585,084;8,96
585,328;8,95
585,573;8,94
585,818;8,93
586,063;8,91
586,307;8,91
586,552;8,89
586,797;8,88
587,041;8,87
587,286;8,86
587,53;8,83
587,775;8,81
588,019;8,8
588,264;8,79
588,508;8,77
588,753;8,76
588,997;8,74
589,242;8,73
589,486;8,71
589,731;8,7
589,975;8,68
590,22;8,67
590,464;8,66
590,708;8,65
590,953;8,64
591,197;8,63
591,441;8,63
591,685;8,62
591,93;8,61
592,174;8,62
592,418;8,61
592,662;8,61
592,907;8,61
593,151;8,61
593,395;8,6
593,639;8,6
593,883;8,59
594,127;8,59
594,371;8,58
594,615;8,57
594,859;8,56
595,103;8,55
595,347;8,54
595,591;8,54
595,835;8,52
596,079;8,51
596,323;8,5
596,567;8,48
596,811;8,48
597,055;8,48
597,299;8,47
597,542;8,47
597,786;8,47
598,03;8,47
598,274;8,46
598,518;8,47
598,761;8,46
599,005;8,46
599,249;8,46
599,492;8,45
599,736;8,46
599,98;8,46
600,223;8,46
600,467;8,47
600,711;8,47
600,954;8,47
601,198;8,47
601,441;8,47
601,685;8,46
601,928;8,46
602,172;8,45
602,415;8,44
602,659;8,44
602,902;8,43
603,145;8,43
603,389;8,43
603,632;8,42
603,876;8,42
604,119;8,43
604,362;8,42
604,606;8,41
604,849;8,41
605,092;8,39
605,335;8,39
605,579;8,38
605,822;8,37
606,065;8,34
606,308;8,34
606,551;8,33
606,794;8,32
607,037;8,3
607,281;8,31
607,524;8,3
607,767;8,29
608,01;8,28
608,253;8,28
608,496;8,27
608,739;8,26
608,982;8,24
609,225;8,23
609,468;8,22
609,711;8,22
609,953;8,21
610,196;8,21
610,439;8,2
610,682;8,19
610,925;8,18
611,168;8,19
611,41;8,18
611,653;8,2
611,896;8,19
612,139;8,19
612,381;8,18
612,624;8,18
612,867;8,17
613,109;8,16
613,352;8,16
613,595;8,16
613,837;8,15
614,08;8,14
614,322;8,14
614,565;8,14
614,807;8,13
615,05;8,13
615,292;8,12
615,535;8,12
615,777;8,11
616,02;8,11
616,262;8,11
616,505;8,11
616,747;8,09
616,989;8,09
617,232;8,09
617,474;8,09
617,716;8,07
