Data from IndigoWhite_Reflection__3__55.txt Node;
"Date: Fri Sep 12 11:53:23 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
374,79;1,7
375,049;1,71
375,309;1,71
375,568;1,73
375,827;1,72
376,086;1,72
376,346;1,73
376,605;1,76
376,864;1,76
377,123;1,76
377,383;1,76
377,642;1,76
377,901;1,75
378,16;1,75
378,419;1,76
378,678;1,76
378,937;1,74
379,196;1,73
379,455;1,73
379,714;1,74
379,973;1,74
380,232;1,73
380,491;1,74
380,75;1,73
381,009;1,72
381,268;1,72
381,527;1,71
381,786;1,71
382,045;1,68
382,304;1,67
382,563;1,67
382,821;1,67
383,08;1,68
383,339;1,68
383,598;1,68
383,857;1,68
384,115;1,69
384,374;1,7
384,633;1,71
384,891;1,71
385,15;1,72
385,409;1,71
385,667;1,71
385,926;1,7
386,185;1,7
386,443;1,7
386,702;1,71
386,96;1,71
387,219;1,7
387,477;1,72
387,736;1,72
387,994;1,72
388,253;1,72
388,511;1,73
388,77;1,73
389,028;1,73
389,287;1,73
389,545;1,72
389,803;1,71
390,062;1,71
390,32;1,7
390,578;1,7
390,837;1,71
391,095;1,7
391,353;1,72
391,612;1,73
391,87;1,72
392,128;1,73
392,386;1,74
392,644;1,74
392,903;1,73
393,161;1,72
393,419;1,71
393,677;1,71
393,935;1,69
394,193;1,71
394,451;1,72
394,709;1,71
394,967;1,72
395,225;1,72
395,483;1,71
395,741;1,74
395,999;1,75
396,257;1,73
396,515;1,74
396,773;1,74
397,031;1,72
397,289;1,73
397,547;1,72
397,805;1,72
398,062;1,73
398,32;1,73
398,578;1,74
398,836;1,76
399,094;1,74
399,351;1,74
399,609;1,73
399,867;1,71
400,124;1,72
400,382;1,73
400,64;1,74
400,897;1,76
401,155;1,75
401,413;1,76
401,67;1,77
401,928;1,79
402,185;1,79
402,443;1,81
402,701;1,8
402,958;1,81
403,216;1,82
403,473;1,82
403,73;1,83
403,988;1,83
404,245;1,85
404,503;1,88
404,76;1,89
405,018;1,89
405,275;1,91
405,532;1,9
405,79;1,91
406,047;1,91
406,304;1,91
406,561;1,91
406,819;1,9
407,076;1,91
407,333;1,88
407,59;1,86
407,848;1,87
408,105;1,89
408,362;1,89
408,619;1,9
408,876;1,88
409,133;1,87
409,39;1,86
409,647;1,84
409,904;1,84
410,161;1,85
410,418;1,87
410,675;1,88
410,932;1,89
411,189;1,87
411,446;1,86
411,703;1,88
411,96;1,87
412,217;1,89
412,474;1,89
412,731;1,91
412,988;1,92
413,245;1,9
413,501;1,88
413,758;1,88
414,015;1,87
414,272;1,88
414,529;1,89
414,785;1,9
415,042;1,91
415,299;1,91
415,555;1,9
415,812;1,89
416,069;1,88
416,325;1,87
416,582;1,88
416,838;1,89
417,095;1,87
417,352;1,88
417,608;1,87
417,865;1,86
418,121;1,85
418,378;1,85
418,634;1,87
418,891;1,89
419,147;1,89
419,403;1,89
419,66;1,89
419,916;1,9
420,173;1,9
420,429;1,9
420,685;1,89
420,942;1,89
421,198;1,89
421,454;1,89
421,711;1,9
421,967;1,89
422,223;1,88
422,479;1,88
422,735;1,87
422,992;1,86
423,248;1,87
423,504;1,89
423,76;1,91
424,016;1,9
424,272;1,9
424,528;1,92
424,784;1,94
425,041;1,94
425,297;1,92
425,553;1,93
425,809;1,93
426,065;1,93
426,32;1,92
426,576;1,93
426,832;1,93
427,088;1,92
427,344;1,92
427,6;1,93
427,856;1,94
428,112;1,95
428,368;1,95
428,623;1,94
428,879;1,94
429,135;1,92
429,391;1,91
429,646;1,9
429,902;1,86
430,158;1,84
430,414;1,84
430,669;1,86
430,925;1,84
431,181;1,82
431,436;1,84
431,692;1,85
431,947;1,85
432,203;1,84
432,458;1,85
432,714;1,84
432,97;1,84
433,225;1,83
433,481;1,82
433,736;1,83
433,991;1,83
434,247;1,82
434,502;1,82
434,758;1,82
435,013;1,84
435,268;1,87
435,524;1,89
435,779;1,88
436,034;1,87
436,29;1,88
436,545;1,87
436,8;1,87
437,056;1,86
437,311;1,87
437,566;1,87
437,821;1,86
438,076;1,87
438,331;1,86
438,587;1,85
438,842;1,85
439,097;1,85
439,352;1,86
439,607;1,86
439,862;1,88
440,117;1,88
440,372;1,86
440,627;1,84
440,882;1,84
441,137;1,84
441,392;1,83
441,647;1,83
441,902;1,85
442,157;1,84
442,412;1,85
442,667;1,83
442,921;1,84
443,176;1,84
443,431;1,85
443,686;1,85
443,941;1,85
444,195;1,84
444,45;1,84
444,705;1,84
444,96;1,83
445,214;1,82
445,469;1,82
445,724;1,82
445,978;1,81
446,233;1,81
446,487;1,81
446,742;1,8
446,997;1,79
447,251;1,78
447,506;1,8
447,76;1,79
448,015;1,79
448,269;1,79
448,524;1,8
448,778;1,8
449,033;1,8
449,287;1,8
449,541;1,79
449,796;1,78
450,05;1,76
450,305;1,77
450,559;1,78
450,813;1,77
451,067;1,77
451,322;1,78
451,576;1,78
451,83;1,77
452,084;1,77
452,339;1,76
452,593;1,75
452,847;1,73
453,101;1,73
453,355;1,72
453,609;1,7
453,864;1,7
454,118;1,68
454,372;1,69
454,626;1,71
454,88;1,71
455,134;1,73
455,388;1,75
455,642;1,75
455,896;1,74
456,15;1,74
456,404;1,75
456,658;1,74
456,912;1,74
457,165;1,76
457,419;1,75
457,673;1,78
457,927;1,79
458,181;1,79
458,435;1,8
458,688;1,8
458,942;1,8
459,196;1,79
459,45;1,79
459,703;1,78
459,957;1,77
460,211;1,77
460,464;1,76
460,718;1,74
460,972;1,73
461,225;1,73
461,479;1,72
461,732;1,71
461,986;1,72
462,239;1,72
462,493;1,72
462,746;1,73
463;1,71
463,253;1,71
463,507;1,71
463,76;1,7
464,014;1,72
464,267;1,7
464,52;1,72
464,774;1,71
465,027;1,72
465,28;1,72
