Data from IndigoWhite_Reflection__0__52.txt Node;
"Date: Fri Sep 12 11:51:11 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
316,019;2,91
316,282;2,9
316,545;2,91
316,808;2,91
317,071;2,9
317,334;2,91
317,597;2,91
317,86;2,91
318,123;2,89
318,386;2,89
318,649;2,89
318,912;2,88
319,175;2,87
319,437;2,88
319,7;2,89
319,963;2,88
320,226;2,87
320,489;2,86
320,751;2,85
321,014;2,85
321,277;2,86
321,54;2,86
321,802;2,86
322,065;2,84
322,328;2,82
322,59;2,8
322,853;2,8
323,116;2,78
323,378;2,79
323,641;2,8
323,903;2,8
324,166;2,79
324,428;2,79
324,691;2,77
324,953;2,76
325,216;2,75
325,478;2,75
325,741;2,74
326,003;2,74
326,266;2,76
326,528;2,76
326,791;2,76
327,053;2,75
327,315;2,73
327,578;2,73
327,84;2,73
328,102;2,74
328,365;2,74
328,627;2,75
328,889;2,73
329,151;2,71
329,414;2,7
329,676;2,7
329,938;2,7
330,2;2,71
330,462;2,71
330,725;2,71
330,987;2,7
331,249;2,7
331,511;2,7
331,773;2,69
332,035;2,69
332,297;2,68
332,559;2,69
332,821;2,69
333,083;2,68
333,345;2,69
333,607;2,69
333,869;2,68
334,131;2,67
334,393;2,69
334,655;2,67
334,917;2,68
335,179;2,67
335,44;2,68
335,702;2,66
335,964;2,66
336,226;2,65
336,488;2,65
336,749;2,65
337,011;2,66
337,273;2,65
337,535;2,65
337,796;2,64
338,058;2,63
338,32;2,63
338,581;2,64
338,843;2,62
339,105;2,63
339,366;2,62
339,628;2,64
339,889;2,64
340,151;2,65
340,412;2,64
340,674;2,64
340,935;2,63
341,197;2,64
341,458;2,64
341,72;2,64
341,981;2,64
342,243;2,64
342,504;2,63
342,766;2,63
343,027;2,63
343,288;2,63
343,55;2,64
343,811;2,63
344,072;2,64
344,334;2,64
344,595;2,63
344,856;2,63
345,117;2,62
345,379;2,62
345,64;2,62
345,901;2,62
346,162;2,62
346,423;2,61
346,684;2,6
346,946;2,6
347,207;2,6
347,468;2,6
347,729;2,6
347,99;2,6
348,251;2,59
348,512;2,6
348,773;2,59
349,034;2,6
349,295;2,61
349,556;2,59
349,817;2,6
350,078;2,6
350,339;2,61
350,6;2,62
350,86;2,61
351,121;2,62
351,382;2,61
351,643;2,62
351,904;2,61
352,165;2,62
352,425;2,61
352,686;2,61
352,947;2,61
353,208;2,61
353,468;2,6
353,729;2,61
353,99;2,6
354,25;2,6
354,511;2,58
354,772;2,57
355,032;2,59
355,293;2,57
355,553;2,58
355,814;2,56
356,074;2,57
356,335;2,56
356,596;2,55
356,856;2,56
357,116;2,55
357,377;2,56
357,637;2,56
357,898;2,57
358,158;2,57
358,419;2,57
358,679;2,58
358,939;2,58
359,2;2,58
359,46;2,59
359,72;2,58
359,981;2,6
360,241;2,59
360,501;2,56
360,761;2,57
361,022;2,56
361,282;2,56
361,542;2,56
361,802;2,56
362,062;2,56
362,323;2,57
362,583;2,58
362,843;2,58
363,103;2,58
363,363;2,59
363,623;2,58
363,883;2,57
364,143;2,57
364,403;2,56
364,663;2,56
364,923;2,56
365,183;2,56
365,443;2,56
365,703;2,57
365,963;2,58
366,223;2,59
366,483;2,58
366,743;2,59
367,002;2,6
367,262;2,61
367,522;2,61
367,782;2,6
368,042;2,59
368,301;2,58
368,561;2,57
368,821;2,57
369,081;2,56
369,34;2,55
369,6;2,55
369,86;2,55
370,119;2,54
370,379;2,53
370,638;2,54
370,898;2,52
371,158;2,53
371,417;2,53
371,677;2,53
371,936;2,54
372,196;2,54
372,455;2,54
372,715;2,53
372,974;2,54
373,234;2,56
373,493;2,58
373,753;2,58
374,012;2,59
374,271;2,59
374,531;2,61
374,79;2,62
375,049;2,63
375,309;2,64
375,568;2,65
375,827;2,66
376,086;2,66
376,346;2,67
376,605;2,68
376,864;2,68
377,123;2,68
377,383;2,67
377,642;2,66
377,901;2,68
378,16;2,67
378,419;2,66
378,678;2,64
378,937;2,62
379,196;2,62
379,455;2,62
379,714;2,62
379,973;2,6
380,232;2,6
380,491;2,59
380,75;2,59
381,009;2,58
381,268;2,57
381,527;2,56
381,786;2,56
382,045;2,54
382,304;2,56
382,563;2,55
382,821;2,55
383,08;2,56
383,339;2,54
383,598;2,54
383,857;2,53
384,115;2,54
384,374;2,54
384,633;2,56
384,891;2,56
385,15;2,56
385,409;2,57
385,667;2,58
385,926;2,57
386,185;2,57
386,443;2,57
386,702;2,58
386,96;2,58
387,219;2,59
387,477;2,61
387,736;2,59
387,994;2,59
388,253;2,59
388,511;2,59
388,77;2,59
389,028;2,6
389,287;2,61
389,545;2,61
389,803;2,59
390,062;2,59
390,32;2,59
390,578;2,59
390,837;2,59
391,095;2,58
391,353;2,58
391,612;2,58
391,87;2,57
392,128;2,57
392,386;2,57
392,644;2,56
392,903;2,56
393,161;2,54
393,419;2,54
393,677;2,53
393,935;2,51
394,193;2,53
394,451;2,52
394,709;2,51
394,967;2,51
395,225;2,52
395,483;2,52
395,741;2,52
395,999;2,53
396,257;2,52
396,515;2,51
396,773;2,52
397,031;2,51
397,289;2,52
397,547;2,51
397,805;2,49
398,062;2,51
398,32;2,51
398,578;2,52
398,836;2,53
399,094;2,54
399,351;2,54
399,609;2,55
399,867;2,54
400,124;2,54
400,382;2,55
400,64;2,55
400,897;2,56
401,155;2,55
401,413;2,58
401,67;2,56
401,928;2,57
402,185;2,58
402,443;2,58
402,701;2,58
402,958;2,58
403,216;2,59
403,473;2,58
403,73;2,57
403,988;2,59
404,245;2,59
404,503;2,61
404,76;2,63
405,018;2,63
405,275;2,65
405,532;2,66
405,79;2,65
406,047;2,66
406,304;2,66
406,561;2,65
406,819;2,64
407,076;2,66
407,333;2,65
407,59;2,64
407,848;2,64
408,105;2,64
408,362;2,67
408,619;2,69
408,876;2,69
409,133;2,7
409,39;2,68
409,647;2,67
409,904;2,66
410,161;2,65
410,418;2,66
410,675;2,65
410,932;2,63
411,189;2,62
411,446;2,63
411,703;2,63
411,96;2,63
412,217;2,6
412,474;2,61
412,731;2,61
412,988;2,61
