Data from GiallorinoWhite_Reflection__4__34.txt Node;
"Date: Thu Sep 11 16:45:56 CEST 2025 User: sycur";
440,627;12,87
440,882;12,97
441,137;13,08
441,392;13,2
441,647;13,27
441,902;13,36
442,157;13,44
442,412;13,57
442,667;13,66
442,921;13,76
443,176;13,85
443,431;13,97
443,686;14,07
443,941;14,18
444,195;14,29
444,45;14,41
444,705;14,49
444,96;14,6
445,214;14,68
445,469;14,78
445,724;14,88
445,978;14,99
446,233;15,08
446,487;15,16
446,742;15,27
446,997;15,38
447,251;15,47
447,506;15,57
447,76;15,64
448,015;15,74
448,269;15,83
448,524;15,93
448,778;16,01
449,033;16,1
449,287;16,18
449,541;16,27
449,796;16,35
450,05;16,46
450,305;16,57
450,559;16,69
450,813;16,78
451,067;16,87
451,322;16,97
451,576;17,09
451,83;17,18
452,084;17,28
452,339;17,37
452,593;17,48
452,847;17,6
453,101;17,72
453,355;17,82
453,609;17,94
453,864;18,02
454,118;18,16
454,372;18,27
454,626;18,39
454,88;18,51
455,134;18,62
455,388;18,74
455,642;18,86
455,896;18,97
456,15;19,08
456,404;19,21
456,658;19,34
456,912;19,47
457,165;19,61
457,419;19,73
457,673;19,86
457,927;19,98
458,181;20,12
458,435;20,26
458,688;20,39
458,942;20,51
459,196;20,65
459,45;20,76
459,703;20,91
459,957;21,03
460,211;21,15
460,464;21,25
460,718;21,39
460,972;21,53
461,225;21,67
461,479;21,81
461,732;21,96
461,986;22,07
462,239;22,2
462,493;22,34
462,746;22,5
463;22,66
463,253;22,84
463,507;22,95
463,76;23,09
464,014;23,23
464,267;23,39
464,52;23,55
464,774;23,71
465,027;23,84
465,28;23,99
465,534;24,14
465,787;24,31
466,04;24,45
466,294;24,58
466,547;24,7
466,8;24,88
467,053;25
467,306;25,17
467,56;25,31
467,813;25,49
468,066;25,64
468,319;25,79
468,572;25,93
468,825;26,11
469,078;26,25
469,331;26,45
469,584;26,61
469,837;26,8
470,09;26,99
470,343;27,17
470,596;27,38
470,849;27,57
471,102;27,75
471,355;27,94
471,608;28,15
471,861;28,36
472,114;28,55
472,367;28,77
472,619;28,96
472,872;29,17
473,125;29,35
473,378;29,54
473,631;29,74
473,883;29,93
474,136;30,13
474,389;30,33
474,641;30,49
474,894;30,69
475,147;30,85
475,399;31,04
475,652;31,23
475,905;31,42
476,157;31,61
476,41;31,79
476,662;31,97
476,915;32,17
477,167;32,33
477,42;32,53
477,672;32,7
477,925;32,91
478,177;33,11
478,43;33,3
478,682;33,5
478,934;33,71
479,187;33,9
479,439;34,1
479,691;34,29
479,944;34,5
480,196;34,71
480,448;34,9
480,701;35,09
480,953;35,3
481,205;35,5
481,457;35,73
481,709;35,95
481,962;36,18
482,214;36,41
482,466;36,66
482,718;36,92
482,97;37,18
483,222;37,43
483,474;37,67
483,726;37,92
483,978;38,14
484,23;38,35
484,482;38,53
484,734;38,71
484,986;38,88
485,238;39,03
485,49;39,21
485,742;39,38
485,994;39,56
486,246;39,74
486,498;39,92
486,75;40,09
487,001;40,28
487,253;40,46
487,505;40,67
487,757;40,88
488,009;41,1
488,26;41,34
488,512;41,57
488,764;41,81
489,015;42,04
489,267;42,26
489,519;42,49
489,77;42,76
490,022;43
490,274;43,25
490,525;43,51
490,777;43,75
491,028;43,99
491,28;44,23
491,531;44,44
491,783;44,66
492,034;44,89
492,286;45,12
492,537;45,37
492,789;45,59
493,04;45,83
493,291;46,06
493,543;46,31
493,794;46,56
494,045;46,82
494,297;47,08
494,548;47,32
494,799;47,56
495,051;47,8
495,302;48,07
495,553;48,33
495,804;48,57
496,056;48,82
496,307;49,09
496,558;49,32
496,809;49,58
497,06;49,84
497,311;50,09
497,562;50,35
497,813;50,6
498,064;50,87
498,316;51,12
498,567;51,38
498,818;51,62
499,069;51,88
499,319;52,14
499,57;52,38
499,821;52,67
500,072;52,94
500,323;53,19
500,574;53,45
500,825;53,69
501,076;53,96
501,327;54,23
501,577;54,47
501,828;54,75
502,079;55,02
502,33;55,29
502,58;55,55
502,831;55,83
503,082;56,11
503,333;56,37
503,583;56,64
503,834;56,93
504,084;57,21
504,335;57,49
504,586;57,76
504,836;58,06
505,087;58,32
505,337;58,6
505,588;58,87
505,838;59,16
506,089;59,44
506,339;59,72
506,59;59,99
506,84;60,27
507,091;60,56
507,341;60,82
507,591;61,09
507,842;61,36
508,092;61,61
508,343;61,87
508,593;62,15
508,843;62,41
509,093;62,68
509,344;62,95
509,594;63,22
509,844;63,49
