Data from GiallorinoWhite_Reflection__3__33.txt Node;
"Date: Thu Sep 11 16:45:07 CEST 2025 User: sycur";
345,379;3,62
345,64;3,62
345,901;3,62
346,162;3,62
346,423;3,61
346,684;3,59
346,946;3,58
347,207;3,57
347,468;3,56
347,729;3,55
347,99;3,55
348,251;3,52
348,512;3,53
348,773;3,51
349,034;3,51
349,295;3,52
349,556;3,51
349,817;3,5
350,078;3,5
350,339;3,5
350,6;3,51
350,86;3,48
351,121;3,47
351,382;3,45
351,643;3,45
351,904;3,44
352,165;3,45
352,425;3,45
352,686;3,46
352,947;3,45
353,208;3,44
353,468;3,44
353,729;3,44
353,99;3,43
354,25;3,43
354,511;3,43
354,772;3,43
355,032;3,43
355,293;3,44
355,553;3,43
355,814;3,42
356,074;3,41
356,335;3,41
356,596;3,42
356,856;3,43
357,116;3,43
357,377;3,45
357,637;3,45
357,898;3,46
358,158;3,45
358,419;3,48
358,679;3,49
358,939;3,5
359,2;3,5
359,46;3,51
359,72;3,51
359,981;3,52
360,241;3,52
360,501;3,53
360,761;3,52
361,022;3,52
361,282;3,54
361,542;3,55
361,802;3,55
362,062;3,55
362,323;3,55
362,583;3,56
362,843;3,56
363,103;3,54
363,363;3,53
363,623;3,55
363,883;3,54
364,143;3,54
364,403;3,55
364,663;3,56
364,923;3,56
365,183;3,58
365,443;3,58
365,703;3,58
365,963;3,6
366,223;3,6
366,483;3,62
366,743;3,61
367,002;3,63
367,262;3,65
367,522;3,65
367,782;3,66
368,042;3,67
368,301;3,68
368,561;3,7
368,821;3,71
369,081;3,69
369,34;3,71
369,6;3,71
369,86;3,71
370,119;3,7
370,379;3,69
370,638;3,7
370,898;3,69
371,158;3,71
371,417;3,71
371,677;3,73
371,936;3,73
372,196;3,75
372,455;3,75
372,715;3,74
372,974;3,75
373,234;3,76
373,493;3,77
373,753;3,78
374,012;3,78
374,271;3,78
374,531;3,81
374,79;3,81
375,049;3,84
375,309;3,86
375,568;3,87
375,827;3,89
376,086;3,91
376,346;3,94
376,605;3,92
376,864;3,93
377,123;3,95
377,383;3,94
377,642;3,96
377,901;3,97
378,16;3,97
378,419;3,98
378,678;3,98
378,937;3,99
379,196;4
379,455;4,01
379,714;4,02
379,973;4,03
380,232;4,05
380,491;4,05
380,75;4,06
381,009;4,07
381,268;4,09
381,527;4,09
381,786;4,1
382,045;4,13
382,304;4,14
382,563;4,14
382,821;4,16
383,08;4,15
383,339;4,17
383,598;4,17
383,857;4,19
384,115;4,19
384,374;4,2
384,633;4,2
384,891;4,22
385,15;4,21
385,409;4,24
385,667;4,25
385,926;4,27
386,185;4,28
386,443;4,3
386,702;4,31
386,96;4,31
387,219;4,31
387,477;4,31
387,736;4,32
387,994;4,33
388,253;4,34
388,511;4,38
388,77;4,39
389,028;4,41
389,287;4,44
389,545;4,48
389,803;4,51
390,062;4,53
390,32;4,55
390,578;4,58
390,837;4,59
391,095;4,6
391,353;4,62
391,612;4,63
391,87;4,67
392,128;4,69
392,386;4,71
392,644;4,74
392,903;4,77
393,161;4,79
393,419;4,81
393,677;4,83
393,935;4,83
394,193;4,85
394,451;4,89
394,709;4,89
394,967;4,89
395,225;4,91
395,483;4,94
395,741;4,97
395,999;4,99
396,257;5,03
396,515;5,05
396,773;5,07
397,031;5,1
397,289;5,13
397,547;5,15
397,805;5,17
398,062;5,19
398,32;5,23
398,578;5,26
398,836;5,29
399,094;5,31
399,351;5,34
399,609;5,37
399,867;5,38
400,124;5,43
400,382;5,46
400,64;5,5
400,897;5,53
401,155;5,56
401,413;5,59
401,67;5,62
401,928;5,65
402,185;5,68
402,443;5,71
402,701;5,73
402,958;5,77
403,216;5,82
403,473;5,85
403,73;5,88
403,988;5,89
404,245;5,92
404,503;5,98
404,76;6
405,018;6,04
405,275;6,08
405,532;6,1
405,79;6,14
406,047;6,16
406,304;6,21
406,561;6,25
406,819;6,27
407,076;6,32
407,333;6,34
407,59;6,4
407,848;6,42
408,105;6,48
408,362;6,5
408,619;6,53
408,876;6,58
409,133;6,62
409,39;6,67
409,647;6,72
409,904;6,74
410,161;6,78
410,418;6,84
410,675;6,9
410,932;6,96
411,189;7
411,446;7,03
411,703;7,08
411,96;7,11
412,217;7,18
412,474;7,23
412,731;7,29
412,988;7,33
413,245;7,4
413,501;7,45
413,758;7,51
414,015;7,56
414,272;7,6
414,529;7,64
414,785;7,68
415,042;7,73
415,299;7,8
415,555;7,85
415,812;7,9
416,069;7,94
416,325;8
416,582;8,05
416,838;8,14
417,095;8,18
417,352;8,24
417,608;8,3
417,865;8,37
418,121;8,44
418,378;8,5
418,634;8,56
418,891;8,63
419,147;8,69
419,403;8,78
419,66;8,85
419,916;8,95
420,173;9,03
420,429;9,12
420,685;9,19
420,942;9,28
421,198;9,35
421,454;9,42
421,711;9,49
421,967;9,56
422,223;9,61
422,479;9,69
422,735;9,78
422,992;9,85
423,248;9,91
423,504;9,99
423,76;10,08
424,016;10,17
424,272;10,24
424,528;10,31
424,784;10,38
425,041;10,46
425,297;10,53
425,553;10,61
425,809;10,7
426,065;10,79
426,32;10,86
426,576;10,97
426,832;11,05
427,088;11,14
427,344;11,24
427,6;11,35
427,856;11,43
428,112;11,53
428,368;11,63
428,623;11,72
428,879;11,81
429,135;11,88
429,391;11,98
429,646;12,07
429,902;12,16
430,158;12,27
430,414;12,35
430,669;12,45
430,925;12,56
431,181;12,65
431,436;12,76
431,692;12,87
431,947;12,95
432,203;13,05
432,458;13,15
432,714;13,25
432,97;13,34
433,225;13,45
433,481;13,54
433,736;13,65
433,991;13,77
434,247;13,85
434,502;13,96
434,758;14,05
435,013;14,15
435,268;14,28
435,524;14,37
435,779;14,5
436,034;14,6
436,29;14,71
436,545;14,82
436,8;14,92
437,056;15,01
437,311;15,14
437,566;15,24
437,821;15,36
438,076;15,48
438,331;15,61
438,587;15,73
438,842;15,86
439,097;15,97
439,352;16,09
439,607;16,22
439,862;16,34
440,117;16,47
440,372;16,59
440,627;16,69
440,882;16,82
441,137;16,94
441,392;17,08
441,647;17,18
441,902;17,31
442,157;17,43
442,412;17,58
442,667;17,7
442,921;17,82
443,176;17,93
443,431;18,03
443,686;18,15
443,941;18,26
444,195;18,38
444,45;18,53
444,705;18,63
444,96;18,76
445,214;18,89
445,469;19,01
445,724;19,14
445,978;19,27
446,233;19,38
446,487;19,5
446,742;19,6
446,997;19,75
447,251;19,84
447,506;19,95
447,76;20,04
448,015;20,17
448,269;20,29
448,524;20,4
448,778;20,52
449,033;20,64
449,287;20,77
449,541;20,86
449,796;20,98
450,05;21,1
450,305;21,21
450,559;21,32
450,813;21,41
451,067;21,52
451,322;21,64
451,576;21,78
451,83;21,88
452,084;21,98
452,339;22,1
452,593;22,24
452,847;22,37
453,101;22,49
453,355;22,6
453,609;22,74
453,864;22,87
454,118;23,01
454,372;23,14
454,626;23,28
454,88;23,44
455,134;23,56
455,388;23,69
455,642;23,84
455,896;24
456,15;24,16
456,404;24,29
456,658;24,42
456,912;24,57
457,165;24,74
457,419;24,9
457,673;25,05
457,927;25,17
458,181;25,34
458,435;25,49
458,688;25,64
458,942;25,76
459,196;25,89
459,45;26,02
459,703;26,17
459,957;26,3
460,211;26,43
460,464;26,56
460,718;26,71
460,972;26,85
461,225;27
461,479;27,14
461,732;27,31
461,986;27,43
462,239;27,59
462,493;27,73
462,746;27,9
463;28,08
463,253;28,27
463,507;28,41
463,76;28,57
464,014;28,72
464,267;28,92
464,52;29,09
464,774;29,28
465,027;29,43
465,28;29,6
465,534;29,77
465,787;29,93
466,04;30,08
466,294;30,24
466,547;30,38
466,8;30,56
467,053;30,71
467,306;30,89
467,56;31,03
467,813;31,21
468,066;31,37
468,319;31,54
468,572;31,71
468,825;31,88
469,078;32,03
469,331;32,23
469,584;32,38
469,837;32,58
470,09;32,76
470,343;32,94
470,596;33,13
470,849;33,31
471,102;33,51
471,355;33,71
471,608;33,91
471,861;34,12
472,114;34,3
472,367;34,49
472,619;34,68
472,872;34,9
473,125;35,07
473,378;35,27
473,631;35,44
473,883;35,62
474,136;35,8
474,389;36,01
474,641;36,17
474,894;36,36
475,147;36,5
475,399;36,69
475,652;36,87
475,905;37,05
476,157;37,24
476,41;37,43
476,662;37,59
476,915;37,78
477,167;37,93
477,42;38,12
477,672;38,31
477,925;38,49
478,177;38,68
478,43;38,85
478,682;39,03
478,934;39,23
479,187;39,4
479,439;39,59
479,691;39,78
479,944;39,98
480,196;40,15
480,448;40,34
480,701;40,52
480,953;40,72
481,205;40,92
481,457;41,11
481,709;41,29
481,962;41,51
482,214;41,7
482,466;41,9
482,718;42,08
482,97;42,28
483,222;42,5
483,474;42,71
483,726;42,93
483,978;43,12
484,23;43,3
484,482;43,46
484,734;43,61
484,986;43,75
485,238;43,9
485,49;44,07
485,742;44,24
485,994;44,39
486,246;44,54
486,498;44,7
486,75;44,86
