Data from GiallorinoWhite_Reflection__0__30.txt Node;
"Date: Thu Sep 11 16:41:58 CEST 2025 User: sycur";
326,266;4,86
326,528;4,86
326,791;4,86
327,053;4,85
327,315;4,84
327,578;4,84
327,84;4,83
328,102;4,81
328,365;4,81
328,627;4,81
328,889;4,79
329,151;4,79
329,414;4,78
329,676;4,77
329,938;4,77
330,2;4,76
330,462;4,74
330,725;4,74
330,987;4,73
331,249;4,73
331,511;4,72
331,773;4,71
332,035;4,7
332,297;4,7
332,559;4,71
332,821;4,71
333,083;4,7
333,345;4,7
333,607;4,7
333,869;4,69
334,131;4,68
334,393;4,69
334,655;4,68
334,917;4,68
335,179;4,68
335,44;4,67
335,702;4,67
335,964;4,69
336,226;4,66
336,488;4,66
336,749;4,66
337,011;4,67
337,273;4,68
337,535;4,67
337,796;4,66
338,058;4,64
338,32;4,65
338,581;4,64
338,843;4,63
339,105;4,63
339,366;4,63
339,628;4,64
339,889;4,63
340,151;4,62
340,412;4,62
340,674;4,62
340,935;4,62
341,197;4,63
341,458;4,61
341,72;4,62
341,981;4,63
342,243;4,62
342,504;4,61
342,766;4,62
343,027;4,61
343,288;4,61
343,55;4,61
343,811;4,59
344,072;4,61
344,334;4,6
344,595;4,6
344,856;4,58
345,117;4,57
345,379;4,58
345,64;4,58
345,901;4,58
346,162;4,56
346,423;4,56
346,684;4,54
346,946;4,53
347,207;4,51
347,468;4,49
347,729;4,47
347,99;4,47
348,251;4,45
348,512;4,45
348,773;4,43
349,034;4,43
349,295;4,43
349,556;4,4
349,817;4,39
350,078;4,38
350,339;4,39
350,6;4,4
350,86;4,39
351,121;4,37
351,382;4,36
351,643;4,35
351,904;4,34
352,165;4,35
352,425;4,36
352,686;4,37
352,947;4,37
353,208;4,38
353,468;4,38
353,729;4,37
353,99;4,37
354,25;4,36
354,511;4,37
354,772;4,37
355,032;4,37
355,293;4,39
355,553;4,37
355,814;4,34
356,074;4,33
356,335;4,33
356,596;4,33
356,856;4,34
357,116;4,35
357,377;4,35
357,637;4,34
357,898;4,33
358,158;4,31
358,419;4,33
358,679;4,33
358,939;4,32
359,2;4,32
359,46;4,33
359,72;4,34
359,981;4,33
360,241;4,32
360,501;4,35
360,761;4,33
361,022;4,35
361,282;4,36
361,542;4,38
361,802;4,38
362,062;4,38
362,323;4,38
362,583;4,39
362,843;4,39
363,103;4,41
363,363;4,39
363,623;4,41
363,883;4,4
364,143;4,4
364,403;4,42
364,663;4,43
364,923;4,43
365,183;4,44
365,443;4,44
365,703;4,47
365,963;4,47
366,223;4,47
366,483;4,48
366,743;4,48
367,002;4,48
367,262;4,5
367,522;4,5
367,782;4,51
368,042;4,51
368,301;4,51
368,561;4,52
368,821;4,55
369,081;4,53
369,34;4,53
369,6;4,54
369,86;4,54
370,119;4,53
370,379;4,53
370,638;4,53
370,898;4,54
371,158;4,55
371,417;4,54
371,677;4,57
371,936;4,57
372,196;4,57
372,455;4,58
372,715;4,57
372,974;4,58
373,234;4,59
373,493;4,61
373,753;4,62
374,012;4,62
374,271;4,64
374,531;4,66
374,79;4,68
375,049;4,68
375,309;4,7
375,568;4,72
375,827;4,74
376,086;4,74
376,346;4,76
376,605;4,77
376,864;4,78
377,123;4,78
377,383;4,78
377,642;4,8
377,901;4,82
378,16;4,83
378,419;4,83
378,678;4,82
378,937;4,83
379,196;4,85
379,455;4,85
379,714;4,87
379,973;4,87
380,232;4,88
380,491;4,9
380,75;4,9
381,009;4,9
381,268;4,92
381,527;4,93
381,786;4,93
382,045;4,92
382,304;4,94
382,563;4,93
382,821;4,95
383,08;4,95
383,339;4,96
383,598;4,97
383,857;4,99
384,115;5,01
384,374;5,02
384,633;5,03
384,891;5,04
385,15;5,04
385,409;5,06
385,667;5,09
385,926;5,1
386,185;5,11
386,443;5,13
386,702;5,13
386,96;5,12
387,219;5,12
387,477;5,14
387,736;5,15
387,994;5,18
388,253;5,2
388,511;5,23
388,77;5,23
389,028;5,24
389,287;5,26
389,545;5,3
389,803;5,31
390,062;5,32
390,32;5,35
390,578;5,37
390,837;5,37
391,095;5,37
391,353;5,38
391,612;5,41
391,87;5,42
392,128;5,44
392,386;5,46
392,644;5,5
392,903;5,51
393,161;5,54
393,419;5,56
393,677;5,57
393,935;5,58
394,193;5,61
394,451;5,65
394,709;5,65
394,967;5,66
395,225;5,68
395,483;5,71
395,741;5,73
395,999;5,75
396,257;5,78
396,515;5,8
396,773;5,83
397,031;5,85
397,289;5,88
397,547;5,92
397,805;5,95
398,062;5,97
398,32;6
398,578;6,03
398,836;6,05
399,094;6,07
399,351;6,09
399,609;6,11
399,867;6,12
400,124;6,16
400,382;6,18
400,64;6,22
400,897;6,26
401,155;6,27
401,413;6,31
401,67;6,35
401,928;6,38
402,185;6,41
402,443;6,43
402,701;6,45
402,958;6,48
403,216;6,51
403,473;6,54
403,73;6,57
403,988;6,58
404,245;6,59
404,503;6,66
404,76;6,7
405,018;6,74
405,275;6,78
405,532;6,82
405,79;6,85
406,047;6,87
406,304;6,91
406,561;6,93
406,819;6,95
407,076;6,99
407,333;7,01
407,59;7,05
407,848;7,08
408,105;7,12
408,362;7,16
408,619;7,19
408,876;7,22
409,133;7,25
409,39;7,31
409,647;7,35
409,904;7,37
410,161;7,4
410,418;7,45
410,675;7,49
410,932;7,52
411,189;7,57
411,446;7,61
411,703;7,66
411,96;7,72
412,217;7,77
412,474;7,82
412,731;7,88
412,988;7,92
413,245;7,99
413,501;8,02
413,758;8,07
414,015;8,14
414,272;8,19
414,529;8,24
414,785;8,28
415,042;8,32
415,299;8,36
415,555;8,43
415,812;8,46
416,069;8,52
416,325;8,58
416,582;8,63
416,838;8,68
417,095;8,73
417,352;8,77
417,608;8,84
417,865;8,9
418,121;8,95
418,378;9,02
418,634;9,09
418,891;9,18
419,147;9,25
419,403;9,31
419,66;9,39
419,916;9,47
420,173;9,54
420,429;9,64
420,685;9,71
420,942;9,79
421,198;9,86
421,454;9,94
421,711;10,01
421,967;10,08
422,223;10,16
422,479;10,23
422,735;10,31
422,992;10,38
423,248;10,44
423,504;10,52
423,76;10,6
424,016;10,69
424,272;10,76
424,528;10,81
424,784;10,87
425,041;10,94
425,297;11,01
425,553;11,11
425,809;11,18
426,065;11,27
426,32;11,35
426,576;11,44
426,832;11,52
427,088;11,61
427,344;11,7
427,6;11,79
427,856;11,88
428,112;11,97
428,368;12,05
428,623;12,14
428,879;12,22
429,135;12,29
429,391;12,35
429,646;12,42
429,902;12,51
430,158;12,6
430,414;12,69
430,669;12,77
430,925;12,87
431,181;12,96
431,436;13,06
431,692;13,15
431,947;13,25
432,203;13,34
432,458;13,4
432,714;13,49
432,97;13,57
433,225;13,66
433,481;13,75
433,736;13,85
433,991;13,95
434,247;14,05
434,502;14,15
434,758;14,26
435,013;14,36
435,268;14,47
435,524;14,58
435,779;14,68
436,034;14,79
436,29;14,88
436,545;14,97
436,8;15,08
437,056;15,15
437,311;15,25
437,566;15,36
437,821;15,48
438,076;15,61
438,331;15,73
438,587;15,84
438,842;15,96
439,097;16,09
439,352;16,21
439,607;16,32
439,862;16,46
440,117;16,59
440,372;16,72
440,627;16,84
440,882;16,97
441,137;17,1
441,392;17,22
441,647;17,34
441,902;17,48
442,157;17,58
442,412;17,73
442,667;17,82
442,921;17,94
443,176;18,07
443,431;18,18
443,686;18,29
443,941;18,4
444,195;18,52
444,45;18,65
444,705;18,77
444,96;18,89
445,214;18,98
445,469;19,09
445,724;19,21
445,978;19,33
446,233;19,42
446,487;19,52
446,742;19,62
446,997;19,75
447,251;19,83
447,506;19,96
447,76;20,06
448,015;20,18
448,269;20,28
448,524;20,39
448,778;20,49
449,033;20,61
449,287;20,72
449,541;20,82
449,796;20,92
450,05;21,02
450,305;21,13
450,559;21,25
450,813;21,37
451,067;21,47
451,322;21,58
451,576;21,71
451,83;21,82
452,084;21,94
452,339;22,05
452,593;22,16
452,847;22,26
453,101;22,39
453,355;22,51
453,609;22,63
453,864;22,74
454,118;22,87
454,372;22,99
454,626;23,13
454,88;23,28
455,134;23,41
455,388;23,55
455,642;23,7
455,896;23,84
456,15;23,97
456,404;24,11
456,658;24,25
456,912;24,37
457,165;24,52
457,419;24,64
457,673;24,77
457,927;24,9
458,181;25,07
458,435;25,2
458,688;25,35
458,942;25,5
459,196;25,64
459,45;25,76
459,703;25,92
459,957;26,04
460,211;26,15
460,464;26,26
460,718;26,41
460,972;26,56
461,225;26,71
461,479;26,85
461,732;27
461,986;27,14
462,239;27,32
462,493;27,5
462,746;27,7
463;27,88
463,253;28,09
463,507;28,21
463,76;28,37
464,014;28,55
464,267;28,72
464,52;28,9
464,774;29,07
465,027;29,23
465,28;29,4
465,534;29,57
465,787;29,74
466,04;29,89
466,294;30,04
466,547;30,19
466,8;30,37
467,053;30,5
467,306;30,66
467,56;30,8
467,813;30,96
468,066;31,1
468,319;31,26
468,572;31,39
468,825;31,58
469,078;31,73
469,331;31,91
469,584;32,05
469,837;32,25
470,09;32,44
470,343;32,62
470,596;32,81
470,849;32,98
471,102;33,17
471,355;33,38
471,608;33,56
471,861;33,77
472,114;33,95
472,367;34,18
472,619;34,39
472,872;34,61
473,125;34,77
473,378;34,98
473,631;35,16
473,883;35,36
