Data from GiallorinoWhite_Reflection__1__31.txt Node;
"Date: Thu Sep 11 16:43:25 CEST 2025 User: sycur";
448,269;16,11
448,524;16,2
448,778;16,27
449,033;16,36
449,287;16,44
449,541;16,53
449,796;16,59
450,05;16,69
450,305;16,79
450,559;16,88
450,813;16,97
451,067;17,05
451,322;17,15
451,576;17,25
451,83;17,34
452,084;17,43
452,339;17,5
452,593;17,57
452,847;17,66
453,101;17,75
453,355;17,83
453,609;17,94
453,864;18,06
454,118;18,17
454,372;18,28
454,626;18,39
454,88;18,49
455,134;18,61
455,388;18,71
455,642;18,83
455,896;18,93
456,15;19,04
456,404;19,16
456,658;19,29
456,912;19,39
457,165;19,51
457,419;19,62
457,673;19,75
457,927;19,87
458,181;20,01
458,435;20,13
458,688;20,26
458,942;20,38
459,196;20,47
459,45;20,56
459,703;20,69
459,957;20,8
460,211;20,92
460,464;21,02
460,718;21,14
460,972;21,24
461,225;21,35
461,479;21,48
461,732;21,61
461,986;21,71
462,239;21,85
462,493;21,99
462,746;22,15
463;22,3
463,253;22,45
463,507;22,57
463,76;22,7
464,014;22,81
464,267;22,97
464,52;23,13
464,774;23,29
465,027;23,41
465,28;23,53
465,534;23,66
465,787;23,79
466,04;23,9
466,294;24,04
466,547;24,18
466,8;24,32
467,053;24,41
467,306;24,56
467,56;24,68
467,813;24,82
468,066;24,92
468,319;25,05
468,572;25,19
468,825;25,32
469,078;25,45
469,331;25,63
469,584;25,76
469,837;25,9
470,09;26,04
470,343;26,21
470,596;26,39
470,849;26,58
471,102;26,74
471,355;26,92
471,608;27,07
471,861;27,25
472,114;27,41
472,367;27,62
472,619;27,77
472,872;27,96
473,125;28,11
473,378;28,29
473,631;28,45
473,883;28,61
474,136;28,78
474,389;28,95
474,641;29,09
474,894;29,25
475,147;29,39
475,399;29,58
475,652;29,75
475,905;29,92
476,157;30,06
476,41;30,24
476,662;30,4
476,915;30,59
477,167;30,74
477,42;30,9
477,672;31,05
477,925;31,24
478,177;31,4
478,43;31,57
478,682;31,74
478,934;31,91
479,187;32,09
479,439;32,27
479,691;32,44
479,944;32,63
480,196;32,79
480,448;32,97
480,701;33,12
480,953;33,28
481,205;33,45
481,457;33,64
481,709;33,83
481,962;34,02
482,214;34,22
482,466;34,46
482,718;34,68
482,97;34,91
483,222;35,14
483,474;35,37
483,726;35,6
483,978;35,8
484,23;36
484,482;36,17
484,734;36,33
484,986;36,47
485,238;36,62
485,49;36,78
485,742;36,93
485,994;37,07
486,246;37,21
486,498;37,35
486,75;37,49
487,001;37,63
487,253;37,77
487,505;37,93
487,757;38,07
488,009;38,24
488,26;38,41
488,512;38,57
488,764;38,76
489,015;38,91
489,267;39,08
489,519;39,24
489,77;39,41
490,022;39,58
490,274;39,78
490,525;39,95
490,777;40,12
491,028;40,3
491,28;40,48
491,531;40,65
491,783;40,83
492,034;41,02
492,286;41,21
492,537;41,39
492,789;41,56
493,04;41,75
493,291;41,92
493,543;42,13
493,794;42,33
494,045;42,54
494,297;42,74
494,548;42,91
494,799;43,09
495,051;43,3
495,302;43,48
495,553;43,67
495,804;43,87
496,056;44,07
496,307;44,26
496,558;44,44
496,809;44,64
497,06;44,84
497,311;45,04
497,562;45,22
497,813;45,4
498,064;45,62
498,316;45,81
498,567;46,02
498,818;46,21
499,069;46,4
499,319;46,57
499,57;46,76
499,821;46,97
500,072;47,18
500,323;47,37
500,574;47,57
500,825;47,76
501,076;47,96
501,327;48,16
501,577;48,37
501,828;48,58
502,079;48,79
502,33;48,98
502,58;49,18
502,831;49,39
503,082;49,61
503,333;49,8
503,583;50
503,834;50,21
504,084;50,39
504,335;50,58
504,586;50,79
504,836;50,99
505,087;51,18
505,337;51,39
505,588;51,58
505,838;51,8
506,089;52,01
506,339;52,21
506,59;52,4
506,84;52,59
507,091;52,8
507,341;52,98
507,591;53,19
507,842;53,39
508,092;53,58
508,343;53,78
508,593;53,98
508,843;54,18
509,093;54,38
509,344;54,59
509,594;54,8
509,844;55
510,094;55,2
510,345;55,41
510,595;55,6
510,845;55,8
511,095;55,99
511,345;56,18
511,595;56,39
511,845;56,59
512,095;56,8
512,345;56,98
512,595;57,18
512,845;57,37
513,095;57,58
513,345;57,78
513,595;57,96
513,845;58,16
514,095;58,35
514,345;58,52
514,595;58,71
514,845;58,9
515,095;59,11
515,345;59,3
515,594;59,49
515,844;59,68
516,094;59,87
516,344;60,06
516,593;60,24
516,843;60,42
517,093;60,59
517,343;60,77
517,592;60,97
517,842;61,16
518,092;61,34
518,341;61,52
518,591;61,71
518,84;61,91
519,09;62,08
519,34;62,27
519,589;62,47
519,839;62,64
520,088;62,81
520,338;62,98
520,587;63,14
520,836;63,31
521,086;63,46
521,335;63,63
521,585;63,79
521,834;63,95
522,083;64,1
522,333;64,27
522,582;64,43
522,831;64,59
523,081;64,75
523,33;64,91
523,579;65,06
523,828;65,22
524,078;65,36
524,327;65,49
524,576;65,63
524,825;65,79
525,074;65,96
525,323;66,12
525,573;66,26
525,822;66,42
526,071;66,57
526,32;66,74
526,569;66,88
526,818;67,02
527,067;67,18
527,316;67,33
527,565;67,46
527,814;67,59
528,063;67,73
528,312;67,86
528,56;67,99
528,809;68,12
529,058;68,24
529,307;68,37
529,556;68,51
529,805;68,64
530,053;68,73
530,302;68,84
530,551;68,96
530,8;69,08
531,048;69,18
531,297;69,29
531,546;69,41
531,794;69,52
532,043;69,64
532,292;69,74
532,54;69,86
532,789;69,97
533,037;70,09
533,286;70,19
533,535;70,31
533,783;70,41
534,032;70,51
534,28;70,61
534,528;70,7
534,777;70,79
535,025;70,91
535,274;71,01
535,522;71,1
535,771;71,2
536,019;71,29
536,267;71,41
536,516;71,5
536,764;71,59
537,012;71,68
537,26;71,74
537,509;71,83
537,757;71,9
538,005;71,99
538,253;72,07
538,501;72,16
538,75;72,22
538,998;72,29
539,246;72,38
539,494;72,46
539,742;72,53
539,99;72,61
540,238;72,67
540,486;72,74
540,734;72,8
540,982;72,86
541,23;72,94
541,478;72,98
541,726;73,06
541,974;73,12
542,222;73,19
542,47;73,29
542,718;73,38
542,966;73,47
543,213;73,52
543,461;73,59
543,709;73,63
543,957;73,7
544,205;73,77
544,452;73,83
544,7;73,88
544,948;73,93
545,196;74
545,443;74,05
545,691;74,12
545,939;74,17
546,186;74,24
546,434;74,29
546,681;74,36
546,929;74,41
547,176;74,45
547,424;74,51
547,671;74,55
547,919;74,57
548,166;74,6
548,414;74,66
548,661;74,68
548,909;74,73
549,156;74,8
549,404;74,86
549,651;74,9
549,898;74,95
550,146;75
550,393;75,04
550,64;75,1
550,888;75,14
551,135;75,21
551,382;75,25
551,629;75,28
551,876;75,33
552,124;75,38
552,371;75,44
552,618;75,48
552,865;75,52
553,112;75,58
553,359;75,63
553,606;75,68
553,854;75,72
554,101;75,78
554,348;75,81
554,595;75,83
554,842;75,87
555,089;75,92
555,336;75,95
555,582;75,99
555,829;76,03
556,076;76,06
556,323;76,09
556,57;76,13
556,817;76,19
557,064;76,22
557,311;76,26
557,557;76,28
557,804;76,32
558,051;76,35
558,298;76,39
558,544;76,41
558,791;76,45
559,038;76,48
559,284;76,49
559,531;76,52
559,778;76,55
560,024;76,57
560,271;76,6
560,517;76,63
560,764;76,66
561,011;76,7
561,257;76,74
561,504;76,77
561,75;76,79
561,997;76,8
562,243;76,84
562,489;76,86
562,736;76,9
562,982;76,91
563,229;76,94
563,475;76,94
563,721;76,98
563,968;77
564,214;77,05
564,46;77,08
564,707;77,09
564,953;77,12
565,199;77,18
565,445;77,2
565,691;77,22
565,938;77,25
566,184;77,26
566,43;77,27
566,676;77,28
566,922;77,3
567,168;77,32
567,414;77,35
567,66;77,36
567,906;77,38
568,152;77,39
568,398;77,4
568,644;77,43
568,89;77,43
569,136;77,45
569,382;77,45
569,628;77,47
569,874;77,49
570,12;77,5
570,366;77,5
570,612;77,51
570,857;77,53
571,103;77,54
571,349;77,57
571,595;77,59
571,84;77,61
572,086;77,64
572,332;77,66
572,578;77,7
572,823;77,73
573,069;77,73
573,315;77,76
573,56;77,79
573,806;77,79
574,051;77,83
574,297;77,83
574,542;77,86
574,788;77,88
575,034;77,88
575,279;77,9
575,524;77,93
575,77;77,96
576,015;77,99
576,261;78,03
576,506;78,04
576,752;78,06
576,997;78,09
577,242;78,1
577,488;78,12
577,733;78,09
577,978;78,1
578,223;78,11
578,469;78,13
578,714;78,15
578,959;78,16
579,204;78,17
579,45;78,21
579,695;78,24
579,94;78,28
580,185;78,32
580,43;78,35
580,675;78,38
580,92;78,4
581,165;78,4
581,41;78,4
581,655;78,41
581,9;78,42
582,145;78,42
582,39;78,43
582,635;78,46
582,88;78,48
583,125;78,51
583,37;78,53
583,615;78,56
583,86;78,57
584,105;78,61
584,349;78,62
584,594;78,62
584,839;78,62
585,084;78,62
585,328;78,64
585,573;78,63
585,818;78,63
586,063;78,63
586,307;78,65
586,552;78,66
586,797;78,68
587,041;78,71
587,286;78,74
587,53;78,75
587,775;78,76
588,019;78,78
588,264;78,81
588,508;78,83
588,753;78,82
588,997;78,86
589,242;78,86
589,486;78,88
589,731;78,9
589,975;78,92
590,22;78,93
590,464;78,93
590,708;78,95
590,953;78,97
591,197;78,98
591,441;78,98
591,685;79
591,93;79,01
592,174;79,01
592,418;79
592,662;79,01
592,907;79,01
593,151;79,02
593,395;79,02
593,639;79,02
593,883;79,04
594,127;79,03
594,371;79,03
594,615;79,05
594,859;79,05
595,103;79,05
595,347;79,04
595,591;79,05
595,835;79,03
596,079;79,04
596,323;79,06
596,567;79,07
596,811;79,08
597,055;79,08
597,299;79,09
597,542;79,11
597,786;79,12
598,03;79,14
598,274;79,15
598,518;79,16
598,761;79,16
599,005;79,17
599,249;79,18
599,492;79,2
599,736;79,21
599,98;79,22
600,223;79,23
600,467;79,26
600,711;79,28
600,954;79,31
601,198;79,33
601,441;79,32
601,685;79,34
601,928;79,34
602,172;79,36
602,415;79,36
602,659;79,37
602,902;79,36
603,145;79,36
603,389;79,39
603,632;79,4
603,876;79,41
604,119;79,42
604,362;79,44
604,606;79,43
604,849;79,44
605,092;79,45
605,335;79,45
605,579;79,44
605,822;79,45
606,065;79,46
606,308;79,47
606,551;79,5
606,794;79,49
607,037;79,52
607,281;79,52
607,524;79,53
607,767;79,56
608,01;79,56
608,253;79,57
608,496;79,57
608,739;79,57
608,982;79,57
609,225;79,59
609,468;79,59
609,711;79,59
609,953;79,59
610,196;79,59
610,439;79,62
610,682;79,63
610,925;79,66
611,168;79,67
611,41;79,69
611,653;79,69
611,896;79,72
612,139;79,72
612,381;79,73
612,624;79,75
612,867;79,74
613,109;79,76
613,352;79,77
613,595;79,78
613,837;79,77
614,08;79,78
614,322;79,79
614,565;79,79
614,807;79,8
615,05;79,81
615,292;79,85
615,535;79,85
615,777;79,87
616,02;79,86
616,262;79,86
616,505;79,86
616,747;79,87
616,989;79,87
617,232;79,89
617,474;79,89
617,716;79,89
617,959;79,92
618,201;79,93
618,443;79,95
618,685;79,95
618,927;79,98
619,17;79,98
619,412;79,98
619,654;80,01
619,896;80,02
620,138;80,03
620,38;80,01
620,622;80,03
620,864;80,05
621,107;80,05
621,349;80,05
621,591;80,07
621,833;80,09
622,075;80,1
622,316;80,1
622,558;80,13
622,8;80,13
623,042;80,15
623,284;80,17
623,526;80,19
623,768;80,21
624,01;80,22
624,251;80,25
624,493;80,27
624,735;80,28
624,977;80,3
625,218;80,3
625,46;80,33
625,702;80,34
625,943;80,35
626,185;80,36
626,427;80,39
626,668;80,37
626,91;80,38
627,152;80,4
627,393;80,41
627,635;80,39
627,876;80,4
628,118;80,4
628,359;80,39
628,601;80,37
628,842;80,38
629,084;80,38
629,325;80,38
629,566;80,38
