Data from malachiteVSwhite_Reflection__2__50.txt Node;
"Date: Wed Sep 10 12:51:55 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
322,065;2,61
322,328;2,59
322,59;2,58
322,853;2,58
323,116;2,55
323,378;2,52
323,641;2,5
323,903;2,51
324,166;2,5
324,428;2,48
324,691;2,51
324,953;2,52
325,216;2,53
325,478;2,51
325,741;2,5
326,003;2,51
326,266;2,51
326,528;2,48
326,791;2,47
327,053;2,5
327,315;2,49
327,578;2,49
327,84;2,5
328,102;2,47
328,365;2,48
328,627;2,46
328,889;2,48
329,151;2,48
329,414;2,51
329,676;2,51
329,938;2,53
330,2;2,5
330,462;2,51
330,725;2,51
330,987;2,53
331,249;2,54
331,511;2,54
331,773;2,55
332,035;2,61
332,297;2,64
332,559;2,61
332,821;2,6
333,083;2,59
333,345;2,58
333,607;2,63
333,869;2,65
334,131;2,69
334,393;2,71
334,655;2,7
334,917;2,69
335,179;2,68
335,44;2,7
335,702;2,7
335,964;2,69
336,226;2,7
336,488;2,68
336,749;2,67
337,011;2,68
337,273;2,67
337,535;2,65
337,796;2,65
338,058;2,69
338,32;2,73
338,581;2,72
338,843;2,71
339,105;2,71
339,366;2,71
339,628;2,72
339,889;2,72
340,151;2,75
340,412;2,72
340,674;2,73
340,935;2,7
341,197;2,75
341,458;2,75
341,72;2,74
341,981;2,73
342,243;2,72
342,504;2,74
342,766;2,77
343,027;2,77
343,288;2,78
343,55;2,82
343,811;2,8
344,072;2,8
344,334;2,85
344,595;2,82
344,856;2,81
345,117;2,85
345,379;2,86
345,64;2,88
345,901;2,9
346,162;2,94
346,423;2,95
346,684;2,9
346,946;2,92
347,207;2,94
347,468;2,98
347,729;3
347,99;3,04
348,251;3,02
348,512;3,03
348,773;3,02
349,034;2,99
349,295;3,03
349,556;3,05
349,817;3,02
350,078;3,06
350,339;3,08
350,6;3,07
350,86;3,08
351,121;3,04
351,382;3,07
351,643;3,03
351,904;3,04
352,165;3,03
352,425;3,03
352,686;3,05
352,947;3,05
353,208;3,05
353,468;3,04
353,729;3,02
353,99;3,07
354,25;3,09
354,511;3,11
354,772;3,14
355,032;3,18
355,293;3,21
355,553;3,21
355,814;3,18
356,074;3,17
356,335;3,17
356,596;3,23
356,856;3,22
357,116;3,23
357,377;3,27
357,637;3,31
357,898;3,31
358,158;3,3
358,419;3,31
358,679;3,34
358,939;3,33
359,2;3,35
359,46;3,36
359,72;3,35
359,981;3,34
360,241;3,26
360,501;3,24
360,761;3,24
361,022;3,24
361,282;3,28
361,542;3,32
361,802;3,29
362,062;3,26
362,323;3,28
362,583;3,33
362,843;3,32
363,103;3,36
363,363;3,36
363,623;3,41
363,883;3,44
364,143;3,47
364,403;3,51
364,663;3,54
364,923;3,55
365,183;3,63
365,443;3,63
365,703;3,67
365,963;3,72
366,223;3,79
366,483;3,8
366,743;3,82
367,002;3,84
367,262;3,86
367,522;3,9
367,782;3,93
368,042;3,96
368,301;4,01
368,561;4,02
368,821;4,05
369,081;4,04
369,34;4,06
369,6;4,06
369,86;4,07
370,119;4,07
370,379;4,11
370,638;4,12
370,898;4,14
371,158;4,19
371,417;4,19
371,677;4,19
371,936;4,25
372,196;4,26
372,455;4,27
372,715;4,31
372,974;4,36
373,234;4,36
373,493;4,37
373,753;4,4
374,012;4,4
374,271;4,44
374,531;4,48
374,79;4,53
375,049;4,6
375,309;4,61
375,568;4,62
375,827;4,63
376,086;4,6
376,346;4,66
376,605;4,71
376,864;4,72
377,123;4,75
377,383;4,74
377,642;4,8
377,901;4,85
378,16;4,87
378,419;4,86
378,678;4,9
