Data from malachiteVSwhite_Reflection__3__51.txt Node;
"Date: Wed Sep 10 12:52:51 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
369,6;3,07
369,86;3,13
370,119;3,13
370,379;3,17
370,638;3,22
370,898;3,19
371,158;3,19
371,417;3,2
371,677;3,18
371,936;3,23
372,196;3,28
372,455;3,33
372,715;3,35
372,974;3,39
373,234;3,35
373,493;3,4
373,753;3,43
374,012;3,44
374,271;3,5
374,531;3,5
374,79;3,55
375,049;3,65
375,309;3,66
375,568;3,64
375,827;3,64
376,086;3,61
376,346;3,64
376,605;3,68
376,864;3,66
377,123;3,71
377,383;3,68
377,642;3,73
377,901;3,72
378,16;3,75
378,419;3,73
378,678;3,75
378,937;3,79
379,196;3,76
379,455;3,77
379,714;3,79
379,973;3,85
380,232;3,84
380,491;3,82
380,75;3,84
381,009;3,91
381,268;3,92
381,527;3,98
381,786;3,98
382,045;4
382,304;4,05
382,563;4,08
382,821;4,14
383,08;4,11
383,339;4,21
383,598;4,28
383,857;4,31
384,115;4,36
384,374;4,34
384,633;4,44
384,891;4,47
385,15;4,49
385,409;4,5
385,667;4,53
385,926;4,55
386,185;4,57
386,443;4,58
386,702;4,58
386,96;4,57
387,219;4,6
387,477;4,65
387,736;4,62
387,994;4,65
388,253;4,66
388,511;4,69
388,77;4,69
389,028;4,69
389,287;4,69
389,545;4,69
389,803;4,74
390,062;4,69
390,32;4,75
390,578;4,82
390,837;4,85
391,095;4,91
391,353;4,98
391,612;5,01
391,87;5,07
392,128;5,16
392,386;5,19
392,644;5,21
392,903;5,25
393,161;5,3
393,419;5,34
393,677;5,39
393,935;5,44
394,193;5,42
394,451;5,45
394,709;5,48
394,967;5,54
395,225;5,57
395,483;5,67
395,741;5,69
395,999;5,71
396,257;5,77
396,515;5,78
396,773;5,81
397,031;5,81
397,289;5,83
397,547;5,82
397,805;5,87
398,062;5,93
398,32;5,96
398,578;6,02
398,836;6,02
399,094;6,03
399,351;6,03
399,609;6,1
399,867;6,16
400,124;6,19
400,382;6,23
400,64;6,29
400,897;6,28
401,155;6,29
401,413;6,32
401,67;6,34
401,928;6,37
402,185;6,38
402,443;6,42
402,701;6,47
402,958;6,51
403,216;6,5
403,473;6,54
403,73;6,53
403,988;6,55
404,245;6,57
404,503;6,6
404,76;6,63
405,018;6,61
405,275;6,64
405,532;6,7
405,79;6,7
406,047;6,69
406,304;6,73
406,561;6,78
406,819;6,85
407,076;6,84
407,333;6,9
407,59;6,96
407,848;7
408,105;7,02
408,362;7,07
408,619;7,13
408,876;7,14
409,133;7,16
409,39;7,2
409,647;7,27
409,904;7,3
410,161;7,39
410,418;7,44
410,675;7,42
410,932;7,42
411,189;7,45
411,446;7,48
411,703;7,5
411,96;7,51
412,217;7,47
412,474;7,45
412,731;7,43
412,988;7,42
413,245;7,5
413,501;7,52
413,758;7,51
414,015;7,53
414,272;7,51
414,529;7,63
414,785;7,66
415,042;7,71
415,299;7,76
415,555;7,67
415,812;7,68
416,069;7,74
416,325;7,78
416,582;7,85
416,838;7,93
417,095;7,92
417,352;7,94
417,608;8,03
417,865;8,1
418,121;8,13
418,378;8,14
418,634;8,12
418,891;8,18
419,147;8,24
419,403;8,27
419,66;8,36
419,916;8,37
420,173;8,35
420,429;8,3
420,685;8,37
420,942;8,46
421,198;8,51
421,454;8,53
421,711;8,53
421,967;8,53
422,223;8,5
422,479;8,6
422,735;8,65
422,992;8,6
423,248;8,62
423,504;8,67
423,76;8,75
424,016;8,79
424,272;8,79
424,528;8,77
424,784;8,77
425,041;8,79
425,297;8,8
425,553;8,87
425,809;8,92
426,065;8,82
426,32;8,85
426,576;8,84
426,832;8,86
427,088;8,9
427,344;8,91
427,6;8,95
427,856;8,94
428,112;8,95
428,368;9,01
428,623;9
428,879;9
429,135;9
429,391;9,03
429,646;9,08
429,902;9,1
430,158;9,16
430,414;9,17
430,669;9,22
430,925;9,23
431,181;9,26
431,436;9,39
431,692;9,4
431,947;9,46
432,203;9,45
432,458;9,49
432,714;9,57
432,97;9,59
433,225;9,63
433,481;9,66
433,736;9,7
433,991;9,77
434,247;9,81
434,502;9,88
434,758;9,89
435,013;9,91
435,268;9,96
435,524;9,98
435,779;10,01
436,034;10,03
436,29;10,11
436,545;10,11
436,8;10,14
437,056;10,23
437,311;10,24
437,566;10,31
437,821;10,34
438,076;10,35
438,331;10,44
438,587;10,51
438,842;10,58
439,097;10,65
439,352;10,69
439,607;10,71
439,862;10,69
440,117;10,73
440,372;10,74
440,627;10,79
440,882;10,81
441,137;10,87
441,392;10,9
441,647;10,88
441,902;10,97
442,157;11,01
442,412;11,01
442,667;11,07
442,921;11,09
443,176;11,15
443,431;11,19
443,686;11,16
443,941;11,17
444,195;11,15
444,45;11,13
444,705;11,19
444,96;11,24
445,214;11,27
445,469;11,31
445,724;11,36
445,978;11,4
446,233;11,43
446,487;11,44
446,742;11,46
446,997;11,47
447,251;11,46
447,506;11,46
447,76;11,49
448,015;11,51
448,269;11,55
448,524;11,57
448,778;11,58
449,033;11,57
449,287;11,56
449,541;11,62
