Data from malachiteVSwhite_Reflection__0__48.txt Node;
"Date: Wed Sep 10 12:48:53 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
326,791;12,21
327,053;12,27
327,315;12,33
327,578;12,42
327,84;12,49
328,102;12,55
328,365;12,63
328,627;12,65
328,889;12,7
329,151;12,74
329,414;12,83
329,676;12,87
329,938;12,95
330,2;12,98
330,462;13,04
330,725;13,08
330,987;13,14
331,249;13,21
331,511;13,29
331,773;13,34
332,035;13,46
332,297;13,55
332,559;13,55
332,821;13,59
333,083;13,61
333,345;13,66
333,607;13,74
333,869;13,84
334,131;13,94
334,393;14,03
334,655;14,1
334,917;14,12
335,179;14,19
335,44;14,3
335,702;14,39
335,964;14,45
336,226;14,56
336,488;14,58
336,749;14,66
337,011;14,69
337,273;14,77
337,535;14,82
337,796;14,87
338,058;14,96
338,32;15,02
338,581;15,09
338,843;15,16
339,105;15,22
339,366;15,25
339,628;15,33
339,889;15,4
340,151;15,49
340,412;15,54
340,674;15,58
340,935;15,62
341,197;15,72
341,458;15,76
341,72;15,78
341,981;15,85
342,243;15,92
342,504;16,02
342,766;16,1
343,027;16,14
343,288;16,21
343,55;16,3
343,811;16,39
344,072;16,4
344,334;16,44
344,595;16,5
344,856;16,54
345,117;16,62
345,379;16,65
345,64;16,72
345,901;16,84
346,162;16,93
346,423;16,96
346,684;16,98
346,946;17,04
347,207;17,07
347,468;17,15
347,729;17,19
347,99;17,26
348,251;17,31
348,512;17,39
348,773;17,39
349,034;17,42
349,295;17,43
349,556;17,62
349,817;17,73
350,078;17,79
350,339;17,84
350,6;17,87
350,86;17,99
351,121;18,01
351,382;18,03
351,643;18,04
351,904;18,06
352,165;18,07
352,425;18,14
352,686;18,22
352,947;18,27
353,208;18,35
353,468;18,39
353,729;18,44
353,99;18,47
354,25;18,56
354,511;18,62
354,772;18,68
355,032;18,67
355,293;18,7
355,553;18,75
355,814;18,85
356,074;18,84
356,335;18,88
356,596;19
356,856;19,06
357,116;19,18
357,377;19,3
357,637;19,42
357,898;19,49
358,158;19,56
358,419;19,62
358,679;19,71
358,939;19,74
359,2;19,77
359,46;19,84
359,72;19,91
359,981;20,01
360,241;20,08
360,501;20,15
360,761;20,2
361,022;20,26
361,282;20,27
361,542;20,37
361,802;20,4
362,062;20,41
362,323;20,48
362,583;20,52
362,843;20,55
363,103;20,6
363,363;20,62
363,623;20,67
363,883;20,74
364,143;20,73
364,403;20,79
364,663;20,9
364,923;21
365,183;21,07
365,443;21,15
365,703;21,18
365,963;21,23
366,223;21,32
366,483;21,41
366,743;21,5
367,002;21,57
367,262;21,63
367,522;21,7
367,782;21,69
368,042;21,75
368,301;21,8
368,561;21,86
368,821;21,96
369,081;21,99
369,34;22,04
369,6;22,11
369,86;22,17
370,119;22,2
370,379;22,21
370,638;22,26
370,898;22,25
371,158;22,34
371,417;22,4
371,677;22,36
371,936;22,39
372,196;22,44
372,455;22,51
372,715;22,55
372,974;22,64
373,234;22,72
373,493;22,8
373,753;22,9
374,012;22,9
374,271;22,99
374,531;23,11
374,79;23,16
375,049;23,28
375,309;23,34
375,568;23,4
375,827;23,46
376,086;23,55
376,346;23,63
376,605;23,71
376,864;23,76
377,123;23,87
377,383;23,93
377,642;24,02
377,901;24,11
378,16;24,19
378,419;24,22
378,678;24,23
378,937;24,26
379,196;24,3
379,455;24,43
379,714;24,45
379,973;24,51
380,232;24,53
380,491;24,59
380,75;24,66
381,009;24,71
381,268;24,77
381,527;24,81
381,786;24,88
382,045;24,95
382,304;25
382,563;25,11
382,821;25,24
383,08;25,3
383,339;25,35
383,598;25,43
383,857;25,52
384,115;25,63
384,374;25,71
384,633;25,78
384,891;25,82
385,15;25,87
385,409;25,96
385,667;26,02
385,926;26,07
386,185;26,15
386,443;26,24
386,702;26,28
386,96;26,33
387,219;26,36
387,477;26,41
387,736;26,45
387,994;26,48
388,253;26,47
388,511;26,49
388,77;26,51
389,028;26,55
389,287;26,57
389,545;26,63
389,803;26,62
390,062;26,72
390,32;26,75
390,578;26,84
390,837;26,85
391,095;26,92
391,353;27
391,612;27,05
391,87;27,08
392,128;27,13
392,386;27,17
392,644;27,21
392,903;27,2
393,161;27,26
393,419;27,3
393,677;27,36
393,935;27,41
394,193;27,45
394,451;27,49
394,709;27,48
394,967;27,54
395,225;27,6
395,483;27,61
395,741;27,66
395,999;27,72
396,257;27,77
396,515;27,79
396,773;27,8
397,031;27,81
397,289;27,87
397,547;27,9
397,805;27,96
398,062;28,03
398,32;28,05
398,578;28,12
398,836;28,09
399,094;28,07
399,351;28,1
399,609;28,14
399,867;28,22
400,124;28,28
400,382;28,3
400,64;28,33
400,897;28,29
401,155;28,31
401,413;28,26
401,67;28,27
401,928;28,38
402,185;28,41
402,443;28,44
402,701;28,46
402,958;28,52
403,216;28,5
403,473;28,5
403,73;28,57
