Data from malachiteVSwhite_Reflection__1__49.txt Node;
"Date: Wed Sep 10 12:50:59 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
424,016;5,61
424,272;5,56
424,528;5,54
424,784;5,51
425,041;5,49
425,297;5,52
425,553;5,54
425,809;5,55
426,065;5,51
426,32;5,52
426,576;5,51
426,832;5,48
427,088;5,49
427,344;5,49
427,6;5,53
427,856;5,52
428,112;5,49
428,368;5,47
428,623;5,49
428,879;5,49
429,135;5,51
429,391;5,56
429,646;5,59
429,902;5,63
430,158;5,69
430,414;5,75
430,669;5,77
430,925;5,8
431,181;5,8
431,436;5,9
431,692;5,89
431,947;5,9
432,203;5,93
432,458;5,95
432,714;6,01
432,97;6,02
433,225;6,07
433,481;6,1
433,736;6,16
433,991;6,19
434,247;6,2
434,502;6,22
434,758;6,3
435,013;6,26
435,268;6,26
435,524;6,24
435,779;6,18
436,034;6,23
436,29;6,25
436,545;6,28
436,8;6,24
437,056;6,28
437,311;6,31
437,566;6,33
437,821;6,33
438,076;6,35
438,331;6,32
438,587;6,34
438,842;6,34
439,097;6,42
439,352;6,42
439,607;6,4
439,862;6,38
440,117;6,33
440,372;6,39
440,627;6,43
440,882;6,47
441,137;6,54
441,392;6,53
441,647;6,53
441,902;6,58
442,157;6,65
442,412;6,66
442,667;6,68
442,921;6,69
443,176;6,74
443,431;6,77
443,686;6,8
443,941;6,81
444,195;6,85
444,45;6,82
444,705;6,85
444,96;6,93
445,214;6,95
445,469;6,96
445,724;7
445,978;7,05
446,233;7,05
446,487;7,07
446,742;7,05
446,997;7,07
447,251;7,03
447,506;7,02
447,76;7,05
448,015;7,08
448,269;7,15
448,524;7,14
448,778;7,17
449,033;7,17
449,287;7,17
449,541;7,18
449,796;7,19
450,05;7,23
450,305;7,26
450,559;7,3
450,813;7,33
451,067;7,32
451,322;7,26
451,576;7,28
451,83;7,31
452,084;7,38
452,339;7,43
452,593;7,46
452,847;7,47
453,101;7,47
453,355;7,51
453,609;7,5
453,864;7,53
