Data from malachiteVSwhite_Reflection__4__52.txt Node;
"Date: Wed Sep 10 12:54:03 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
319,175;2,51
319,437;2,52
319,7;2,53
319,963;2,56
320,226;2,56
320,489;2,59
320,751;2,54
321,014;2,53
321,277;2,53
321,54;2,53
321,802;2,5
322,065;2,51
322,328;2,47
322,59;2,46
322,853;2,49
323,116;2,48
323,378;2,47
323,641;2,45
323,903;2,47
324,166;2,51
324,428;2,52
324,691;2,54
324,953;2,53
325,216;2,54
325,478;2,56
325,741;2,54
326,003;2,53
326,266;2,53
326,528;2,52
326,791;2,5
327,053;2,5
327,315;2,49
327,578;2,54
327,84;2,55
328,102;2,54
328,365;2,55
328,627;2,53
328,889;2,52
329,151;2,53
329,414;2,55
329,676;2,54
329,938;2,54
330,2;2,49
330,462;2,49
330,725;2,48
330,987;2,47
331,249;2,5
331,511;2,52
331,773;2,53
332,035;2,58
332,297;2,59
332,559;2,59
332,821;2,62
333,083;2,6
333,345;2,61
333,607;2,66
333,869;2,67
334,131;2,68
334,393;2,73
334,655;2,72
334,917;2,71
335,179;2,71
335,44;2,73
335,702;2,78
335,964;2,78
336,226;2,8
336,488;2,77
336,749;2,78
337,011;2,75
337,273;2,77
337,535;2,76
337,796;2,74
338,058;2,76
338,32;2,75
338,581;2,7
338,843;2,68
339,105;2,68
339,366;2,65
339,628;2,67
339,889;2,64
340,151;2,64
340,412;2,63
340,674;2,65
340,935;2,63
341,197;2,63
341,458;2,64
341,72;2,62
341,981;2,61
342,243;2,58
342,504;2,62
342,766;2,62
343,027;2,61
343,288;2,67
343,55;2,66
343,811;2,67
344,072;2,65
344,334;2,68
344,595;2,68
344,856;2,67
345,117;2,7
345,379;2,71
345,64;2,75
345,901;2,75
346,162;2,77
346,423;2,81
346,684;2,8
346,946;2,82
347,207;2,85
347,468;2,9
347,729;2,93
347,99;2,94
348,251;2,95
348,512;2,97
348,773;2,93
349,034;2,93
349,295;2,96
349,556;3,02
349,817;3,05
350,078;3,04
350,339;3,05
350,6;3,04
350,86;3,06
351,121;3,03
351,382;3,09
351,643;3,05
351,904;3,03
352,165;3,03
352,425;3,04
352,686;3,06
352,947;3,05
353,208;3,06
353,468;3,06
353,729;3,07
353,99;3,09
354,25;3,14
354,511;3,13
354,772;3,15
355,032;3,18
355,293;3,17
355,553;3,18
355,814;3,2
356,074;3,2
356,335;3,24
356,596;3,31
356,856;3,27
357,116;3,31
357,377;3,33
357,637;3,37
357,898;3,38
358,158;3,37
358,419;3,38
358,679;3,41
358,939;3,44
359,2;3,42
359,46;3,46
359,72;3,44
359,981;3,49
360,241;3,43
360,501;3,41
360,761;3,41
361,022;3,44
361,282;3,47
361,542;3,48
361,802;3,45
362,062;3,41
362,323;3,4
362,583;3,42
