Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
119;800,97;12484,92;257,43;3672,9;65535;5206,7;1533,8;0;0;0;
120;801,12;12482,57;259,77;3656,4;65535;5198,1;1541,7;0;0;0;
121;801,27;12480,23;262,12;3533,5;65535;5103,5;1570;0;0;0;
122;801,42;12477,88;264,46;3692,1;65535;5286,7;1594,6;0;0;0;
123;801,57;12475,54;266,8;3651,1;65535;5322,7;1671,6;0;0;0;
124;801,72;12473,2;269,14;3704,9;65535;5476,1;1771,2;0;0;0;
125;801,87;12470,86;271,48;3681,9;65535;5579,9;1898;0;0;0;
126;802,02;12468,52;273,82;3516,8;65535;5575,9;2059,1;0;0;0;
127;802,17;12466,18;276,16;3695,8;65535;5872,1;2176,3;0;0;0;
128;802,32;12463,84;278,5;3610,2;65535;5788,9;2178,7;0;0;0;
129;802,47;12461,51;280,84;3688,2;65535;5773,7;2085,5;0;0;0;
130;802,62;12459,17;283,17;4345,7;65535;6252,9;1907,2;0;0;0;
131;802,77;12456,84;285,51;3679,5;65535;5403,5;1724;0;0;0;
132;802,92;12454,5;287,84;3960,5;65535;5549,1;1588,6;0;0;0;
133;803,07;12452,17;290,17;3644,3;65535;5173,5;1529,2;0;0;0;
134;803,22;12449,84;292,51;4121,5;65535;5615,3;1493,8;0;0;0;
135;803,37;12447,51;294,84;3622,5;65535;5072,6;1450,1;0;0;0;
136;803,52;12445,18;297,17;3688,8;65535;5110,3;1421,5;0;0;0;
137;803,67;12442,85;299,5;3636,3;65535;5031,7;1395,4;0;0;0;
138;803,82;12440,52;301,82;3643,3;65535;5026,4;1383,1;0;0;0;
139;803,98;12438,19;304,15;3927;65535;5303,8;1376,8;0;0;0;
140;804,13;12435,87;306,48;3720,1;65535;5078,6;1358,5;0;0;0;
141;804,28;12433,54;308,8;3597,7;65535;4962,6;1364,9;0;0;0;
142;804,43;12431,22;311,12;3575,8;65535;4928,4;1352,6;0;0;0;
143;804,58;12428,9;313,45;3565,2;65535;4891,8;1326,6;0;0;0;
144;804,73;12426,58;315,77;3731,4;65535;5063,9;1332,5;0;0;0;
145;804,88;12424,25;318,09;3643,1;65535;4975,1;1332;0;0;0;
146;805,03;12421,93;320,41;3679,1;65535;5002,9;1323,8;0;0;0;
147;805,18;12419,62;322,73;3705,7;65535;5043,5;1337,8;0;0;0;
148;805,33;12417,3;325,05;3804,8;65535;5127,2;1322,4;0;0;0;
149;805,48;12414,98;327,36;3788;65535;5117,6;1329,6;0;0;0;
150;805,63;12412,67;329,68;3761,5;65535;5095;1333,5;0;0;0;
151;805,78;12410,35;331,99;3852,5;65535;5170,2;1317,7;0;0;0;
152;805,93;12408,04;334,31;3809,8;65535;5140,9;1331,1;0;0;0;
153;806,08;12405,72;336,62;3547,8;65535;4846,7;1298,9;0;0;0;
154;806,23;12403,41;338,93;3645,3;65535;4952,6;1307,3;0;0;0;
155;806,38;12401,1;341,24;3616,6;65535;4885,5;1268,9;0;0;0;
156;806,53;12398,79;343,55;3644,5;65535;4950,1;1305,6;0;0;0;
157;806,68;12396,48;345,86;3840;65535;5118,2;1278,2;0;0;0;
158;806,83;12394,18;348,17;3692,3;65535;4968;1275,7;0;0;0;
159;806,98;12391,87;350,47;3565,9;65535;4846,6;1280,7;0;0;0;
160;807,13;12389,56;352,78;3690,9;65535;4967,4;1276,5;0;0;0;
161;807,28;12387,26;355,09;3567,6;65535;4848,7;1281,1;0;0;0;
162;807,43;12384,95;357,39;3817,4;65535;5116,1;1298,7;0;0;0;
163;807,58;12382,65;359,69;3852,2;65535;5145,7;1293,5;0;0;0;
164;807,73;12380,35;361,99;3566,4;65535;4847,6;1281,2;0;0;0;
165;807,88;12378,05;364,29;3780,4;65535;5030,2;1249,8;0;0;0;
166;808,03;12375,75;366,59;3674,8;65535;4918,8;1244;0;0;0;
167;808,18;12373,45;368,89;3800,1;65535;5047,8;1247,7;0;0;0;
168;808,33;12371,15;371,19;3593,7;65535;4850,6;1256,9;0;0;0;
169;808,48;12368,86;373,49;3772,8;65535;4991,6;1218,8;0;0;0;
170;808,63;12366,56;375,78;3829,1;65535;5074,8;1245,7;0;0;0;
171;808,78;12364,26;378,08;3609,5;65535;4855,8;1246,3;0;0;0;
172;808,93;12361,97;380,37;3709,3;65535;4901,9;1192,6;0;0;0;
173;809,08;12359,68;382,67;3655,3;65535;4896,8;1241,5;0;0;0;
174;809,23;12357,39;384,96;3800,5;65535;5009,1;1208,6;0;0;0;
175;809,38;12355,09;387,25;3682,6;65535;4880,6;1198;0;0;0;
176;809,53;12352,8;389,54;3640,4;65535;4829,4;1189;0;0;0;
177;809,68;12350,51;391,83;3872,1;65535;5085,6;1213,5;0;0;0;
