Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
120;801,12;12482,57;259,77;3662,8;65535;4619,1;956,3;0;0;0;
121;801,27;12480,23;262,12;3531,8;65535;4517;985,2;0;0;0;
122;801,42;12477,88;264,46;3686,7;65535;4719,3;1032,6;0;0;0;
123;801,57;12475,54;266,8;3652,1;65535;4749,6;1097,5;0;0;0;
124;801,72;12473,2;269,14;3716,9;65535;4897,6;1180,7;0;0;0;
125;801,87;12470,86;271,48;3693,4;65535;4969,9;1276,5;0;0;0;
126;802,02;12468,52;273,82;3532,5;65535;4939;1406,5;0;0;0;
127;802,17;12466,18;276,16;3715,2;65535;5214,5;1499,3;0;0;0;
128;802,32;12463,84;278,5;3614,3;65535;5135,8;1521,5;0;0;0;
129;802,47;12461,51;280,84;3690,1;65535;5084,8;1394,7;0;0;0;
130;802,62;12459,17;283,17;4335,5;65535;5607,7;1272,2;0;0;0;
131;802,77;12456,84;285,51;3689,7;65535;4796,4;1106,7;0;0;0;
132;802,92;12454,5;287,84;3938,6;65535;4966,9;1028,3;0;0;0;
133;803,07;12452,17;290,17;3633,4;65535;4610,8;977,4;0;0;0;
134;803,22;12449,84;292,51;4128,8;65535;5040,9;912,1;0;0;0;
135;803,37;12447,51;294,84;3629,3;65535;4499,7;870,4;0;0;0;
136;803,52;12445,18;297,17;3679,5;65535;4543,7;864,2;0;0;0;
137;803,67;12442,85;299,5;3629,2;65535;4455,9;826,7;0;0;0;
138;803,82;12440,52;301,82;3657,8;65535;4472,3;814,5;0;0;0;
139;803,98;12438,19;304,15;3929;65535;4759,7;830,7;0;0;0;
140;804,13;12435,87;306,48;3728,4;65535;4522,8;794,4;0;0;0;
141;804,28;12433,54;308,8;3612,4;65535;4407,3;794,9;0;0;0;
142;804,43;12431,22;311,12;3571,5;65535;4370,6;799,1;0;0;0;
143;804,58;12428,9;313,45;3579,9;65535;4350,2;770,3;0;0;0;
144;804,73;12426,58;315,77;3733,6;65535;4498,7;765,1;0;0;0;
145;804,88;12424,25;318,09;3648,1;65535;4417,4;769,3;0;0;0;
146;805,03;12421,93;320,41;3679,8;65535;4439,2;759,4;0;0;0;
147;805,18;12419,62;322,73;3705,4;65535;4492,1;786,7;0;0;0;
148;805,33;12417,3;325,05;3797,3;65535;4581,3;784;0;0;0;
149;805,48;12414,98;327,36;3800,3;65535;4560,1;759,8;0;0;0;
150;805,63;12412,67;329,68;3777,8;65535;4534,1;756,3;0;0;0;
151;805,78;12410,35;331,99;3830,4;65535;4591,7;761,3;0;0;0;
152;805,93;12408,04;334,31;3829,4;65535;4578,1;748,7;0;0;0;
153;806,08;12405,72;336,62;3546,6;65535;4316,3;769,7;0;0;0;
154;806,23;12403,41;338,93;3635,7;65535;4387,3;751,6;0;0;0;
155;806,38;12401,1;341,24;3613,1;65535;4361,6;748,5;0;0;0;
156;806,53;12398,79;343,55;3658,7;65535;4394,1;735,4;0;0;0;
