Data from MinioWhite_Reflection__2__40.txt Node;
"Date: Thu Sep 11 16:57:17 CEST 2025 User: sycur";
402,443;3,3
402,701;3,3
402,958;3,3
403,216;3,31
403,473;3,31
403,73;3,32
403,988;3,31
404,245;3,29
404,503;3,3
404,76;3,29
405,018;3,28
405,275;3,28
405,532;3,27
405,79;3,27
406,047;3,26
406,304;3,27
406,561;3,27
406,819;3,24
407,076;3,24
407,333;3,23
407,59;3,24
407,848;3,25
408,105;3,23
408,362;3,22
408,619;3,22
408,876;3,21
409,133;3,2
409,39;3,19
409,647;3,2
409,904;3,18
410,161;3,19
410,418;3,2
410,675;3,21
410,932;3,2
411,189;3,19
411,446;3,19
411,703;3,19
411,96;3,2
412,217;3,21
412,474;3,23
412,731;3,24
412,988;3,25
413,245;3,24
413,501;3,26
413,758;3,27
414,015;3,26
414,272;3,28
414,529;3,28
414,785;3,29
415,042;3,26
415,299;3,28
415,555;3,28
415,812;3,27
416,069;3,26
416,325;3,27
416,582;3,27
416,838;3,27
417,095;3,26
417,352;3,24
417,608;3,25
417,865;3,24
418,121;3,23
418,378;3,22
418,634;3,23
418,891;3,21
419,147;3,19
419,403;3,19
419,66;3,19
419,916;3,19
420,173;3,19
420,429;3,2
420,685;3,2
420,942;3,21
421,198;3,23
421,454;3,23
421,711;3,24
421,967;3,27
422,223;3,26
422,479;3,27
422,735;3,29
422,992;3,29
423,248;3,29
423,504;3,29
423,76;3,31
424,016;3,31
424,272;3,33
424,528;3,34
424,784;3,35
425,041;3,34
425,297;3,33
425,553;3,34
425,809;3,36
426,065;3,37
426,32;3,35
426,576;3,34
426,832;3,32
427,088;3,3
427,344;3,31
427,6;3,3
427,856;3,29
428,112;3,28
428,368;3,27
428,623;3,27
428,879;3,28
429,135;3,26
429,391;3,27
429,646;3,26
429,902;3,26
430,158;3,26
430,414;3,25
430,669;3,25
430,925;3,25
431,181;3,24
431,436;3,22
431,692;3,23
431,947;3,23
432,203;3,23
432,458;3,24
432,714;3,22
432,97;3,23
433,225;3,23
433,481;3,24
433,736;3,24
433,991;3,25
434,247;3,24
434,502;3,25
434,758;3,24
435,013;3,24
435,268;3,24
435,524;3,23
435,779;3,25
436,034;3,24
436,29;3,23
436,545;3,23
436,8;3,23
437,056;3,23
437,311;3,25
437,566;3,25
437,821;3,25
438,076;3,25
438,331;3,25
438,587;3,24
438,842;3,23
439,097;3,23
439,352;3,23
439,607;3,21
439,862;3,21
440,117;3,22
440,372;3,22
440,627;3,2
440,882;3,2
441,137;3,21
441,392;3,22
441,647;3,22
441,902;3,24
442,157;3,24
442,412;3,24
442,667;3,22
442,921;3,22
443,176;3,21
443,431;3,22
443,686;3,23
443,941;3,23
444,195;3,25
444,45;3,25
444,705;3,24
444,96;3,25
445,214;3,25
445,469;3,25
445,724;3,25
445,978;3,26
446,233;3,26
446,487;3,23
446,742;3,24
446,997;3,24
447,251;3,23
447,506;3,21
447,76;3,2
448,015;3,2
448,269;3,19
448,524;3,2
448,778;3,19
449,033;3,19
449,287;3,19
449,541;3,19
449,796;3,18
450,05;3,18
450,305;3,2
450,559;3,18
450,813;3,19
451,067;3,2
451,322;3,21
451,576;3,22
451,83;3,24
452,084;3,25
452,339;3,25
452,593;3,25
452,847;3,25
453,101;3,24
453,355;3,25
453,609;3,26
453,864;3,26
454,118;3,27
454,372;3,25
454,626;3,26
454,88;3,24
455,134;3,24
455,388;3,24
455,642;3,21
455,896;3,22
456,15;3,22
456,404;3,21
456,658;3,2
456,912;3,2
457,165;3,2
457,419;3,19
457,673;3,17
457,927;3,19
458,181;3,2
458,435;3,23
458,688;3,23
458,942;3,24
459,196;3,22
459,45;3,22
459,703;3,24
459,957;3,24
460,211;3,25
460,464;3,24
460,718;3,24
460,972;3,25
461,225;3,25
461,479;3,23
461,732;3,23
461,986;3,23
462,239;3,24
462,493;3,24
462,746;3,24
463;3,26
463,253;3,25
463,507;3,25
463,76;3,22
464,014;3,23
464,267;3,23
464,52;3,26
464,774;3,26
465,027;3,24
465,28;3,25
465,534;3,24
465,787;3,24
466,04;3,25
466,294;3,25
466,547;3,25
466,8;3,25
467,053;3,25
467,306;3,25
467,56;3,24
467,813;3,26
468,066;3,27
468,319;3,27
468,572;3,27
468,825;3,27
469,078;3,28
469,331;3,29
469,584;3,28
469,837;3,28
470,09;3,28
470,343;3,28
470,596;3,27
470,849;3,28
471,102;3,29
471,355;3,29
471,608;3,28
471,861;3,29
472,114;3,29
472,367;3,29
472,619;3,3
472,872;3,31
473,125;3,3
473,378;3,29
473,631;3,28
473,883;3,29
474,136;3,29
474,389;3,29
474,641;3,28
474,894;3,28
475,147;3,27
475,399;3,27
475,652;3,28
475,905;3,3
476,157;3,31
476,41;3,31
476,662;3,32
476,915;3,34
477,167;3,33
477,42;3,34
477,672;3,35
477,925;3,36
478,177;3,35
478,43;3,35
478,682;3,35
478,934;3,36
479,187;3,36
479,439;3,37
479,691;3,37
479,944;3,38
480,196;3,39
480,448;3,39
480,701;3,4
480,953;3,4
481,205;3,39
481,457;3,39
481,709;3,4
481,962;3,4
482,214;3,41
482,466;3,42
482,718;3,43
482,97;3,46
483,222;3,48
483,474;3,5
483,726;3,53
483,978;3,55
484,23;3,56
484,482;3,56
484,734;3,57
484,986;3,56
485,238;3,56
485,49;3,57
485,742;3,57
485,994;3,57
486,246;3,58
486,498;3,58
486,75;3,58
487,001;3,59
487,253;3,58
487,505;3,58
487,757;3,57
488,009;3,57
488,26;3,56
488,512;3,55
488,764;3,53
489,015;3,52
489,267;3,51
489,519;3,5
489,77;3,49
490,022;3,5
490,274;3,5
490,525;3,5
490,777;3,49
491,028;3,5
491,28;3,5
491,531;3,49
491,783;3,5
492,034;3,5
492,286;3,49
492,537;3,5
492,789;3,5
493,04;3,5
493,291;3,49
493,543;3,49
493,794;3,5
494,045;3,51
494,297;3,51
494,548;3,51
494,799;3,51
495,051;3,51
495,302;3,51
495,553;3,52
495,804;3,52
496,056;3,53
496,307;3,53
496,558;3,54
496,809;3,55
497,06;3,55
497,311;3,55
497,562;3,56
497,813;3,56
498,064;3,56
498,316;3,57
498,567;3,57
498,818;3,57
499,069;3,57
499,319;3,57
499,57;3,56
499,821;3,57
500,072;3,57
500,323;3,58
500,574;3,58
500,825;3,58
501,076;3,59
501,327;3,6
501,577;3,6
501,828;3,6
502,079;3,59
502,33;3,59
502,58;3,59
502,831;3,59
503,082;3,61
503,333;3,62
503,583;3,63
503,834;3,63
504,084;3,63
504,335;3,63
504,586;3,64
504,836;3,65
505,087;3,65
505,337;3,65
505,588;3,65
505,838;3,66
506,089;3,67
506,339;3,67
506,59;3,67
506,84;3,67
507,091;3,67
507,341;3,68
507,591;3,69
507,842;3,69
508,092;3,7
508,343;3,71
508,593;3,71
508,843;3,71
509,093;3,72
509,344;3,72
509,594;3,72
509,844;3,72
510,094;3,73
510,345;3,73
510,595;3,73
510,845;3,74
511,095;3,74
511,345;3,74
511,595;3,74
511,845;3,74
512,095;3,75
512,345;3,74
512,595;3,75
512,845;3,76
513,095;3,77
513,345;3,77
513,595;3,77
513,845;3,77
514,095;3,77
514,345;3,78
514,595;3,79
514,845;3,8
515,095;3,81
515,345;3,81
515,594;3,82
515,844;3,82
516,094;3,84
516,344;3,84
516,593;3,84
516,843;3,85
517,093;3,86
517,343;3,86
517,592;3,88
517,842;3,89
518,092;3,9
518,341;3,9
518,591;3,91
518,84;3,92
519,09;3,93
519,34;3,94
519,589;3,95
519,839;3,95
520,088;3,96
520,338;3,96
520,587;3,96
520,836;3,96
521,086;3,97
521,335;3,97
521,585;3,99
521,834;4
522,083;4,02
522,333;4,03
522,582;4,03
522,831;4,04
523,081;4,05
523,33;4,07
523,579;4,08
523,828;4,09
524,078;4,09
524,327;4,1
524,576;4,13
524,825;4,15
525,074;4,16
525,323;4,16
525,573;4,19
525,822;4,21
526,071;4,22
526,32;4,25
526,569;4,26
526,818;4,27
527,067;4,27
527,316;4,29
527,565;4,3
527,814;4,31
528,063;4,33
528,312;4,34
528,56;4,36
528,809;4,37
529,058;4,38
529,307;4,4
529,556;4,42
529,805;4,42
530,053;4,43
530,302;4,45
530,551;4,48
530,8;4,49
531,048;4,52
531,297;4,53
531,546;4,55
531,794;4,57
532,043;4,6
532,292;4,63
532,54;4,65
532,789;4,68
533,037;4,71
533,286;4,74
533,535;4,75
533,783;4,77
534,032;4,81
534,28;4,84
534,528;4,88
534,777;4,91
535,025;4,95
535,274;4,98
535,522;5,02
535,771;5,05
536,019;5,09
536,267;5,12
536,516;5,17
536,764;5,21
537,012;5,26
537,26;5,3
537,509;5,35
537,757;5,39
538,005;5,44
538,253;5,49
538,501;5,54
538,75;5,6
538,998;5,66
539,246;5,72
539,494;5,77
539,742;5,83
539,99;5,88
540,238;5,94
540,486;6
540,734;6,07
540,982;6,15
541,23;6,23
541,478;6,3
541,726;6,37
541,974;6,45
542,222;6,53
542,47;6,62
542,718;6,71
542,966;6,81
543,213;6,9
543,461;6,99
543,709;7,09
543,957;7,19
544,205;7,29
544,452;7,4
544,7;7,51
544,948;7,62
545,196;7,75
545,443;7,88
545,691;8,01
545,939;8,14
546,186;8,27
546,434;8,4
546,681;8,55
546,929;8,69
547,176;8,83
547,424;9
547,671;9,15
547,919;9,31
548,166;9,47
548,414;9,65
548,661;9,82
548,909;10,01
549,156;10,21
549,404;10,4
549,651;10,59
549,898;10,8
550,146;11,01
550,393;11,23
550,64;11,45
550,888;11,68
551,135;11,9
551,382;12,13
551,629;12,36
551,876;12,6
552,124;12,84
552,371;13,1
552,618;13,33
552,865;13,6
553,112;13,86
553,359;14,12
553,606;14,39
553,854;14,66
554,101;14,93
554,348;15,22
554,595;15,51
554,842;15,8
555,089;16,1
555,336;16,41
555,582;16,7
555,829;17,01
556,076;17,32
556,323;17,64
556,57;17,97
556,817;18,3
557,064;18,63
557,311;18,97
557,557;19,31
557,804;19,67
558,051;20,01
558,298;20,37
558,544;20,74
558,791;21,1
559,038;21,48
559,284;21,85
559,531;22,22
559,778;22,6
560,024;22,97
560,271;23,35
560,517;23,74
560,764;24,14
561,011;24,52
561,257;24,92
561,504;25,31
561,75;25,71
561,997;26,11
562,243;26,53
562,489;26,93
562,736;27,34
562,982;27,76
563,229;28,17
563,475;28,6
563,721;29,03
563,968;29,46
564,214;29,88
564,46;30,31
564,707;30,76
564,953;31,2
565,199;31,64
565,445;32,09
565,691;32,52
565,938;32,97
566,184;33,43
566,43;33,89
566,676;34,36
566,922;34,81
567,168;35,25
567,414;35,71
567,66;36,17
567,906;36,61
568,152;37,05
568,398;37,51
568,644;37,96
568,89;38,39
569,136;38,83
569,382;39,26
569,628;39,68
569,874;40,1
570,12;40,52
570,366;40,94
570,612;41,35
570,857;41,77
571,103;42,19
571,349;42,61
571,595;43,02
571,84;43,42
572,086;43,83
572,332;44,25
572,578;44,65
572,823;45,06
573,069;45,45
573,315;45,85
573,56;46,25
573,806;46,63
574,051;47,04
574,297;47,43
574,542;47,83
574,788;48,21
575,034;48,6
575,279;48,98
575,524;49,35
575,77;49,72
576,015;50,08
576,261;50,44
576,506;50,79
576,752;51,14
576,997;51,49
577,242;51,84
577,488;52,18
577,733;52,51
577,978;52,84
578,223;53,19
578,469;53,54
578,714;53,88
578,959;54,23
579,204;54,55
579,45;54,87
579,695;55,19
579,94;55,51
580,185;55,8
580,43;56,09
580,675;56,37
580,92;56,65
581,165;56,91
581,41;57,17
581,655;57,42
581,9;57,68
582,145;57,94
582,39;58,19
582,635;58,44
582,88;58,68
583,125;58,93
583,37;59,18
583,615;59,41
583,86;59,65
584,105;59,88
584,349;60,12
584,594;60,36
584,839;60,58
585,084;60,81
585,328;61,03
585,573;61,26
585,818;61,46
586,063;61,65
586,307;61,87
586,552;62,06
586,797;62,24
587,041;62,44
587,286;62,62
587,53;62,81
587,775;62,99
588,019;63,18
588,264;63,38
588,508;63,56
588,753;63,72
588,997;63,91
589,242;64,09
589,486;64,27
589,731;64,45
589,975;64,63
590,22;64,79
590,464;64,96
590,708;65,13
590,953;65,31
591,197;65,48
591,441;65,63
591,685;65,78
591,93;65,94
592,174;66,09
592,418;66,23
592,662;66,37
592,907;66,5
593,151;66,62
593,395;66,73
593,639;66,84
593,883;66,98
594,127;67,09
594,371;67,21
594,615;67,34
594,859;67,46
595,103;67,58
595,347;67,7
595,591;67,81
595,835;67,91
596,079;68,02
596,323;68,13
596,567;68,25
596,811;68,37
597,055;68,48
597,299;68,6
597,542;68,7
597,786;68,81
598,03;68,91
598,274;69,01
598,518;69,12
598,761;69,21
599,005;69,3
599,249;69,4
599,492;69,48
599,736;69,57
599,98;69,65
600,223;69,74
600,467;69,83
600,711;69,94
600,954;70,05
601,198;70,13
601,441;70,2
601,685;70,28
601,928;70,36
602,172;70,44
602,415;70,52
602,659;70,61
602,902;70,69
603,145;70,77
