Data from MinioWhite_Reflection__3__41.txt Node;
"Date: Thu Sep 11 16:57:57 CEST 2025 User: sycur";
323,116;3,94
323,378;3,93
323,641;3,93
323,903;3,92
324,166;3,92
324,428;3,92
324,691;3,92
324,953;3,92
325,216;3,91
325,478;3,91
325,741;3,91
326,003;3,92
326,266;3,9
326,528;3,91
326,791;3,91
327,053;3,9
327,315;3,88
327,578;3,9
327,84;3,88
328,102;3,87
328,365;3,87
328,627;3,87
328,889;3,87
329,151;3,87
329,414;3,87
329,676;3,86
329,938;3,86
330,2;3,86
330,462;3,86
330,725;3,85
330,987;3,84
331,249;3,83
331,511;3,84
331,773;3,84
332,035;3,82
332,297;3,82
332,559;3,83
332,821;3,83
333,083;3,82
333,345;3,83
333,607;3,83
333,869;3,83
334,131;3,82
334,393;3,81
334,655;3,81
334,917;3,81
335,179;3,81
335,44;3,8
335,702;3,81
335,964;3,8
336,226;3,8
336,488;3,8
336,749;3,8
337,011;3,79
337,273;3,79
337,535;3,79
337,796;3,78
338,058;3,78
338,32;3,78
338,581;3,77
338,843;3,76
339,105;3,76
339,366;3,76
339,628;3,77
339,889;3,76
340,151;3,76
340,412;3,75
340,674;3,75
340,935;3,74
341,197;3,74
341,458;3,73
341,72;3,74
341,981;3,75
342,243;3,74
342,504;3,73
342,766;3,73
343,027;3,73
343,288;3,73
343,55;3,72
343,811;3,72
344,072;3,72
344,334;3,72
344,595;3,72
344,856;3,71
345,117;3,7
345,379;3,71
345,64;3,71
345,901;3,7
346,162;3,7
346,423;3,7
346,684;3,68
346,946;3,68
347,207;3,67
347,468;3,66
347,729;3,64
347,99;3,64
348,251;3,63
348,512;3,63
348,773;3,63
349,034;3,61
349,295;3,6
349,556;3,59
349,817;3,58
350,078;3,57
350,339;3,56
350,6;3,57
350,86;3,54
351,121;3,53
351,382;3,53
351,643;3,51
351,904;3,49
352,165;3,5
352,425;3,51
352,686;3,51
352,947;3,5
353,208;3,5
353,468;3,49
353,729;3,49
353,99;3,47
354,25;3,46
354,511;3,46
354,772;3,45
355,032;3,44
355,293;3,45
355,553;3,44
355,814;3,42
356,074;3,41
356,335;3,42
356,596;3,42
356,856;3,42
357,116;3,41
357,377;3,43
357,637;3,42
357,898;3,41
358,158;3,39
358,419;3,39
358,679;3,39
358,939;3,38
359,2;3,37
359,46;3,37
359,72;3,36
359,981;3,35
360,241;3,35
360,501;3,36
360,761;3,34
361,022;3,33
361,282;3,33
361,542;3,32
361,802;3,31
362,062;3,3
362,323;3,31
362,583;3,31
362,843;3,29
363,103;3,3
363,363;3,28
363,623;3,28
363,883;3,27
364,143;3,25
364,403;3,26
364,663;3,27
364,923;3,26
365,183;3,26
365,443;3,26
365,703;3,25
365,963;3,23
366,223;3,24
366,483;3,26
366,743;3,25
367,002;3,25
367,262;3,25
367,522;3,24
367,782;3,23
368,042;3,22
368,301;3,21
368,561;3,21
368,821;3,21
369,081;3,2
369,34;3,21
369,6;3,22
369,86;3,21
370,119;3,2
370,379;3,18
370,638;3,18
370,898;3,17
371,158;3,18
371,417;3,18
371,677;3,18
371,936;3,18
372,196;3,17
372,455;3,17
372,715;3,16
372,974;3,17
373,234;3,17
373,493;3,17
373,753;3,19
374,012;3,17
374,271;3,17
374,531;3,17
374,79;3,17
375,049;3,17
375,309;3,18
375,568;3,18
375,827;3,2
376,086;3,2
376,346;3,22
376,605;3,21
376,864;3,2
377,123;3,21
377,383;3,19
377,642;3,2
377,901;3,19
378,16;3,19
378,419;3,18
378,678;3,17
378,937;3,17
379,196;3,15
379,455;3,16
379,714;3,16
379,973;3,15
380,232;3,15
380,491;3,14
380,75;3,13
381,009;3,13
381,268;3,12
381,527;3,13
381,786;3,11
382,045;3,1
382,304;3,11
382,563;3,09
382,821;3,1
383,08;3,08
383,339;3,09
383,598;3,07
383,857;3,07
384,115;3,07
384,374;3,07
384,633;3,05
384,891;3,06
385,15;3,05
385,409;3,05
385,667;3,04
385,926;3,05
386,185;3,04
386,443;3,03
386,702;3,02
386,96;3
387,219;2,99
387,477;2,99
387,736;2,98
387,994;2,98
388,253;2,97
388,511;2,99
388,77;2,98
389,028;2,99
389,287;3,01
389,545;3,01
389,803;3,01
390,062;3,03
390,32;3,02
390,578;3,02
390,837;3,03
391,095;3,04
391,353;3,03
391,612;3,02
391,87;3,04
392,128;3,04
392,386;3,05
392,644;3,07
392,903;3,07
393,161;3,09
393,419;3,09
393,677;3,09
393,935;3,07
394,193;3,07
394,451;3,08
394,709;3,06
394,967;3,04
395,225;3,04
395,483;3,05
395,741;3,05
395,999;3,06
396,257;3,05
396,515;3,04
396,773;3,04
397,031;3,04
397,289;3,04
397,547;3,03
397,805;3,02
398,062;3,01
398,32;3
398,578;2,99
398,836;3
399,094;3
399,351;3,02
399,609;3,02
399,867;2,99
400,124;3
400,382;3,01
400,64;3,03
400,897;3,03
401,155;3,02
401,413;3,03
401,67;3,04
401,928;3,03
402,185;3,03
402,443;3,03
402,701;3,04
402,958;3,04
403,216;3,06
403,473;3,05
403,73;3,06
403,988;3,05
404,245;3,04
404,503;3,05
404,76;3,04
405,018;3,04
405,275;3,05
405,532;3,04
405,79;3,04
406,047;3,02
406,304;3,01
406,561;3,01
406,819;2,98
407,076;2,98
407,333;2,96
407,59;2,97
407,848;2,97
