Data from MinioWhite_Reflection__1__39.txt Node;
"Date: Thu Sep 11 16:56:23 CEST 2025 User: sycur";
405,275;3,66
405,532;3,65
405,79;3,64
406,047;3,62
406,304;3,62
406,561;3,62
406,819;3,59
407,076;3,59
407,333;3,58
407,59;3,59
407,848;3,59
408,105;3,6
408,362;3,61
408,619;3,58
408,876;3,6
409,133;3,58
409,39;3,57
409,647;3,59
409,904;3,58
410,161;3,58
410,418;3,6
410,675;3,61
410,932;3,6
411,189;3,59
411,446;3,61
411,703;3,61
411,96;3,62
412,217;3,64
412,474;3,65
412,731;3,65
412,988;3,64
413,245;3,63
413,501;3,62
413,758;3,61
414,015;3,63
414,272;3,63
414,529;3,64
414,785;3,63
415,042;3,61
415,299;3,61
415,555;3,61
415,812;3,61
416,069;3,62
416,325;3,62
416,582;3,62
416,838;3,62
417,095;3,6
417,352;3,58
417,608;3,58
417,865;3,57
418,121;3,59
418,378;3,59
418,634;3,59
418,891;3,6
419,147;3,59
419,403;3,59
419,66;3,59
419,916;3,6
420,173;3,6
420,429;3,61
420,685;3,61
420,942;3,63
421,198;3,63
421,454;3,63
421,711;3,64
421,967;3,65
422,223;3,65
422,479;3,66
422,735;3,68
422,992;3,68
423,248;3,69
423,504;3,68
423,76;3,68
424,016;3,7
424,272;3,68
424,528;3,69
424,784;3,71
425,041;3,7
425,297;3,69
425,553;3,69
425,809;3,7
426,065;3,71
426,32;3,7
426,576;3,71
426,832;3,7
427,088;3,7
427,344;3,69
427,6;3,7
427,856;3,7
428,112;3,69
428,368;3,69
428,623;3,68
428,879;3,7
429,135;3,69
429,391;3,7
429,646;3,71
429,902;3,7
430,158;3,7
430,414;3,7
430,669;3,7
430,925;3,72
431,181;3,72
431,436;3,71
431,692;3,7
431,947;3,69
432,203;3,68
432,458;3,68
432,714;3,68
432,97;3,68
433,225;3,67
433,481;3,67
433,736;3,67
433,991;3,67
434,247;3,65
434,502;3,67
434,758;3,67
435,013;3,67
435,268;3,69
435,524;3,69
435,779;3,69
436,034;3,71
436,29;3,69
436,545;3,69
436,8;3,69
437,056;3,69
437,311;3,71
437,566;3,73
437,821;3,74
438,076;3,73
438,331;3,74
438,587;3,74
438,842;3,73
439,097;3,74
439,352;3,76
439,607;3,77
439,862;3,77
440,117;3,75
440,372;3,74
440,627;3,73
440,882;3,71
441,137;3,72
441,392;3,71
441,647;3,71
441,902;3,73
442,157;3,73
442,412;3,74
442,667;3,72
442,921;3,72
443,176;3,72
443,431;3,72
443,686;3,72
443,941;3,73
444,195;3,75
444,45;3,76
444,705;3,74
444,96;3,74
445,214;3,75
445,469;3,76
445,724;3,76
445,978;3,78
446,233;3,79
446,487;3,77
446,742;3,78
446,997;3,79
447,251;3,77
447,506;3,77
447,76;3,76
448,015;3,76
448,269;3,75
448,524;3,74
448,778;3,73
449,033;3,73
449,287;3,72
449,541;3,7
449,796;3,69
450,05;3,7
450,305;3,7
450,559;3,7
450,813;3,69
451,067;3,7
451,322;3,71
451,576;3,7
451,83;3,72
452,084;3,72
452,339;3,72
452,593;3,71
452,847;3,71
453,101;3,72
453,355;3,72
453,609;3,74
453,864;3,75
454,118;3,76
454,372;3,76
454,626;3,76
454,88;3,76
455,134;3,77
455,388;3,75
455,642;3,74
455,896;3,74
456,15;3,74
456,404;3,73
456,658;3,72
456,912;3,72
457,165;3,72
457,419;3,72
457,673;3,71
457,927;3,71
458,181;3,72
458,435;3,73
458,688;3,74
458,942;3,73
459,196;3,73
459,45;3,73
459,703;3,75
459,957;3,75
460,211;3,75
460,464;3,76
460,718;3,76
460,972;3,76
461,225;3,76
461,479;3,75
461,732;3,77
461,986;3,76
462,239;3,77
462,493;3,76
462,746;3,75
463;3,76
463,253;3,78
463,507;3,77
463,76;3,76
464,014;3,75
464,267;3,75
464,52;3,77
464,774;3,79
465,027;3,77
465,28;3,77
465,534;3,77
465,787;3,77
466,04;3,78
466,294;3,78
466,547;3,78
466,8;3,8
467,053;3,79
467,306;3,78
467,56;3,78
467,813;3,78
468,066;3,81
468,319;3,82
468,572;3,81
468,825;3,81
469,078;3,8
469,331;3,81
469,584;3,81
469,837;3,81
470,09;3,8
470,343;3,8
470,596;3,8
470,849;3,79
471,102;3,8
471,355;3,81
471,608;3,81
471,861;3,83
472,114;3,82
472,367;3,83
472,619;3,84
472,872;3,85
473,125;3,86
473,378;3,85
473,631;3,85
473,883;3,86
474,136;3,88
474,389;3,89
474,641;3,89
474,894;3,88
475,147;3,88
475,399;3,88
475,652;3,88
475,905;3,89
476,157;3,89
476,41;3,88
476,662;3,89
476,915;3,89
477,167;3,88
477,42;3,89
477,672;3,9
477,925;3,91
478,177;3,91
478,43;3,91
478,682;3,91
478,934;3,91
479,187;3,92
479,439;3,92
479,691;3,93
479,944;3,94
480,196;3,95
480,448;3,95
480,701;3,97
480,953;3,98
481,205;3,98
481,457;3,99
481,709;4,01
481,962;4,01
482,214;4,02
482,466;4,04
482,718;4,06
482,97;4,09
483,222;4,12
483,474;4,15
483,726;4,18
483,978;4,19
484,23;4,21
484,482;4,21
484,734;4,21
484,986;4,21
485,238;4,22
485,49;4,23
485,742;4,24
485,994;4,24
486,246;4,24
486,498;4,25
486,75;4,26
487,001;4,25
487,253;4,26
487,505;4,26
487,757;4,25
488,009;4,24
488,26;4,22
488,512;4,2
488,764;4,18
489,015;4,16
489,267;4,15
489,519;4,13
489,77;4,13
490,022;4,13
490,274;4,12
490,525;4,12
490,777;4,11
491,028;4,11
491,28;4,1
491,531;4,1
491,783;4,1
492,034;4,1
492,286;4,09
492,537;4,09
492,789;4,09
493,04;4,11
493,291;4,12
493,543;4,13
493,794;4,14
494,045;4,15
494,297;4,15
494,548;4,15
494,799;4,16
495,051;4,17
495,302;4,17
495,553;4,18
495,804;4,18
496,056;4,17
496,307;4,18
496,558;4,18
496,809;4,18
497,06;4,18
497,311;4,18
497,562;4,2
497,813;4,2
498,064;4,21
498,316;4,2
498,567;4,2
498,818;4,19
499,069;4,18
499,319;4,18
499,57;4,17
499,821;4,18
500,072;4,17
500,323;4,18
500,574;4,18
500,825;4,19
501,076;4,2
501,327;4,21
501,577;4,21
501,828;4,22
502,079;4,22
502,33;4,23
502,58;4,23
502,831;4,23
503,082;4,23
503,333;4,23
503,583;4,25
503,834;4,25
504,084;4,26
504,335;4,26
504,586;4,27
504,836;4,27
505,087;4,28
505,337;4,29
505,588;4,29
505,838;4,3
506,089;4,31
506,339;4,3
506,59;4,3
506,84;4,3
507,091;4,31
507,341;4,3
507,591;4,31
507,842;4,31
508,092;4,32
508,343;4,32
508,593;4,32
508,843;4,31
509,093;4,32
509,344;4,32
509,594;4,32
509,844;4,32
510,094;4,32
510,345;4,32
510,595;4,33
510,845;4,33
511,095;4,33
511,345;4,33
511,595;4,33
511,845;4,33
512,095;4,33
512,345;4,32
512,595;4,34
512,845;4,34
