Data from MinioWhite_Reflection__0__38.txt Node;
"Date: Thu Sep 11 16:55:11 CEST 2025 User: sycur";
359,981;6,85
360,241;6,84
360,501;6,84
360,761;6,82
361,022;6,82
361,282;6,83
361,542;6,82
361,802;6,83
362,062;6,83
362,323;6,83
362,583;6,83
362,843;6,83
363,103;6,83
363,363;6,82
363,623;6,83
363,883;6,81
364,143;6,81
364,403;6,8
364,663;6,8
364,923;6,78
365,183;6,78
365,443;6,77
365,703;6,77
365,963;6,77
366,223;6,77
366,483;6,77
366,743;6,76
367,002;6,75
367,262;6,75
367,522;6,74
367,782;6,72
368,042;6,71
368,301;6,69
368,561;6,68
368,821;6,66
369,081;6,63
369,34;6,62
369,6;6,61
369,86;6,62
370,119;6,59
370,379;6,57
370,638;6,57
370,898;6,56
371,158;6,55
371,417;6,54
371,677;6,54
371,936;6,54
372,196;6,53
372,455;6,54
372,715;6,51
372,974;6,51
373,234;6,51
373,493;6,51
373,753;6,53
374,012;6,52
374,271;6,53
374,531;6,55
374,79;6,53
375,049;6,53
375,309;6,52
375,568;6,52
375,827;6,53
376,086;6,52
376,346;6,52
376,605;6,51
376,864;6,52
377,123;6,53
377,383;6,51
377,642;6,5
377,901;6,49
378,16;6,49
378,419;6,49
378,678;6,47
378,937;6,47
379,196;6,45
379,455;6,45
379,714;6,43
379,973;6,42
380,232;6,44
380,491;6,44
380,75;6,43
381,009;6,43
381,268;6,43
381,527;6,44
381,786;6,42
382,045;6,41
382,304;6,39
382,563;6,38
382,821;6,38
383,08;6,37
383,339;6,37
383,598;6,36
383,857;6,36
384,115;6,37
384,374;6,36
384,633;6,35
384,891;6,34
385,15;6,34
385,409;6,32
385,667;6,31
385,926;6,3
386,185;6,3
386,443;6,3
386,702;6,29
386,96;6,26
387,219;6,25
387,477;6,25
387,736;6,25
387,994;6,25
388,253;6,26
388,511;6,28
388,77;6,26
389,028;6,25
389,287;6,25
389,545;6,26
389,803;6,26
390,062;6,25
390,32;6,26
390,578;6,25
390,837;6,27
391,095;6,26
391,353;6,25
391,612;6,25
391,87;6,24
392,128;6,23
392,386;6,24
392,644;6,25
392,903;6,25
393,161;6,24
393,419;6,24
393,677;6,21
393,935;6,18
394,193;6,17
394,451;6,18
394,709;6,16
394,967;6,15
395,225;6,15
395,483;6,17
395,741;6,16
395,999;6,17
396,257;6,17
396,515;6,16
396,773;6,16
397,031;6,16
397,289;6,16
397,547;6,16
397,805;6,16
398,062;6,15
398,32;6,15
398,578;6,15
398,836;6,15
399,094;6,15
399,351;6,16
399,609;6,16
399,867;6,14
400,124;6,14
400,382;6,13
400,64;6,12
400,897;6,12
401,155;6,12
401,413;6,11
401,67;6,11
401,928;6,1
402,185;6,1
402,443;6,1
402,701;6,08
402,958;6,09
403,216;6,1
403,473;6,1
403,73;6,09
403,988;6,08
404,245;6,07
404,503;6,06
404,76;6,06
405,018;6,06
405,275;6,06
405,532;6,04
405,79;6,04
406,047;6,03
406,304;6,03
406,561;6,03
406,819;6,01
407,076;6
407,333;6
407,59;6
407,848;5,98
408,105;5,99
408,362;5,97
408,619;5,95
408,876;5,95
409,133;5,95
409,39;5,95
409,647;5,95
409,904;5,95
410,161;5,93
410,418;5,93
410,675;5,96
410,932;5,96
411,189;5,96
411,446;5,95
411,703;5,94
411,96;5,92
412,217;5,92
412,474;5,93
412,731;5,92
412,988;5,91
413,245;5,92
413,501;5,91
413,758;5,9
414,015;5,9
414,272;5,89
414,529;5,89
414,785;5,87
415,042;5,86
415,299;5,87
415,555;5,88
415,812;5,84
416,069;5,83
416,325;5,83
416,582;5,81
416,838;5,83
417,095;5,81
417,352;5,83
417,608;5,85
417,865;5,83
418,121;5,82
418,378;5,83
418,634;5,85
418,891;5,85
419,147;5,84
419,403;5,84
419,66;5,85
419,916;5,87
420,173;5,88
420,429;5,9
420,685;5,9
420,942;5,92
421,198;5,93
421,454;5,94
421,711;5,94
421,967;5,94
422,223;5,92
422,479;5,94
422,735;5,94
422,992;5,94
423,248;5,92
423,504;5,93
423,76;5,93
424,016;5,93
424,272;5,93
424,528;5,94
424,784;5,94
425,041;5,92
425,297;5,9
425,553;5,88
425,809;5,89
426,065;5,88
426,32;5,86
426,576;5,87
426,832;5,87
427,088;5,87
427,344;5,88
427,6;5,89
427,856;5,86
428,112;5,86
428,368;5,85
428,623;5,87
428,879;5,88
429,135;5,87
429,391;5,86
429,646;5,85
429,902;5,85
430,158;5,85
430,414;5,86
430,669;5,85
430,925;5,87
431,181;5,86
431,436;5,86
431,692;5,86
431,947;5,87
432,203;5,86
432,458;5,85
432,714;5,84
432,97;5,84
433,225;5,83
433,481;5,82
433,736;5,83
433,991;5,83
434,247;5,82
434,502;5,83
434,758;5,84
435,013;5,84
435,268;5,85
435,524;5,85
435,779;5,86
436,034;5,87
436,29;5,85
436,545;5,84
436,8;5,85
437,056;5,84
437,311;5,83
437,566;5,84
437,821;5,83
438,076;5,83
438,331;5,82
438,587;5,83
438,842;5,82
439,097;5,82
439,352;5,82
439,607;5,82
439,862;5,82
440,117;5,8
440,372;5,8
440,627;5,78
440,882;5,78
441,137;5,77
441,392;5,79
441,647;5,79
441,902;5,8
442,157;5,8
442,412;5,82
442,667;5,81
442,921;5,81
443,176;5,82
443,431;5,82
443,686;5,83
443,941;5,84
444,195;5,85
444,45;5,84
444,705;5,82
444,96;5,83
445,214;5,81
445,469;5,82
445,724;5,81
445,978;5,82
446,233;5,82
446,487;5,8
446,742;5,79
446,997;5,78
447,251;5,76
447,506;5,75
447,76;5,73
448,015;5,74
448,269;5,73
448,524;5,72
448,778;5,71
449,033;5,7
449,287;5,7
449,541;5,69
449,796;5,69
450,05;5,69
450,305;5,69
450,559;5,7
450,813;5,7
451,067;5,71
451,322;5,7
451,576;5,7
451,83;5,7
452,084;5,72
452,339;5,73
452,593;5,72
452,847;5,7
453,101;5,69
453,355;5,68
453,609;5,67
453,864;5,65
454,118;5,66
454,372;5,65
454,626;5,65
454,88;5,65
455,134;5,64
455,388;5,64
455,642;5,64
455,896;5,63
456,15;5,62
456,404;5,61
456,658;5,61
456,912;5,6
457,165;5,6
457,419;5,58
457,673;5,57
457,927;5,58
458,181;5,61
458,435;5,64
458,688;5,64
458,942;5,66
459,196;5,67
459,45;5,67
459,703;5,68
459,957;5,66
460,211;5,65
460,464;5,65
460,718;5,65
460,972;5,63
461,225;5,64
461,479;5,64
461,732;5,64
461,986;5,64
462,239;5,65
462,493;5,66
462,746;5,66
463;5,67
463,253;5,69
463,507;5,67
463,76;5,66
464,014;5,67
464,267;5,66
464,52;5,68
464,774;5,67
465,027;5,66
465,28;5,67
465,534;5,68
465,787;5,69
466,04;5,69
466,294;5,7
466,547;5,7
466,8;5,69
467,053;5,69
467,306;5,68
