Data from ombraBrucWhite_Reflection__2__66.txt Node;
"Date: Thu Sep 11 17:28:17 CEST 2025 User: sycur";
390,578;18,76
390,837;18,77
391,095;18,75
391,353;18,79
391,612;18,79
391,87;18,81
392,128;18,82
392,386;18,81
392,644;18,88
392,903;18,89
393,161;18,85
393,419;18,83
393,677;18,85
393,935;18,82
394,193;18,8
394,451;18,85
394,709;18,8
394,967;18,86
395,225;18,89
395,483;18,89
395,741;18,91
395,999;18,96
396,257;18,99
396,515;19,02
396,773;19,04
397,031;19,08
397,289;19,12
397,547;19,15
397,805;19,17
398,062;19,15
398,32;19,13
398,578;19,18
398,836;19,19
399,094;19,18
399,351;19,22
399,609;19,25
399,867;19,17
400,124;19,2
400,382;19,16
400,64;19,18
400,897;19,24
401,155;19,19
401,413;19,22
401,67;19,2
401,928;19,22
402,185;19,15
402,443;19,13
402,701;19,09
402,958;19,1
403,216;19,12
403,473;19,12
403,73;19,12
403,988;19,1
404,245;19,12
404,503;19,16
404,76;19,18
405,018;19,17
405,275;19,21
405,532;19,18
405,79;19,17
406,047;19,12
406,304;19,09
406,561;19,11
406,819;19,1
407,076;19,11
407,333;19,05
407,59;19,09
407,848;19,08
408,105;19,1
408,362;19,1
408,619;19,11
408,876;19,09
409,133;19,1
409,39;19,13
409,647;19,11
409,904;19,1
410,161;19,08
410,418;19,12
410,675;19,13
410,932;19,15
411,189;19,14
411,446;19,21
411,703;19,22
411,96;19,24
412,217;19,24
412,474;19,26
412,731;19,28
412,988;19,27
413,245;19,32
413,501;19,29
413,758;19,3
414,015;19,27
414,272;19,29
414,529;19,29
414,785;19,28
415,042;19,27
415,299;19,25
415,555;19,22
415,812;19,19
416,069;19,25
416,325;19,24
416,582;19,24
416,838;19,24
417,095;19,23
417,352;19,16
417,608;19,2
417,865;19,16
418,121;19,21
418,378;19,24
418,634;19,27
418,891;19,35
419,147;19,37
419,403;19,45
419,66;19,51
419,916;19,55
420,173;19,57
420,429;19,63
420,685;19,68
420,942;19,8
421,198;19,83
421,454;19,83
421,711;19,88
421,967;19,94
422,223;19,93
422,479;20,02
422,735;20,11
422,992;20,08
423,248;20,11
423,504;20,13
423,76;20,15
424,016;20,19
424,272;20,18
424,528;20,19
424,784;20,17
425,041;20,12
425,297;20,12
425,553;20,14
425,809;20,19
426,065;20,17
426,32;20,13
426,576;20,19
426,832;20,18
427,088;20,19
427,344;20,21
427,6;20,24
427,856;20,2
428,112;20,25
428,368;20,3
428,623;20,35
428,879;20,34
429,135;20,34
429,391;20,3
429,646;20,29
429,902;20,27
430,158;20,29
430,414;20,33
430,669;20,36
430,925;20,39
431,181;20,39
431,436;20,42
431,692;20,46
431,947;20,46
432,203;20,47
432,458;20,48
432,714;20,47
432,97;20,48
433,225;20,49
433,481;20,48
433,736;20,48
433,991;20,46
434,247;20,45
434,502;20,46
434,758;20,49
435,013;20,54
435,268;20,6
435,524;20,6
435,779;20,64
436,034;20,65
436,29;20,66
436,545;20,66
436,8;20,7
437,056;20,65
437,311;20,65
437,566;20,67
437,821;20,71
438,076;20,72
438,331;20,77
438,587;20,79
438,842;20,78
439,097;20,85
439,352;20,92
439,607;20,98
439,862;21,06
440,117;21,12
440,372;21,15
440,627;21,17
440,882;21,23
441,137;21,25
441,392;21,3
441,647;21,31
441,902;21,34
442,157;21,36
442,412;21,47
442,667;21,49
442,921;21,52
443,176;21,56
443,431;21,63
443,686;21,62
443,941;21,65
444,195;21,7
444,45;21,73
444,705;21,74
444,96;21,75
445,214;21,72
445,469;21,72
445,724;21,72
445,978;21,73
446,233;21,72
446,487;21,73
446,742;21,71
446,997;21,77
447,251;21,74
447,506;21,78
447,76;21,74
448,015;21,75
448,269;21,76
448,524;21,76
448,778;21,78
449,033;21,8
449,287;21,82
449,541;21,83
449,796;21,83
450,05;21,79
450,305;21,76
450,559;21,79
450,813;21,79
451,067;21,78
451,322;21,77
451,576;21,81
451,83;21,83
452,084;21,85
452,339;21,82
452,593;21,81
452,847;21,76
453,101;21,78
453,355;21,82
453,609;21,84
453,864;21,82
454,118;21,79
454,372;21,81
454,626;21,85
454,88;21,85
455,134;21,85
455,388;21,89
455,642;21,94
455,896;21,95
456,15;21,97
456,404;22,06
456,658;22,08
456,912;22,11
457,165;22,11
457,419;22,13
457,673;22,17
457,927;22,23
458,181;22,31
458,435;22,37
458,688;22,38
458,942;22,43
459,196;22,47
459,45;22,5
459,703;22,54
459,957;22,51
460,211;22,51
460,464;22,52
460,718;22,58
460,972;22,65
461,225;22,68
461,479;22,7
461,732;22,71
461,986;22,79
462,239;22,8
462,493;22,87
462,746;22,97
463;23,01
463,253;23,06
463,507;23,06
463,76;23,08
464,014;23,14
464,267;23,15
464,52;23,22
464,774;23,3
465,027;23,35
465,28;23,43
465,534;23,47
465,787;23,5
466,04;23,53
466,294;23,54
466,547;23,54
466,8;23,62
467,053;23,58
467,306;23,59
467,56;23,62
467,813;23,64
468,066;23,63
468,319;23,67
468,572;23,67
468,825;23,73
469,078;23,75
469,331;23,82
469,584;23,83
469,837;23,88
470,09;23,89
470,343;23,9
470,596;23,96
470,849;24,04
471,102;24,11
471,355;24,17
471,608;24,23
471,861;24,36
472,114;24,39
472,367;24,47
472,619;24,54
472,872;24,62
473,125;24,65
473,378;24,7
473,631;24,75
473,883;24,84
474,136;24,9
474,389;24,96
474,641;24,98
474,894;25,04
475,147;25,07
475,399;25,12
475,652;25,2
475,905;25,26
476,157;25,3
476,41;25,35
476,662;25,39
476,915;25,43
477,167;25,44
477,42;25,52
477,672;25,56
477,925;25,61
478,177;25,65
478,43;25,73
478,682;25,77
478,934;25,86
479,187;25,89
479,439;25,94
479,691;25,99
479,944;26,09
480,196;26,15
480,448;26,21
480,701;26,27
480,953;26,32
481,205;26,37
481,457;26,43
481,709;26,49
481,962;26,57
482,214;26,68
482,466;26,77
482,718;26,87
482,97;27,02
483,222;27,16
483,474;27,31
483,726;27,43
483,978;27,54
484,23;27,62
484,482;27,68
484,734;27,73
484,986;27,78
485,238;27,79
485,49;27,84
485,742;27,87
485,994;27,91
486,246;27,93
486,498;27,97
486,75;27,99
487,001;28,01
487,253;28,03
487,505;28,04
487,757;28,06
488,009;28,06
488,26;28,03
488,512;28
488,764;27,94
489,015;27,9
489,267;27,85
489,519;27,82
489,77;27,83
490,022;27,86
490,274;27,85
490,525;27,88
490,777;27,87
491,028;27,92
491,28;27,93
491,531;27,95
491,783;27,95
492,034;28
492,286;28,02
492,537;28,05
492,789;28,04
493,04;28,05
493,291;28,05
493,543;28,09
493,794;28,15
494,045;28,19
494,297;28,22
494,548;28,29
494,799;28,31
495,051;28,34
495,302;28,32
495,553;28,36
495,804;28,38
496,056;28,42
496,307;28,43
496,558;28,46
496,809;28,5
497,06;28,54
497,311;28,55
497,562;28,61
497,813;28,65
498,064;28,7
498,316;28,74
498,567;28,77
498,818;28,8
499,069;28,82
499,319;28,84
499,57;28,87
499,821;28,87
500,072;28,92
500,323;28,95
500,574;29,01
500,825;29,03
501,076;29,07
501,327;29,12
501,577;29,15
501,828;29,17
502,079;29,2
502,33;29,22
502,58;29,25
502,831;29,27
503,082;29,28
503,333;29,31
503,583;29,36
503,834;29,39
504,084;29,43
504,335;29,45
504,586;29,47
504,836;29,49
505,087;29,51
505,337;29,54
505,588;29,55
505,838;29,58
506,089;29,64
506,339;29,7
506,59;29,71
506,84;29,74
507,091;29,79
507,341;29,81
507,591;29,85
507,842;29,85
508,092;29,9
508,343;29,9
508,593;29,93
508,843;29,93
509,093;29,99
509,344;29,96
509,594;29,99
509,844;30,01
510,094;30,05
510,345;30,06
510,595;30,1
510,845;30,13
511,095;30,14
511,345;30,14
511,595;30,14
511,845;30,15
512,095;30,18
512,345;30,19
512,595;30,22
512,845;30,25
513,095;30,29
513,345;30,32
513,595;30,35
513,845;30,36
514,095;30,41
514,345;30,39
514,595;30,46
514,845;30,48
515,095;30,52
515,345;30,53
515,594;30,59
515,844;30,6
516,094;30,64
516,344;30,68
516,593;30,7
516,843;30,71
517,093;30,76
517,343;30,77
517,592;30,81
517,842;30,84
518,092;30,88
518,341;30,89
518,591;30,92
518,84;30,96
519,09;31,02
519,34;31,05
519,589;31,13
519,839;31,13
520,088;31,19
520,338;31,19
520,587;31,24
520,836;31,24
521,086;31,25
521,335;31,27
521,585;31,29
521,834;31,33
522,083;31,38
522,333;31,39
522,582;31,44
522,831;31,48
523,081;31,52
523,33;31,55
523,579;31,59
523,828;31,61
524,078;31,63
524,327;31,63
524,576;31,67
524,825;31,69
525,074;31,73
525,323;31,73
525,573;31,77
525,822;31,8
526,071;31,84
526,32;31,87
526,569;31,91
526,818;31,94
527,067;31,98
527,316;32,01
527,565;32,04
527,814;32,05
528,063;32,08
528,312;32,1
528,56;32,15
528,809;32,16
529,058;32,2
529,307;32,22
529,556;32,27
529,805;32,28
530,053;32,31
530,302;32,34
530,551;32,39
530,8;32,42
531,048;32,47
531,297;32,52
531,546;32,57
531,794;32,6
532,043;32,64
532,292;32,66
532,54;32,7
532,789;32,74
533,037;32,8
533,286;32,82
533,535;32,85
533,783;32,87
534,032;32,93
534,28;32,96
534,528;33,02
534,777;33,07
535,025;33,11
535,274;33,14
535,522;33,16
535,771;33,19
536,019;33,23
536,267;33,27
536,516;33,3
536,764;33,36
537,012;33,41
537,26;33,42
537,509;33,47
537,757;33,49
538,005;33,54
538,253;33,57
538,501;33,62
538,75;33,65
538,998;33,71
539,246;33,76
539,494;33,81
539,742;33,83
539,99;33,88
540,238;33,91
540,486;33,97
540,734;34,01
540,982;34,05
541,23;34,1
541,478;34,13
541,726;34,17
541,974;34,2
542,222;34,22
542,47;34,29
542,718;34,34
542,966;34,41
543,213;34,43
543,461;34,49
543,709;34,52
543,957;34,56
544,205;34,6
544,452;34,63
544,7;34,66
544,948;34,7
545,196;34,73
545,443;34,77
545,691;34,78
545,939;34,85
