Data from ombraBrucWhite_Reflection__0__64.txt Node;
"Date: Thu Sep 11 17:26:38 CEST 2025 User: sycur";
406,819;36,23
407,076;36,25
407,333;36,17
407,59;36,18
407,848;36,14
408,105;36,15
408,362;36,12
408,619;36,11
408,876;36,09
409,133;36,1
409,39;36,15
409,647;36,1
409,904;36,08
410,161;36,04
410,418;36,09
410,675;36,09
410,932;36,09
411,189;36,08
411,446;36,12
411,703;36,13
411,96;36,12
412,217;36,1
412,474;36,07
412,731;36,09
412,988;36,07
413,245;36,13
413,501;36,07
413,758;36,09
414,015;36,04
414,272;36,05
414,529;36,05
414,785;36,01
415,042;36
415,299;35,97
415,555;35,95
415,812;35,89
416,069;35,9
416,325;35,9
416,582;35,89
416,838;35,89
417,095;35,83
417,352;35,75
417,608;35,77
417,865;35,74
418,121;35,75
418,378;35,79
418,634;35,77
418,891;35,8
419,147;35,83
419,403;35,88
419,66;35,92
419,916;35,94
420,173;35,95
420,429;36
420,685;36,04
420,942;36,11
421,198;36,13
421,454;36,17
421,711;36,2
421,967;36,22
422,223;36,19
422,479;36,29
422,735;36,35
422,992;36,32
423,248;36,34
423,504;36,36
423,76;36,36
424,016;36,38
424,272;36,38
424,528;36,32
424,784;36,32
425,041;36,27
425,297;36,23
425,553;36,24
425,809;36,28
426,065;36,25
426,32;36,21
426,576;36,23
426,832;36,19
427,088;36,19
427,344;36,22
427,6;36,26
427,856;36,19
428,112;36,22
428,368;36,28
428,623;36,28
428,879;36,26
429,135;36,23
429,391;36,19
429,646;36,18
429,902;36,17
430,158;36,17
430,414;36,19
430,669;36,22
430,925;36,25
431,181;36,24
431,436;36,27
431,692;36,3
431,947;36,29
432,203;36,31
432,458;36,31
432,714;36,29
432,97;36,3
433,225;36,29
433,481;36,27
433,736;36,27
433,991;36,26
434,247;36,24
434,502;36,24
434,758;36,29
435,013;36,32
435,268;36,37
435,524;36,38
435,779;36,41
436,034;36,4
436,29;36,39
436,545;36,39
436,8;36,41
437,056;36,35
437,311;36,37
437,566;36,36
437,821;36,39
438,076;36,39
438,331;36,42
438,587;36,45
438,842;36,46
439,097;36,5
439,352;36,55
439,607;36,63
439,862;36,7
440,117;36,76
440,372;36,79
440,627;36,81
440,882;36,87
441,137;36,9
441,392;36,94
441,647;36,94
441,902;36,98
442,157;36,97
442,412;37,07
442,667;37,09
442,921;37,15
443,176;37,15
443,431;37,21
443,686;37,21
443,941;37,23
444,195;37,28
444,45;37,33
444,705;37,33
444,96;37,35
445,214;37,31
445,469;37,31
445,724;37,31
445,978;37,29
446,233;37,26
446,487;37,26
446,742;37,26
446,997;37,31
447,251;37,29
447,506;37,33
447,76;37,31
448,015;37,31
448,269;37,29
448,524;37,29
448,778;37,3
449,033;37,31
449,287;37,32
449,541;37,33
449,796;37,29
450,05;37,24
450,305;37,19
450,559;37,2
450,813;37,17
451,067;37,16
451,322;37,17
451,576;37,19
451,83;37,19
452,084;37,19
452,339;37,13
452,593;37,09
452,847;37,04
453,101;37,03
453,355;37,04
453,609;37,05
453,864;37,03
454,118;36,99
454,372;37
454,626;37,05
454,88;37,03
455,134;37,03
455,388;37,08
455,642;37,13
455,896;37,15
456,15;37,16
456,404;37,24
456,658;37,26
456,912;37,26
457,165;37,3
457,419;37,32
457,673;37,35
457,927;37,41
458,181;37,47
458,435;37,5
458,688;37,53
458,942;37,55
459,196;37,57
459,45;37,6
459,703;37,63
459,957;37,59
460,211;37,6
460,464;37,6
460,718;37,62
460,972;37,67
461,225;37,67
461,479;37,69
461,732;37,71
461,986;37,76
462,239;37,77
462,493;37,81
462,746;37,92
463;37,96
463,253;38,02
463,507;38,03
463,76;38,05
464,014;38,08
464,267;38,13
464,52;38,19
464,774;38,26
465,027;38,28
465,28;38,34
465,534;38,37
465,787;38,42
466,04;38,46
466,294;38,47
466,547;38,49
466,8;38,56
467,053;38,5
467,306;38,52
467,56;38,53
467,813;38,53
468,066;38,49
468,319;38,51
468,572;38,48
468,825;38,55
469,078;38,58
469,331;38,66
469,584;38,63
469,837;38,66
470,09;38,68
470,343;38,73
470,596;38,78
470,849;38,85
471,102;38,9
471,355;38,94
471,608;38,99
471,861;39,1
472,114;39,12
472,367;39,17
472,619;39,22
472,872;39,31
473,125;39,37
473,378;39,42
473,631;39,49
473,883;39,59
474,136;39,63
474,389;39,68
474,641;39,68
474,894;39,75
475,147;39,79
475,399;39,84
475,652;39,89
475,905;39,92
476,157;39,95
476,41;40
476,662;40,06
476,915;40,12
477,167;40,13
477,42;40,2
477,672;40,26
477,925;40,32
478,177;40,37
478,43;40,44
478,682;40,49
478,934;40,56
479,187;40,59
479,439;40,63
479,691;40,68
479,944;40,79
480,196;40,85
480,448;40,88
480,701;40,93
480,953;40,98
481,205;41,05
481,457;41,11
481,709;41,16
481,962;41,23
482,214;41,32
482,466;41,41
482,718;41,52
482,97;41,68
483,222;41,82
483,474;41,98
483,726;42,1
483,978;42,2
484,23;42,28
484,482;42,36
484,734;42,41
484,986;42,46
485,238;42,46
485,49;42,52
485,742;42,55
485,994;42,61
486,246;42,63
486,498;42,66
486,75;42,69
487,001;42,71
487,253;42,72
487,505;42,73
487,757;42,73
488,009;42,72
488,26;42,68
488,512;42,62
488,764;42,54
489,015;42,47
489,267;42,4
489,519;42,35
489,77;42,32
490,022;42,36
490,274;42,32
490,525;42,34
490,777;42,32
491,028;42,34
491,28;42,34
491,531;42,32
491,783;42,33
492,034;42,36
492,286;42,35
492,537;42,36
492,789;42,34
493,04;42,34
493,291;42,34
493,543;42,37
493,794;42,41
494,045;42,46
494,297;42,49
494,548;42,53
494,799;42,54
495,051;42,57
495,302;42,55
495,553;42,6
495,804;42,61
496,056;42,65
496,307;42,66
496,558;42,68
496,809;42,72
497,06;42,76
497,311;42,77
497,562;42,82
497,813;42,87
498,064;42,93
498,316;42,96
498,567;43
498,818;43,02
499,069;43,04
499,319;43,04
499,57;43,05
499,821;43,07
500,072;43,11
500,323;43,15
500,574;43,18
500,825;43,19
501,076;43,23
501,327;43,26
501,577;43,3
501,828;43,32
502,079;43,35
502,33;43,35
502,58;43,36
502,831;43,37
503,082;43,37
