Data from ombraBrucWhite_Reflection__3__67.txt Node;
"Date: Thu Sep 11 17:28:59 CEST 2025 User: sycur";
327,84;15,83
328,102;15,8
328,365;15,79
328,627;15,8
328,889;15,75
329,151;15,75
329,414;15,74
329,676;15,71
329,938;15,68
330,2;15,65
330,462;15,62
330,725;15,59
330,987;15,55
331,249;15,52
331,511;15,5
331,773;15,48
332,035;15,5
332,297;15,49
332,559;15,48
332,821;15,46
333,083;15,41
333,345;15,41
333,607;15,39
333,869;15,37
334,131;15,32
334,393;15,33
334,655;15,29
334,917;15,26
335,179;15,25
335,44;15,25
335,702;15,25
335,964;15,28
336,226;15,26
336,488;15,25
336,749;15,24
337,011;15,25
337,273;15,25
337,535;15,23
337,796;15,17
338,058;15,18
338,32;15,18
338,581;15,16
338,843;15,14
339,105;15,13
339,366;15,11
339,628;15,12
339,889;15,12
340,151;15,12
340,412;15,08
340,674;15,09
340,935;15,08
341,197;15,1
341,458;15,07
341,72;15,09
341,981;15,1
342,243;15,11
342,504;15,08
342,766;15,11
343,027;15,09
343,288;15,09
343,55;15,05
343,811;15,04
344,072;15,04
344,334;15,04
344,595;15,04
344,856;15
345,117;14,97
345,379;14,95
345,64;14,92
345,901;14,91
346,162;14,86
346,423;14,84
346,684;14,74
346,946;14,7
347,207;14,65
347,468;14,61
347,729;14,53
347,99;14,5
348,251;14,43
348,512;14,38
348,773;14,37
349,034;14,34
349,295;14,33
349,556;14,29
349,817;14,22
350,078;14,18
350,339;14,19
350,6;14,19
350,86;14,12
351,121;14,14
351,382;14,11
351,643;14,09
351,904;14,06
352,165;14,1
352,425;14,08
352,686;14,06
352,947;14,03
353,208;14,05
353,468;14,08
353,729;14,08
353,99;14,06
354,25;14,03
354,511;14,02
354,772;13,98
355,032;14
355,293;14,03
355,553;14,04
355,814;14
356,074;13,96
356,335;13,94
356,596;13,9
356,856;13,92
357,116;13,92
357,377;13,95
357,637;13,91
357,898;13,93
358,158;13,91
358,419;13,9
358,679;13,87
358,939;13,83
359,2;13,8
359,46;13,86
359,72;13,83
359,981;13,83
360,241;13,8
360,501;13,79
360,761;13,78
361,022;13,74
361,282;13,78
361,542;13,78
361,802;13,79
362,062;13,79
362,323;13,74
362,583;13,77
362,843;13,76
363,103;13,76
363,363;13,71
363,623;13,74
363,883;13,76
364,143;13,75
364,403;13,73
364,663;13,77
364,923;13,72
365,183;13,74
365,443;13,76
365,703;13,76
365,963;13,73
366,223;13,7
366,483;13,73
366,743;13,68
367,002;13,68
367,262;13,73
367,522;13,69
367,782;13,69
368,042;13,65
368,301;13,64
368,561;13,62
368,821;13,61
369,081;13,55
369,34;13,53
369,6;13,48
369,86;13,54
370,119;13,47
370,379;13,46
370,638;13,42
370,898;13,34
371,158;13,32
371,417;13,31
371,677;13,31
371,936;13,28
372,196;13,3
372,455;13,25
372,715;13,21
372,974;13,23
373,234;13,21
373,493;13,2
373,753;13,19
374,012;13,18
374,271;13,21
374,531;13,26
374,79;13,26
375,049;13,29
375,309;13,26
375,568;13,24
375,827;13,23
376,086;13,22
376,346;13,26
376,605;13,3
376,864;13,29
377,123;13,3
377,383;13,29
377,642;13,29
377,901;13,3
378,16;13,3
378,419;13,24
378,678;13,24
378,937;13,23
379,196;13,21
379,455;13,22
379,714;13,2
379,973;13,16
380,232;13,16
380,491;13,17
380,75;13,16
381,009;13,17
381,268;13,21
381,527;13,21
381,786;13,19
382,045;13,16
382,304;13,18
382,563;13,16
382,821;13,18
383,08;13,15
383,339;13,19
383,598;13,18
383,857;13,19
384,115;13,19
384,374;13,21
384,633;13,21
384,891;13,23
385,15;13,21
385,409;13,2
385,667;13,21
385,926;13,19
386,185;13,15
386,443;13,14
386,702;13,09
386,96;13,09
387,219;13,07
387,477;13,06
387,736;13,06
387,994;13,07
388,253;13,06
388,511;13,09
388,77;13,05
389,028;13,03
389,287;13,06
389,545;13,07
389,803;13,03
390,062;13
390,32;13,01
390,578;13
390,837;13,01
391,095;12,99
391,353;13,02
391,612;12,99
391,87;13,01
392,128;13,03
392,386;13,01
392,644;13,04
392,903;13,06
393,161;13,01
393,419;12,99
393,677;13
393,935;12,96
394,193;12,94
394,451;12,97
394,709;12,93
394,967;12,96
395,225;12,95
395,483;12,96
395,741;12,95
395,999;13
396,257;13,01
396,515;12,99
396,773;13,01
397,031;13,04
397,289;13,06
397,547;13,05
397,805;13,05
398,062;13,04
398,32;13,02
398,578;13,07
398,836;13,06
399,094;13,03
399,351;13,06
399,609;13,07
399,867;13,01
400,124;13,02
400,382;13
400,64;13,04
400,897;13,09
401,155;13,04
401,413;13,05
401,67;13,03
401,928;13,05
402,185;12,98
402,443;12,95
402,701;12,93
402,958;12,94
403,216;12,98
403,473;12,96
403,73;12,95
403,988;12,92
404,245;12,94
404,503;12,97
404,76;12,98
405,018;12,98
405,275;13,03
405,532;12,99
405,79;12,96
406,047;12,91
406,304;12,88
406,561;12,9
406,819;12,89
407,076;12,91
407,333;12,85
407,59;12,89
407,848;12,89
408,105;12,91
408,362;12,89
408,619;12,88
408,876;12,88
409,133;12,87
409,39;12,89
409,647;12,85
409,904;12,83
410,161;12,8
410,418;12,83
410,675;12,82
410,932;12,84
411,189;12,84
411,446;12,88
411,703;12,87
411,96;12,89
412,217;12,87
412,474;12,87
412,731;12,9
412,988;12,88
413,245;12,93
413,501;12,87
413,758;12,89
414,015;12,88
414,272;12,88
414,529;12,9
414,785;12,92
415,042;12,92
415,299;12,9
415,555;12,87
415,812;12,84
416,069;12,89
416,325;12,89
416,582;12,88
416,838;12,89
417,095;12,87
417,352;12,79
417,608;12,8
417,865;12,75
418,121;12,8
418,378;12,82
418,634;12,81
418,891;12,85
419,147;12,85
419,403;12,87
419,66;12,89
419,916;12,9
420,173;12,9
420,429;12,92
420,685;12,96
420,942;13,04
421,198;13,05
421,454;13,06
421,711;13,1
421,967;13,12
422,223;13,09
422,479;13,18
422,735;13,24
422,992;13,24
423,248;13,25
423,504;13,26
423,76;13,27
424,016;13,3
424,272;13,31
424,528;13,32
424,784;13,33
425,041;13,29
425,297;13,28
425,553;13,27
425,809;13,35
426,065;13,34
426,32;13,29
426,576;13,32
426,832;13,29
427,088;13,27
427,344;13,29
427,6;13,28
427,856;13,22
428,112;13,24
428,368;13,29
428,623;13,31
428,879;13,27
429,135;13,25
429,391;13,22
429,646;13,2
429,902;13,15
430,158;13,15
430,414;13,16
430,669;13,19
430,925;13,21
431,181;13,18
431,436;13,17
431,692;13,19
431,947;13,2
432,203;13,21
432,458;13,22
432,714;13,18
432,97;13,2
433,225;13,2
433,481;13,18
433,736;13,18
433,991;13,19
434,247;13,17
434,502;13,17
434,758;13,2
435,013;13,21
435,268;13,25
435,524;13,25
435,779;13,28
436,034;13,3
436,29;13,31
436,545;13,31
436,8;13,32
437,056;13,27
437,311;13,26
437,566;13,25
437,821;13,29
438,076;13,28
438,331;13,33
438,587;13,35
438,842;13,34
439,097;13,35
439,352;13,36
439,607;13,42
439,862;13,48
440,117;13,51
440,372;13,53
440,627;13,56
440,882;13,58
441,137;13,58
441,392;13,59
441,647;13,59
441,902;13,6
442,157;13,61
442,412;13,69
442,667;13,7
442,921;13,74
443,176;13,75
443,431;13,81
443,686;13,78
443,941;13,79
444,195;13,82
444,45;13,85
444,705;13,85
444,96;13,84
445,214;13,82
445,469;13,82
445,724;13,8
445,978;13,78
446,233;13,76
446,487;13,75
446,742;13,73
446,997;13,74
447,251;13,72
447,506;13,76
447,76;13,72
448,015;13,71
448,269;13,68
448,524;13,65
448,778;13,66
449,033;13,68
449,287;13,68
449,541;13,7
449,796;13,67
450,05;13,63
450,305;13,62
450,559;13,6
450,813;13,58
451,067;13,59
451,322;13,61
451,576;13,64
451,83;13,67
452,084;13,68
452,339;13,66
452,593;13,64
452,847;13,59
453,101;13,59
453,355;13,63
453,609;13,66
453,864;13,64
454,118;13,61
454,372;13,61
454,626;13,65
454,88;13,65
455,134;13,65
455,388;13,68
455,642;13,7
455,896;13,73
456,15;13,73
456,404;13,8
456,658;13,82
456,912;13,82
457,165;13,81
457,419;13,81
457,673;13,83
457,927;13,88
458,181;13,94
458,435;13,99
458,688;13,98
458,942;13,99
459,196;14
459,45;14,03
459,703;14,04
459,957;14,02
460,211;13,99
460,464;14,01
460,718;14,03
460,972;14,1
461,225;14,08
461,479;14,09
461,732;14,09
461,986;14,14
462,239;14,15
462,493;14,19
462,746;14,26
463;14,28
463,253;14,31
463,507;14,29
463,76;14,28
464,014;14,31
464,267;14,33
464,52;14,4
464,774;14,45
465,027;14,45
465,28;14,49
465,534;14,51
465,787;14,54
466,04;14,56
466,294;14,52
466,547;14,52
466,8;14,57
467,053;14,53
467,306;14,5
467,56;14,51
467,813;14,52
468,066;14,5
468,319;14,52
468,572;14,51
468,825;14,57
469,078;14,58
469,331;14,61
469,584;14,6
469,837;14,61
470,09;14,61
470,343;14,65
470,596;14,69
470,849;14,72
471,102;14,76
471,355;14,79
471,608;14,85
471,861;14,95
472,114;14,95
472,367;15
472,619;15,04
472,872;15,09
473,125;15,1
473,378;15,12
473,631;15,16
473,883;15,21
474,136;15,24
474,389;15,27
474,641;15,28
474,894;15,33
475,147;15,34
475,399;15,37
475,652;15,4
475,905;15,42
476,157;15,45
476,41;15,46
476,662;15,5
476,915;15,52
477,167;15,53
477,42;15,58
477,672;15,61
477,925;15,65
478,177;15,67
478,43;15,72
478,682;15,76
478,934;15,79
479,187;15,83
479,439;15,86
479,691;15,91
479,944;16
480,196;16,03
480,448;16,09
480,701;16,14
480,953;16,19
481,205;16,25
481,457;16,29
