Data from ombraBrucWhite_Reflection__4__68.txt Node;
"Date: Thu Sep 11 17:29:53 CEST 2025 User: sycur";
360,761;6,03
361,022;6
361,282;6,06
361,542;6,07
361,802;6,08
362,062;6,08
362,323;6,05
362,583;6,07
362,843;6,04
363,103;6,05
363,363;6
363,623;6,01
363,883;6,04
364,143;6,02
364,403;6,03
364,663;6,06
364,923;6,01
365,183;6,04
365,443;6,07
365,703;6,07
365,963;6,04
366,223;6
366,483;6,01
366,743;5,97
367,002;5,99
367,262;6,02
367,522;5,98
367,782;5,98
368,042;5,94
368,301;5,95
368,561;5,93
368,821;5,93
369,081;5,88
369,34;5,85
369,6;5,84
369,86;5,88
370,119;5,82
370,379;5,8
370,638;5,77
370,898;5,71
371,158;5,72
371,417;5,73
371,677;5,72
371,936;5,7
372,196;5,7
372,455;5,67
372,715;5,65
372,974;5,68
373,234;5,67
373,493;5,69
373,753;5,69
374,012;5,68
374,271;5,72
374,531;5,75
374,79;5,77
375,049;5,77
375,309;5,77
375,568;5,77
375,827;5,78
376,086;5,77
376,346;5,82
376,605;5,85
376,864;5,83
377,123;5,84
377,383;5,84
377,642;5,86
377,901;5,87
378,16;5,87
378,419;5,85
378,678;5,85
378,937;5,83
379,196;5,8
379,455;5,82
379,714;5,8
379,973;5,77
380,232;5,77
380,491;5,8
380,75;5,78
381,009;5,79
381,268;5,82
381,527;5,81
381,786;5,79
382,045;5,77
382,304;5,8
382,563;5,79
382,821;5,81
383,08;5,78
383,339;5,82
383,598;5,81
383,857;5,82
384,115;5,84
384,374;5,84
384,633;5,86
384,891;5,87
385,15;5,84
385,409;5,87
385,667;5,9
385,926;5,86
386,185;5,83
386,443;5,83
386,702;5,8
386,96;5,82
387,219;5,81
387,477;5,8
387,736;5,78
387,994;5,8
388,253;5,79
388,511;5,82
388,77;5,79
389,028;5,78
389,287;5,8
389,545;5,8
389,803;5,77
390,062;5,75
390,32;5,76
390,578;5,76
390,837;5,78
391,095;5,74
391,353;5,78
391,612;5,77
391,87;5,8
392,128;5,8
392,386;5,78
392,644;5,81
392,903;5,83
393,161;5,81
393,419;5,8
393,677;5,82
393,935;5,77
394,193;5,75
394,451;5,8
394,709;5,74
394,967;5,79
395,225;5,8
395,483;5,81
395,741;5,8
395,999;5,84
396,257;5,85
396,515;5,85
396,773;5,88
397,031;5,9
397,289;5,92
397,547;5,93
397,805;5,94
398,062;5,95
398,32;5,95
398,578;5,99
398,836;5,99
399,094;5,97
399,351;6,01
399,609;6,04
399,867;5,98
400,124;6,02
400,382;6,02
400,64;6,06
400,897;6,11
401,155;6,09
401,413;6,11
401,67;6,09
401,928;6,12
402,185;6,06
402,443;6,04
402,701;6,03
402,958;6,03
403,216;6,07
403,473;6,04
403,73;6,04
403,988;6
404,245;6,03
404,503;6,06
404,76;6,09
405,018;6,08
405,275;6,11
405,532;6,09
405,79;6,06
406,047;6
406,304;5,99
406,561;6,02
406,819;6,01
407,076;6,04
407,333;5,99
407,59;6,03
407,848;6,05
