Data from crisocollaWhite_Reflection__3__61.txt Node;
"Date: Fri Sep 12 12:00:30 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
347,207;2,14
347,468;2,15
347,729;2,15
347,99;2,15
348,251;2,16
348,512;2,16
348,773;2,18
349,034;2,19
349,295;2,21
349,556;2,21
349,817;2,23
350,078;2,23
350,339;2,24
350,6;2,25
350,86;2,27
351,121;2,29
351,382;2,29
351,643;2,3
351,904;2,31
352,165;2,33
352,425;2,34
352,686;2,35
352,947;2,35
353,208;2,37
353,468;2,39
353,729;2,4
353,99;2,41
354,25;2,42
354,511;2,43
354,772;2,44
355,032;2,46
355,293;2,45
355,553;2,45
355,814;2,45
356,074;2,47
356,335;2,47
356,596;2,48
356,856;2,5
357,116;2,51
357,377;2,54
357,637;2,54
357,898;2,57
358,158;2,58
358,419;2,6
358,679;2,61
358,939;2,61
359,2;2,63
359,46;2,65
359,72;2,65
359,981;2,67
360,241;2,68
360,501;2,69
360,761;2,71
361,022;2,72
361,282;2,74
361,542;2,75
361,802;2,76
362,062;2,77
362,323;2,78
362,583;2,8
362,843;2,81
363,103;2,83
363,363;2,83
363,623;2,84
363,883;2,85
364,143;2,87
364,403;2,89
364,663;2,9
364,923;2,91
365,183;2,92
365,443;2,94
365,703;2,97
365,963;2,99
366,223;3,01
366,483;3,02
366,743;3,06
367,002;3,07
367,262;3,1
367,522;3,12
367,782;3,14
368,042;3,14
368,301;3,15
368,561;3,17
368,821;3,2
369,081;3,2
369,34;3,22
369,6;3,25
369,86;3,27
370,119;3,28
370,379;3,28
370,638;3,32
370,898;3,31
371,158;3,33
371,417;3,35
371,677;3,4
371,936;3,41
372,196;3,44
372,455;3,47
372,715;3,49
372,974;3,51
373,234;3,53
373,493;3,58
373,753;3,6
374,012;3,63
374,271;3,63
374,531;3,68
374,79;3,7
375,049;3,71
375,309;3,74
375,568;3,77
375,827;3,8
376,086;3,82
376,346;3,85
376,605;3,88
376,864;3,91
377,123;3,91
377,383;3,95
377,642;3,95
377,901;3,96
378,16;3,97
378,419;3,97
378,678;3,99
378,937;4
379,196;4,01
379,455;4,01
379,714;4,04
379,973;4,04
380,232;4,06
380,491;4,08
380,75;4,1
381,009;4,12
381,268;4,14
381,527;4,15
381,786;4,17
382,045;4,18
382,304;4,19
382,563;4,2
382,821;4,22
383,08;4,26
383,339;4,27
383,598;4,3
383,857;4,33
384,115;4,35
384,374;4,39
384,633;4,41
384,891;4,44
385,15;4,48
385,409;4,51
385,667;4,53
385,926;4,54
386,185;4,55
386,443;4,58
386,702;4,61
386,96;4,64
387,219;4,66
387,477;4,68
387,736;4,7
387,994;4,72
388,253;4,75
388,511;4,76
388,77;4,78
389,028;4,81
389,287;4,84
389,545;4,86
