Data from crisocollaWhite_Reflection__1__59.txt Node;
"Date: Fri Sep 12 11:59:01 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
382,304;31,36
382,563;31,43
382,821;31,53
383,08;31,64
383,339;31,74
383,598;31,82
383,857;31,91
384,115;32,01
384,374;32,15
384,633;32,24
384,891;32,34
385,15;32,47
385,409;32,58
385,667;32,65
385,926;32,75
386,185;32,86
386,443;32,95
386,702;33,06
386,96;33,17
387,219;33,26
387,477;33,36
387,736;33,44
387,994;33,54
388,253;33,62
388,511;33,71
388,77;33,79
389,028;33,9
389,287;34,01
389,545;34,11
389,803;34,21
390,062;34,31
390,32;34,38
390,578;34,46
390,837;34,54
391,095;34,67
391,353;34,77
391,612;34,86
391,87;34,94
392,128;35,04
392,386;35,13
392,644;35,21
392,903;35,28
393,161;35,34
393,419;35,41
393,677;35,53
393,935;35,61
394,193;35,71
394,451;35,8
394,709;35,88
394,967;35,96
395,225;36,01
395,483;36,09
395,741;36,2
395,999;36,29
396,257;36,38
396,515;36,45
396,773;36,53
397,031;36,58
397,289;36,66
397,547;36,69
397,805;36,74
398,062;36,83
398,32;36,92
398,578;37,01
398,836;37,09
399,094;37,15
399,351;37,22
399,609;37,27
399,867;37,35
400,124;37,4
400,382;37,49
400,64;37,54
400,897;37,63
401,155;37,68
401,413;37,77
401,67;37,85
401,928;37,93
402,185;38
402,443;38,1
402,701;38,16
402,958;38,24
403,216;38,31
403,473;38,37
403,73;38,42
403,988;38,49
404,245;38,55
404,503;38,64
404,76;38,71
405,018;38,79
405,275;38,84
405,532;38,9
405,79;38,93
406,047;39,01
406,304;39,05
406,561;39,12
406,819;39,15
407,076;39,2
407,333;39,23
407,59;39,29
407,848;39,33
408,105;39,42
408,362;39,48
408,619;39,56
408,876;39,62
409,133;39,69
409,39;39,74
409,647;39,8
409,904;39,83
410,161;39,9
410,418;39,96
410,675;40,06
410,932;40,13
411,189;40,22
411,446;40,3
411,703;40,37
411,96;40,44
412,217;40,5
