Data from crisocollaWhite_Reflection__2__60.txt Node;
"Date: Fri Sep 12 11:59:42 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
353,99;9,94
354,25;10
354,511;10,04
354,772;10,1
355,032;10,15
355,293;10,2
355,553;10,24
355,814;10,29
356,074;10,34
356,335;10,38
356,596;10,43
356,856;10,49
357,116;10,55
357,377;10,63
357,637;10,7
357,898;10,76
358,158;10,83
358,419;10,9
358,679;10,95
358,939;11,01
359,2;11,08
359,46;11,14
359,72;11,18
359,981;11,28
360,241;11,34
360,501;11,41
360,761;11,48
361,022;11,53
361,282;11,6
361,542;11,67
361,802;11,73
362,062;11,81
362,323;11,89
362,583;11,95
362,843;12
363,103;12,07
363,363;12,12
363,623;12,19
363,883;12,24
364,143;12,32
364,403;12,37
364,663;12,43
364,923;12,49
365,183;12,56
365,443;12,62
365,703;12,69
365,963;12,76
366,223;12,82
366,483;12,89
366,743;12,97
367,002;13,04
367,262;13,13
367,522;13,19
367,782;13,24
368,042;13,3
368,301;13,36
368,561;13,4
368,821;13,47
369,081;13,52
369,34;13,59
369,6;13,64
369,86;13,72
370,119;13,79
370,379;13,86
370,638;13,92
370,898;13,97
371,158;14,03
371,417;14,09
371,677;14,17
371,936;14,26
372,196;14,31
372,455;14,37
372,715;14,45
372,974;14,52
373,234;14,61
373,493;14,72
373,753;14,79
374,012;14,87
374,271;14,93
374,531;15,03
374,79;15,12
375,049;15,2
375,309;15,26
375,568;15,33
375,827;15,41
376,086;15,5
376,346;15,59
376,605;15,69
376,864;15,78
377,123;15,86
377,383;15,92
377,642;15,99
377,901;16,06
378,16;16,13
378,419;16,19
378,678;16,26
378,937;16,32
379,196;16,41
379,455;16,46
379,714;16,56
379,973;16,6
380,232;16,68
380,491;16,75
380,75;16,85
381,009;16,93
381,268;17
381,527;17,07
381,786;17,14
382,045;17,2
382,304;17,28
382,563;17,34
382,821;17,41
383,08;17,5
383,339;17,58
383,598;17,64
383,857;17,72
384,115;17,78
384,374;17,87
384,633;17,93
384,891;18,03
385,15;18,11
385,409;18,21
385,667;18,27
385,926;18,34
386,185;18,4
386,443;18,47
386,702;18,53
386,96;18,6
387,219;18,68
