Data from TV_VeronaWhite_Reflection__0__13.txt Node;
"Date: Thu Sep 11 15:40:28 CEST 2025 User: sycur";
415,299;50,91
415,555;50,93
415,812;50,95
416,069;50,96
416,325;51
416,582;51
416,838;51,06
417,095;51,07
417,352;51,07
417,608;51,1
417,865;51,11
418,121;51,16
418,378;51,24
418,634;51,28
418,891;51,34
419,147;51,4
419,403;51,46
419,66;51,52
419,916;51,57
420,173;51,63
420,429;51,69
420,685;51,72
420,942;51,77
421,198;51,8
421,454;51,87
421,711;51,92
421,967;51,99
422,223;52,05
422,479;52,14
422,735;52,18
422,992;52,25
423,248;52,29
423,504;52,33
423,76;52,37
424,016;52,43
424,272;52,45
424,528;52,44
424,784;52,47
425,041;52,5
425,297;52,51
425,553;52,57
425,809;52,6
426,065;52,67
426,32;52,72
426,576;52,78
426,832;52,8
427,088;52,84
427,344;52,92
427,6;52,98
427,856;53
428,112;53,1
428,368;53,11
428,623;53,19
428,879;53,24
429,135;53,22
429,391;53,24
429,646;53,29
429,902;53,35
430,158;53,42
430,414;53,44
430,669;53,51
430,925;53,56
431,181;53,61
431,436;53,65
431,692;53,72
431,947;53,76
432,203;53,81
432,458;53,85
432,714;53,89
432,97;53,91
433,225;53,94
433,481;53,95
433,736;54,04
433,991;54,07
434,247;54,12
434,502;54,2
434,758;54,28
435,013;54,36
435,268;54,43
435,524;54,46
435,779;54,55
436,034;54,6
436,29;54,67
436,545;54,73
436,8;54,75
437,056;54,77
437,311;54,84
437,566;54,91
437,821;54,96
438,076;55,04
438,331;55,12
438,587;55,2
438,842;55,28
439,097;55,35
439,352;55,44
439,607;55,51
439,862;55,61
440,117;55,67
440,372;55,71
440,627;55,78
440,882;55,86
441,137;55,91
441,392;55,96
441,647;56,02
441,902;56,08
442,157;56,15
442,412;56,24
442,667;56,26
442,921;56,31
443,176;56,37
443,431;56,42
443,686;56,48
443,941;56,54
444,195;56,61
444,45;56,65
444,705;56,69
444,96;56,73
445,214;56,76
445,469;56,8
445,724;56,87
445,978;56,9
446,233;56,92
446,487;57
446,742;57,06
446,997;57,09
447,251;57,13
447,506;57,2
447,76;57,21
448,015;57,32
448,269;57,38
448,524;57,42
448,778;57,45
449,033;57,49
449,287;57,49
449,541;57,53
449,796;57,58
450,05;57,62
450,305;57,66
450,559;57,69
450,813;57,73
451,067;57,75
451,322;57,82
451,576;57,86
451,83;57,87
452,084;57,9
452,339;57,94
452,593;57,99
452,847;58,03
453,101;58,09
453,355;58,09
453,609;58,11
453,864;58,15
454,118;58,17
454,372;58,19
454,626;58,25
454,88;58,28
455,134;58,32
455,388;58,34
455,642;58,4
455,896;58,46
456,15;58,49
456,404;58,54
456,658;58,58
456,912;58,63
457,165;58,69
457,419;58,72
457,673;58,76
457,927;58,76
458,181;58,83
458,435;58,86
458,688;58,93
458,942;58,97
459,196;59,01
459,45;59,04
459,703;59,1
459,957;59,13
460,211;59,17
460,464;59,19
460,718;59,25
460,972;59,27
461,225;59,31
461,479;59,38
461,732;59,42
461,986;59,44
462,239;59,49
462,493;59,54
462,746;59,62
463;59,69
463,253;59,76
463,507;59,78
463,76;59,83
464,014;59,86
464,267;59,93
464,52;59,97
464,774;60,03
465,027;60,06
465,28;60,11
465,534;60,14
465,787;60,19
466,04;60,22
466,294;60,26
466,547;60,3
466,8;60,34
467,053;60,33
467,306;60,38
467,56;60,37
467,813;60,41
468,066;60,44
468,319;60,46
468,572;60,5
468,825;60,53
469,078;60,54
469,331;60,6
469,584;60,62
469,837;60,68
470,09;60,73
470,343;60,77
470,596;60,83
470,849;60,86
471,102;60,9
471,355;60,94
471,608;60,97
471,861;61,03
472,114;61,07
472,367;61,14
472,619;61,18
472,872;61,26
473,125;61,27
473,378;61,32
473,631;61,35
473,883;61,39
474,136;61,42
474,389;61,47
474,641;61,47
474,894;61,5
475,147;61,51
475,399;61,54
475,652;61,58
475,905;61,61
476,157;61,67
476,41;61,69
476,662;61,71
476,915;61,75
477,167;61,76
477,42;61,78
477,672;61,82
477,925;61,84
478,177;61,86
478,43;61,9
478,682;61,94
478,934;61,98
479,187;62,02
479,439;62,05
479,691;62,09
479,944;62,14
480,196;62,18
480,448;62,2
480,701;62,22
480,953;62,24
481,205;62,26
481,457;62,25
481,709;62,28
481,962;62,29
482,214;62,28
482,466;62,27
482,718;62,26
482,97;62,26
483,222;62,3
483,474;62,35
483,726;62,41
483,978;62,47
484,23;62,5
484,482;62,54
484,734;62,57
484,986;62,59
485,238;62,61
485,49;62,65
485,742;62,68
485,994;62,72
486,246;62,76
486,498;62,8
486,75;62,86
487,001;62,88
487,253;62,94
487,505;63
487,757;63,08
488,009;63,15
488,26;63,23
488,512;63,28
488,764;63,31
489,015;63,32
489,267;63,33
489,519;63,35
489,77;63,38
490,022;63,41
490,274;63,42
490,525;63,46
490,777;63,47
491,028;63,52
491,28;63,56
491,531;63,58
491,783;63,58
492,034;63,61
492,286;63,64
492,537;63,65
492,789;63,67
493,04;63,69
493,291;63,71
493,543;63,76
493,794;63,79
494,045;63,84
494,297;63,88
494,548;63,91
494,799;63,94
495,051;63,96
495,302;64
495,553;64,05
495,804;64,08
496,056;64,12
496,307;64,14
496,558;64,14
496,809;64,16
497,06;64,21
497,311;64,24
497,562;64,28
497,813;64,32
498,064;64,37
498,316;64,41
498,567;64,44
498,818;64,46
499,069;64,49
499,319;64,52
499,57;64,55
499,821;64,59
500,072;64,63
500,323;64,67
500,574;64,71
500,825;64,73
501,076;64,77
501,327;64,81
501,577;64,86
501,828;64,92
502,079;64,98
502,33;65,01
502,58;65,03
502,831;65,08
503,082;65,13
503,333;65,15
503,583;65,19
503,834;65,24
504,084;65,29
504,335;65,32
504,586;65,36
504,836;65,38
505,087;65,41
505,337;65,45
505,588;65,47
505,838;65,5
506,089;65,56
506,339;65,6
506,59;65,62
506,84;65,64
507,091;65,67
507,341;65,69
507,591;65,71
507,842;65,76
508,092;65,79
508,343;65,79
508,593;65,85
508,843;65,88
509,093;65,91
509,344;65,94
509,594;65,99
509,844;66,03
510,094;66,08
510,345;66,11
510,595;66,11
510,845;66,17
511,095;66,21
511,345;66,23
511,595;66,27
511,845;66,33
512,095;66,36
512,345;66,39
512,595;66,44
512,845;66,48
513,095;66,52
513,345;66,55
513,595;66,59
513,845;66,59
514,095;66,63
514,345;66,66
514,595;66,7
514,845;66,73
515,095;66,78
515,345;66,82
515,594;66,86
515,844;66,92
516,094;66,93
516,344;66,96
516,593;66,98
516,843;67,02
517,093;67,03
517,343;67,06
517,592;67,11
517,842;67,12
518,092;67,18
518,341;67,21
518,591;67,25
518,84;67,32
519,09;67,36
519,34;67,4
519,589;67,45
519,839;67,47
520,088;67,51
520,338;67,53
520,587;67,56
520,836;67,59
521,086;67,61
521,335;67,65
521,585;67,68
521,834;67,72
522,083;67,74
522,333;67,79
522,582;67,82
522,831;67,84
523,081;67,88
523,33;67,91
523,579;67,95
523,828;67,97
524,078;67,98
524,327;68,01
524,576;68,03
524,825;68,06
525,074;68,09
525,323;68,11
525,573;68,13
525,822;68,14
526,071;68,16
526,32;68,21
526,569;68,22
526,818;68,25
527,067;68,29
527,316;68,32
527,565;68,32
527,814;68,37
528,063;68,4
528,312;68,44
528,56;68,45
528,809;68,47
529,058;68,49
529,307;68,53
529,556;68,54
529,805;68,56
530,053;68,56
530,302;68,57
530,551;68,62
530,8;68,65
531,048;68,67
531,297;68,71
531,546;68,73
531,794;68,75
532,043;68,77
532,292;68,79
532,54;68,82
532,789;68,85
533,037;68,86
533,286;68,87
533,535;68,87
533,783;68,89
534,032;68,91
534,28;68,93
534,528;68,94
534,777;68,96
535,025;69,01
535,274;69,02
535,522;69,04
535,771;69,06
536,019;69,07
536,267;69,11
536,516;69,13
536,764;69,16
537,012;69,19
537,26;69,23
537,509;69,25
537,757;69,26
538,005;69,31
538,253;69,34
538,501;69,35
538,75;69,38
538,998;69,39
539,246;69,42
539,494;69,45
539,742;69,48
539,99;69,5
540,238;69,5
540,486;69,52
540,734;69,54
540,982;69,55
541,23;69,58
541,478;69,58
541,726;69,6
541,974;69,62
542,222;69,64
542,47;69,65
542,718;69,68
542,966;69,69
543,213;69,68
543,461;69,71
543,709;69,71
543,957;69,73
544,205;69,75
544,452;69,74
544,7;69,72
544,948;69,73
545,196;69,74
545,443;69,76
545,691;69,78
545,939;69,78
546,186;69,79
546,434;69,81
546,681;69,83
546,929;69,82
547,176;69,82
547,424;69,82
547,671;69,82
547,919;69,82
548,166;69,84
548,414;69,84
548,661;69,85
548,909;69,87
549,156;69,89
549,404;69,91
549,651;69,94
549,898;69,97
550,146;69,98
550,393;70
550,64;70,01
550,888;70,03
551,135;70,06
551,382;70,06
551,629;70,06
551,876;70,08
552,124;70,11
552,371;70,14
552,618;70,16
552,865;70,18
553,112;70,19
553,359;70,21
553,606;70,22
553,854;70,23
554,101;70,26
554,348;70,27
554,595;70,27
554,842;70,28
555,089;70,29
555,336;70,31
555,582;70,31
555,829;70,31
556,076;70,33
556,323;70,35
556,57;70,37
556,817;70,39
557,064;70,39
557,311;70,38
557,557;70,39
557,804;70,41
558,051;70,4
558,298;70,43
558,544;70,43
558,791;70,44
559,038;70,45
559,284;70,45
559,531;70,46
559,778;70,49
560,024;70,48
560,271;70,49
560,517;70,52
560,764;70,53
561,011;70,55
561,257;70,55
561,504;70,54
561,75;70,54
561,997;70,54
562,243;70,55
562,489;70,56
562,736;70,58
562,982;70,57
563,229;70,57
563,475;70,57
563,721;70,58
563,968;70,57
564,214;70,56
564,46;70,56
564,707;70,53
564,953;70,53
565,199;70,53
565,445;70,53
565,691;70,5
565,938;70,49
566,184;70,47
566,43;70,45
566,676;70,44
566,922;70,43
567,168;70,42
567,414;70,42
567,66;70,42
567,906;70,39
