Data from TV_VeronaWhite_Reflection__4__17.txt Node;
"Date: Thu Sep 11 15:51:20 CEST 2025 User: sycur";
459,957;9,74
460,211;9,77
460,464;9,78
460,718;9,81
460,972;9,82
461,225;9,86
461,479;9,89
461,732;9,92
461,986;9,95
462,239;9,98
462,493;10,02
462,746;10,03
463;10,08
463,253;10,12
463,507;10,14
463,76;10,16
464,014;10,19
464,267;10,22
464,52;10,27
464,774;10,32
465,027;10,32
465,28;10,36
465,534;10,38
465,787;10,42
466,04;10,44
466,294;10,47
466,547;10,48
466,8;10,51
467,053;10,52
467,306;10,53
467,56;10,55
467,813;10,58
468,066;10,62
468,319;10,64
468,572;10,65
468,825;10,68
469,078;10,7
469,331;10,74
469,584;10,75
469,837;10,78
470,09;10,79
470,343;10,83
470,596;10,87
470,849;10,9
471,102;10,93
471,355;10,98
471,608;11,02
471,861;11,08
472,114;11,14
472,367;11,2
472,619;11,25
472,872;11,31
473,125;11,33
473,378;11,37
473,631;11,41
473,883;11,46
474,136;11,51
474,389;11,55
474,641;11,59
474,894;11,65
475,147;11,69
475,399;11,75
475,652;11,79
475,905;11,84
476,157;11,88
476,41;11,93
476,662;11,97
476,915;12,01
477,167;12,04
477,42;12,08
477,672;12,12
477,925;12,16
478,177;12,21
478,43;12,26
478,682;12,3
478,934;12,34
479,187;12,38
479,439;12,42
479,691;12,47
479,944;12,5
480,196;12,53
480,448;12,56
480,701;12,59
480,953;12,63
481,205;12,67
481,457;12,72
481,709;12,77
481,962;12,84
482,214;12,92
482,466;13,02
482,718;13,13
482,97;13,26
483,222;13,4
483,474;13,53
483,726;13,64
483,978;13,73
484,23;13,81
484,482;13,88
484,734;13,93
484,986;13,98
485,238;14,02
485,49;14,07
485,742;14,11
485,994;14,14
486,246;14,17
486,498;14,19
486,75;14,22
487,001;14,24
487,253;14,25
487,505;14,26
487,757;14,25
488,009;14,24
488,26;14,21
488,512;14,16
488,764;14,11
489,015;14,06
489,267;14,02
489,519;13,98
489,77;13,96
490,022;13,96
490,274;13,96
490,525;13,98
490,777;13,99
491,028;14,02
491,28;14,04
491,531;14,07
491,783;14,09
492,034;14,12
492,286;14,14
492,537;14,18
492,789;14,2
493,04;14,23
493,291;14,27
493,543;14,31
493,794;14,35
494,045;14,4
494,297;14,44
494,548;14,47
494,799;14,51
495,051;14,55
495,302;14,59
495,553;14,62
495,804;14,64
496,056;14,68
496,307;14,71
496,558;14,74
496,809;14,78
497,06;14,83
497,311;14,87
497,562;14,91
497,813;14,94
498,064;14,99
498,316;15,03
498,567;15,06
498,818;15,09
499,069;15,13
499,319;15,16
499,57;15,2
499,821;15,26
500,072;15,31
500,323;15,36
500,574;15,41
500,825;15,44
501,076;15,5
501,327;15,54
501,577;15,59
501,828;15,63
502,079;15,67
502,33;15,7
502,58;15,74
502,831;15,78
503,082;15,84
503,333;15,87
503,583;15,93
503,834;15,98
504,084;16,02
504,335;16,05
504,586;16,09
504,836;16,13
505,087;16,16
505,337;16,19
505,588;16,23
505,838;16,26
506,089;16,31
506,339;16,33
506,59;16,39
506,84;16,42
507,091;16,46
507,341;16,48
507,591;16,52
507,842;16,56
508,092;16,61
508,343;16,63
508,593;16,67
508,843;16,69
509,093;16,73
509,344;16,77
509,594;16,81
509,844;16,84
510,094;16,88
510,345;16,92
510,595;16,96
510,845;16,99
511,095;17,04
511,345;17,07
511,595;17,12
511,845;17,15
512,095;17,19
512,345;17,22
512,595;17,27
512,845;17,31
513,095;17,36
513,345;17,4
513,595;17,44
513,845;17,48
514,095;17,53
514,345;17,58
514,595;17,63
514,845;17,67
515,095;17,72
515,345;17,76
515,594;17,8
515,844;17,83
516,094;17,88
516,344;17,91
516,593;17,94
516,843;17,98
517,093;18,03
517,343;18,07
517,592;18,11
517,842;18,16
518,092;18,2
518,341;18,23
518,591;18,28
518,84;18,32
519,09;18,35
519,34;18,39
519,589;18,43
519,839;18,46
520,088;18,5
520,338;18,53
520,587;18,57
520,836;18,61
521,086;18,64
521,335;18,68
521,585;18,72
521,834;18,76
522,083;18,8
522,333;18,83
522,582;18,88
522,831;18,92
523,081;18,96
523,33;19
523,579;19,05
523,828;19,08
524,078;19,12
524,327;19,15
524,576;19,2
524,825;19,24
525,074;19,28
525,323;19,31
525,573;19,35
525,822;19,38
526,071;19,42
526,32;19,48
526,569;19,52
526,818;19,56
527,067;19,61
527,316;19,65
527,565;19,68
527,814;19,71
528,063;19,75
528,312;19,78
528,56;19,8
528,809;19,83
529,058;19,87
529,307;19,89
529,556;19,94
529,805;19,96
530,053;19,99
530,302;20,03
530,551;20,07
530,8;20,1
531,048;20,16
531,297;20,19
531,546;20,23
531,794;20,26
532,043;20,29
532,292;20,33
532,54;20,36
532,789;20,4
533,037;20,44
533,286;20,47
533,535;20,5
533,783;20,54
534,032;20,58
534,28;20,61
534,528;20,65
534,777;20,68
535,025;20,72
535,274;20,75
535,522;20,77
535,771;20,8
536,019;20,84
536,267;20,86
536,516;20,89
536,764;20,92
537,012;20,96
537,26;20,98
537,509;21,01
537,757;21,04
538,005;21,08
538,253;21,1
538,501;21,14
538,75;21,16
538,998;21,19
539,246;21,22
539,494;21,24
539,742;21,27
539,99;21,3
540,238;21,32
540,486;21,35
540,734;21,38
540,982;21,42
541,23;21,45
541,478;21,47
541,726;21,5
541,974;21,52
542,222;21,54
542,47;21,57
542,718;21,59
542,966;21,61
543,213;21,62
543,461;21,66
543,709;21,68
543,957;21,7
544,205;21,72
544,452;21,74
544,7;21,76
544,948;21,78
545,196;21,8
545,443;21,82
545,691;21,84
545,939;21,86
546,186;21,88
546,434;21,9
546,681;21,92
546,929;21,94
547,176;21,96
547,424;21,98
547,671;22
547,919;22,02
548,166;22,05
548,414;22,07
548,661;22,08
548,909;22,1
549,156;22,14
549,404;22,16
549,651;22,18
549,898;22,21
550,146;22,23
550,393;22,26
550,64;22,29
550,888;22,31
551,135;22,34
551,382;22,36
551,629;22,38
551,876;22,39
552,124;22,4
552,371;22,43
552,618;22,44
552,865;22,47
553,112;22,49
553,359;22,51
553,606;22,51
553,854;22,53
