Data from TV_VeronaWhite_Reflection__1__14.txt Node;
"Date: Thu Sep 11 15:41:41 CEST 2025 User: sycur";
353,729;2,1
353,99;2,1
354,25;2,1
354,511;2,11
354,772;2,11
355,032;2,11
355,293;2,13
355,553;2,1
355,814;2,1
356,074;2,11
356,335;2,11
356,596;2,11
356,856;2,1
357,116;2,12
357,377;2,12
357,637;2,11
357,898;2,11
358,158;2,09
358,419;2,11
358,679;2,13
358,939;2,12
359,2;2,12
359,46;2,11
359,72;2,13
359,981;2,11
360,241;2,12
360,501;2,12
360,761;2,12
361,022;2,13
361,282;2,13
361,542;2,12
361,802;2,14
362,062;2,13
362,323;2,14
362,583;2,14
362,843;2,14
363,103;2,14
363,363;2,14
363,623;2,14
363,883;2,13
364,143;2,13
364,403;2,14
364,663;2,15
364,923;2,16
365,183;2,16
365,443;2,18
365,703;2,17
365,963;2,17
366,223;2,16
366,483;2,18
366,743;2,17
367,002;2,17
367,262;2,18
367,522;2,18
367,782;2,18
368,042;2,18
368,301;2,19
368,561;2,2
368,821;2,2
369,081;2,2
369,34;2,21
369,6;2,21
369,86;2,22
370,119;2,2
370,379;2,2
370,638;2,21
370,898;2,2
371,158;2,21
371,417;2,21
371,677;2,23
371,936;2,23
372,196;2,25
372,455;2,24
372,715;2,23
372,974;2,24
373,234;2,24
373,493;2,23
373,753;2,25
374,012;2,27
374,271;2,28
374,531;2,27
374,79;2,26
375,049;2,28
375,309;2,29
375,568;2,31
375,827;2,31
376,086;2,32
376,346;2,34
376,605;2,33
376,864;2,34
377,123;2,35
377,383;2,34
377,642;2,36
377,901;2,36
378,16;2,38
378,419;2,38
378,678;2,37
378,937;2,38
379,196;2,37
379,455;2,37
379,714;2,38
379,973;2,39
380,232;2,41
380,491;2,4
380,75;2,38
381,009;2,38
381,268;2,39
381,527;2,4
381,786;2,4
382,045;2,4
382,304;2,39
382,563;2,38
382,821;2,38
383,08;2,38
383,339;2,4
383,598;2,4
383,857;2,42
384,115;2,44
384,374;2,44
384,633;2,43
384,891;2,43
385,15;2,43
385,409;2,43
385,667;2,44
385,926;2,45
386,185;2,47
386,443;2,46
386,702;2,47
386,96;2,45
387,219;2,45
387,477;2,46
387,736;2,47
387,994;2,48
388,253;2,5
388,511;2,52
388,77;2,5
389,028;2,5
389,287;2,51
389,545;2,52
389,803;2,53
390,062;2,54
390,32;2,55
390,578;2,57
390,837;2,58
391,095;2,59
391,353;2,6
391,612;2,6
391,87;2,63
392,128;2,62
392,386;2,65
392,644;2,66
392,903;2,67
393,161;2,67
393,419;2,69
393,677;2,68
393,935;2,67
394,193;2,68
394,451;2,7
394,709;2,69
394,967;2,68
395,225;2,69
395,483;2,71
395,741;2,71
395,999;2,72
396,257;2,72
396,515;2,72
396,773;2,72
397,031;2,73
397,289;2,74
397,547;2,75
397,805;2,75
398,062;2,75
398,32;2,77
398,578;2,79
398,836;2,79
399,094;2,8
399,351;2,81
399,609;2,82
399,867;2,81
400,124;2,83
400,382;2,85
400,64;2,85
400,897;2,85
401,155;2,86
401,413;2,88
401,67;2,88
401,928;2,88
402,185;2,88
402,443;2,88
402,701;2,88
402,958;2,88
403,216;2,89
403,473;2,9
403,73;2,9
403,988;2,89
404,245;2,88
404,503;2,89
404,76;2,9
405,018;2,9
405,275;2,91
405,532;2,9
405,79;2,9
406,047;2,89
406,304;2,91
406,561;2,9
406,819;2,89
407,076;2,88
407,333;2,86
407,59;2,88
407,848;2,9
408,105;2,89
408,362;2,91
408,619;2,9
408,876;2,9
409,133;2,89
409,39;2,88
409,647;2,89
409,904;2,88
410,161;2,87
410,418;2,88
410,675;2,89
410,932;2,9
411,189;2,91
411,446;2,92
411,703;2,93
411,96;2,95
412,217;2,95
412,474;2,97
412,731;2,99
412,988;2,99
413,245;2,98
413,501;2,99
413,758;2,99
414,015;3,01
414,272;3,02
414,529;3,03
414,785;3,05
415,042;3,04
415,299;3,06
415,555;3,08
415,812;3,08
416,069;3,08
416,325;3,09
416,582;3,1
416,838;3,12
417,095;3,12
417,352;3,11
417,608;3,12
417,865;3,11
