Data from TV_VeronaWhite_Reflection__3__16.txt Node;
"Date: Thu Sep 11 15:50:24 CEST 2025 User: sycur";
325,216;3,52
325,478;3,51
325,741;3,51
326,003;3,51
326,266;3,51
326,528;3,52
326,791;3,52
327,053;3,52
327,315;3,52
327,578;3,52
327,84;3,51
328,102;3,52
328,365;3,52
328,627;3,52
328,889;3,52
329,151;3,53
329,414;3,53
329,676;3,53
329,938;3,53
330,2;3,53
330,462;3,54
330,725;3,53
330,987;3,54
331,249;3,54
331,511;3,55
331,773;3,55
332,035;3,54
332,297;3,54
332,559;3,55
332,821;3,56
333,083;3,56
333,345;3,57
333,607;3,57
333,869;3,57
334,131;3,56
334,393;3,57
334,655;3,57
334,917;3,58
335,179;3,58
335,44;3,59
335,702;3,61
335,964;3,61
336,226;3,6
336,488;3,61
336,749;3,62
337,011;3,62
337,273;3,62
337,535;3,63
337,796;3,64
338,058;3,64
338,32;3,64
338,581;3,64
338,843;3,63
339,105;3,64
339,366;3,65
339,628;3,67
339,889;3,67
340,151;3,68
340,412;3,68
340,674;3,69
340,935;3,69
341,197;3,7
341,458;3,71
341,72;3,73
341,981;3,73
342,243;3,73
342,504;3,73
342,766;3,74
343,027;3,75
343,288;3,75
343,55;3,76
343,811;3,76
344,072;3,77
344,334;3,78
344,595;3,79
344,856;3,79
345,117;3,8
345,379;3,81
345,64;3,81
345,901;3,81
346,162;3,8
346,423;3,8
346,684;3,78
346,946;3,79
347,207;3,78
347,468;3,79
347,729;3,79
347,99;3,79
348,251;3,79
348,512;3,79
348,773;3,8
349,034;3,8
349,295;3,81
349,556;3,82
349,817;3,8
350,078;3,81
350,339;3,82
350,6;3,82
350,86;3,81
351,121;3,82
351,382;3,82
351,643;3,82
351,904;3,83
352,165;3,85
352,425;3,86
352,686;3,88
352,947;3,89
353,208;3,89
353,468;3,9
353,729;3,9
353,99;3,9
354,25;3,9
354,511;3,91
354,772;3,91
355,032;3,9
355,293;3,92
355,553;3,91
355,814;3,9
356,074;3,9
356,335;3,92
356,596;3,93
356,856;3,94
357,116;3,96
357,377;3,98
357,637;3,98
357,898;3,98
358,158;3,98
358,419;4
358,679;4,01
358,939;4,02
359,2;4,04
359,46;4,05
359,72;4,07
359,981;4,08
360,241;4,09
360,501;4,11
360,761;4,12
361,022;4,14
361,282;4,16
361,542;4,18
361,802;4,19
362,062;4,19
362,323;4,21
362,583;4,22
362,843;4,22
363,103;4,23
363,363;4,24
363,623;4,26
363,883;4,26
364,143;4,26
364,403;4,28
364,663;4,3
364,923;4,3
365,183;4,31
365,443;4,32
365,703;4,34
365,963;4,35
366,223;4,36
366,483;4,38
366,743;4,37
367,002;4,38
367,262;4,41
