Data from TV_VeronaWhite_Reflection__2__15.txt Node;
"Date: Thu Sep 11 15:49:26 CEST 2025 User: sycur";
332,821;2,04
333,083;2,04
333,345;2,05
333,607;2,05
333,869;2,04
334,131;2,04
334,393;2,05
334,655;2,05
334,917;2,05
335,179;2,05
335,44;2,05
335,702;2,06
335,964;2,06
336,226;2,05
336,488;2,05
336,749;2,06
337,011;2,08
337,273;2,09
337,535;2,09
337,796;2,09
338,058;2,09
338,32;2,08
338,581;2,08
338,843;2,07
339,105;2,08
339,366;2,09
339,628;2,09
339,889;2,09
340,151;2,1
340,412;2,11
340,674;2,12
340,935;2,13
341,197;2,14
341,458;2,15
341,72;2,16
341,981;2,17
342,243;2,17
342,504;2,16
342,766;2,17
343,027;2,17
343,288;2,19
343,55;2,19
343,811;2,19
344,072;2,21
344,334;2,23
344,595;2,23
344,856;2,23
345,117;2,23
345,379;2,24
345,64;2,24
345,901;2,24
346,162;2,23
346,423;2,23
346,684;2,21
346,946;2,21
347,207;2,22
347,468;2,21
347,729;2,2
347,99;2,2
348,251;2,19
348,512;2,2
348,773;2,18
349,034;2,19
349,295;2,19
349,556;2,18
349,817;2,16
350,078;2,15
350,339;2,16
350,6;2,17
350,86;2,16
351,121;2,16
351,382;2,15
351,643;2,14
351,904;2,15
352,165;2,15
352,425;2,16
352,686;2,16
352,947;2,16
353,208;2,15
353,468;2,16
353,729;2,16
353,99;2,16
354,25;2,16
354,511;2,17
354,772;2,17
355,032;2,16
355,293;2,2
355,553;2,19
355,814;2,19
356,074;2,19
356,335;2,2
356,596;2,2
356,856;2,21
357,116;2,22
357,377;2,23
357,637;2,24
357,898;2,23
358,158;2,22
358,419;2,24
358,679;2,25
358,939;2,24
359,2;2,25
359,46;2,26
359,72;2,27
359,981;2,28
360,241;2,29
360,501;2,31
360,761;2,3
361,022;2,32
361,282;2,33
361,542;2,33
361,802;2,34
362,062;2,35
362,323;2,36
362,583;2,37
362,843;2,38
363,103;2,38
363,363;2,38
363,623;2,4
363,883;2,4
364,143;2,41
364,403;2,42
364,663;2,43
364,923;2,44
365,183;2,44
365,443;2,44
365,703;2,45
365,963;2,45
366,223;2,44
366,483;2,45
366,743;2,46
367,002;2,47
367,262;2,49
367,522;2,49
367,782;2,49
368,042;2,48
368,301;2,48
368,561;2,48
368,821;2,5
369,081;2,49
369,34;2,51
369,6;2,52
369,86;2,53
370,119;2,52
370,379;2,52
370,638;2,53
370,898;2,53
371,158;2,54
371,417;2,55
371,677;2,58
371,936;2,6
372,196;2,6
