Data from BiaccaWhite_Reflection__1__47.txt Node;
"Date: Thu Sep 11 17:06:04 CEST 2025 User: sycur";
558,298;77,24
558,544;77,24
558,791;77,25
559,038;77,24
559,284;77,24
559,531;77,23
559,778;77,25
560,024;77,25
560,271;77,26
560,517;77,28
560,764;77,28
561,011;77,29
561,257;77,3
561,504;77,31
561,75;77,3
561,997;77,31
562,243;77,33
562,489;77,33
562,736;77,34
562,982;77,34
563,229;77,35
563,475;77,35
563,721;77,37
563,968;77,36
564,214;77,36
564,46;77,36
564,707;77,38
564,953;77,38
565,199;77,4
565,445;77,4
565,691;77,38
565,938;77,39
566,184;77,38
566,43;77,38
566,676;77,35
566,922;77,36
567,168;77,34
567,414;77,36
567,66;77,36
567,906;77,35
568,152;77,35
568,398;77,34
568,644;77,35
568,89;77,32
569,136;77,34
569,382;77,34
569,628;77,35
569,874;77,34
570,12;77,33
570,366;77,33
570,612;77,32
570,857;77,31
571,103;77,31
571,349;77,31
571,595;77,31
571,84;77,32
572,086;77,31
572,332;77,32
572,578;77,31
572,823;77,32
573,069;77,32
573,315;77,32
573,56;77,32
573,806;77,32
574,051;77,34
574,297;77,34
574,542;77,35
574,788;77,34
575,034;77,34
575,279;77,34
575,524;77,34
575,77;77,35
576,015;77,36
576,261;77,37
576,506;77,38
576,752;77,39
576,997;77,4
577,242;77,41
577,488;77,42
577,733;77,41
577,978;77,41
578,223;77,4
578,469;77,42
578,714;77,43
578,959;77,43
579,204;77,43
579,45;77,44
579,695;77,45
579,94;77,48
580,185;77,49
580,43;77,5
580,675;77,52
580,92;77,52
581,165;77,52
581,41;77,51
581,655;77,5
581,9;77,51
582,145;77,52
582,39;77,52
582,635;77,53
582,88;77,53
583,125;77,54
583,37;77,57
583,615;77,57
583,86;77,57
584,105;77,57
584,349;77,58
584,594;77,56
584,839;77,56
585,084;77,56
585,328;77,57
585,573;77,58
585,818;77,58
586,063;77,6
586,307;77,61
586,552;77,62
586,797;77,64
587,041;77,65
587,286;77,65
587,53;77,66
