Data from BiaccaWhite_Reflection__3__49.txt Node;
"Date: Thu Sep 11 17:07:23 CEST 2025 User: sycur";
410,161;71,93
410,418;71,97
410,675;71,99
410,932;71,98
411,189;72
411,446;71,99
411,703;72,02
411,96;72,06
412,217;72,1
412,474;72,12
412,731;72,13
412,988;72,18
413,245;72,2
413,501;72,22
413,758;72,26
414,015;72,27
414,272;72,32
414,529;72,35
414,785;72,36
415,042;72,39
415,299;72,4
415,555;72,39
415,812;72,39
416,069;72,39
416,325;72,43
416,582;72,44
416,838;72,48
417,095;72,48
417,352;72,5
417,608;72,51
417,865;72,52
418,121;72,55
418,378;72,55
418,634;72,56
418,891;72,56
419,147;72,56
419,403;72,6
419,66;72,64
419,916;72,67
420,173;72,68
420,429;72,74
420,685;72,76
420,942;72,82
421,198;72,81
421,454;72,89
421,711;72,91
421,967;72,96
422,223;72,99
422,479;73,03
422,735;73,06
422,992;73,08
423,248;73,14
423,504;73,17
423,76;73,23
424,016;73,28
424,272;73,32
424,528;73,32
424,784;73,33
425,041;73,34
425,297;73,34
425,553;73,38
425,809;73,36
426,065;73,39
426,32;73,43
426,576;73,46
426,832;73,44
427,088;73,5
427,344;73,53
427,6;73,57
427,856;73,58
428,112;73,62
428,368;73,64
428,623;73,62
428,879;73,65
429,135;73,64
429,391;73,67
429,646;73,7
429,902;73,77
430,158;73,79
430,414;73,83
430,669;73,89
430,925;73,92
431,181;73,95
431,436;74,01
431,692;74,01
431,947;74,07
432,203;74,11
432,458;74,12
432,714;74,12
432,97;74,12
433,225;74,14
433,481;74,12
433,736;74,17
433,991;74,21
434,247;74,22
434,502;74,27
434,758;74,28
435,013;74,32
435,268;74,34
435,524;74,36
435,779;74,38
436,034;74,37
436,29;74,39
436,545;74,4
436,8;74,34
437,056;74,37
437,311;74,38
437,566;74,4
437,821;74,4
438,076;74,43
438,331;74,42
438,587;74,45
438,842;74,5
439,097;74,49
439,352;74,54
439,607;74,58
439,862;74,59
440,117;74,62
440,372;74,64
440,627;74,65
440,882;74,67
441,137;74,7
441,392;74,74
441,647;74,73
441,902;74,77
442,157;74,82
442,412;74,83
442,667;74,86
442,921;74,86
443,176;74,9
443,431;74,9
443,686;74,94
443,941;74,97
444,195;74,98
444,45;75,03
444,705;75,02
444,96;75,03
445,214;75,05
445,469;75,05
445,724;75,07
445,978;75,08
446,233;75,08
446,487;75,06
446,742;75,07
446,997;75,12
447,251;75,13
447,506;75,15
447,76;75,17
448,015;75,19
448,269;75,23
448,524;75,24
448,778;75,27
449,033;75,3
449,287;75,29
449,541;75,3
449,796;75,34
450,05;75,35
450,305;75,36
450,559;75,4
450,813;75,42
451,067;75,4
451,322;75,41
451,576;75,45
451,83;75,48
452,084;75,48
452,339;75,48
452,593;75,46
452,847;75,48
453,101;75,48
453,355;75,47
453,609;75,46
453,864;75,48
454,118;75,49
454,372;75,48
454,626;75,5
454,88;75,51
455,134;75,51
455,388;75,51
455,642;75,5
455,896;75,52
456,15;75,52
456,404;75,56
456,658;75,54
456,912;75,55
457,165;75,59
457,419;75,63
457,673;75,64
457,927;75,69
458,181;75,73
458,435;75,77
458,688;75,8
458,942;75,81
459,196;75,81
459,45;75,79
459,703;75,8
459,957;75,8
460,211;75,83
460,464;75,8
460,718;75,83
460,972;75,86
461,225;75,84
461,479;75,87
461,732;75,89
461,986;75,93
462,239;75,95
462,493;75,95
462,746;75,98
463;76,02
463,253;76,01
463,507;75,98
463,76;75,99
464,014;75,98
464,267;76,02
464,52;76,05
464,774;76,09
465,027;76,14
465,28;76,17
465,534;76,19
465,787;76,22
466,04;76,25
466,294;76,27
466,547;76,28
466,8;76,31
467,053;76,3
467,306;76,32
467,56;76,33
467,813;76,36
468,066;76,35
468,319;76,35
468,572;76,36
468,825;76,4
469,078;76,41
469,331;76,45
469,584;76,46
469,837;76,48
470,09;76,49
470,343;76,49
470,596;76,51
470,849;76,5
471,102;76,53
471,355;76,53
471,608;76,52
471,861;76,56
472,114;76,56
472,367;76,6
472,619;76,61
472,872;76,65
473,125;76,64
473,378;76,67
473,631;76,68
473,883;76,71
474,136;76,71
474,389;76,73
474,641;76,72
474,894;76,72
475,147;76,75
475,399;76,77
475,652;76,8
475,905;76,8
476,157;76,83
476,41;76,83
476,662;76,85
476,915;76,86
477,167;76,85
477,42;76,84
477,672;76,85
477,925;76,85
478,177;76,82
478,43;76,84
478,682;76,84
478,934;76,88
479,187;76,91
479,439;76,94
479,691;76,95
479,944;76,97
480,196;76,98
480,448;76,97
480,701;76,97
480,953;76,97
481,205;77,01
481,457;77
481,709;77,02
481,962;76,99
482,214;76,98
482,466;76,98
482,718;76,96
482,97;76,96
483,222;76,97
483,474;77,01
483,726;77,08
483,978;77,12
484,23;77,13
484,482;77,14
484,734;77,15
484,986;77,16
485,238;77,17
485,49;77,2
485,742;77,23
485,994;77,26
486,246;77,26
486,498;77,29
486,75;77,31
487,001;77,33
487,253;77,37
487,505;77,42
487,757;77,46
488,009;77,5
488,26;77,54
488,512;77,58
488,764;77,6
489,015;77,58
489,267;77,57
489,519;77,57
489,77;77,58
490,022;77,59
490,274;77,62
490,525;77,65
490,777;77,65
491,028;77,64
491,28;77,66
491,531;77,68
491,783;77,68
492,034;77,7
492,286;77,7
492,537;77,7
492,789;77,69
493,04;77,7
493,291;77,72
493,543;77,73
493,794;77,75
494,045;77,77
494,297;77,8
494,548;77,81
494,799;77,82
495,051;77,85
495,302;77,89
495,553;77,89
495,804;77,91
496,056;77,92
496,307;77,93
496,558;77,92
496,809;77,94
497,06;77,95
497,311;77,97
497,562;77,99
497,813;78,01
498,064;78,05
498,316;78,08
498,567;78,09
498,818;78,11
499,069;78,11
499,319;78,11
499,57;78,1
499,821;78,13
500,072;78,15
500,323;78,15
500,574;78,13
500,825;78,12
501,076;78,13
501,327;78,16
501,577;78,16
501,828;78,18
502,079;78,19
502,33;78,19
502,58;78,16
502,831;78,2
503,082;78,2
503,333;78,19
503,583;78,2
503,834;78,22
504,084;78,23
504,335;78,24
504,586;78,24
504,836;78,26
505,087;78,25
505,337;78,26
505,588;78,26
505,838;78,28
506,089;78,33
506,339;78,34
506,59;78,33
506,84;78,34
507,091;78,36
507,341;78,35
507,591;78,34
507,842;78,38
508,092;78,36
508,343;78,37
508,593;78,38
508,843;78,37
509,093;78,36
509,344;78,37
509,594;78,39
509,844;78,4
510,094;78,42
510,345;78,45
510,595;78,45
510,845;78,46
511,095;78,47
511,345;78,47
511,595;78,49
511,845;78,51
512,095;78,53
512,345;78,54
512,595;78,56
512,845;78,6
513,095;78,63
513,345;78,64
513,595;78,61
513,845;78,64
514,095;78,65
514,345;78,68
514,595;78,69
514,845;78,69
515,095;78,72
515,345;78,72
515,594;78,72
515,844;78,75
516,094;78,76
516,344;78,79
516,593;78,78
516,843;78,8
517,093;78,8
517,343;78,82
517,592;78,84
517,842;78,86
518,092;78,86
518,341;78,87
518,591;78,89
518,84;78,94
519,09;78,93
519,34;78,94
519,589;78,96
519,839;78,96
520,088;78,99
520,338;78,98
520,587;78,98
520,836;79,01
521,086;79,01
521,335;79,02
521,585;79,02
521,834;79,04
522,083;79,02
522,333;79,03
522,582;79,03
522,831;79,04
523,081;79,04
523,33;79,06
523,579;79,06
523,828;79,06
524,078;79,05
524,327;79,06
524,576;79,07
524,825;79,08
525,074;79,1
525,323;79,11
525,573;79,12
525,822;79,12
526,071;79,11
526,32;79,11
526,569;79,11
526,818;79,11
527,067;79,12
527,316;79,15
527,565;79,15
527,814;79,17
528,063;79,18
528,312;79,18
528,56;79,18
528,809;79,17
529,058;79,16
529,307;79,18
529,556;79,19
529,805;79,2
530,053;79,19
530,302;79,18
530,551;79,19
530,8;79,19
531,048;79,19
531,297;79,19
531,546;79,2
531,794;79,21
532,043;79,22
532,292;79,22
532,54;79,22
532,789;79,22
533,037;79,22
533,286;79,22
533,535;79,23
533,783;79,23
534,032;79,25
534,28;79,25
534,528;79,25
534,777;79,25
535,025;79,26
535,274;79,26
535,522;79,27
535,771;79,25
536,019;79,26
536,267;79,29
536,516;79,3
536,764;79,32
537,012;79,32
537,26;79,32
537,509;79,31
537,757;79,3
538,005;79,31
538,253;79,31
538,501;79,32
538,75;79,31
538,998;79,31
539,246;79,32
539,494;79,31
539,742;79,31
539,99;79,32
540,238;79,31
540,486;79,31
540,734;79,31
540,982;79,32
541,23;79,33
541,478;79,31
541,726;79,3
541,974;79,29
542,222;79,31
542,47;79,32
542,718;79,35
542,966;79,36
543,213;79,36
543,461;79,36
543,709;79,36
543,957;79,35
544,205;79,36
544,452;79,36
544,7;79,36
544,948;79,38
545,196;79,39
545,443;79,38
545,691;79,39
545,939;79,41
546,186;79,41
546,434;79,4
546,681;79,41
546,929;79,43
547,176;79,43
547,424;79,41
547,671;79,4
547,919;79,41
548,166;79,39
548,414;79,4
548,661;79,4
548,909;79,41
549,156;79,42
549,404;79,41
549,651;79,44
549,898;79,45
550,146;79,43
550,393;79,44
550,64;79,44
550,888;79,44
551,135;79,45
551,382;79,45
551,629;79,45
551,876;79,47
552,124;79,48
552,371;79,49
552,618;79,49
552,865;79,5
553,112;79,5
553,359;79,5
553,606;79,5
553,854;79,5
554,101;79,5
554,348;79,5
554,595;79,51
554,842;79,5
555,089;79,51
555,336;79,52
555,582;79,52
555,829;79,53
556,076;79,53
556,323;79,52
556,57;79,52
556,817;79,53
557,064;79,52
557,311;79,49
557,557;79,49
557,804;79,5
558,051;79,49
558,298;79,5
558,544;79,51
558,791;79,51
559,038;79,53
559,284;79,53
