Data from BiaccaWhite_Reflection__4__50.txt Node;
"Date: Thu Sep 11 17:08:01 CEST 2025 User: sycur";
485,49;72,9
485,742;72,92
485,994;72,95
486,246;72,96
486,498;72,98
486,75;73
487,001;73,03
487,253;73,05
487,505;73,08
487,757;73,13
488,009;73,16
488,26;73,22
488,512;73,24
488,764;73,27
489,015;73,23
489,267;73,23
489,519;73,2
489,77;73,2
490,022;73,21
490,274;73,23
490,525;73,25
490,777;73,25
491,028;73,25
491,28;73,26
491,531;73,27
491,783;73,29
492,034;73,32
492,286;73,31
492,537;73,34
492,789;73,36
493,04;73,36
493,291;73,36
493,543;73,37
493,794;73,38
494,045;73,39
494,297;73,42
494,548;73,42
494,799;73,46
495,051;73,5
495,302;73,51
495,553;73,52
495,804;73,51
496,056;73,51
496,307;73,53
496,558;73,52
496,809;73,52
497,06;73,52
497,311;73,53
497,562;73,54
497,813;73,53
498,064;73,54
498,316;73,56
498,567;73,58
498,818;73,59
499,069;73,59
499,319;73,59
499,57;73,59
499,821;73,59
500,072;73,6
500,323;73,59
500,574;73,62
500,825;73,59
501,076;73,62
501,327;73,65
501,577;73,64
501,828;73,67
502,079;73,67
502,33;73,68
502,58;73,67
502,831;73,7
503,082;73,74
503,333;73,72
503,583;73,75
503,834;73,76
504,084;73,77
504,335;73,78
504,586;73,79
504,836;73,8
505,087;73,82
505,337;73,83
505,588;73,83
505,838;73,84
506,089;73,87
506,339;73,87
506,59;73,85
506,84;73,88
507,091;73,91
507,341;73,93
507,591;73,92
507,842;73,93
508,092;73,92
508,343;73,9
508,593;73,93
508,843;73,9
509,093;73,88
509,344;73,89
509,594;73,91
509,844;73,92
510,094;73,94
510,345;73,95
510,595;73,94
510,845;73,95
511,095;73,94
511,345;73,96
511,595;73,97
511,845;74,01
512,095;74
512,345;73,98
512,595;73,98
512,845;74,01
513,095;74,04
513,345;74,06
513,595;74,07
513,845;74,08
514,095;74,1
514,345;74,12
514,595;74,13
514,845;74,13
515,095;74,15
515,345;74,13
515,594;74,15
515,844;74,18
516,094;74,18
516,344;74,19
516,593;74,19
516,843;74,21
517,093;74,2
517,343;74,21
517,592;74,23
517,842;74,26
518,092;74,27
518,341;74,27
518,591;74,29
518,84;74,32
519,09;74,32
519,34;74,33
519,589;74,36
519,839;74,37
520,088;74,39
520,338;74,4
520,587;74,43
520,836;74,44
521,086;74,43
521,335;74,46
521,585;74,47
521,834;74,49
522,083;74,48
522,333;74,52
522,582;74,54
522,831;74,54
523,081;74,53
523,33;74,55
523,579;74,56
523,828;74,57
524,078;74,55
524,327;74,56
524,576;74,58
524,825;74,59
525,074;74,6
525,323;74,6
525,573;74,62
525,822;74,62
526,071;74,63
526,32;74,65
526,569;74,67
526,818;74,68
527,067;74,7
527,316;74,73
527,565;74,72
527,814;74,74
528,063;74,76
528,312;74,79
528,56;74,8
528,809;74,81
529,058;74,82
529,307;74,86
529,556;74,88
529,805;74,88
530,053;74,88
530,302;74,89
530,551;74,92
530,8;74,94
531,048;74,95
531,297;74,94
531,546;74,95
531,794;74,94
532,043;74,97
532,292;74,98
532,54;74,99
532,789;75
533,037;75,01
533,286;75,01
533,535;75,03
533,783;75,03
534,032;75,06
534,28;75,07
534,528;75,07
534,777;75,07
535,025;75,11
535,274;75,13
535,522;75,13
535,771;75,14
536,019;75,15
536,267;75,18
536,516;75,22
536,764;75,24
537,012;75,26
537,26;75,27
537,509;75,29
537,757;75,3
538,005;75,33
538,253;75,35
538,501;75,37
538,75;75,37
538,998;75,4
539,246;75,41
539,494;75,42
539,742;75,45
539,99;75,46
540,238;75,47
540,486;75,48
540,734;75,49
540,982;75,52
541,23;75,54
541,478;75,56
541,726;75,58
541,974;75,62
542,222;75,64
542,47;75,68
542,718;75,71
542,966;75,72
543,213;75,73
543,461;75,77
543,709;75,78
543,957;75,8
544,205;75,81
544,452;75,82
544,7;75,83
544,948;75,83
545,196;75,85
545,443;75,85
545,691;75,88
545,939;75,89
546,186;75,9
546,434;75,9
546,681;75,93
546,929;75,96
547,176;75,95
547,424;75,96
547,671;75,97
547,919;75,98
548,166;76
548,414;76,03
548,661;76,02
548,909;76,05
549,156;76,08
549,404;76,1
549,651;76,12
549,898;76,16
550,146;76,19
550,393;76,22
550,64;76,26
550,888;76,27
551,135;76,31
551,382;76,33
551,629;76,36
551,876;76,38
552,124;76,38
552,371;76,41
552,618;76,43
552,865;76,47
553,112;76,47
553,359;76,48
553,606;76,49
553,854;76,52
554,101;76,54
554,348;76,56
554,595;76,57
554,842;76,59
555,089;76,6
555,336;76,62
555,582;76,65
555,829;76,66
556,076;76,68
556,323;76,69
556,57;76,7
556,817;76,7
557,064;76,69
557,311;76,72
557,557;76,73
557,804;76,75
558,051;76,74
558,298;76,75
558,544;76,77
558,791;76,78
559,038;76,77
559,284;76,79
559,531;76,8
559,778;76,81
560,024;76,81
560,271;76,83
560,517;76,83
560,764;76,83
561,011;76,83
561,257;76,84
561,504;76,84
561,75;76,84
561,997;76,86
562,243;76,87
562,489;76,89
562,736;76,9
562,982;76,91
563,229;76,91
563,475;76,92
563,721;76,91
563,968;76,93
564,214;76,95
564,46;76,94
564,707;76,92
564,953;76,93
565,199;76,94
565,445;76,95
565,691;76,94
565,938;76,94
566,184;76,96
566,43;76,97
566,676;76,98
566,922;76,99
567,168;76,98
567,414;77
567,66;77
567,906;76,97
568,152;76,97
568,398;76,97
568,644;76,98
568,89;76,98
569,136;76,98
569,382;76,98
569,628;76,98
569,874;77
570,12;76,99
570,366;77
570,612;76,99
570,857;77
571,103;77
571,349;77
571,595;76,99
571,84;76,98
572,086;76,99
572,332;77
572,578;76,99
572,823;76,99
573,069;77
573,315;77
573,56;77,01
573,806;77,01
574,051;77,03
574,297;77,02
574,542;77,02
574,788;77,03
575,034;77,03
575,279;77,04
575,524;77,04
575,77;77,06
576,015;77,08
576,261;77,09
576,506;77,1
576,752;77,1
576,997;77,11
577,242;77,11
577,488;77,12
577,733;77,11
577,978;77,13
578,223;77,13
578,469;77,14
578,714;77,16
578,959;77,15
579,204;77,15
579,45;77,17
579,695;77,2
579,94;77,21
580,185;77,23
580,43;77,24
580,675;77,25
580,92;77,25
581,165;77,24
581,41;77,22
581,655;77,22
581,9;77,23
582,145;77,23
582,39;77,23
582,635;77,23
582,88;77,24
583,125;77,23
583,37;77,24
583,615;77,25
583,86;77,23
584,105;77,24
584,349;77,24
584,594;77,23
584,839;77,21
585,084;77,2
585,328;77,2
585,573;77,19
585,818;77,18
586,063;77,17
586,307;77,18
586,552;77,19
586,797;77,18
587,041;77,19
587,286;77,19
587,53;77,19
587,775;77,18
588,019;77,19
588,264;77,2
588,508;77,21
588,753;77,19
588,997;77,21
589,242;77,2
589,486;77,2
589,731;77,21
589,975;77,2
590,22;77,19
590,464;77,18
590,708;77,19
590,953;77,19
591,197;77,2
591,441;77,18
591,685;77,18
591,93;77,18
592,174;77,19
592,418;77,19
592,662;77,17
592,907;77,17
593,151;77,18
593,395;77,16
593,639;77,13
593,883;77,13
594,127;77,12
594,371;77,12
594,615;77,12
594,859;77,11
595,103;77,12
595,347;77,11
595,591;77,09
595,835;77,06
596,079;77,05
596,323;77,06
596,567;77,06
596,811;77,05
597,055;77,04
597,299;77,03
597,542;77,02
597,786;77,04
598,03;77,03
598,274;77,01
598,518;77,02
598,761;77,02
599,005;77,02
599,249;77,02
599,492;77,04
599,736;77,03
599,98;77,04
600,223;77,04
600,467;77,04
600,711;77,06
600,954;77,08
601,198;77,08
601,441;77,07
601,685;77,08
601,928;77,08
602,172;77,08
602,415;77,07
602,659;77,07
602,902;77,05
603,145;77,04
603,389;77,03
603,632;77,02
603,876;77,04
604,119;77,02
604,362;77,02
604,606;77
604,849;77
605,092;76,99
605,335;76,97
605,579;76,96
605,822;76,95
606,065;76,93
606,308;76,93
606,551;76,93
606,794;76,91
607,037;76,92
607,281;76,91
607,524;76,91
607,767;76,91
608,01;76,91
608,253;76,92
608,496;76,93
608,739;76,93
608,982;76,93
609,225;76,93
609,468;76,92
609,711;76,93
609,953;76,93
610,196;76,92
610,439;76,93
610,682;76,94
610,925;76,97
611,168;76,98
611,41;76,98
611,653;77
611,896;77,02
612,139;77,01
612,381;77,01
612,624;77,02
612,867;77,01
613,109;77
613,352;77,01
613,595;77
613,837;76,99
614,08;76,98
614,322;76,98
614,565;76,98
614,807;76,97
615,05;76,96
615,292;76,96
615,535;76,96
615,777;76,95
616,02;76,93
616,262;76,91
616,505;76,9
616,747;76,88
616,989;76,87
617,232;76,87
617,474;76,85
617,716;76,84
617,959;76,84
618,201;76,85
618,443;76,84
618,685;76,84
618,927;76,84
619,17;76,84
619,412;76,83
619,654;76,84
619,896;76,85
620,138;76,86
620,38;76,85
620,622;76,86
620,864;76,88
621,107;76,88
621,349;76,88
621,591;76,89
621,833;76,9
622,075;76,92
622,316;76,92
622,558;76,94
622,8;76,95
623,042;76,96
623,284;76,95
623,526;76,97
623,768;77
624,01;77,01
624,251;77,02
624,493;77,03
624,735;77,03
624,977;77,03
625,218;77,02
625,46;77,03
625,702;77,02
625,943;77,03
626,185;77,03
626,427;77,04
626,668;77,03
626,91;77,04
627,152;77,04
627,393;77,03
627,635;77,01
627,876;77
628,118;76,99
628,359;76,99
628,601;76,96
628,842;76,94
629,084;76,92
629,325;76,91
629,566;76,9
629,808;76,91
630,049;76,9
630,29;76,91
630,532;76,91
