Data from BiaccaWhite_Reflection__0__46.txt Node;
"Date: Thu Sep 11 17:04:56 CEST 2025 User: sycur";
323,116;54,94
323,378;54,91
323,641;54,88
323,903;54,84
324,166;54,81
324,428;54,78
324,691;54,75
324,953;54,72
325,216;54,69
325,478;54,67
325,741;54,64
326,003;54,62
326,266;54,58
326,528;54,58
326,791;54,56
327,053;54,54
327,315;54,52
327,578;54,52
327,84;54,48
328,102;54,46
328,365;54,44
328,627;54,41
328,889;54,38
329,151;54,37
329,414;54,36
329,676;54,33
329,938;54,3
330,2;54,31
330,462;54,29
330,725;54,26
330,987;54,23
331,249;54,2
331,511;54,17
331,773;54,12
332,035;54,09
332,297;54,06
332,559;54,02
332,821;53,99
333,083;53,98
333,345;53,98
333,607;53,97
333,869;53,94
334,131;53,93
334,393;53,93
334,655;53,93
334,917;53,93
335,179;53,94
335,44;53,91
335,702;53,86
335,964;53,84
336,226;53,81
336,488;53,79
336,749;53,78
337,011;53,8
337,273;53,81
337,535;53,81
337,796;53,78
338,058;53,81
338,32;53,81
338,581;53,79
338,843;53,77
339,105;53,76
339,366;53,76
339,628;53,75
339,889;53,7
340,151;53,68
340,412;53,65
340,674;53,62
340,935;53,61
341,197;53,6
341,458;53,6
341,72;53,59
341,981;53,59
342,243;53,57
342,504;53,53
342,766;53,51
343,027;53,49
343,288;53,48
343,55;53,46
343,811;53,42
344,072;53,39
344,334;53,36
344,595;53,33
344,856;53,32
345,117;53,29
345,379;53,28
345,64;53,24
345,901;53,22
346,162;53,2
346,423;53,19
346,684;53,15
346,946;53,09
347,207;53,05
347,468;53
347,729;52,95
347,99;52,93
348,251;52,9
348,512;52,87
348,773;52,85
349,034;52,8
349,295;52,77
349,556;52,76
349,817;52,73
350,078;52,71
350,339;52,67
350,6;52,65
350,86;52,61
351,121;52,58
351,382;52,55
351,643;52,53
351,904;52,5
352,165;52,5
352,425;52,48
352,686;52,49
352,947;52,49
353,208;52,48
353,468;52,46
353,729;52,42
353,99;52,4
354,25;52,36
354,511;52,35
354,772;52,35
355,032;52,33
355,293;52,36
355,553;52,32
355,814;52,28
356,074;52,24
356,335;52,24
356,596;52,22
356,856;52,22
357,116;52,21
357,377;52,19
357,637;52,16
357,898;52,16
358,158;52,13
358,419;52,11
358,679;52,07
358,939;52,06
359,2;52,06
359,46;52,07
359,72;52,05
359,981;52,04
360,241;52,02
360,501;52,02
360,761;51,97
361,022;51,95
361,282;51,98
361,542;51,99
361,802;51,99
362,062;51,97
362,323;51,95
362,583;51,93
362,843;51,92
363,103;51,91
363,363;51,88
363,623;51,88
363,883;51,85
364,143;51,86
364,403;51,86
364,663;51,87
364,923;51,85
365,183;51,87
365,443;51,84
365,703;51,83
365,963;51,79
366,223;51,81
366,483;51,8
366,743;51,77
