Data from bluEgizioWhite_Reflection__1__24.txt Node;
Date: Fri Sep 12 11:03:01 CEST 2025;
323,641;3,59
323,903;3,62
324,166;3,64
324,428;3,65
324,691;3,67
324,953;3,68
325,216;3,7
325,478;3,72
325,741;3,74
326,003;3,75
326,266;3,77
326,528;3,79
326,791;3,8
327,053;3,81
327,315;3,82
327,578;3,84
327,84;3,86
328,102;3,88
328,365;3,89
328,627;3,91
328,889;3,91
329,151;3,93
329,414;3,94
329,676;3,95
329,938;3,97
330,2;3,98
330,462;4,01
330,725;4,02
330,987;4,04
331,249;4,04
331,511;4,07
331,773;4,09
332,035;4,11
332,297;4,13
332,559;4,16
332,821;4,17
333,083;4,19
333,345;4,21
333,607;4,23
333,869;4,25
334,131;4,27
334,393;4,3
334,655;4,31
334,917;4,34
335,179;4,36
335,44;4,38
335,702;4,4
335,964;4,42
336,226;4,43
336,488;4,45
336,749;4,47
337,011;4,5
337,273;4,52
337,535;4,55
337,796;4,56
338,058;4,57
338,32;4,59
338,581;4,6
338,843;4,62
339,105;4,64
339,366;4,67
339,628;4,7
339,889;4,73
340,151;4,76
340,412;4,79
340,674;4,8
340,935;4,84
341,197;4,88
341,458;4,91
341,72;4,93
341,981;4,95
342,243;4,98
342,504;5,01
342,766;5,02
343,027;5,03
343,288;5,07
343,55;5,1
343,811;5,13
344,072;5,16
344,334;5,18
344,595;5,21
344,856;5,24
345,117;5,26
345,379;5,29
345,64;5,31
345,901;5,34
346,162;5,36
346,423;5,38
346,684;5,38
346,946;5,4
347,207;5,44
347,468;5,47
347,729;5,51
347,99;5,53
348,251;5,56
348,512;5,59
348,773;5,63
349,034;5,65
349,295;5,68
349,556;5,7
349,817;5,73
350,078;5,76
350,339;5,78
350,6;5,8
350,86;5,83
351,121;5,86
351,382;5,88
351,643;5,91
351,904;5,95
352,165;5,99
352,425;6,02
352,686;6,06
352,947;6,09
353,208;6,12
353,468;6,16
353,729;6,19
353,99;6,23
354,25;6,26
354,511;6,29
354,772;6,34
355,032;6,4
355,293;6,43
355,553;6,47
355,814;6,52
356,074;6,56
356,335;6,6
356,596;6,64
356,856;6,68
357,116;6,74
357,377;6,79
357,637;6,83
357,898;6,87
358,158;6,91
358,419;6,95
358,679;6,99
358,939;7,04
359,2;7,09
359,46;7,13
359,72;7,16
359,981;7,21
360,241;7,24
360,501;7,27
360,761;7,32
361,022;7,36
361,282;7,41
361,542;7,47
361,802;7,51
362,062;7,56
362,323;7,62
362,583;7,66
362,843;7,71
363,103;7,75
363,363;7,78
