Data from bluEgizioWhite_Reflection__0__23.txt Node;
Date: Fri Sep 12 11:01:59 CEST 2025;
386,96;92,43
387,219;92,5
387,477;92,56
387,736;92,6
387,994;92,68
388,253;92,74
388,511;92,77
388,77;92,82
389,028;92,86
389,287;92,96
389,545;92,98
389,803;93,04
390,062;93,12
390,32;93,17
390,578;93,23
390,837;93,27
391,095;93,32
391,353;93,37
391,612;93,42
391,87;93,47
392,128;93,53
392,386;93,55
392,644;93,62
392,903;93,66
393,161;93,71
393,419;93,73
393,677;93,79
393,935;93,85
394,193;93,89
394,451;93,99
394,709;94,02
394,967;94,05
395,225;94,07
395,483;94,12
395,741;94,16
395,999;94,23
396,257;94,27
396,515;94,33
396,773;94,41
397,031;94,44
397,289;94,5
397,547;94,5
397,805;94,56
398,062;94,61
398,32;94,69
398,578;94,74
398,836;94,79
399,094;94,83
399,351;94,85
399,609;94,91
399,867;94,94
400,124;94,98
400,382;95,06
400,64;95,11
400,897;95,15
401,155;95,2
401,413;95,26
401,67;95,31
401,928;95,38
402,185;95,4
402,443;95,49
402,701;95,51
402,958;95,58
403,216;95,58
403,473;95,59
403,73;95,58
403,988;95,64
404,245;95,71
404,503;95,78
404,76;95,85
405,018;95,91
405,275;95,97
405,532;96,01
405,79;96,06
406,047;96,14
406,304;96,2
406,561;96,29
406,819;96,3
407,076;96,37
407,333;96,39
407,59;96,44
407,848;96,47
408,105;96,52
408,362;96,52
408,619;96,63
408,876;96,74
409,133;96,83
409,39;96,85
409,647;96,87
409,904;96,89
410,161;96,92
410,418;96,95
410,675;96,98
410,932;97,05
411,189;97,07
411,446;97,12
411,703;97,16
411,96;97,15
412,217;97,22
412,474;97,24
412,731;97,29
412,988;97,36
413,245;97,4
413,501;97,47
413,758;97,57
414,015;97,59
414,272;97,57
414,529;97,61
414,785;97,68
415,042;97,75
415,299;97,79
415,555;97,86
415,812;97,92
416,069;97,94
416,325;97,98
416,582;98,02
416,838;98,04
417,095;98,05
417,352;98,09
417,608;98,11
417,865;98,16
418,121;98,15
418,378;98,2
418,634;98,23
418,891;98,27
419,147;98,31
419,403;98,34
419,66;98,38
419,916;98,41
420,173;98,39
420,429;98,38
420,685;98,42
420,942;98,42
421,198;98,44
421,454;98,5
421,711;98,53
421,967;98,52
422,223;98,56
422,479;98,6
422,735;98,63
422,992;98,65
423,248;98,69
423,504;98,75
423,76;98,75
424,016;98,75
424,272;98,8
424,528;98,8
424,784;98,84
425,041;98,92
425,297;98,94
425,553;98,98
425,809;99,08
426,065;99,08
426,32;99,13
426,576;99,15
426,832;99,16
427,088;99,18
427,344;99,25
427,6;99,26
427,856;99,28
428,112;99,32
428,368;99,33
428,623;99,36
428,879;99,4
429,135;99,41
429,391;99,48
429,646;99,48
429,902;99,52
430,158;99,5
430,414;99,52
430,669;99,53
430,925;99,59
431,181;99,61
431,436;99,68
431,692;99,7
431,947;99,78
432,203;99,82
432,458;99,88
432,714;99,91
432,97;99,94
433,225;100,01
433,481;100
433,736;100,04
433,991;100,06
434,247;100,09
434,502;100,14
434,758;100,17
435,013;100,22
435,268;100,23
435,524;100,29
435,779;100,33
436,034;100,38
436,29;100,43
436,545;100,42
436,8;100,42
437,056;100,45
437,311;100,44
437,566;100,46
437,821;100,44
438,076;100,46
438,331;100,52
438,587;100,55
438,842;100,58
439,097;100,6
439,352;100,62
439,607;100,65
439,862;100,66
440,117;100,68
440,372;100,67
440,627;100,7
440,882;100,74
441,137;100,73
441,392;100,74
441,647;100,78
441,902;100,8
442,157;100,84
442,412;100,84
442,667;100,85
442,921;100,86
443,176;100,94
443,431;100,97
443,686;100,97
443,941;100,98
444,195;101,04
444,45;101,08
444,705;101,12
444,96;101,16
445,214;101,2
445,469;101,22
445,724;101,24
445,978;101,25
446,233;101,29
446,487;101,34
446,742;101,38
446,997;101,38
447,251;101,4
447,506;101,42
447,76;101,48
448,015;101,51
448,269;101,53
448,524;101,52
448,778;101,56
449,033;101,61
449,287;101,61
449,541;101,62
449,796;101,64
450,05;101,65
450,305;101,66
450,559;101,67
450,813;101,7
451,067;101,75
451,322;101,79
451,576;101,84
451,83;101,86
452,084;101,88
452,339;101,89
452,593;101,89
452,847;101,93
453,101;101,93
453,355;102
453,609;102,02
453,864;102,05
454,118;102,03
454,372;102,04
454,626;102,1
454,88;102,1
455,134;102,14
455,388;102,2
455,642;102,19
455,896;102,2
456,15;102,21
456,404;102,21
456,658;102,14
456,912;102,06
457,165;102,05
457,419;102,02
457,673;102,01
457,927;102
458,181;101,98
458,435;101,97
458,688;101,96
458,942;101,97
459,196;101,96
459,45;101,98
459,703;101,95
459,957;101,95
460,211;101,96
460,464;101,9
460,718;101,88
460,972;101,9
461,225;101,9
461,479;101,89
461,732;101,9
461,986;101,93
462,239;101,97
462,493;101,98
